Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	678.0	362.9729	970.0	0.0	207.0	347.82324	920.0	0.0	97.666664	92.1	1499	-18.333189	14.758423	0.22251225	-84.23937	17.418722	8.1246195	9.742738962173462
2	292.6316	320.26047	830.0	0.0	331.0	406.8034	920.0	0.0	79.26316	60.2	2999	-2.8419433	11.895858	15.789345	-79.727905	2.428153	52.67963	33.96630001068115
3	251.57895	335.46924	860.0	0.0	156.0	251.0458	650.0	0.0	79.789474	75.8	4499	5.103477	6.9568624	16.859333	-72.41408	-5.378947	57.930374	55.17156505584717
4	117.22222	263.7298	860.0	0.0	61.0	113.0	360.0	0.0	80.333336	82.4	5999	9.552794	5.134827	25.65789	-51.592926	-9.7014	51.409267	73.02014207839966
5	102.35294	153.10626	490.0	0.0	165.0	292.72	790.0	0.0	89.35294	100.0	7499	13.26413	3.8955195	16.23818	-29.9449	-13.374241	46.026398	90.36185598373413
6	203.33333	287.8117	740.0	0.0	255.0	377.57782	950.0	0.0	100.0	100.0	8999	16.923943	3.357362	19.880753	-24.036428	-17.049175	42.72856	107.56826615333557
7	214.375	294.06564	920.0	0.0	104.0	173.4474	460.0	0.0	94.625	100.0	10499	20.743185	2.7062347	32.879974	-8.25915	-20.86485	41.19296	124.62898993492126
8	26.25	42.55511	160.0	0.0	175.0	304.77042	840.0	0.0	93.5625	100.0	11999	24.394873	2.562451	45.12771	-4.8978806	-24.523714	38.824646	141.8751301765442
9	136.66667	225.73337	640.0	0.0	282.0	380.57324	900.0	0.0	96.4	100.0	13499	28.00073	2.9531484	55.636856	-8.078478	-28.194815	36.847485	159.12612009048462
10	61.875	197.77571	820.0	0.0	204.0	309.94193	830.0	0.0	95.0	100.0	14999	41.834007	14.334905	97.78696	-25.98292	-42.58028	15.4838505	176.7369532585144
11	231.875	250.60474	730.0	0.0	297.0	357.80023	860.0	0.0	94.0625	100.0	16499	78.52815	33.195625	180.5426	-27.513086	-80.8295	17.068602	194.62582397460938
12	504.66666	317.96994	920.0	0.0	484.0	326.717	890.0	30.0	100.0	100.0	17999	128.28325	48.619717	259.23853	-33.2203	-131.70975	28.18249	213.31570410728455
13	627.3333	335.7671	970.0	50.0	443.0	404.82217	970.0	0.0	100.0	90.1	19499	183.75763	60.220108	334.3807	-29.481083	-187.66833	40.370766	231.31416511535645
14	485.33334	367.96497	930.0	0.0	711.0	284.3396	950.0	0.0	100.0	100.0	20999	245.19475	67.99894	396.56845	-59.988453	-249.63133	54.235905	249.19296526908875
15	560.0	344.36414	970.0	0.0	522.0	421.84833	920.0	0.0	100.0	100.0	22499	310.1867	72.48232	482.67258	-68.123985	-315.0569	64.12773	267.48042607307434
16	577.3333	358.91443	920.0	0.0	375.0	385.05194	870.0	0.0	100.0	100.0	23999	376.8744	75.844986	571.1385	-81.15442	-381.81357	73.3683	285.5478000640869
17	498.0	361.6665	930.0	0.0	458.0	366.7915	890.0	0.0	100.0	90.3	25499	442.89178	78.65953	655.6495	-11.726234	-447.88116	85.18748	303.46584916114807
18	588.0	282.91812	910.0	0.0	393.0	407.50583	940.0	0.0	100.0	100.0	26999	506.62436	83.26313	770.3832	-4.1986465	-511.8947	98.73344	321.6433401107788
19	397.33334	349.21753	930.0	0.0	335.0	399.03006	910.0	0.0	100.0	100.0	28499	570.54156	86.4937	836.22656	2.0763702	-576.08685	109.29958	339.64864206314087
20	391.33334	365.52914	900.0	0.0	396.0	368.02716	930.0	0.0	100.0	90.5	29999	634.0914	88.99125	918.4762	-30.964401	-639.71893	120.85446	357.7032461166382
21	352.0	386.99182	900.0	0.0	243.0	316.0712	780.0	0.0	97.8	90.2	31499	695.38873	93.6535	982.9573	33.4044	-700.96735	139.3909	376.43177008628845
22	303.33334	350.06033	820.0	0.0	370.0	289.68948	900.0	0.0	100.0	100.0	32999	754.2733	97.318886	1045.9581	23.930408	-760.074	152.74965	394.3358840942383
23	516.0	342.32147	890.0	0.0	329.0	339.2477	990.0	0.0	100.0	100.0	34499	813.41425	98.72651	1107.8043	76.04927	-819.33386	156.01321	412.61677503585815
24	334.0	350.36743	920.0	0.0	323.0	346.44046	930.0	0.0	100.0	100.0	35999	870.6283	99.481735	1176.664	-19.870285	-876.4854	166.78128	430.9294900894165
25	458.0	359.7073	960.0	0.0	250.0	348.45374	840.0	0.0	100.0	100.0	37499	925.36194	99.613945	1237.829	-30.138588	-931.3565	172.87585	449.29622507095337
26	426.875	375.21188	960.0	0.0	414.0	379.87366	970.0	0.0	94.0	100.0	38999	980.04266	100.38477	1293.0615	-2.591484	-986.09564	186.26671	467.44933104515076
27	292.66666	325.31967	820.0	0.0	346.0	352.7662	890.0	0.0	100.0	100.0	40499	1034.4613	100.956825	1340.1394	-82.53367	-1040.8113	217.66353	485.4661362171173
28	361.33334	373.27142	930.0	0.0	189.0	284.12848	900.0	0.0	100.0	100.0	41999	1088.0597	104.16501	1403.6604	-12.2323265	-1094.7305	239.62949	503.583621263504
29	449.33334	337.1541	860.0	0.0	348.0	395.1658	890.0	0.0	100.0	100.0	43499	1141.5021	106.29376	1472.7747	-67.72794	-1148.1691	239.81953	521.3987002372742
30	398.0	362.84433	910.0	0.0	418.0	399.04385	960.0	0.0	100.0	100.0	44999	1194.2819	108.33769	1522.5593	-5.3465347	-1200.9481	234.16316	539.387567281723
31	346.875	335.06937	870.0	0.0	187.0	337.13647	940.0	0.0	93.875	100.0	46499	1244.888	111.81801	1582.5573	-27.891632	-1251.6373	254.30983	557.6012589931488
32	474.66666	395.10114	930.0	0.0	355.0	345.1449	900.0	40.0	100.0	100.0	47999	1295.1113	114.20341	1665.7699	126.32456	-1301.9065	261.43857	575.3593990802765
