Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	4.2105265	6.740131	20.0	0.0	12.0	14.0	50.0	0.0	74.1579	67.9	1499	9.01883	5.6065526	39.108006	-0.16535853	-9.49962	14.74646	8.08480715751648
2	6.8421054	10.786264	40.0	0.0	5.0	8.062258	20.0	0.0	83.10526	92.8	2999	38.268635	28.666517	249.20288	0.06525969	-41.542126	25.916542	25.172120094299316
3	5.5	11.169154	50.0	0.0	27.0	63.56886	210.0	0.0	75.4	90.8	4499	97.97397	51.84444	397.1797	3.1454575	-106.43777	87.612564	40.36513710021973
4	10.833333	18.911343	90.0	0.0	10.0	18.973665	60.0	0.0	59.708332	100.0	5999	174.19846	68.140724	465.25742	18.85328	-187.60716	212.78929	55.33218812942505
5	20.0	43.889812	200.0	0.0	119.0	226.69142	760.0	0.0	79.8421	100.0	7499	274.86743	86.17611	599.4922	49.987606	-291.93903	448.4124	70.23922824859619
6	5.8333335	8.122329	30.0	0.0	44.0	84.87638	280.0	0.0	63.791668	100.0	8999	386.5257	103.95649	753.8016	92.62245	-408.07355	836.14844	84.870845079422
7	31.25	78.49164	370.0	0.0	27.0	63.56886	210.0	0.0	62.375	100.0	10499	517.8769	117.11274	952.3238	121.70421	-542.7235	1489.3407	99.97991609573364
8	20.0	29.888681	80.0	0.0	40.0	95.07891	320.0	0.0	100.0	100.0	11999	655.17725	128.00052	1124.7844	169.20702	-680.30286	1977.2698	115.43173813819885
9	100.666664	214.77017	650.0	0.0	25.0	71.72865	240.0	0.0	100.0	100.0	13499	786.03296	132.75352	1287.0189	196.90314	-809.57684	2493.314	131.16808915138245
10	8.666667	15.860502	50.0	0.0	46.0	99.719604	340.0	0.0	100.0	100.0	14999	899.97485	139.30156	1474.9545	209.4995	-922.9318	2753.0256	146.76582407951355
11	26.0	43.787365	180.0	0.0	13.0	26.476404	90.0	0.0	100.0	100.0	16499	1007.65356	146.39334	1568.9846	231.56488	-1029.2173	3091.758	162.00498294830322
12	29.333334	44.040386	150.0	0.0	2.0	4.0	10.0	0.0	100.0	100.0	17999	1109.8235	157.20181	1734.1837	237.95174	-1131.6754	3494.2366	177.3404688835144
13	20.666666	34.34466	120.0	0.0	14.0	20.59126	60.0	0.0	100.0	100.0	19499	1208.26	170.48465	1814.6646	226.71642	-1230.8745	3862.2537	192.64164233207703
