Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	670.0	295.20615	940.0	0.0	396.0	401.67648	920.0	0.0	100.0	100.0	1499	-26.60602	17.842459	-0.34130222	-109.94766	25.971601	6.184927	8.313746929168701
2	54.285713	92.302376	340.0	0.0	13.0	14.866069	40.0	0.0	70.42857	83.7	2999	-2.5690155	12.2718315	78.56694	-106.82376	1.9802445	49.494713	24.71408987045288
3	38.62069	148.457	820.0	0.0	20.0	31.937439	100.0	0.0	52.0	61.0	4499	14.316317	63.203873	158.74277	-655.65326	-15.3322	39.402763	41.25294089317322
4	25.263159	32.826244	110.0	0.0	173.0	279.96606	900.0	0.0	75.210526	81.6	5999	64.00353	74.160286	193.56544	-608.3503	-66.89887	59.654312	57.54215097427368
5	113.888885	270.681	930.0	0.0	184.0	308.48663	870.0	0.0	86.27778	100.0	7499	120.27087	69.25423	256.15317	-546.91486	-123.780876	97.34727	74.30671310424805
6	242.94118	328.21738	920.0	0.0	154.0	279.1487	730.0	0.0	86.64706	91.0	8999	172.4477	71.66699	320.73123	-487.04202	-176.2102	130.7057	90.55827569961548
7	228.0	336.17853	860.0	0.0	321.0	345.35345	890.0	0.0	100.0	100.0	10499	225.73445	77.95677	386.83643	-457.76855	-230.44969	170.99586	106.41693091392517
8	367.33334	371.00702	890.0	0.0	123.0	246.05081	850.0	0.0	99.4	100.0	11999	284.07486	85.55581	455.63736	-432.43365	-289.845	216.96141	121.89301490783691
9	186.0	268.74524	800.0	0.0	139.0	268.56842	710.0	0.0	100.0	100.0	13499	349.5532	96.680756	530.29254	-435.0284	-356.4393	262.99976	137.37459206581116
10	181.33333	278.49277	850.0	0.0	28.0	50.159744	170.0	0.0	100.0	100.0	14999	420.1527	105.6132	604.6474	-440.6667	-427.51434	304.85812	152.74558472633362
11	206.0	316.09705	920.0	0.0	169.0	288.42505	940.0	0.0	100.0	100.0	16499	488.4384	112.249916	696.88226	-471.43127	-495.99008	357.04565	167.99923396110535
12	136.66667	255.15135	780.0	0.0	186.0	309.10193	870.0	0.0	100.0	100.0	17999	555.3451	117.17892	779.188	-542.1395	-562.9335	383.71643	183.7635200023651
