Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	4.4	7.525955	30.0	0.0	11.0	24.677925	80.0	0.0	58.44	34.0	1499	0.23506199	0.85838795	20.080133	-0.85822994	-0.43163908	0.5102278	19.722309827804565
2	4.285714	6.2269983	20.0	0.0	168.0	337.89938	920.0	0.0	53.892857	92.9	2999	2.2152252	3.0439203	52.832794	-1.9634144	-2.764302	0.7875563	46.22628378868103
3	8.0	14.6969385	60.0	0.0	1.0	3.0	10.0	0.0	76.5	84.7	4499	7.2630634	7.1285267	123.470245	-1.7185231	-8.259077	1.809638	90.34899997711182
4	5.909091	8.872373	30.0	0.0	30.0	83.42661	280.0	0.0	67.13636	92.9	5999	14.512662	14.142016	199.96625	-1.8849282	-15.959233	4.1034484	110.67719578742981
5	9.523809	18.892223	60.0	0.0	10.0	30.0	100.0	0.0	69.95238	91.6	7499	27.312292	23.683258	245.46004	-3.2329564	-29.758345	9.607214	142.82169485092163
6	6.3636365	12.264307	40.0	0.0	15.0	19.104973	50.0	0.0	66.13636	100.0	8999	44.294636	33.870518	287.50873	-15.788805	-47.57255	20.08786	162.8879086971283
7	14.705882	17.861443	60.0	0.0	52.0	156.0	520.0	0.0	88.35294	100.0	10499	65.00544	45.729683	339.6431	-17.753428	-68.79573	30.289307	181.44200491905212
8	15.625	36.73703	130.0	0.0	1.0	3.0	10.0	0.0	94.75	93.3	11999	83.64429	54.503647	362.65	-30.589521	-86.9865	35.32472	203.8414967060089
9	5.3333335	10.873004	30.0	0.0	8.0	11.661903	40.0	0.0	100.0	96.1	13499	101.84956	61.204727	402.301	-32.535843	-105.16236	36.005016	226.65447974205017
10	10.0	31.424513	130.0	0.0	7.0	10.049875	30.0	0.0	94.375	89.2	14999	119.81643	67.1667	444.03842	-44.272663	-123.035706	37.351723	260.82667684555054
11	8.75	15.7619	60.0	0.0	0.0	0.0	0.0	0.0	97.875	88.1	16499	137.4756	72.878494	463.83994	-76.220535	-140.70006	42.125687	286.5793516635895
12	33.75	125.6421	520.0	0.0	6.0	10.198039	30.0	0.0	90.6875	88.2	17999	162.84363	81.119545	486.19446	-60.86214	-166.18456	45.695683	316.32782793045044
13	3.75	9.921567	30.0	0.0	1.0	3.0	10.0	0.0	93.5625	100.0	19499	193.95325	94.97278	536.92487	-74.74134	-197.66743	57.142525	347.9265727996826
14	2.6666667	5.734884	20.0	0.0	8.0	20.880613	70.0	0.0	100.0	100.0	20999	222.29918	104.68538	579.40265	-96.74042	-226.23105	69.95507	371.7694079875946
15	21.333334	56.552826	230.0	0.0	3.0	6.4031243	20.0	0.0	100.0	100.0	22499	252.3236	119.182	631.3528	-78.78304	-256.55112	83.56256	400.4578366279602
16	56.666668	151.07025	600.0	0.0	173.0	331.8147	880.0	0.0	100.0	100.0	23999	282.34988	132.62294	709.90204	-113.93518	-287.08337	96.11698	424.73512864112854
17	71.17647	204.47586	840.0	0.0	1.0	3.0	10.0	0.0	90.29412	100.0	25499	314.33875	145.70334	774.35394	-98.19848	-319.2554	105.58225	452.0291237831116
18	75.0	201.43237	750.0	0.0	86.0	241.50362	810.0	0.0	94.4375	100.0	26999	344.09106	157.47075	831.7114	-166.16013	-348.887	124.721146	481.08370876312256
19	144.66667	283.28708	880.0	0.0	18.0	47.497368	160.0	0.0	100.0	100.0	28499	382.35492	173.55275	876.30945	-113.83139	-387.52176	132.32965	519.4139456748962
20	116.666664	269.70764	870.0	0.0	103.0	279.57288	940.0	0.0	100.0	100.0	29999	419.83884	190.32509	901.96655	-219.10106	-425.38113	142.6536	544.206723690033
21	98.666664	236.89285	900.0	0.0	25.0	53.898052	180.0	0.0	100.0	100.0	31499	460.5067	208.74933	965.7533	-249.53874	-466.2931	161.968	565.5337417125702
22	129.33333	298.5848	960.0	0.0	22.0	42.61455	140.0	0.0	100.0	100.0	32999	498.37488	226.737	1033.3162	-213.84145	-504.18558	156.05447	598.289068698883
23	44.0	106.820724	430.0	0.0	30.0	74.02702	250.0	0.0	100.0	100.0	34499	539.4219	242.34268	1097.7314	-318.74188	-544.96	177.80093	622.9367377758026
24	12.666667	23.513588	80.0	0.0	27.0	39.76179	100.0	0.0	97.933334	100.0	35999	573.8291	255.56622	1141.8757	-211.35857	-579.38947	190.442	644.3701827526093
25	8.666667	16.275408	60.0	0.0	53.0	95.608574	330.0	0.0	100.0	100.0	37499	608.7867	270.8152	1218.1975	-195.97327	-614.7092	210.21138	667.3280327320099
26	188.0	297.03424	890.0	0.0	14.0	27.276363	90.0	0.0	100.0	100.0	38999	644.3565	287.61264	1318.3596	-206.41515	-650.5685	221.89758	700.7189939022064
27	96.666664	195.43683	570.0	0.0	14.0	25.377155	80.0	0.0	100.0	100.0	40499	676.8973	306.41	1407.7324	-281.27707	-683.4318	247.80109	734.0414958000183
28	193.33333	262.28906	840.0	0.0	46.0	73.91888	210.0	0.0	100.0	100.0	41999	719.7653	325.3876	1472.2809	-278.00296	-726.5251	268.8371	772.982971906662
