Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	6.9565215	11.585142	40.0	0.0	4.0	8.0	20.0	0.0	60.913044	20.6	1499	0.26067433	0.78643984	14.587771	-1.0812709	-0.44888672	0.78101975	4.586190938949585
2	2.142857	4.8968964	20.0	0.0	4.0	6.6332498	20.0	0.0	54.07143	20.2	2999	2.8338892	3.5400753	38.44456	-1.9903556	-3.5042353	0.66106504	12.508765697479248
3	3.4782608	7.5806937	30.0	0.0	0.0	0.0	0.0	0.0	66.21739	17.0	4499	8.751814	7.1698484	55.758877	-6.0018616	-9.807755	1.4128143	20.532718181610107
4	3.8095238	6.529195	20.0	0.0	0.0	0.0	0.0	0.0	74.2381	16.2	5999	16.728909	10.735475	62.899384	-7.5012093	-17.916933	2.4809942	28.396998405456543
5	9.0	14.456832	50.0	0.0	2.0	4.0	10.0	0.0	72.65	22.5	7499	24.665026	13.611877	89.06356	-14.088721	-26.173958	3.575812	36.41467022895813
6	7.3913045	17.499662	80.0	0.0	1.0	3.0	10.0	0.0	63.173912	20.3	8999	38.176987	19.438244	125.46415	-15.443375	-40.898808	6.000004	44.36527609825134
7	4.2222223	9.064924	50.0	0.0	1.0	3.0	10.0	0.0	35.22222	15.7	10499	57.85872	27.401312	224.11888	-28.86456	-61.472916	18.029112	52.52721333503723
8	2.0	4.3011627	20.0	0.0	4.0	6.6332498	20.0	0.0	18.875	15.2	11999	73.785835	32.574898	183.06421	-53.148926	-75.997406	38.120243	60.97073149681091
9	3.75	6.4951906	20.0	0.0	8.0	12.489996	40.0	0.0	44.1875	71.6	13499	83.33591	48.48472	645.3918	-55.379494	-86.3884	38.33507	73.1918613910675
10	12.777778	24.676924	110.0	0.0	5.0	8.062258	20.0	0.0	84.333336	83.1	14999	110.45492	81.807755	709.67163	-45.78176	-113.57796	43.153374	86.05298352241516
11	11.111111	16.960375	70.0	0.0	3.0	4.582576	10.0	0.0	84.72222	67.5	16499	130.80107	102.7187	721.34393	-34.469837	-133.63608	43.994102	98.24303722381592
12	9.444445	10.786938	30.0	0.0	6.0	4.8989797	10.0	0.0	83.833336	84.0	17999	155.40933	125.030815	770.9012	-38.933243	-158.33536	45.820374	111.94076490402222
13	10.588235	18.620226	80.0	0.0	12.0	23.579653	80.0	0.0	84.52941	78.0	19499	185.22296	146.32439	785.57825	-58.921947	-188.56554	54.159092	125.30402874946594
14	11.176471	12.779742	50.0	0.0	10.0	11.83216	30.0	0.0	90.411766	84.1	20999	212.53482	162.77344	823.59045	-52.79886	-216.10237	67.01423	138.45099806785583
15	11.764706	19.169611	80.0	0.0	5.0	9.219544	30.0	0.0	87.411766	51.5	22499	242.70253	178.11496	850.9203	-67.64188	-246.31702	79.948105	150.45608139038086
16	7.2727275	9.1362505	30.0	0.0	3.0	6.4031243	20.0	0.0	69.27273	76.4	23999	268.94727	191.67888	906.6784	-78.72494	-272.78595	95.428795	162.79780983924866
17	5.0	6.1237245	20.0	0.0	8.0	6.0	20.0	0.0	94.125	90.3	25499	293.46307	205.71089	940.55176	-103.438484	-297.27026	114.78415	176.38259530067444
18	8.421053	8.119604	20.0	0.0	3.0	4.582576	10.0	0.0	78.57895	77.8	26999	326.3464	221.06787	975.6758	-78.9412	-330.32758	125.83181	189.29443073272705
19	11.25	14.947826	50.0	0.0	5.0	6.708204	20.0	0.0	94.9375	72.9	28499	354.98785	235.44598	1013.4319	-93.81641	-358.77997	143.93912	202.13188910484314
20	8.888889	8.089011	30.0	0.0	6.0	10.198039	30.0	0.0	82.72222	59.6	29999	380.26785	251.52646	1054.3713	-115.406555	-384.00983	163.69743	214.3241262435913
21	6.111111	11.613636	40.0	0.0	10.0	10.954452	30.0	0.0	85.0	80.9	31499	405.82867	265.6886	1086.6465	-189.72995	-409.6226	183.21959	226.99597811698914
22	6.470588	7.624401	20.0	0.0	1.0	3.0	10.0	0.0	88.94118	56.5	32999	428.4698	281.94705	1128.1027	-169.6506	-432.26767	203.64696	239.34371972084045
23	6.25	6.9597054	20.0	0.0	9.0	7.0	20.0	0.0	91.0625	85.2	34499	455.1364	297.96866	1175.5297	-166.87048	-459.11508	221.49706	252.68731451034546
24	8.888889	11.4934225	30.0	0.0	8.0	6.0	20.0	0.0	82.5	78.0	35999	479.6017	314.2337	1209.675	-212.71007	-483.51416	275.52695	265.4611876010895
25	10.0	9.701425	30.0	0.0	2.0	4.0	10.0	0.0	87.29412	58.5	37499	502.61615	331.12125	1274.3077	-216.53845	-506.75232	299.5609	277.1544544696808
26	11.111111	8.748898	30.0	0.0	10.0	15.491934	50.0	0.0	85.5	100.0	38999	537.13214	341.67493	1312.123	-242.43617	-544.30597	384.40363	290.79160714149475
27	10.0	7.905694	20.0	0.0	8.0	9.797959	30.0	0.0	94.0625	100.0	40499	604.8567	310.33374	1358.2494	-137.58212	-615.66437	477.93918	304.57453966140747
28	6.6666665	8.69227	30.0	0.0	7.0	10.049875	30.0	0.0	100.0	92.3	41999	659.63763	291.3224	1414.3992	-229.99084	-668.4747	464.426	316.5901253223419
29	8.0	9.797959	40.0	0.0	15.0	15.652476	50.0	0.0	100.0	100.0	43499	700.1983	284.14917	1445.7223	-225.67073	-708.7666	518.5392	326.92164874076843
30	42.0	120.67587	490.0	0.0	7.0	11.874342	40.0	0.0	96.933334	100.0	44999	734.93463	281.33395	1479.0204	-303.00604	-742.7007	550.2758	338.14914727211
31	2.0	5.4160256	20.0	0.0	8.0	8.717798	30.0	0.0	100.0	90.7	46499	760.1855	283.48077	1544.8156	-304.33234	-767.29083	526.1072	349.6620600223541
32	11.333333	10.2415285	30.0	0.0	8.0	8.717798	20.0	0.0	100.0	100.0	47999	782.2954	292.4036	1575.462	-306.1897	-788.77094	524.5594	361.2263081073761
33	8.0	9.092121	20.0	0.0	11.0	11.357817	40.0	0.0	100.0	100.0	49499	811.11383	302.87878	1632.8943	-298.13925	-818.8648	534.90344	374.33495116233826
34	10.666667	9.977753	30.0	0.0	10.0	10.0	30.0	0.0	100.0	100.0	50999	844.5484	309.30035	1685.016	-264.28766	-852.2749	492.27274	388.01228761672974
35	10.0	8.164966	30.0	0.0	5.0	6.708204	20.0	0.0	100.0	100.0	52499	878.15875	317.259	1714.4197	-262.98062	-886.2504	523.1757	401.8400595188141
36	8.125	8.8167095	30.0	0.0	15.0	10.246951	30.0	0.0	94.3125	100.0	53999	915.1194	319.868	1766.3638	-314.95572	-923.536	542.7994	415.5994577407837
37	9.333333	9.285592	30.0	0.0	8.0	8.717798	30.0	0.0	100.0	100.0	55499	953.27167	319.30124	1820.6622	-302.69916	-961.90375	562.4795	429.2418649196625
38	10.0	8.944272	30.0	0.0	13.0	12.688578	40.0	0.0	100.0	100.0	56999	991.144	320.2249	1882.9568	-294.20007	-999.48444	636.9875	442.7774975299835
39	9.333333	8.537498	20.0	0.0	12.0	6.0	20.0	0.0	100.0	100.0	58499	1027.7362	323.42874	1916.9575	-263.56458	-1035.9431	729.2958	456.41289258003235
40	6.0	6.1101007	20.0	0.0	10.0	10.0	30.0	0.0	100.0	100.0	59999	1060.7439	330.5106	1962.6724	-327.68158	-1068.7142	673.0317	469.9464182853699
41	10.666667	7.7172246	20.0	0.0	7.0	9.0	30.0	0.0	100.0	100.0	61499	1097.6956	337.25928	2013.0648	-311.93948	-1106.0385	740.4352	483.8680281639099
42	12.666667	12.364824	40.0	0.0	10.0	11.83216	40.0	0.0	100.0	100.0	62999	1131.1156	343.29846	2063.6096	-481.3407	-1139.7861	749.94214	497.81664204597473
43	11.333333	11.469768	40.0	0.0	9.0	12.206555	40.0	0.0	100.0	100.0	64499	1168.3817	346.04916	2120.965	-375.80664	-1177.12	799.7578	511.4766502380371
44	10.0	12.649111	50.0	0.0	13.0	11.874342	30.0	0.0	100.0	100.0	65999	1205.9395	350.93503	2155.3748	-318.02066	-1214.6583	826.46515	525.4467089176178
45	11.333333	7.1802197	20.0	0.0	6.0	9.165152	30.0	0.0	100.0	100.0	67499	1245.0419	352.529	2203.6265	-383.75464	-1253.8236	868.8115	539.0052120685577
46	10.0	11.547005	30.0	0.0	6.0	6.6332498	20.0	0.0	100.0	100.0	68999	1283.912	355.2806	2244.8376	-425.27692	-1292.7528	915.2917	552.4909100532532
47	6.0	7.1180525	20.0	0.0	11.0	12.206555	40.0	0.0	100.0	100.0	70499	1323.9363	358.72784	2272.4595	-390.813	-1332.7136	910.4331	566.5396811962128
48	10.0	7.3029675	20.0	0.0	16.0	12.0	30.0	0.0	100.0	100.0	71999	1363.9049	363.7508	2328.5042	-528.08435	-1372.7198	1021.8849	580.359691619873
49	9.333333	8.537499	30.0	0.0	13.0	16.155495	50.0	0.0	100.0	100.0	73499	1400.5529	368.5771	2385.958	-348.80362	-1409.307	1040.1028	594.0131938457489
50	8.666667	8.844333	30.0	0.0	11.0	8.306623	30.0	0.0	100.0	100.0	74999	1437.0298	376.10837	2421.3926	-468.04318	-1445.9294	1150.4525	607.8486318588257
51	7.3333335	8.537498	30.0	0.0	7.0	7.81025	20.0	0.0	100.0	100.0	76499	1474.5034	379.5581	2483.161	-657.9624	-1482.994	1165.2759	621.737336397171
52	6.0	7.1180525	20.0	0.0	5.0	6.708204	20.0	0.0	100.0	100.0	77999	1512.6962	383.59195	2509.661	-502.8717	-1521.2943	1074.174	635.4058125019073
53	8.0	7.483315	30.0	0.0	12.0	14.0	50.0	0.0	100.0	100.0	79499	1549.6323	386.70062	2559.6406	-670.4538	-1558.0555	1193.5337	648.9711117744446
54	14.666667	10.873005	40.0	0.0	4.0	4.8989797	10.0	0.0	99.666664	100.0	80999	1585.1425	387.92145	2582.4688	-475.71448	-1593.642	1112.1399	662.7232577800751
55	11.333333	10.2415285	40.0	0.0	9.0	7.0	20.0	0.0	100.0	100.0	82499	1622.1136	392.73807	2643.258	-376.53677	-1630.6824	1091.9022	676.1152009963989
56	8.666667	8.055364	20.0	0.0	6.0	6.6332498	20.0	0.0	100.0	100.0	83999	1656.6409	392.52475	2675.3997	-414.04758	-1664.8805	1158.7882	689.5935451984406
57	6.6666665	8.69227	20.0	0.0	4.0	4.8989797	10.0	0.0	100.0	100.0	85499	1687.6251	394.974	2716.018	-423.49933	-1696.8473	1244.5844	703.2832174301147
58	10.666667	13.888444	50.0	0.0	11.0	11.357817	40.0	0.0	100.0	100.0	86999	1723.0265	394.6413	2731.2012	-518.89795	-1731.9269	1189.1821	716.6645226478577
59	10.0	8.944272	30.0	0.0	10.0	11.83216	30.0	0.0	100.0	100.0	88499	1752.6854	397.39737	2747.677	-536.4884	-1761.836	1216.688	728.9319970607758
60	7.3333335	8.537498	20.0	0.0	7.0	9.0	20.0	0.0	100.0	100.0	89999	1782.0673	394.72455	2794.6335	-441.5333	-1790.9686	1142.7325	742.1797523498535
61	7.3333335	7.7172236	20.0	0.0	5.0	6.708204	20.0	0.0	100.0	100.0	91499	1809.0375	396.791	2797.0366	-474.45316	-1817.8927	1205.0385	755.2524902820587
62	9.333333	12.89272	40.0	0.0	11.0	8.306623	30.0	0.0	100.0	100.0	92999	1832.4595	396.984	2823.5198	-515.3981	-1841.449	1233.643	768.4458546638489
63	14.0	29.393877	120.0	0.0	7.0	6.4031243	20.0	0.0	100.0	100.0	94499	1857.3024	396.0424	2847.5076	-527.6038	-1866.1154	1319.9132	782.1509165763855
64	7.3333335	9.285592	30.0	0.0	7.0	9.0	30.0	0.0	100.0	100.0	95999	1882.2634	394.8124	2874.041	-912.78485	-1890.9802	1398.765	796.0216627120972
65	14.666667	12.03698	40.0	0.0	8.0	9.797959	30.0	0.0	100.0	100.0	97499	1901.1108	394.50635	2878.5945	-725.4283	-1910.249	1365.3353	810.118087053299
66	7.3333335	7.717224	20.0	0.0	11.0	12.206555	40.0	0.0	100.0	100.0	98999	1925.1827	388.3285	2900.9558	-660.94324	-1934.4629	1749.453	824.0107147693634
67	8.666667	7.1802197	20.0	0.0	5.0	6.708204	20.0	0.0	100.0	100.0	100499	1946.9564	380.49164	2897.2705	-601.03705	-1956.2003	1457.5735	838.0894131660461
68	8.666667	7.180219	20.0	0.0	6.0	6.6332498	20.0	0.0	100.0	100.0	101999	1971.0575	371.89667	2925.8542	-357.1974	-1979.9668	1454.7362	851.6405336856842
69	11.333333	8.055365	20.0	0.0	7.0	10.049875	30.0	0.0	100.0	100.0	103499	1991.9255	363.37402	2909.9368	-517.09265	-2000.4486	1617.3044	865.583957195282
70	9.333333	10.624919	40.0	0.0	5.0	9.219544	30.0	0.0	100.0	100.0	104999	2012.7688	359.73022	2937.2622	-675.2533	-2021.5022	1677.1123	879.4557058811188
71	11.333333	10.241528	40.0	0.0	9.0	12.206555	40.0	0.0	100.0	93.2	106499	2029.7772	356.0936	2948.508	-543.31335	-2038.5127	1818.2457	893.3559095859528
72	10.0	10.954452	40.0	0.0	6.0	8.0	20.0	0.0	100.0	100.0	107999	2044.1643	350.30682	2944.9053	-760.348	-2051.932	2035.3341	907.5114123821259
73	11.333333	9.568467	30.0	0.0	6.0	8.0	20.0	0.0	100.0	100.0	109499	2055.6184	349.00943	2959.5664	-737.76294	-2063.585	1922.7633	921.6266117095947
74	5.3333335	4.9888763	10.0	0.0	20.0	10.954452	40.0	0.0	100.0	100.0	110999	2065.062	347.07452	3056.0044	-736.57025	-2072.6826	2121.5073	935.7667188644409
75	10.625	9.662266	40.0	0.0	10.0	8.944272	30.0	0.0	93.875	100.0	112499	2077.4346	345.03943	3228.8264	-903.7502	-2084.9133	2026.5278	949.6167891025543
76	12.666667	8.537498	30.0	0.0	13.0	14.866069	50.0	0.0	100.0	90.7	113999	2082.6572	346.87915	3384.861	-612.0616	-2089.9004	1677.753	963.1174781322479
77	13.333333	12.472192	40.0	0.0	9.0	7.0	20.0	0.0	100.0	100.0	115499	2089.7822	350.61783	3557.895	-702.15	-2097.1477	2109.184	977.243150472641
78	12.666667	10.624918	40.0	0.0	6.0	6.6332498	20.0	0.0	100.0	100.0	116999	2095.9136	348.7849	3676.657	-771.72253	-2102.9883	2218.719	990.9431262016296
79	8.0	9.092121	30.0	0.0	8.0	10.770329	30.0	0.0	100.0	100.0	118499	2103.6157	350.0421	3801.0256	-568.9734	-2110.5176	2112.4988	1005.0196113586426
80	16.0	13.56466	40.0	0.0	11.0	10.440307	30.0	0.0	100.0	100.0	119999	2104.035	345.6872	3772.305	-751.19855	-2110.5818	2483.1423	1018.5190942287445
81	8.0	6.531973	20.0	0.0	8.0	9.797959	30.0	0.0	100.0	100.0	121499	2104.889	344.10687	3714.7615	-760.80646	-2111.2734	2255.1455	1032.1569616794586
82	11.333333	8.844333	30.0	0.0	12.0	6.0	20.0	0.0	100.0	100.0	122999	2102.9744	341.48758	3890.0225	-565.30725	-2109.6152	2094.8281	1046.0240921974182
83	12.666667	12.892719	50.0	0.0	14.0	12.0	30.0	0.0	100.0	100.0	124499	2104.289	341.0607	3979.52	-769.763	-2110.2534	1720.5963	1060.2470271587372
84	8.0	7.483315	20.0	0.0	6.0	6.6332498	20.0	0.0	100.0	100.0	125999	2102.302	342.14496	3903.119	-745.87024	-2108.5125	2243.246	1074.207881450653
85	8.666667	11.469768	40.0	0.0	9.0	5.3851647	20.0	0.0	100.0	100.0	127499	2097.6208	337.35095	3936.822	-679.2574	-2103.4856	2526.753	1088.2762231826782
86	9.333333	7.7172246	20.0	0.0	8.0	7.483315	20.0	0.0	100.0	100.0	128999	2095.0	334.73288	3917.893	-854.1178	-2100.7336	1966.2924	1102.05122423172
87	8.666667	10.241528	30.0	0.0	7.0	7.81025	20.0	0.0	100.0	100.0	130499	2092.4229	338.58865	4050.846	-650.0594	-2098.2078	1466.6073	1115.8595957756042
88	10.666667	10.624919	30.0	0.0	5.0	6.708204	20.0	0.0	100.0	100.0	131999	2088.378	336.31537	4094.242	-863.6292	-2093.812	1929.0836	1129.6998200416565
89	11.333333	8.844334	30.0	0.0	12.0	8.717798	20.0	0.0	100.0	100.0	133499	2081.2803	336.1959	4136.9585	-485.49567	-2086.616	2039.9083	1143.5853304862976
90	9.333333	8.537499	20.0	0.0	6.0	6.6332498	20.0	0.0	100.0	100.0	134999	2074.0068	333.4933	4160.876	-1054.2345	-2079.3687	2006.46	1157.4984500408173
91	7.647059	8.065476	20.0	0.0	9.0	8.306623	20.0	0.0	88.94118	100.0	136499	2065.0527	328.66757	3988.5298	-1009.70105	-2069.837	2276.3638	1171.6821596622467
92	5.3333335	4.9888763	10.0	0.0	10.0	8.944272	20.0	0.0	100.0	100.0	137999	2054.2686	324.21494	3834.4932	-782.5283	-2059.667	2098.0007	1186.2190222740173
93	5.3333335	4.9888763	10.0	0.0	10.0	6.3245554	20.0	0.0	100.0	100.0	139499	2049.275	323.42072	3937.4067	-858.5989	-2054.279	1622.7278	1200.540249824524
94	11.333333	8.844333	30.0	0.0	8.0	7.483315	20.0	0.0	100.0	100.0	140999	2042.154	324.6238	4046.989	-739.50616	-2047.1615	1611.4043	1214.9026193618774
95	3.125	5.829612	20.0	0.0	9.0	8.306623	20.0	0.0	95.3125	100.0	142499	2035.1659	325.09216	4071.341	-696.5765	-2040.0314	1894.1305	1229.1666436195374
96	7.3333335	9.285592	30.0	0.0	12.0	9.797959	30.0	0.0	100.0	100.0	143999	2026.5288	324.34866	4081.929	-656.7267	-2031.2482	2010.4545	1243.298257112503
97	10.0	8.164966	30.0	0.0	10.0	11.83216	40.0	0.0	100.0	100.0	145499	2017.8619	324.90784	4461.2007	-726.5707	-2023.1757	2055.0923	1257.4051928520203
98	8.666667	8.055365	20.0	0.0	7.0	6.4031243	20.0	0.0	96.2	100.0	146999	2010.2773	318.5062	4519.633	-884.3983	-2015.212	2106.4126	1271.438048362732
99	8.0	12.2202015	40.0	0.0	10.0	6.3245554	20.0	0.0	100.0	100.0	148499	2003.5702	315.09827	4213.008	-878.7855	-2008.8987	1671.4794	1284.6214787960052
100	7.3333335	7.717224	20.0	0.0	10.0	7.745967	20.0	0.0	100.0	100.0	149999	2001.2803	313.23447	4664.3506	-714.9237	-2006.2115	1752.248	1298.8820445537567
