Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	797.3333	302.114	1400.0	0.0	363.0	407.18668	920.0	0.0	100.0	100.0	1499	-19.730742	17.39173	0.30798468	-85.035904	18.774902	17.590502	10.60494589805603
2	727.3333	369.99942	1130.0	0.0	416.0	382.49707	920.0	0.0	93.46667	100.0	2999	-2.782063	13.104773	7.073938	-88.056625	2.2389252	78.83048	28.830500841140747
3	297.5	372.6778	950.0	0.0	4.0	6.6332498	20.0	0.0	76.2	87.8	4499	14.879093	19.187988	310.10452	-59.26225	-15.94187	59.23351	45.72157001495361
4	92.85714	220.58673	940.0	0.0	194.0	311.61514	900.0	0.0	72.42857	100.0	5999	77.24321	49.580605	513.3294	-49.249367	-78.75513	27.896208	62.954118728637695
5	148.66667	272.2711	840.0	0.0	27.0	31.638584	100.0	0.0	100.0	84.3	7499	137.57524	58.16993	524.5706	-49.045094	-139.97115	36.82259	78.38452291488647
6	88.75	174.60223	660.0	0.0	33.0	73.62744	250.0	0.0	92.125	81.5	8999	198.91922	69.606575	582.612	-94.591805	-202.21475	58.10943	94.94243288040161
7	240.0	323.7862	880.0	0.0	208.0	313.8726	890.0	0.0	94.0625	100.0	10499	263.16098	80.04873	591.6577	-56.85475	-267.12195	82.780556	108.98344802856445
8	253.75	365.7847	950.0	0.0	32.0	56.0	160.0	0.0	93.8125	100.0	11999	328.6368	91.17706	611.0181	-24.793764	-333.23682	99.60211	122.70361685752869
9	148.75	278.3405	870.0	0.0	191.0	301.7101	810.0	0.0	93.8125	100.0	13499	397.50073	102.95714	660.3835	-30.839375	-403.01517	127.328	138.44842076301575
10	181.875	319.22208	960.0	0.0	205.0	412.43787	1400.0	0.0	93.9375	100.0	14999	468.55344	114.2674	757.25134	-10.029978	-474.50433	144.4306	154.69282484054565
11	187.33333	298.54016	890.0	0.0	164.0	323.48724	930.0	0.0	100.0	91.1	16499	537.33234	129.12868	870.9512	-9.08078	-544.0134	180.3786	169.00741982460022
12	175.33333	243.49857	760.0	0.0	206.0	322.24835	870.0	0.0	100.0	100.0	17999	609.55035	138.05812	957.3364	-28.303638	-616.9232	222.99628	183.01725387573242
13	46.0	114.06431	430.0	0.0	22.0	50.358715	170.0	0.0	100.0	100.0	19499	678.6701	146.8634	1027.7833	-111.08453	-686.3585	251.14024	197.41181182861328
14	146.66667	290.48618	970.0	0.0	28.0	66.45299	220.0	0.0	100.0	100.0	20999	745.02954	154.8221	1094.985	35.12851	-752.662	251.91595	211.73034071922302
