Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	9.090909	14.431371	50.0	0.0	1.0	3.0	10.0	0.0	66.818184	9.4	1499	9.336248	5.514586	31.686054	-0.1450999	-9.828933	15.434947	8.0039381980896
2	6.0	10.198039	30.0	0.0	0.0	0.0	0.0	0.0	61.0	7.7	2999	31.58073	22.0676	166.21802	-0.030342303	-31.364193	23.50576	23.96939206123352
3	8.095238	12.580806	50.0	0.0	1.0	3.0	10.0	0.0	69.190475	6.7	4499	51.106037	36.12414	259.04306	-0.030291937	-51.035824	64.7518	38.85733199119568
4	6.818182	10.174105	40.0	0.0	0.0	0.0	0.0	0.0	67.72727	13.3	5999	59.646374	42.7083	294.0555	0.0051537156	-59.224094	77.90021	52.47922420501709
5	8.095238	16.509462	70.0	0.0	0.0	0.0	0.0	0.0	70.28571	14.1	7499	67.3746	50.476997	390.8565	-2.032384	-67.13352	77.8965	66.04875802993774
6	10.0	22.84161	110.0	0.0	0.0	0.0	0.0	0.0	65.95652	10.8	8999	70.630936	54.309986	417.25717	-9.974386	-69.27563	83.86775	78.57666301727295
7	3.559322	13.117813	90.0	0.0	2.0	4.0	10.0	0.0	26.59322	7.0	10499	66.21848	48.07616	426.89676	-15.638486	-64.69438	95.01454	92.63833022117615
8	1.25	4.1852655	20.0	0.0	1.0	3.0	10.0	0.0	9.855263	12.1	11999	60.10187	44.89884	428.34482	-25.579678	-57.493324	109.794334	108.84260892868042
9	0.5769231	2.3316069	10.0	0.0	1.0	3.0	10.0	0.0	9.532051	9.9	13499	46.067566	39.625378	400.1639	-33.61004	-43.53623	87.629906	128.52296090126038
10	7.0833335	8.887803	30.0	0.0	5.0	6.708204	20.0	0.0	62.75	100.0	14999	54.2762	39.020725	408.2015	-26.09471	-57.294052	122.8275	151.21321511268616
11	8.0	19.39072	70.0	0.0	6.0	18.0	60.0	0.0	100.0	100.0	16499	89.81551	53.25937	509.99576	-10.468676	-98.41512	154.5281	166.43565917015076
12	24.666666	62.382336	250.0	0.0	6.0	18.0	60.0	0.0	100.0	100.0	17999	156.22734	77.75985	635.5286	-27.803772	-172.32472	321.52597	181.46143412590027
13	16.0	57.247997	230.0	0.0	3.0	9.0	30.0	0.0	100.0	100.0	19499	239.0515	97.414444	770.7447	-90.82227	-259.4885	608.2716	196.56663703918457
14	26.666666	86.99937	350.0	0.0	125.0	220.91853	570.0	0.0	100.0	100.0	20999	333.30295	112.48634	867.99097	-167.00111	-356.98383	1007.177	210.57113409042358
15	145.33333	247.94803	870.0	0.0	92.0	269.39932	900.0	0.0	100.0	100.0	22499	432.75455	123.02407	978.04297	-177.02557	-457.7975	1412.9437	224.79426217079163
