Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	720.0	479.62225	1700.0	0.0	750.0	627.66235	1640.0	0.0	88.1875	100.0	1499	-18.806417	16.239325	0.47951838	-93.04197	18.13535	31.656723	7.422761917114258
2	253.18182	399.73157	1160.0	0.0	208.0	277.30127	840.0	0.0	70.318184	58.3	2999	-0.61189115	11.2984295	30.763891	-94.54409	0.16183415	97.126305	20.075005054473877
3	29.69697	126.28695	740.0	0.0	55.0	138.50993	470.0	0.0	46.21212	66.1	4499	44.87889	49.693405	434.99066	-86.85895	-46.05668	36.218433	35.76336193084717
4	166.47058	300.17526	1140.0	0.0	7.0	21.0	70.0	0.0	89.17647	82.0	5999	127.50487	76.1222	571.20844	-70.34215	-130.2294	54.318447	50.04839015007019
5	175.88235	341.0375	1000.0	0.0	184.0	471.0244	1590.0	0.0	83.29412	97.9	7499	193.03398	78.261765	665.4914	-98.50051	-197.03258	106.09281	63.8256459236145
6	28.75	93.59988	390.0	0.0	333.0	416.29437	1140.0	0.0	96.5	100.0	8999	264.98566	85.31859	789.5452	-62.760147	-270.87527	168.23042	78.16113090515137
7	141.33333	235.36829	870.0	0.0	289.0	349.61264	880.0	0.0	100.0	100.0	10499	346.30612	96.29832	910.0874	-41.919632	-353.83075	242.798	91.83085799217224
8	160.66667	276.65784	860.0	0.0	4.0	6.6332498	20.0	0.0	100.0	100.0	11999	429.9163	106.11983	1037.8484	-28.602394	-438.62717	309.33322	104.96966099739075
9	168.66667	245.89609	780.0	0.0	156.0	343.83716	1160.0	0.0	100.0	100.0	13499	516.77704	115.92883	1178.1989	-34.320587	-526.48975	379.58044	118.34281897544861
10	72.0	145.10686	580.0	0.0	89.0	176.20726	600.0	0.0	100.0	100.0	14999	606.5109	124.17313	1321.542	-44.734604	-616.6295	435.0741	131.6872980594635
11	247.5	335.92224	850.0	0.0	419.0	647.5098	1700.0	0.0	96.1875	100.0	16499	692.5133	130.05415	1424.861	-94.702934	-702.64215	477.81247	144.92732191085815
12	112.666664	191.3275	630.0	0.0	45.0	91.56965	290.0	0.0	100.0	100.0	17999	772.35223	135.83498	1533.1345	-42.97248	-782.493	538.0139	159.22085690498352
