Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-180.0351	9.500506	-156.2114	-195.02786	-186.97412	4.336893	-175.63353	-190.95525	100.0	100.0	1499	-3.3224645	1.0485492	0.022661708	-6.062922	3.2468176	0.11444124	5.1518049240112305
2	-176.38734	5.2269163	-161.89983	-183.527	-169.37633	13.099125	-142.33028	-186.41899	100.0	100.0	2999	-10.64473	3.355472	-3.5754356	-20.562737	10.516403	0.07527352	14.078561544418335
3	-181.42633	6.1047735	-169.25807	-190.92053	-171.34067	18.680283	-119.17413	-185.33794	100.0	100.0	4499	-21.500017	3.3356116	-11.289374	-31.484863	21.259459	0.17534481	23.037188053131104
4	-179.20604	7.4854836	-155.76541	-189.67564	-162.23755	18.975874	-119.481384	-184.65662	100.0	100.0	5999	-31.79073	3.4385402	-20.343323	-45.588978	31.537989	0.26059797	32.05769419670105
5	-178.3594	8.631805	-152.9579	-189.39633	-162.42778	19.094183	-133.67053	-189.98546	100.0	100.0	7499	-41.779896	3.4241128	-30.783537	-56.3642	41.519657	0.31923583	41.07790493965149
6	-180.68925	4.5863914	-171.04878	-191.9781	-154.41348	28.874851	-96.40735	-194.01599	100.0	100.0	8999	-51.336582	3.3888304	-40.56283	-64.752716	51.077965	0.39114788	50.123868465423584
7	-171.0937	11.857101	-143.16234	-186.21574	-159.02338	20.338816	-131.03348	-191.9479	100.0	100.0	10499	-60.46178	3.3630488	-49.45255	-74.56163	60.208096	0.51521385	59.21825838088989
8	-151.5655	21.521358	-113.463524	-190.14821	-168.66525	21.87604	-127.79547	-197.42757	100.0	100.0	11999	-68.7434	3.7272096	-51.504368	-82.305916	68.4621	0.9226062	68.60503053665161
9	-161.49702	16.770874	-135.87228	-193.77113	-169.7858	16.07002	-139.77873	-193.77986	100.0	100.0	13499	-75.39638	5.100232	-47.31765	-92.41718	75.04262	2.1359677	78.02255392074585
10	-169.77345	15.201099	-133.52881	-187.3798	-157.54391	21.481346	-126.57778	-190.39984	100.0	100.0	14999	-79.86848	8.884987	-33.38578	-102.01672	79.33667	4.1923904	87.39988398551941
11	-151.97008	22.627321	-110.32134	-184.03122	-152.98064	25.642889	-111.868416	-190.90282	100.0	100.0	16499	-81.24062	13.952069	-20.168829	-110.767876	80.52213	6.347378	96.8908863067627
12	-123.62622	130.76701	356.3655	-190.24693	-162.07881	24.625793	-94.560715	-188.23337	100.0	100.0	17999	-79.193825	19.80412	-4.4629836	-122.989075	78.30927	8.823764	106.35258769989014
13	-158.32277	36.14299	-40.715595	-194.9974	-149.35892	47.757908	-18.82959	-185.4122	100.0	100.0	19499	-76.021324	25.36501	-0.113560975	-131.38751	74.96465	11.61058	115.82187557220459
14	-163.00467	20.584856	-128.29724	-195.00397	-142.68942	19.347628	-113.465614	-175.04947	100.0	100.0	20999	-72.037346	29.366684	0.5259343	-133.96107	70.848915	13.077808	125.27354621887207
15	-148.45515	28.49089	-85.414536	-190.75606	-146.06686	27.601158	-95.41095	-188.94185	100.0	100.0	22499	-66.89909	32.48336	1.4570476	-132.50218	65.60282	13.409936	134.87552547454834
16	-150.51494	34.17053	-74.85262	-186.18094	-147.36398	42.277084	-40.28942	-176.31398	100.0	100.0	23999	-61.01436	35.1226	2.6374004	-136.22997	59.663437	13.837701	144.44376945495605
17	-138.918	29.237425	-74.10414	-187.80655	-147.93912	30.055487	-92.71269	-192.72449	100.0	100.0	25499	-55.580185	36.656895	4.015439	-143.54507	54.25915	14.475528	153.99213576316833
18	-131.78897	30.490307	-82.489365	-182.88974	-158.50478	31.933687	-99.89175	-196.83604	100.0	100.0	26999	-51.03516	37.343575	5.544172	-142.13768	49.82208	14.504925	163.51506924629211
19	-148.05647	25.067589	-107.79202	-185.71956	-142.14207	28.155136	-92.42811	-186.51779	100.0	100.0	28499	-46.878838	37.928745	7.120565	-138.14595	45.767887	13.69764	172.9456717967987
20	-150.1279	33.61079	-55.73235	-187.71289	-143.70459	37.661522	-59.86445	-183.56326	100.0	100.0	29999	-43.462105	38.40811	8.800565	-145.51628	42.452057	13.6621275	182.36218357086182
21	-145.8367	26.218693	-94.31433	-182.54425	-134.8713	43.073227	-41.018616	-180.48857	100.0	100.0	31499	-41.28578	38.880558	10.496697	-154.93169	40.296715	13.300501	191.85513544082642
22	-154.13702	27.256195	-108.510376	-188.4422	-134.47586	23.162596	-87.73306	-173.37178	100.0	100.0	32999	-38.74527	39.071507	12.190809	-154.93968	37.773785	13.17968	201.35347890853882
23	-152.69246	25.477785	-94.1658	-189.20657	-148.41002	24.797556	-81.57694	-177.47702	100.0	100.0	34499	-36.85963	39.657272	13.958476	-148.88284	35.901043	13.146669	210.8526575565338
24	-129.47836	30.783777	-68.93397	-167.1691	-127.523155	17.424059	-86.48903	-158.10817	100.0	100.0	35999	-35.411327	40.201046	15.709932	-149.01514	34.483772	13.029296	220.30388402938843
25	-130.72441	20.630547	-73.7445	-163.84506	-144.11942	31.827753	-79.080734	-188.29471	100.0	100.0	37499	-32.44214	40.373646	17.492012	-148.53229	31.507605	13.403752	229.70133876800537
26	-162.03812	21.134914	-127.83231	-188.56593	-153.01773	19.012238	-123.69318	-181.566	100.0	100.0	38999	-30.540857	40.956913	19.278397	-146.55469	29.608294	13.560426	239.04905557632446
27	-130.51956	30.683937	-68.708336	-178.70915	-142.23242	25.019888	-85.81466	-167.24388	100.0	100.0	40499	-28.887342	41.365223	21.124422	-149.08034	27.952417	14.113895	248.5498013496399
28	-148.67075	21.794176	-107.154335	-189.15196	-132.95891	23.731194	-91.306335	-163.50722	100.0	100.0	41999	-26.2243	41.3545	22.911575	-149.93193	25.254198	14.240865	257.9887812137604
29	-134.56789	32.64898	-80.35638	-180.75334	-119.80806	43.484516	-41.424515	-163.4441	100.0	100.0	43499	-23.802406	41.754074	24.766508	-156.74146	22.831274	14.551979	267.47629499435425
