Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-181.69342	8.609776	-157.63664	-198.58958	-178.63776	16.078142	-132.92902	-191.37924	100.0	100.0	1499	7.8007035	6.8511357	43.73428	-7.1022325	-8.321852	17.29867	7.00988245010376
2	-183.37796	7.54769	-159.57893	-190.5429	-178.56924	19.914276	-122.71857	-199.98157	100.0	100.0	2999	31.06331	29.769278	217.34172	-32.418964	-33.884556	23.693079	17.6924786567688
3	-179.62262	4.0805883	-168.38747	-186.72049	-169.1287	19.95453	-137.5694	-193.15118	100.0	100.0	4499	71.187256	55.951565	315.22256	-37.323677	-78.04997	69.629654	26.876657247543335
4	-180.72612	6.519301	-167.24234	-190.37119	-172.89522	23.151031	-109.1549	-191.50694	100.0	100.0	5999	123.5722	81.32628	412.877	-35.77523	-135.992	135.58588	36.167900800704956
5	-183.24272	4.4931045	-176.39307	-191.09903	-153.3846	22.51317	-110.00663	-181.79428	100.0	100.0	7499	202.919	99.7147	540.2643	-28.561655	-221.2083	211.72734	45.41659116744995
6	-179.34515	6.3623314	-159.70877	-186.76059	-153.60641	33.64956	-101.606384	-195.60548	100.0	100.0	8999	307.62372	109.63515	680.7069	12.105681	-328.41873	273.99234	54.70566749572754
7	-165.81075	31.044666	-66.1092	-190.26248	-128.71237	39.7737	-33.905594	-179.94653	100.0	100.0	10499	414.18674	113.20998	796.0316	77.76552	-436.25522	336.33325	64.14944553375244
8	-131.09781	22.431732	-87.5911	-165.02728	-122.88456	14.258226	-101.35158	-141.69666	100.0	100.0	11999	528.22144	116.40571	928.91614	136.36523	-549.03174	344.21875	73.82352447509766
9	-129.22964	32.1342	-69.114784	-174.02466	-114.16146	27.90994	-57.780235	-161.78127	100.0	100.0	13499	635.28845	114.315315	1036.1769	246.94678	-653.00494	317.02847	83.5354871749878
10	-134.35356	25.487247	-93.555916	-185.66182	-138.76935	38.673027	-74.52512	-199.24945	100.0	100.0	14999	724.1224	109.95396	1123.3842	317.1683	-739.1279	285.36588	93.26851868629456
11	-112.48146	29.612762	-58.56972	-165.67593	-120.88977	37.743134	-27.088354	-157.95607	100.0	100.0	16499	798.0392	107.7747	1181.2539	400.21613	-810.7092	249.3523	103.08030366897583
12	-121.572716	44.951324	-40.05225	-186.76115	-129.05464	30.925169	-70.27235	-171.64737	100.0	100.0	17999	856.38116	105.03372	1238.7689	473.20444	-866.99316	226.44983	112.87566494941711
13	-135.75615	28.60572	-75.893265	-174.77599	-141.29443	23.576666	-100.4716	-184.20218	100.0	100.0	19499	906.48755	108.270836	1328.1871	542.5151	-916.2805	206.53024	122.65732550621033
14	-101.046715	61.44471	71.172676	-190.72133	-139.7239	27.833105	-113.010155	-190.30797	100.0	100.0	20999	950.34827	111.79292	1395.1564	601.6325	-959.438	186.67769	132.53759336471558
15	-102.95235	26.617073	-48.03451	-164.38187	-99.418495	26.728632	-49.63486	-124.77367	100.0	100.0	22499	986.13525	112.89181	1465.1902	632.6936	-994.62585	174.25984	142.41710424423218
16	-114.97701	32.976658	-83.05351	-196.18034	-111.48999	43.059227	-42.200325	-187.55466	100.0	100.0	23999	1016.31213	115.044426	1532.999	675.9443	-1024.5609	166.86472	152.28305840492249
17	-121.036545	32.925854	-75.740875	-171.69131	-132.93633	33.074535	-79.64146	-194.17435	100.0	100.0	25499	1047.6389	118.61309	1600.4122	696.1623	-1055.8285	164.43285	162.16027116775513
18	-127.63086	33.71826	-43.280327	-180.42383	-96.311295	26.705687	-51.03758	-151.94643	100.0	100.0	26999	1076.7715	122.50916	1628.8782	717.1002	-1084.9307	170.50252	171.91785073280334
19	-96.76604	54.478603	72.04601	-157.3928	-110.47478	43.56395	-48.45941	-177.9052	100.0	100.0	28499	1105.7118	123.56478	1707.5748	749.5116	-1113.65	168.10716	181.85047674179077
20	-105.11125	37.673683	-35.33415	-177.87	-106.051285	64.6149	55.50103	-182.16006	100.0	100.0	29999	1132.0675	124.74721	1779.2335	773.4654	-1139.9425	173.04683	191.5946536064148
21	-99.82066	43.19401	-19.403736	-153.80034	-113.95713	26.519058	-74.44377	-152.40466	100.0	100.0	31499	1157.0841	126.51432	1804.8331	789.2764	-1164.8635	177.954	201.3371434211731
22	-81.96134	109.638985	267.05038	-186.39638	-84.636856	149.30197	353.77594	-180.52458	100.0	100.0	32999	1182.4265	126.93671	1824.9324	819.8504	-1190.2062	178.85966	211.24837517738342
23	-125.5648	30.726112	-75.447655	-183.19337	-136.43579	30.437168	-83.32814	-197.53273	100.0	100.0	34499	1205.6997	129.8832	2572.3042	833.6083	-1213.4475	223.56792	221.44456362724304
24	-87.548836	87.11167	218.70737	-174.88638	-106.67822	30.737946	-58.374504	-167.48302	100.0	100.0	35999	1231.1094	134.39075	2629.2288	848.444	-1238.8092	186.7385	231.1854522228241
25	-109.709694	41.928417	-29.219126	-179.74045	-73.534096	114.01361	253.72847	-162.90741	100.0	100.0	37499	1255.0023	134.88786	2410.8054	873.1287	-1262.6522	186.80879	241.103600025177
26	-97.207184	108.07702	289.45203	-182.43703	-91.18788	26.437166	-57.30126	-131.45374	100.0	100.0	38999	1282.1793	138.82515	2444.4067	881.69995	-1289.679	180.968	251.07520508766174
27	-85.00154	82.928665	201.67091	-180.2404	-5.0850654	269.53012	799.10974	-136.36139	100.0	100.0	40499	1305.994	140.63557	2477.5518	902.7719	-1313.3445	174.86977	260.7828514575958
28	-100.75093	34.839584	3.5145042	-157.4175	-87.12465	27.08519	-38.666218	-133.97108	100.0	100.0	41999	1325.887	140.77164	2543.7124	902.0987	-1332.8826	174.42949	270.5072660446167
29	-85.793106	108.47651	288.8382	-193.11679	-112.043884	33.33664	-70.74064	-190.64575	100.0	100.0	43499	1343.951	141.34872	2584.9019	918.49915	-1350.8302	176.90204	280.20769214630127
30	-120.26218	35.53815	-47.173664	-167.66292	-59.793327	120.779976	281.43637	-189.25739	100.0	100.0	44999	1361.7026	143.44502	2784.3315	942.3393	-1368.3933	163.70819	289.95932126045227
31	-97.45132	39.462357	8.4485655	-166.9185	-112.13617	28.889166	-70.2858	-154.61401	100.0	100.0	46499	1377.3121	143.11044	2831.4214	950.442	-1383.7943	170.8939	299.62742853164673
32	-65.46697	74.23202	107.06187	-139.28009	-10.432287	251.02438	737.6425	-146.87654	100.0	100.0	47999	1390.9502	144.39952	2924.3604	988.0686	-1397.1993	166.56711	309.4537010192871
33	-117.79392	28.20863	-59.920002	-164.66292	-105.78441	38.902542	-55.798347	-173.1981	100.0	100.0	49499	1404.7427	148.47931	3085.7725	968.55634	-1411.014	175.19553	319.2036714553833
34	-110.20817	32.089565	-30.884487	-156.57553	-100.57354	27.764563	-50.050343	-135.63135	100.0	100.0	50999	1418.391	149.32361	3430.2422	1014.17535	-1424.568	168.55127	328.9155306816101
35	-65.85095	71.6429	157.20944	-149.37296	-82.12368	70.79009	108.78803	-148.09735	100.0	100.0	52499	1429.1627	149.53308	3329.8884	1015.2887	-1435.0894	162.04958	338.6238236427307
36	-91.79684	61.57217	47.174408	-168.15714	-105.44283	45.4209	-2.1546953	-163.15454	100.0	100.0	53999	1440.749	150.88501	3605.6567	1018.67975	-1446.7997	174.26744	348.3514153957367
37	-96.23587	44.26957	25.833696	-157.57556	-85.497246	38.67731	-31.139566	-159.62802	100.0	100.0	55499	1451.3877	151.30219	3570.2988	1032.1321	-1457.473	166.73912	358.0518572330475
