Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-177.74278	12.263747	-152.57843	-197.30798	-173.65231	12.308711	-147.06262	-188.50543	100.0	100.0	1499	-3.3021529	1.057158	0.03543154	-6.64501	3.1702933	0.53513235	5.999556541442871
2	-160.61772	22.794912	-97.683556	-188.00568	-169.79907	21.451195	-111.42106	-187.54875	100.0	100.0	2999	-9.5966625	2.9629948	-0.11864062	-19.243324	9.22172	0.7831475	15.718037605285645
3	-162.7337	26.435091	-106.65037	-189.91818	-168.57053	13.716282	-145.6345	-186.58907	100.0	100.0	4499	-17.581636	3.5189254	-1.5190456	-30.4346	17.026398	1.5892997	25.72040367126465
4	-174.40749	15.647302	-134.69362	-190.03087	-171.19945	18.11952	-120.83659	-188.57433	100.0	100.0	5999	-24.07541	4.0419383	-4.2354865	-37.405594	23.334126	2.0926363	35.2138307094574
5	-166.28079	22.50689	-95.94763	-191.06427	-168.31554	23.205511	-113.25447	-190.51234	100.0	100.0	7499	-29.66151	5.044187	-5.487245	-46.231613	28.905046	2.4683034	44.740784883499146
6	-160.35951	28.535063	-107.37702	-190.99088	-161.4111	37.668186	-69.75088	-189.58934	100.0	100.0	8999	-34.882637	5.900371	-7.112326	-54.36163	34.054783	2.7953131	54.15321588516235
7	-170.28647	14.918203	-138.66182	-191.39998	-154.7152	48.261414	-19.761276	-187.6836	100.0	100.0	10499	-39.427483	7.1062245	-6.8446927	-61.0318	38.559345	2.9741426	63.60512089729309
8	-124.77234	102.21017	217.42459	-188.37097	-163.89719	25.741413	-104.485306	-187.35794	100.0	100.0	11999	-43.782085	8.938054	-4.694734	-69.02936	42.91758	3.395422	73.29839444160461
9	-146.6074	58.12613	28.47027	-195.05534	-161.00998	31.561415	-95.542076	-196.19473	100.0	100.0	13499	-46.7037	11.757745	-1.5706525	-80.15084	45.76019	4.0818	82.95412302017212
10	-102.68254	167.12263	469.47855	-198.52567	-119.83718	59.16413	7.0596585	-187.65237	100.0	100.0	14999	-48.37783	15.0089855	-0.17255682	-86.64182	47.404858	4.5506277	92.61338233947754
11	-161.37868	36.073334	-41.973347	-192.05284	-42.691242	254.45096	657.91864	-188.20602	100.0	100.0	16499	-49.672268	18.446005	0.0869812	-93.43226	48.760017	5.021814	102.26819229125977
12	-150.27962	43.371548	-31.191895	-194.3009	-131.3019	69.23458	14.662641	-186.40392	100.0	100.0	17999	-51.94723	20.385702	0.43281412	-97.030304	51.10677	4.8888702	111.92444610595703
13	-99.15215	197.37756	633.5755	-187.93605	-134.66422	38.109844	-74.29293	-193.39067	100.0	100.0	19499	-54.790554	21.679165	0.7537775	-102.7387	53.97679	4.905832	121.57727837562561
14	-140.15323	44.935925	-28.674755	-189.58052	-134.88176	43.13853	-63.019184	-187.1131	100.0	100.0	20999	-57.082928	23.008316	1.0329132	-107.21002	56.25298	5.5594583	131.2457025051117
15	-110.656944	113.93214	275.52902	-184.17793	-135.11066	79.641884	91.7891	-187.52422	100.0	100.0	22499	-59.270115	23.582209	1.284889	-108.45989	58.404354	6.15727	140.91357612609863
16	-96.54681	203.52641	650.43335	-186.69395	-120.24939	67.55668	33.756393	-180.19347	100.0	100.0	23999	-60.60414	24.31793	4.0953274	-110.02957	59.66959	6.9725885	150.7591245174408
17	-26.211718	252.74716	787.0065	-188.80617	26.237072	352.66995	825.7859	-182.75458	100.0	100.0	25499	-61.523052	25.0875	10.068306	-115.833145	60.504875	8.333588	160.63975429534912
18	-96.02878	131.12611	259.50772	-184.94814	-85.77223	72.22065	93.30876	-190.54298	100.0	100.0	26999	-60.58478	26.701918	18.62931	-119.595634	59.427563	10.389075	170.52773213386536
19	22.432007	277.04962	838.5663	-187.96225	-134.42209	70.4437	47.42278	-199.13683	100.0	100.0	28499	-58.233047	28.662783	30.857738	-124.72184	56.93126	12.05261	180.41405153274536
20	5.456952	244.78526	683.6572	-171.56851	-49.14399	303.19165	857.3857	-181.35751	100.0	100.0	29999	-54.713978	31.057457	47.256706	-128.86702	53.278584	13.831113	190.22539448738098
21	141.6327	335.72064	862.24615	-178.08118	-103.73513	67.1875	15.083407	-184.21875	100.0	100.0	31499	-49.132835	34.625397	70.5775	-127.93952	47.523605	15.905245	199.9753110408783
22	-100.89827	89.4872	137.94049	-180.27316	12.540716	268.1588	697.9744	-191.62259	100.0	100.0	32999	-41.477386	39.753387	94.64056	-131.55713	39.719017	19.16882	209.7754545211792
23	-47.195164	192.4776	463.5056	-197.24236	-58.38183	251.55661	684.16486	-188.2534	100.0	100.0	34499	-33.70709	44.612778	119.27669	-140.96361	31.8057	21.22487	219.54691100120544
24	12.690328	245.2933	490.18588	-193.75768	-35.503223	272.63876	723.37427	-184.77666	100.0	100.0	35999	-23.146957	50.42233	149.76253	-142.23515	21.074734	23.464153	229.30617785453796
25	-6.437199	316.8743	849.8694	-175.34314	-69.12108	103.719826	150.2042	-181.95921	100.0	100.0	37499	-11.61386	55.938206	175.88611	-151.50133	9.421092	25.672735	239.0627019405365
26	-26.443811	322.50183	815.08954	-187.63094	-53.675377	270.99826	752.11694	-186.89203	100.0	100.0	38999	-1.1720564	61.178635	204.05461	-155.91069	-1.0395778	28.104782	248.861430644989
27	-51.77284	199.53802	613.85754	-190.03125	-67.4456	159.676	252.12108	-187.50427	100.0	100.0	40499	10.1125965	67.05191	232.40384	-155.32236	-12.341159	29.548573	258.63455414772034
28	47.667324	212.9957	491.76147	-162.86903	27.887112	355.9534	757.6558	-187.917	100.0	100.0	41999	22.358572	73.09607	253.96727	-160.17934	-24.644247	31.672083	268.4102318286896
29	2.4185495	257.87454	650.54224	-180.05208	67.87095	278.80618	628.2107	-190.2673	100.0	100.0	43499	33.37808	77.45126	280.74475	-156.43253	-35.724987	33.41414	278.21762895584106
30	31.768429	325.04147	808.61346	-192.65237	84.97909	325.37054	649.5197	-179.19016	100.0	100.0	44999	46.48522	81.87098	307.88113	-157.50873	-48.86871	36.09012	288.0302050113678
31	-55.61151	230.10178	562.4187	-188.85655	-60.249775	290.40555	809.41046	-190.07018	100.0	100.0	46499	57.19296	86.6981	331.61395	-161.56099	-59.669834	38.175224	297.831440448761
32	28.205818	329.5458	813.6773	-191.3534	146.64609	381.4067	790.78235	-172.52724	100.0	100.0	47999	70.42442	91.36423	357.38013	-172.5007	-72.92888	40.839916	307.71984243392944
33	-0.3941569	281.30457	726.1032	-197.15324	35.383675	385.746	849.2988	-186.51894	100.0	100.0	49499	81.78567	96.559494	383.81055	-177.57977	-84.41886	43.271915	317.52995467185974
34	63.64874	337.37973	779.2847	-190.29138	-12.16451	280.95856	800.26526	-183.28322	100.0	100.0	50999	95.29958	102.080376	408.51962	-178.28394	-97.93986	45.134483	327.3508927822113
35	87.24081	338.84045	867.54816	-187.64275	-14.587828	290.4163	848.2543	-165.58946	100.0	100.0	52499	108.31761	106.84335	433.3985	-185.00821	-111.06676	49.12732	337.17889642715454
36	-58.334972	176.6316	464.6244	-183.44592	-54.183887	195.1757	474.36014	-196.59239	100.0	100.0	53999	122.45229	111.42455	460.18726	-182.03516	-125.344215	51.13487	347.02631425857544
37	44.426125	323.53577	790.1998	-189.77164	-37.406788	284.35648	804.09296	-197.58302	100.0	100.0	55499	136.79669	116.208496	485.08664	-183.6344	-139.75691	54.435772	356.8550889492035
38	87.86397	355.00146	887.7081	-188.55	13.690143	309.65674	874.76025	-171.09038	100.0	100.0	56999	151.61488	121.12965	512.1018	-176.11838	-154.51076	58.38508	366.6784551143646
39	24.701681	299.12332	777.6523	-189.19856	-29.13032	257.3385	730.105	-199.45514	100.0	100.0	58499	165.73357	125.58776	538.03125	-176.06735	-168.59947	62.733788	376.5237579345703
40	22.888924	185.4888	397.43494	-174.352	94.61056	348.47235	805.98425	-170.20485	100.0	100.0	59999	179.66641	129.96402	565.35345	-180.32124	-182.57446	67.54322	386.3857831954956
41	12.43571	291.85147	748.36224	-183.66542	-49.1623	252.91873	688.92163	-193.2765	100.0	100.0	61499	191.82275	136.09091	590.4896	-169.73935	-194.827	71.48002	396.24546575546265
42	-12.185555	278.65378	801.6067	-185.3647	118.127884	371.228	702.39734	-183.42879	100.0	100.0	62999	205.18338	141.4517	612.46454	-167.34697	-208.27435	73.12571	406.14026045799255
43	-25.22113	224.0665	750.2579	-181.7595	-58.16117	225.72433	601.1559	-185.25932	100.0	100.0	64499	219.20395	146.30885	634.3204	-176.08578	-222.264	75.33051	416.0496416091919
44	-15.854488	328.95508	888.8893	-197.14917	114.31294	361.90363	686.7351	-165.19156	100.0	100.0	65999	230.59242	152.21468	657.0209	-165.08804	-233.72632	77.66073	425.96089458465576
45	0.5824814	271.9927	893.7389	-178.2753	12.629146	231.14436	672.42633	-149.10127	100.0	100.0	67499	244.47258	159.29736	684.6005	-159.81575	-247.74602	77.96146	435.9449875354767
46	60.337475	295.8915	759.5508	-198.76546	16.279263	284.94666	787.2296	-178.00275	100.0	100.0	68999	259.3357	164.79626	711.5539	-159.69156	-262.62988	79.43242	445.8548240661621
47	66.66502	306.90506	812.6761	-174.47618	27.612926	230.93774	509.7115	-190.15466	100.0	100.0	70499	273.72403	170.14412	732.7014	-168.66269	-277.16153	79.01741	455.8199768066406
48	50.615158	304.24518	707.04395	-184.77568	214.13704	364.62354	885.2823	-168.61441	100.0	100.0	71999	288.36124	174.81044	761.1456	-163.12234	-291.82367	79.93589	465.8742175102234
49	-44.609756	214.26343	681.3328	-171.62779	84.30925	347.12396	850.31934	-180.1769	100.0	100.0	73499	302.7426	179.32695	778.7938	-156.46062	-306.17322	81.77885	475.96299409866333
50	126.433716	312.80658	923.84064	-181.40286	-46.971497	209.99768	554.0974	-189.60896	100.0	100.0	74999	316.46048	184.00075	798.499	-164.1466	-319.79904	82.21701	486.088032245636
51	133.53522	350.41257	738.33264	-162.1898	9.383585	267.4195	761.47614	-170.98605	100.0	100.0	76499	330.39108	187.95636	819.7643	-165.2229	-333.6881	83.539375	496.30613231658936
52	123.888596	346.80252	714.1485	-169.93239	277.8072	470.5508	955.34766	-163.32144	100.0	100.0	77999	345.39322	192.10916	840.4364	-157.78488	-348.83282	82.26092	506.5446183681488
53	0.57725424	279.12332	775.8014	-185.21222	184.56693	402.25095	807.9672	-141.74054	100.0	100.0	79499	358.151	196.21152	868.13776	-160.65045	-361.55164	83.380646	516.81773853302
54	69.61934	304.99985	768.1486	-184.31078	62.69798	359.17352	788.7063	-183.04485	100.0	100.0	80999	370.53687	199.70422	893.8085	-153.6561	-373.91592	83.238464	527.0730013847351
55	164.42001	330.64246	698.87585	-169.06049	190.74673	412.2647	872.1692	-163.12161	100.0	100.0	82499	382.21756	205.04396	921.9828	-167.97964	-385.58783	85.57081	537.3386189937592
56	75.39576	273.73303	734.2211	-166.1294	217.44809	386.94345	784.6342	-179.59264	100.0	100.0	83999	394.56305	209.20865	942.0323	-183.27298	-398.00345	85.54758	547.5990245342255
57	183.1252	334.19632	738.90765	-180.50888	111.83081	347.39893	675.5871	-180.12177	100.0	100.0	85499	409.9637	214.50696	970.35004	-175.7667	-413.42612	85.94516	557.9274771213531
58	169.91292	308.4798	763.11304	-163.6213	168.03784	363.9627	761.8704	-153.66354	100.0	100.0	86999	420.88184	219.56688	1004.0298	-193.56317	-424.30716	85.405785	568.1698966026306
59	159.31618	379.29477	804.7847	-179.56068	67.2618	292.56842	813.84845	-177.09866	100.0	100.0	88499	434.58252	225.65842	1030.012	-182.29498	-438.01108	86.84446	578.4553577899933
60	151.96288	362.2203	883.2897	-186.83403	165.64621	394.45163	904.58344	-180.00981	100.0	100.0	89999	448.49863	231.31627	1060.2921	-193.58702	-452.01657	89.81387	588.7395708560944
61	183.31703	322.06494	760.7677	-160.90724	319.70834	415.1346	878.8617	-119.26281	100.0	100.0	91499	461.90112	236.96991	1085.3817	-193.63367	-465.52637	91.16099	599.0059790611267
62	155.62576	323.05972	841.3318	-186.88696	22.490444	296.42343	659.7747	-172.57161	100.0	100.0	92999	475.6217	243.67451	1111.3297	-194.82883	-479.255	90.21275	609.3126318454742
63	28.725851	299.34296	802.73773	-170.27045	144.47389	359.92606	774.9861	-139.92874	100.0	100.0	94499	490.1682	249.04053	1148.097	-173.82169	-493.81082	94.00383	619.599663734436
64	240.22832	352.89688	884.24835	-187.83832	341.59125	424.31424	859.3986	-163.27522	100.0	100.0	95999	501.87015	254.45642	1179.7649	-179.90236	-505.6332	95.265	629.9554002285004
65	75.911705	297.4416	801.15094	-176.09694	416.83292	463.18338	910.2375	-167.9215	100.0	100.0	97499	515.0906	259.28674	1210.0692	-162.8292	-518.8342	96.614044	640.2338225841522
66	297.2281	376.33224	829.0978	-190.52362	67.006	365.36298	826.79156	-182.36421	100.0	100.0	98999	526.9401	263.53043	1237.8568	-154.30481	-530.62646	99.29825	650.5022945404053
67	243.8767	361.1843	731.95795	-173.47134	57.500755	329.4748	804.76746	-143.63863	100.0	100.0	100499	539.56036	269.58878	1270.8715	-138.03352	-543.24976	101.04498	660.7430288791656
68	334.50635	389.73456	848.0111	-156.6078	76.23465	343.47327	788.7512	-174.66814	100.0	100.0	101999	551.28296	272.9331	1299.1199	-119.80579	-554.99457	103.25251	671.0162963867188
69	461.99744	363.7602	839.6151	-160.84454	135.19513	387.72104	767.398	-179.30797	100.0	100.0	103499	564.10724	279.43817	1325.0004	-124.37728	-567.7351	103.17633	681.3074059486389
70	475.26605	337.18912	837.4116	-187.93877	309.57	429.56018	832.34247	-174.27057	100.0	100.0	104999	575.24896	285.34064	1357.1726	-112.80126	-578.87354	106.994804	691.6126708984375
71	333.38757	422.31778	854.4958	-181.21773	301.71002	392.0598	787.591	-121.99233	100.0	100.0	106499	587.23755	291.07108	1386.1553	-91.1555	-590.8298	108.98719	701.8927001953125
72	341.28583	411.41034	810.6501	-180.78143	234.69328	391.5808	839.0416	-171.70361	100.0	100.0	107999	600.5636	296.40442	1415.2405	-78.41073	-604.2493	111.43657	712.1870641708374
73	381.74863	348.57718	869.8376	-155.56793	462.57608	435.12796	961.8175	-163.5847	100.0	100.0	109499	614.18744	298.28232	1443.7886	-71.28292	-618.0602	116.18236	722.3804244995117
74	229.85658	360.93286	869.0765	-148.64374	288.66302	428.34705	907.08124	-175.97964	100.0	100.0	110999	629.2443	301.7431	1469.6333	-54.935417	-633.1895	122.316605	732.648199558258
75	197.37186	398.96445	855.69354	-185.6219	227.04427	440.35645	877.5195	-178.72325	100.0	100.0	112499	643.0287	306.5823	1501.2474	-75.67117	-647.0826	122.84634	742.9137370586395
76	279.55566	403.65604	899.06213	-122.34947	320.46786	443.08414	824.0037	-143.304	100.0	100.0	113999	657.6556	311.16238	1538.7064	-39.894722	-661.81226	126.54166	753.1320245265961
77	137.85298	342.87115	862.1049	-173.32062	391.65286	440.2493	814.3089	-181.46701	100.0	100.0	115499	671.8207	314.02945	1564.0792	-2.940721	-676.0959	128.45308	763.3115012645721
78	120.71342	340.63773	904.6636	-179.15442	234.60034	429.036	827.0147	-169.4414	100.0	100.0	116999	688.6435	317.3467	1589.867	10.4982605	-692.9154	129.56113	773.5530202388763
79	531.48267	411.1038	902.9208	-180.18275	581.0069	332.67694	803.86633	-128.12431	100.0	100.0	118499	701.3082	319.79156	1611.5586	12.315211	-705.5568	130.4661	783.7976095676422
80	173.94684	351.23972	798.9526	-182.94412	535.42096	380.5136	866.00574	-128.71724	100.0	100.0	119999	716.81085	322.9896	1640.8442	10.192331	-721.0748	132.24913	793.9911162853241
81	250.41197	372.18262	809.93866	-169.11526	293.09225	453.15753	920.6207	-159.59346	100.0	100.0	121499	729.7823	323.65518	1661.5535	18.953608	-734.07916	134.64372	804.2267951965332
82	534.57587	367.38007	895.89355	-125.76594	409.0462	433.5716	893.47437	-140.58057	100.0	100.0	122999	744.4316	324.3835	1675.8176	18.16579	-748.64764	137.62265	814.4832558631897
83	360.518	399.43277	837.39185	-173.9025	256.34283	438.22827	846.8833	-165.25719	100.0	100.0	124499	760.8912	326.75458	1691.0369	26.726524	-765.1977	135.29158	824.688001871109
84	298.8939	376.49115	898.7487	-153.27707	344.40387	476.22552	874.0455	-182.20265	100.0	100.0	125999	774.4584	328.87277	1711.5406	39.850018	-778.73834	135.18527	834.8378882408142
85	434.15906	355.19174	801.17566	-179.18192	284.21872	469.78928	863.7571	-137.64949	100.0	100.0	127499	789.2524	333.67	1730.4938	38.836506	-793.5645	134.38133	845.0798089504242
86	442.65613	424.47467	913.5191	-147.79964	241.89444	396.03964	794.9724	-172.45636	100.0	100.0	128999	803.2969	335.34854	1748.7109	51.31169	-807.60364	134.72629	855.3167741298676
