Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-101.12601	9.635426	-85.816444	-126.49766	-97.309586	23.08285	-62.433075	-134.61296	100.0	100.0	1499	-1.9566779	0.69948304	0.033332594	-4.809945	1.8869091	0.08318115	10.854665994644165
2	-106.80715	11.313981	-83.77004	-125.80871	-92.48878	25.161343	-43.639053	-126.97775	100.0	100.0	2999	-5.7491565	2.121604	-1.2028334	-14.196493	5.5587616	0.10713049	29.616130828857422
3	-102.49641	12.803556	-75.5034	-130.91176	-101.54115	18.125002	-72.33491	-122.40216	100.0	100.0	4499	-10.999321	2.3473432	-4.294365	-21.076319	10.675732	0.2483471	48.46677374839783
4	-100.89843	8.590746	-86.95284	-114.953285	-90.00972	16.197418	-68.950226	-128.11772	100.0	100.0	5999	-15.5121565	2.675002	-6.2788267	-25.633549	15.158873	0.3924696	67.29272508621216
5	-107.56247	17.56431	-74.5054	-138.83199	-70.673004	26.759232	-40.025597	-128.86029	100.0	100.0	7499	-19.46372	3.1833553	-8.167076	-30.857464	19.011826	0.51975906	86.0214250087738
6	-102.464	15.890948	-72.98788	-137.3311	-55.5266	26.992262	-26.02374	-115.66679	100.0	100.0	8999	-22.370768	3.8497453	-6.164197	-34.24189	21.811419	0.6368067	104.81346392631531
7	-80.644554	29.538458	-18.221846	-116.45465	-46.96281	16.35407	-16.738129	-71.45322	100.0	100.0	10499	-24.689026	4.657977	-6.7703686	-39.932266	24.112896	0.7221704	123.72628378868103
8	-49.182896	25.344072	-19.621552	-99.87927	-58.28704	15.590268	-34.864815	-80.7956	100.0	100.0	11999	-26.254477	5.6228023	-7.750457	-43.243076	25.687307	0.7193383	143.31007599830627
9	-59.365555	16.819975	-34.146343	-98.08919	-42.33475	24.1133	-14.58064	-94.6594	100.0	100.0	13499	-27.529476	6.720888	-8.271141	-46.525906	27.002575	0.70698875	162.97762799263
10	-51.089645	15.082327	-24.541466	-79.26796	-52.773235	17.847647	-22.147808	-81.40518	100.0	100.0	14999	-28.736322	7.6960583	-8.104353	-49.672077	28.21453	0.6960709	182.30805683135986
11	-48.238136	19.425892	-29.102102	-106.916855	-48.93209	28.515	-15.585142	-98.96031	100.0	100.0	16499	-29.78811	8.492668	-7.612983	-53.1523	29.279224	0.6770819	201.48679304122925
12	-52.69074	22.380728	-18.827347	-92.212715	-39.6379	9.407184	-23.564358	-49.495174	100.0	100.0	17999	-30.15724	9.445926	-6.376777	-56.170197	29.630255	0.6867956	220.61744284629822
13	-43.80151	14.352961	-17.643015	-73.93644	-40.939785	20.786674	-15.570133	-78.526306	100.0	100.0	19499	-30.365753	10.043441	-3.8750777	-57.517204	29.83966	0.7294374	239.08141708374023
14	-48.839336	19.921904	-14.778531	-85.618126	-41.61331	16.21378	-18.68373	-84.12879	100.0	100.0	20999	-30.206234	10.702842	-1.7766751	-60.70217	29.674541	0.81075275	258.4857380390167
15	-35.77277	17.255297	-11.328018	-67.85613	-47.497093	18.116713	-19.026846	-70.65841	100.0	100.0	22499	-30.13149	11.303194	-0.4267553	-61.94726	29.592295	0.80083567	277.7222490310669
16	-42.551373	19.134014	-12.867358	-88.21438	-50.813385	10.761285	-37.198853	-73.910934	100.0	100.0	23999	-29.55505	11.720801	1.8907053	-63.87528	29.02778	0.8135791	296.323294878006
17	-36.44075	16.122572	-15.73108	-63.452026	-48.808483	22.409184	-25.199028	-110.127266	100.0	100.0	25499	-29.178284	11.881678	2.504416	-64.34443	28.654303	0.78810716	315.0600278377533
18	-34.430065	15.8692875	-12.989298	-73.07854	-40.51713	21.29966	-17.07629	-92.336044	100.0	100.0	26999	-28.65397	12.060316	2.7710655	-65.64983	28.139141	0.7828306	334.2601828575134
19	-35.94853	14.2739	-12.671755	-61.597908	-41.248535	16.557436	-11.588252	-78.98296	100.0	100.0	28499	-27.98671	12.468203	2.2811077	-67.559	27.473583	0.78992075	353.22610902786255
20	-48.17506	19.91663	-24.595594	-88.45133	-45.879868	15.107543	-22.27093	-74.52609	100.0	100.0	29999	-27.415077	12.839379	2.4477785	-68.38427	26.91102	0.8118462	371.8621368408203
