Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-71.6713	12.757453	-48.99993	-93.64037	-56.37926	20.745867	-35.80364	-96.88187	100.0	100.0	1499	-1.5081403	0.6439491	0.027954035	-4.300994	1.4466534	0.06869838	9.268534183502197
2	-68.719536	18.98203	-37.635063	-108.71824	-57.014977	18.402306	-16.719296	-79.33377	100.0	100.0	2999	-3.8776495	1.7022191	-0.45869008	-11.547866	3.694429	0.096530005	3751.0657930374146
3	-65.72372	26.021784	-20.570284	-122.293686	-43.086296	19.69436	-4.2735977	-70.45088	100.0	100.0	4499	-6.601273	2.248594	-1.1072243	-14.425841	6.3056817	0.21399127	3771.537388086319
4	-66.17194	10.12253	-49.08835	-91.513504	-36.955383	25.406704	-7.025615	-86.80489	100.0	100.0	5999	-8.735051	2.7858367	-1.2814026	-18.731527	8.354258	0.31616133	3788.100119113922
5	-69.97278	19.411787	-40.521465	-97.41089	-28.015942	14.910767	-3.6515703	-60.304127	100.0	100.0	7499	-10.18056	3.3358624	-0.6492927	-22.238308	9.747007	0.41843572	3805.2319481372833
6	-72.19194	21.322233	-35.803432	-109.58799	-23.580936	14.179336	-8.6881275	-50.799976	100.0	100.0	8999	-11.25793	4.1136656	-0.21185155	-24.449764	10.729679	0.54810786	3828.691497325897
7	-51.727898	27.09936	-6.7858887	-89.592155	-20.741802	6.544223	-11.179062	-29.633158	100.0	100.0	10499	-11.657953	4.707495	-0.019464495	-27.098959	11.067536	0.6714182	3845.3138370513916
8	-23.360191	13.862354	-9.412818	-49.486835	-28.472387	20.483187	-4.8171363	-80.407196	100.0	100.0	11999	-11.06903	5.124679	0.08000931	-28.612806	10.469731	0.65172344	3859.650262117386
9	-22.100042	8.633876	-6.0088205	-41.662243	-22.946016	23.661242	-4.5899177	-78.200836	100.0	100.0	13499	-10.09557	5.279118	0.23287308	-29.795406	9.499513	0.5672942	3873.606197118759
10	-21.511541	17.598457	-2.1645935	-63.041866	-24.16504	14.515203	-5.9470987	-47.56518	100.0	100.0	14999	-9.037674	5.285615	0.34280783	-29.962315	8.476377	0.5024144	3944.7769663333893
11	-14.797756	11.185016	-2.762478	-43.7487	-22.681873	14.575373	-4.0106077	-43.964058	100.0	100.0	16499	-8.184568	5.323192	0.42466056	-29.596876	7.6752043	0.45151806	3962.7193772792816
