Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-189.84024	2.2988079	-185.30103	-193.19356	-191.20425	6.6482005	-176.43884	-199.98648	100.0	100.0	1499	-3.5420485	1.1186845	0.035923325	-7.283591	3.454491	0.10333599	5.08742356300354
2	-187.15166	7.0132995	-169.31139	-198.32611	-188.40323	5.638516	-173.0294	-193.44191	100.0	100.0	2999	-11.339497	3.5390763	-4.4647937	-19.719622	11.24736	0.048399415	14.108858823776245
3	-188.96486	2.0362432	-184.38185	-192.22607	-192.03238	5.0092826	-180.24283	-197.92859	100.0	100.0	4499	-23.43266	3.5380812	-15.618823	-32.64397	23.30692	0.09101757	23.2889986038208
4	-190.02263	3.4680483	-182.13834	-195.29381	-183.34175	11.662256	-153.07838	-197.06424	100.0	100.0	5999	-35.129707	3.4481392	-26.557285	-44.555687	34.98359	0.13632432	32.37359595298767
5	-188.73877	5.3479853	-174.38298	-196.20169	-182.27962	18.476957	-136.58757	-195.19339	100.0	100.0	7499	-46.435154	3.403031	-37.626072	-56.133087	46.273304	0.16314258	41.529996395111084
6	-190.79987	2.666105	-184.83665	-195.08745	-192.47375	4.9588513	-184.58888	-199.96848	100.0	100.0	8999	-57.2716	3.3525128	-47.939014	-66.8831	57.10424	0.20168595	50.571239709854126
7	-189.48842	6.788111	-168.22354	-196.2385	-188.98808	11.684396	-154.86711	-197.98692	100.0	100.0	10499	-67.68523	3.2830403	-57.96614	-77.30051	67.513176	0.21946503	59.853899240493774
8	-184.93732	7.768268	-170.62947	-196.00137	-181.95532	14.221015	-155.53244	-195.93977	100.0	100.0	11999	-77.74261	3.24999	-67.70874	-87.591644	77.59338	0.23184475	69.50169014930725
9	-188.85233	5.488019	-176.05171	-197.56316	-185.0408	15.056461	-145.60922	-198.40921	100.0	100.0	13499	-87.49182	3.2328305	-78.32851	-97.1367	87.35426	0.23266333	79.13072562217712
10	-184.35492	9.076673	-160.39091	-195.9333	-182.04153	13.111041	-147.95195	-196.27841	100.0	100.0	14999	-96.99092	3.1666043	-87.78511	-107.02878	96.86098	0.24054207	88.76431369781494
