Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-572.58185	3.7841282	-567.38947	-580.852	-567.32544	11.314457	-542.2694	-578.23126	250.0	250.0	3749	-4.151267	1.2349483	0.011228964	-7.148943	4.1018567	0.040923808	18.079548835754395
2	-571.9084	5.336858	-561.848	-583.66034	-565.96045	5.390527	-554.65967	-571.4456	250.0	250.0	7499	-9.282346	1.7262264	-5.6244993	-13.488826	9.256521	0.00207341	40.627307176589966
3	-565.8318	5.2487416	-554.44226	-576.01544	-565.37976	6.916031	-553.7038	-577.5679	250.0	250.0	11249	-14.69544	1.4738547	-11.148487	-18.590286	14.670865	0.0035946716	63.53567314147949
4	-570.27716	7.848649	-553.1485	-581.168	-566.37823	7.169754	-553.8337	-573.26385	250.0	250.0	14999	-19.146282	1.2424525	-15.698943	-23.074215	19.118979	0.005317895	86.39571118354797
5	-568.1716	11.368731	-531.85376	-578.7787	-569.6338	5.405208	-557.8065	-577.8003	250.0	250.0	18749	-22.761375	1.031734	-19.673681	-25.870913	22.733128	0.006458169	109.38002824783325
6	-567.702	6.2629786	-558.2253	-576.7564	-573.4298	2.841293	-569.1572	-579.6652	250.0	250.0	22499	-25.664328	0.8955132	-22.85569	-28.567595	25.635586	0.0073833386	132.34448766708374
7	-561.6386	13.184354	-530.0056	-572.5504	-566.2982	6.275495	-555.5379	-573.3584	250.0	250.0	26249	-28.01175	0.81204414	-25.39211	-32.513058	27.981125	0.008541008	155.2660460472107
8	-565.2045	7.0069275	-547.4804	-573.642	-564.1244	10.350958	-540.94476	-576.26666	250.0	250.0	29999	-29.867994	0.7529444	-27.092892	-33.487087	29.835598	0.009306228	178.16347193717957
9	-560.6944	11.863807	-528.9026	-574.18933	-552.9009	14.797456	-531.1319	-571.87427	250.0	250.0	33749	-31.3276	0.7112082	-28.540585	-34.50174	31.295166	0.009655717	201.07881379127502
10	-561.7955	9.033165	-547.41235	-579.5438	-564.8998	5.7044353	-553.00226	-571.53235	250.0	250.0	37499	-32.49444	0.69363636	-29.779306	-35.31653	32.460556	0.0099251075	224.0778477191925
11	-562.4283	12.400481	-530.8453	-577.38477	-560.0867	10.33086	-537.64667	-571.26013	250.0	250.0	41249	-33.4302	0.6897841	-30.693424	-35.97975	33.39825	0.009874685	247.07405376434326
12	-562.63885	6.019733	-551.7054	-576.1359	-556.8627	12.1837845	-540.3387	-575.8485	250.0	250.0	44999	-34.176353	0.69409835	-31.45871	-36.53806	34.14567	0.01007431	270.1014404296875
13	-560.0986	12.433545	-539.92126	-574.59863	-558.13824	12.983751	-539.1573	-578.0692	250.0	250.0	48749	-34.767883	0.69907606	-32.116283	-37.022285	34.738197	0.010051058	293.20725417137146
14	-554.94	13.934768	-515.06464	-573.11273	-560.6334	13.787389	-533.71375	-575.76184	250.0	250.0	52499	-35.237675	0.714622	-32.56996	-37.56766	35.208767	0.009989917	316.2424774169922
15	-564.38434	7.1449046	-550.3307	-574.93384	-552.92206	17.116966	-528.5884	-571.6947	250.0	250.0	56249	-35.611576	0.728946	-32.89756	-38.111404	35.58279	0.010177975	339.2604560852051
16	-553.1662	16.572952	-518.7467	-571.5716	-551.028	16.452747	-523.6891	-572.9084	250.0	250.0	59999	-35.909317	0.7396089	-33.219643	-38.36077	35.881176	0.01005058	362.32179403305054
17	-559.4054	15.520543	-518.6851	-575.3468	-551.8104	13.9666605	-526.808	-567.9118	250.0	250.0	63749	-36.145584	0.75754815	-33.47851	-38.653603	36.11783	0.010282924	385.39526104927063
18	-549.12695	16.060236	-519.3092	-570.3171	-555.2501	15.196241	-519.6682	-569.21814	250.0	250.0	67499	-36.328785	0.77581173	-33.72464	-38.785202	36.300037	0.010180269	408.54630064964294
19	-558.77386	9.024639	-543.5546	-571.9147	-550.00934	17.11872	-507.0876	-572.2599	250.0	250.0	71249	-36.468727	0.79610056	-33.778557	-39.3955	36.438927	0.010530993	431.8139503002167
20	-550.8041	18.540997	-511.85684	-575.1984	-547.99567	12.223168	-526.9795	-564.4102	250.0	250.0	74999	-36.55962	0.81960785	-33.813393	-39.381615	36.529903	0.010541792	455.2882182598114
21	-558.6939	10.911115	-527.02905	-572.76605	-554.923	9.935048	-535.6446	-567.93823	250.0	250.0	78749	-36.636726	0.83524674	-33.893314	-39.1666	36.606834	0.010826157	479.03815841674805
22	-551.4394	14.490223	-528.0857	-570.5991	-543.50476	15.373633	-515.3446	-568.93634	250.0	250.0	82499	-36.694756	0.8449724	-33.89475	-39.218815	36.66484	0.01067919	502.97838592529297
23	-553.43097	16.000996	-523.3744	-572.9502	-546.1947	11.273746	-522.12885	-564.1625	250.0	250.0	86249	-36.73108	0.8578244	-33.860935	-39.3004	36.701508	0.010812951	526.9182865619659
24	-551.3926	14.668972	-523.0803	-573.1129	-543.6781	13.327464	-517.25446	-562.1921	250.0	250.0	89999	-36.75484	0.8759074	-33.863453	-39.38501	36.724983	0.010963198	550.8831632137299
25	-551.42535	12.251285	-530.70294	-571.9969	-545.75836	15.374619	-514.31415	-566.07416	250.0	250.0	93749	-36.755447	0.8945407	-33.873447	-39.35434	36.725777	0.010974016	574.8771231174469
26	-555.9768	11.73129	-530.9535	-569.657	-541.67957	20.925156	-491.14993	-566.8942	250.0	250.0	97499	-36.77077	0.90112793	-33.86973	-39.42532	36.74124	0.010949803	598.9269573688507
27	-552.00574	12.142167	-528.1275	-569.3366	-533.8583	15.85868	-496.84586	-559.1837	250.0	250.0	101249	-36.780533	0.9044317	-33.855255	-39.502167	36.751637	0.011194311	623.0168361663818
28	-553.68256	11.565674	-522.27075	-571.1391	-544.3507	14.728554	-515.70154	-565.74963	250.0	250.0	104999	-36.78428	0.90697813	-33.87271	-39.469597	36.7555	0.011146334	647.1012971401215
29	-543.9156	14.616837	-520.0716	-560.59735	-542.05505	11.5509615	-523.6419	-561.6928	250.0	250.0	108749	-36.781647	0.91255325	-33.84988	-39.492493	36.75229	0.011229825	671.1872200965881
30	-548.55066	10.415063	-528.3742	-570.59894	-532.11066	13.7786045	-510.429	-562.189	250.0	250.0	112499	-36.76808	0.9183463	-33.853966	-39.486565	36.738388	0.0113353	695.2949998378754
31	-544.0419	16.943266	-509.34512	-567.9065	-544.5885	14.219416	-520.27686	-567.3318	250.0	250.0	116249	-36.745483	0.9278604	-33.777542	-39.43835	36.71581	0.011360601	719.3735094070435
32	-549.47064	16.869005	-516.3318	-567.76965	-535.0898	14.973631	-510.27057	-562.3195	250.0	250.0	119999	-36.726837	0.9392964	-33.798862	-39.42455	36.697643	0.0113516	743.4978604316711
33	-545.6233	16.815233	-523.09265	-578.75244	-543.08496	13.838215	-518.07996	-569.5598	250.0	250.0	123749	-36.710823	0.95147663	-33.812973	-39.45061	36.681038	0.011819782	767.5917298793793
34	-544.41986	13.3753195	-521.02234	-564.4706	-535.30963	20.245941	-501.82538	-569.34717	250.0	250.0	127499	-36.682518	0.9663119	-33.788944	-39.43447	36.652607	0.01183089	791.8406901359558
35	-544.2046	16.927383	-516.18976	-570.128	-541.02295	18.712814	-508.48468	-567.32684	250.0	250.0	131249	-36.657944	0.97834146	-33.732235	-39.43537	36.628468	0.011925707	816.1206729412079
36	-546.1897	13.153496	-521.7013	-570.6178	-534.47186	13.6112995	-514.5044	-560.30054	250.0	250.0	134999	-36.638924	0.9887779	-33.726376	-39.46389	36.609478	0.012054858	840.3328104019165
37	-545.6174	11.994241	-530.06287	-568.15704	-537.0461	13.855258	-510.04868	-556.02026	250.0	250.0	138749	-36.617207	0.9977298	-33.737297	-39.39554	36.5875	0.011941255	864.5167827606201
38	-540.82965	18.266293	-507.1384	-569.27045	-533.80316	9.329957	-519.71545	-548.1171	250.0	250.0	142499	-36.59915	1.0111783	-33.720425	-39.450436	36.56919	0.011936012	888.814150094986
