Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-388.85556	22.706877	-356.17593	-427.9926	-394.4832	22.48689	-367.4017	-427.9926	100.0	100.0	1499	-58.082954	8.4584465	-48.37564	-111.27769	57.828278	0.8129702	6.937129974365234
2	-401.64658	27.30647	-359.91876	-442.80844	-402.2089	30.51267	-356.17593	-442.80844	100.0	100.0	2999	-58.116352	8.564757	-48.171173	-109.18594	57.854397	0.8020083	23.529921054840088
3	-400.3221	23.518616	-371.30917	-463.706	-389.0611	22.148958	-359.91876	-436.60513	100.0	100.0	4499	-58.120926	8.572398	-48.315323	-116.35952	57.86006	0.8244106	37.053011894226074
4	-390.57336	23.52206	-355.85788	-432.30988	-396.24493	25.451302	-371.30917	-463.706	100.0	100.0	5999	-58.1109	8.559786	-48.27808	-117.192154	57.85052	0.83069336	49.91847229003906
5	-394.14905	22.853245	-363.2964	-453.4322	-404.90848	17.268618	-383.0737	-432.16815	100.0	100.0	7499	-58.081074	8.5051365	-48.10904	-111.11746	57.822105	0.8226486	62.304397106170654
6	-402.40433	21.93545	-368.4049	-456.49625	-385.18976	24.280777	-355.85788	-432.30988	100.0	100.0	8999	-58.09664	8.529676	-48.144012	-134.32465	57.83673	0.82988685	74.93809103965759
7	-398.0113	22.46792	-364.32968	-450.97	-395.27533	26.262026	-363.2964	-453.4322	100.0	100.0	10499	-58.075314	8.52329	-48.115204	-119.108345	57.81577	0.8200271	87.38354825973511
8	-401.7157	24.483665	-366.45288	-455.815	-393.96072	11.325461	-374.84946	-415.93994	100.0	100.0	11999	-58.078613	8.554913	-48.30893	-142.48866	57.82543	0.82573503	100.20059013366699
9	-391.97012	22.557686	-346.197	-437.85068	-405.594	25.634472	-368.4049	-456.49625	100.0	100.0	13499	-58.123085	8.568685	-48.253242	-148.87123	57.861427	0.83986664	112.89104723930359
10	-381.65152	23.011986	-339.03705	-426.66568	-404.4568	22.662	-374.2343	-450.97	100.0	100.0	14999	-58.142033	8.588428	-48.26246	-116.86981	57.883682	0.8601048	125.74035716056824
11	-401.8713	27.566217	-358.3402	-458.57782	-395.36087	23.450577	-364.32968	-455.815	100.0	100.0	16499	-58.127087	8.569691	-47.90129	-117.62851	57.862896	0.8660438	138.00444316864014
12	-404.57666	20.209044	-363.04486	-442.0449	-399.77283	23.702366	-366.45288	-443.62103	100.0	100.0	17999	-58.08852	8.525386	-48.105736	-111.91928	57.832043	0.84067625	150.39964413642883
