Unnamed: 0,NR on NR,R on NR,FL on NR,NR on R,R on R,FL on R
$	heta$ MAE (rad),0.0878,0.1068,0.1232,0.09300000000000001,0.1085,0.1529
$\phi$ MAE (rad),0.0646,0.0928,0.115,0.0704,0.0998,0.2878
$	heta$ MSSE (rad),0.012,0.0256,0.0,0.0135,0.026000000000000002,0.0191
$\phi$ MSSE (rad),0.01,0.0285,0.0,0.0126,0.0331,0.1322
$	heta$ in bounds (%),99.96,99.35,100.0,99.875,99.3125,100.0
$\phi$ in bounds (%),99.99,98.45,100.0,99.375,98.875,86.5625
$	heta$ unsteady (%),0.0,0.03,0.0,0.0625,0.125,0.0
$\phi$ unsteady (%),0.0,1.26,0.0,0.625,0.6875,0.0
$	heta$ rise time (s),0.4857,0.4876,1.0124,0.5078,0.5086,1.1346
$\phi$ rise time (s),0.3194,0.3237,0.6667,0.3574,0.3718,1.0722
$	heta$ settling time (s),0.5981,0.6652,1.0386,0.6352,0.6992,1.2087
$\phi$ settling time (s),0.4764,0.5861,0.9202,0.4822,0.5870000000000001,1.8286
u1 (V),0.7117,0.7709,0.7046,1.8402,1.0024,0.7477
u2 (V),0.5551,0.5463,0.531,1.6582,0.7631,0.6186
u1 variation (V),0.4061,0.3048,0.1919,2.6551,0.759,0.1888
u2 variation (V),0.401,0.3342,0.1287,2.5392,0.69,0.122
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0
