Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-493.79315	9.652258	-463.6552	-504.3352	-481.9816	13.075937	-455.44647	-494.1124	100.0	100.0	1499	-5.287739	1.11125	0.009910487	-9.966619	5.1041446	0.9801676	5.737062454223633
2	-492.1213	4.6636677	-485.07452	-501.16528	-484.6893	7.22878	-471.67465	-500.54254	100.0	100.0	2999	-8.471133	1.460179	-5.3924165	-12.7092085	8.3668165	0.0476595	14.808412551879883
3	-490.47327	6.337952	-472.89233	-500.1947	-484.97592	8.297851	-464.79367	-497.22952	100.0	100.0	4499	-13.659885	1.6435947	-9.499223	-18.08766	13.56718	0.049171403	23.937429666519165
4	-491.08545	5.284953	-476.44852	-499.63162	-484.54132	13.539998	-450.98553	-497.0872	100.0	100.0	5999	-19.203451	1.6939251	-14.34331	-24.129736	19.104548	0.06445773	33.08812403678894
5	-493.88882	4.5216775	-484.4733	-501.05637	-464.72607	18.413984	-435.31448	-495.15817	100.0	100.0	7499	-24.652645	1.6727126	-19.430704	-30.325186	24.544065	0.07848612	42.205157995224
6	-491.38232	4.5350065	-485.0554	-501.5777	-466.22623	30.63198	-381.22992	-491.91733	100.0	100.0	8999	-29.922127	1.6291804	-24.57315	-35.518406	29.809814	0.09260869	51.314586877822876
7	-490.5699	9.384015	-462.47385	-502.58035	-468.54315	23.739237	-421.0685	-491.71423	100.0	100.0	10499	-34.925995	1.5872967	-29.178392	-40.11341	34.812077	0.105567954	60.388179779052734
8	-485.92743	10.1040745	-464.31424	-499.2938	-481.6541	10.253134	-462.45746	-493.28082	100.0	100.0	11999	-39.669815	1.5376885	-33.647385	-44.435963	39.555794	0.12113086	69.43250846862793
9	-490.5876	6.18727	-474.90353	-498.7787	-468.36923	25.616096	-420.82385	-493.6389	100.0	100.0	13499	-44.167034	1.5126866	-38.328854	-49.127964	44.04619	0.13575904	78.58230304718018
10	-492.447	7.023851	-471.3092	-503.6903	-459.7111	51.254322	-325.13123	-496.34882	100.0	100.0	14999	-48.44579	1.4705771	-42.305103	-53.404945	48.324665	0.14994185	87.6759147644043
11	-473.5459	13.885047	-448.9605	-497.39975	-459.92206	29.541183	-393.76874	-496.11703	100.0	100.0	16499	-52.436157	1.453661	-46.324238	-57.451965	52.316696	0.16124943	97.167729139328
12	-472.22037	13.032051	-444.56702	-489.8035	-474.6667	14.304007	-445.18216	-489.79346	100.0	100.0	17999	-56.150486	1.4719043	-50.162605	-61.364414	56.031635	0.17336853	106.61544227600098
13	-469.05078	19.823343	-427.91693	-489.14752	-451.4707	31.729198	-383.6814	-490.03146	100.0	100.0	19499	-59.670475	1.4692158	-53.13329	-64.83234	59.552917	0.1835811	116.00169897079468
14	-467.02655	18.681473	-429.80453	-490.79996	-429.46353	52.3992	-329.57153	-486.89365	100.0	100.0	20999	-62.98321	1.4997734	-56.614925	-68.21655	62.86437	0.19134645	125.39186978340149
15	-452.8722	33.000088	-368.5945	-488.0302	-447.73764	33.06851	-402.6136	-488.96216	100.0	100.0	22499	-66.06523	1.5264837	-59.37876	-71.06949	65.94599	0.20094554	134.78653001785278
16	-448.03992	31.901152	-376.09525	-484.7111	-445.7413	31.486506	-375.2579	-485.80304	100.0	100.0	23999	-68.92438	1.6051607	-62.124203	-74.54672	68.80788	0.22106397	144.20136857032776
17	-458.77158	25.000616	-399.63205	-496.88885	-423.2204	36.567913	-369.5968	-491.49225	100.0	100.0	25499	-71.60779	1.7016996	-64.76025	-77.74989	71.4802	0.24062878	153.56238794326782
18	-454.70526	19.662695	-430.59476	-493.10107	-448.52777	24.996887	-403.48953	-476.45398	100.0	100.0	26999	-74.12286	1.7954427	-66.94534	-80.045906	73.99259	0.25368607	162.9902036190033
19	-447.35675	22.893673	-405.83688	-491.60614	-448.47372	29.653643	-394.0548	-491.89172	100.0	100.0	28499	-76.471054	1.8901061	-69.253296	-82.54597	76.339745	0.2690612	172.40061807632446
20	-451.95102	22.612116	-417.4668	-486.78745	-455.48627	30.79727	-415.23654	-496.22122	100.0	100.0	29999	-78.65954	1.971536	-71.25323	-86.381004	78.520294	0.2846425	181.8017156124115
21	-430.10202	36.133533	-366.20642	-474.46332	-437.54523	36.26344	-381.7034	-488.87213	100.0	100.0	31499	-80.68091	2.0855153	-73.13957	-87.85894	80.53669	0.29507208	191.12652897834778
22	-450.68634	21.021994	-410.74054	-488.47037	-445.54242	26.492197	-386.3131	-482.62274	100.0	100.0	32999	-82.51341	2.2448978	-74.43606	-90.02253	82.36029	0.3167555	200.53031635284424
23	-446.5148	18.079578	-412.7692	-475.46426	-425.4388	30.18248	-385.92563	-475.48862	100.0	100.0	34499	-84.22747	2.3948677	-75.8416	-91.54826	84.06534	0.3398149	209.9838228225708
24	-450.94034	25.772524	-375.7993	-477.8973	-431.00995	41.134087	-343.21512	-470.74298	100.0	100.0	35999	-85.81193	2.5256298	-77.39847	-94.224335	85.64676	0.35341787	219.33643054962158
25	-458.00323	16.765705	-421.27872	-485.20547	-439.37775	40.906624	-359.49008	-483.10718	100.0	100.0	37499	-87.32871	2.6142597	-78.70929	-95.81233	87.1576	0.36926714	228.73362922668457
26	-440.3123	29.995718	-356.85504	-481.72656	-425.3041	26.538296	-374.44376	-477.29263	100.0	100.0	38999	-88.74784	2.692954	-80.26331	-97.79688	88.57798	0.39157787	238.04074025154114
27	-444.223	23.643473	-394.01337	-478.73352	-428.94418	22.556475	-399.22864	-474.25897	100.0	100.0	40499	-90.02222	2.7896717	-81.32749	-98.949524	89.84936	0.40143514	247.39616560935974
28	-442.3326	19.268202	-401.76215	-464.32657	-432.33658	37.451336	-340.42337	-479.31473	100.0	100.0	41999	-91.22465	2.8733027	-82.09574	-100.72459	91.04877	0.40425065	256.80433464050293
29	-445.88785	19.588037	-405.7535	-474.52197	-446.3405	26.460426	-402.95358	-486.24164	100.0	100.0	43499	-92.32952	2.9467695	-83.458664	-102.744514	92.1571	0.40943956	266.17462253570557
30	-452.58383	23.18777	-412.32776	-495.392	-415.4793	23.575327	-370.85144	-450.16827	100.0	100.0	44999	-93.42426	3.025616	-83.99434	-103.91125	93.24356	0.4276269	275.60320258140564
31	-457.93658	16.728415	-429.07703	-482.63733	-435.23422	24.272545	-407.1355	-484.35495	100.0	100.0	46499	-94.43251	3.0622659	-84.84683	-104.75515	94.24811	0.42935908	284.98025727272034
32	-444.79138	19.943045	-403.49173	-467.34845	-423.92148	27.074066	-387.29752	-487.6909	100.0	100.0	47999	-95.36037	3.0950103	-85.48679	-105.92203	95.18508	0.430229	294.36173725128174
33	-440.11957	24.851658	-370.08975	-475.914	-391.57114	43.125626	-293.7844	-442.89188	100.0	100.0	49499	-96.262024	3.1245983	-86.07237	-107.78851	96.07696	0.43682358	303.6238753795624
34	-431.47226	29.73004	-340.95938	-459.3428	-391.07214	34.37137	-318.9238	-428.71005	100.0	100.0	50999	-97.04365	3.1708894	-86.30693	-107.95186	96.86126	0.43809327	312.88991498947144
35	-439.06073	27.88263	-381.9114	-475.19937	-394.28802	48.823605	-314.1308	-468.0015	100.0	100.0	52499	-97.75916	3.230434	-87.37069	-108.9711	97.570915	0.43646175	322.1549210548401
36	-432.25043	29.232653	-382.80862	-476.56018	-434.30682	27.391693	-391.06995	-469.4029	100.0	100.0	53999	-98.42943	3.286194	-87.781624	-109.94615	98.24331	0.434629	331.6058621406555
37	-438.1001	32.21557	-373.06857	-501.82523	-411.49844	36.057312	-344.42572	-457.35907	100.0	100.0	55499	-99.06137	3.3328488	-88.0722	-111.053856	98.88315	0.441437	340.9124140739441
38	-430.09882	18.819513	-393.76685	-458.92032	-419.31952	36.340763	-360.85245	-480.03406	100.0	100.0	56999	-99.664276	3.3875875	-88.45917	-111.97984	99.48606	0.4442595	350.210289478302
39	-430.077	30.065226	-352.9086	-461.91235	-437.0877	23.632679	-395.6694	-469.17874	100.0	100.0	58499	-100.20462	3.4259622	-88.747116	-113.145454	100.02654	0.45092776	359.86582612991333
40	-439.95343	34.796402	-364.2657	-486.93436	-436.98883	47.63084	-359.94604	-490.31943	100.0	100.0	59999	-100.71288	3.483584	-88.86915	-113.56814	100.54302	0.4561198	369.31915831565857
41	-435.85583	21.976692	-387.31024	-481.35846	-400.80908	28.470814	-358.3287	-444.0467	100.0	100.0	61499	-101.18645	3.52452	-89.09212	-114.142944	101.01512	0.45850855	378.76289343833923
42	-434.41638	30.783903	-367.51932	-487.7695	-413.67596	46.410084	-319.32904	-454.40295	100.0	100.0	62999	-101.63832	3.5764737	-89.24101	-114.66159	101.47018	0.45633936	388.2228183746338
43	-447.0514	29.109472	-395.73978	-501.72235	-420.86417	32.35965	-352.44394	-478.74075	100.0	100.0	64499	-102.09215	3.6167297	-89.53345	-115.683174	101.92579	0.46645018	397.7182228565216
44	-443.73123	20.091036	-390.5828	-485.5934	-408.50824	31.179457	-356.8705	-462.2534	100.0	100.0	65999	-102.487526	3.6650739	-89.66367	-116.47305	102.318054	0.47180688	407.1676962375641
45	-438.35074	31.379574	-367.27774	-479.92175	-383.9687	42.03875	-311.31348	-445.56348	100.0	100.0	67499	-102.82543	3.7013688	-90.08595	-116.06272	102.65257	0.46612027	416.6350426673889
46	-437.47458	29.333958	-382.84378	-493.67355	-405.0786	38.347218	-328.35214	-477.53082	100.0	100.0	68999	-103.158875	3.712383	-90.244286	-117.718185	102.99161	0.46849605	426.2063319683075
47	-427.50717	34.9285	-350.5346	-485.17834	-411.45898	41.690563	-363.4898	-480.39066	100.0	100.0	70499	-103.46065	3.765701	-90.49967	-117.64465	103.29166	0.48581567	435.65835332870483
48	-440.8054	31.416878	-384.25943	-493.0575	-419.6747	52.066635	-326.2825	-476.99573	100.0	100.0	71999	-103.712166	3.8107045	-90.609406	-118.0469	103.54604	0.48337105	445.2217252254486
49	-424.41162	37.615105	-329.63995	-491.75684	-395.6295	56.051243	-292.74228	-468.79047	100.0	100.0	73499	-103.97842	3.8637435	-91.11685	-119.69199	103.81079	0.48833016	454.6496510505676
50	-438.2675	33.547386	-358.05145	-492.43625	-409.17413	35.708168	-361.6733	-469.45407	100.0	100.0	74999	-104.21419	3.92239	-90.994675	-119.21689	104.041855	0.49369922	464.329505443573
51	-433.00168	29.618185	-362.1637	-498.10394	-400.5633	31.59024	-343.73587	-451.71417	100.0	100.0	76499	-104.44262	3.9609942	-91.27058	-118.69771	104.27179	0.5109618	474.0054144859314
52	-434.8603	18.695986	-402.31903	-461.22845	-447.03964	33.673977	-381.28815	-491.65646	100.0	100.0	77999	-104.60687	4.0128894	-91.56575	-118.70559	104.43533	0.511936	483.84455919265747
53	-423.70306	37.48497	-336.07233	-489.7859	-407.4053	32.394463	-368.9028	-491.70682	100.0	100.0	79499	-104.78331	4.036848	-91.743805	-120.36015	104.60806	0.5292791	493.6648313999176
54	-436.71387	15.894662	-411.35455	-474.6915	-410.67578	24.87553	-353.2718	-433.96478	100.0	100.0	80999	-104.903915	4.0947275	-91.76043	-120.8249	104.726456	0.52190894	503.5485336780548
55	-421.17783	15.943157	-397.0793	-456.21982	-416.7141	24.939127	-387.80444	-474.41174	100.0	100.0	82499	-105.03298	4.1160693	-91.84405	-121.42975	104.86048	0.54286844	513.4284117221832
56	-409.2752	42.548206	-356.53876	-484.5411	-386.52533	36.83202	-328.02213	-422.2657	100.0	100.0	83999	-105.15612	4.156224	-91.84304	-120.92645	104.98518	0.54977834	523.3582201004028
57	-425.60983	37.173416	-329.19742	-465.4352	-413.16635	54.41881	-323.89386	-479.3065	100.0	100.0	85499	-105.247475	4.2212267	-92.041405	-121.42305	105.06564	0.5523424	533.245876789093
58	-427.68707	29.45382	-383.2771	-469.5464	-420.75537	31.888807	-362.89163	-482.7261	100.0	100.0	86999	-105.32305	4.2492933	-92.68577	-122.83362	105.143364	0.5565144	543.1909334659576
59	-429.16086	33.30482	-365.5779	-465.96347	-429.92706	32.737617	-351.4671	-474.97287	100.0	100.0	88499	-105.366974	4.270365	-92.481964	-122.645226	105.17946	0.56422865	553.0577809810638
