Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-486.90485	8.635088	-469.9311	-501.62988	0.0	0.0	0.0	0.0	100.0	100.0	1499	-5.171778	1.0791765	0.013274811	-8.986937	4.9734488	0.93625873	12.26164984703064
2	-489.2148	8.211446	-469.7809	-500.61316	0.0	0.0	0.0	0.0	100.0	100.0	2999	-8.255578	1.4220144	-5.112174	-11.967257	8.149485	0.040816784	25.527230978012085
3	-492.0996	5.07009	-480.929	-500.65796	0.0	0.0	0.0	0.0	100.0	100.0	4499	-13.465326	1.627098	-9.498962	-17.741352	13.377968	0.03944412	39.00236940383911
4	-484.42038	14.085495	-440.8035	-502.9026	0.0	0.0	0.0	0.0	100.0	100.0	5999	-18.96214	1.6698695	-14.434947	-23.65484	18.86428	0.048917573	52.568084955215454
5	-484.64566	8.840092	-469.4225	-497.19345	0.0	0.0	0.0	0.0	100.0	100.0	7499	-24.39993	1.6599715	-19.601593	-28.998238	24.295855	0.06365273	66.06554841995239
6	-488.8825	7.8484955	-474.57498	-502.91055	0.0	0.0	0.0	0.0	100.0	100.0	8999	-29.594994	1.639042	-24.77439	-34.355038	29.483679	0.07293525	79.46755623817444
7	-487.28976	8.107991	-468.20764	-498.3169	0.0	0.0	0.0	0.0	100.0	100.0	10499	-34.5587	1.6150492	-29.032839	-39.70932	34.430458	0.084197	93.00091123580933
8	-485.72775	8.284116	-472.21085	-498.54453	0.0	0.0	0.0	0.0	100.0	100.0	11999	-39.238266	1.5952451	-33.58109	-44.708942	39.08787	0.097487405	106.37426781654358
9	-486.72488	8.001401	-467.19012	-500.01785	0.0	0.0	0.0	0.0	100.0	100.0	13499	-43.65009	1.5956066	-38.40317	-49.099667	43.48336	0.10885337	120.23951268196106
10	-488.32968	6.268301	-477.0963	-498.28674	0.0	0.0	0.0	0.0	100.0	100.0	14999	-47.82589	1.5806968	-42.534626	-53.28564	47.64319	0.12319572	133.58354449272156
11	-441.06378	24.717722	-399.45584	-497.73874	0.0	0.0	0.0	0.0	100.0	100.0	16499	-51.646988	1.5899401	-46.259846	-57.62903	51.451157	0.13575095	172.78371930122375
12	-438.87762	28.016064	-391.4584	-484.14532	0.0	0.0	0.0	0.0	100.0	100.0	17999	-55.1612	1.6878815	-49.55926	-60.9866	54.97005	0.1472145	201.58990359306335
13	-434.6326	32.99752	-342.02524	-486.22275	0.0	0.0	0.0	0.0	100.0	100.0	19499	-58.422707	1.8030928	-52.619762	-65.108086	58.2243	0.1683784	217.7288043498993
14	-429.48672	35.880257	-341.45435	-487.60434	0.0	0.0	0.0	0.0	100.0	100.0	20999	-61.451286	1.9379166	-55.169773	-68.52534	61.249634	0.1859493	275.981014251709
15	-427.87512	32.84077	-344.00064	-470.2884	0.0	0.0	0.0	0.0	100.0	100.0	22499	-64.28771	2.0797505	-57.585033	-71.461296	64.082375	0.20280991	296.64640259742737
16	-444.10516	28.245127	-385.35806	-482.96082	0.0	0.0	0.0	0.0	100.0	100.0	23999	-66.88473	2.2563767	-59.67626	-74.3253	66.67489	0.22298548	332.4655122756958
17	-427.31873	36.035282	-363.0995	-469.55103	0.0	0.0	0.0	0.0	100.0	100.0	25499	-69.31823	2.4383454	-61.248917	-77.33562	69.10184	0.23875615	366.07168197631836
18	-435.58344	31.512146	-366.10236	-478.49777	0.0	0.0	0.0	0.0	100.0	100.0	26999	-71.6149	2.6151829	-62.91235	-80.47649	71.39306	0.25626707	385.7270495891571
19	-434.71368	36.24645	-318.74896	-482.33337	0.0	0.0	0.0	0.0	100.0	100.0	28499	-73.72032	2.74701	-64.55801	-82.88037	73.494644	0.27680978	462.5996708869934
20	-428.0798	34.545536	-332.65738	-479.72153	0.0	0.0	0.0	0.0	100.0	100.0	29999	-75.675644	2.906166	-66.05034	-85.20643	75.44849	0.29794824	529.8104562759399
21	-427.34174	20.2519	-388.19177	-460.1855	0.0	0.0	0.0	0.0	100.0	100.0	31499	-77.4641	3.0854418	-67.13435	-87.14594	77.22474	0.31157425	571.0395457744598
22	-418.11453	33.23739	-348.50815	-474.54437	0.0	0.0	0.0	0.0	100.0	100.0	32999	-79.15648	3.222082	-68.40023	-89.42592	78.91903	0.32360685	616.6537773609161
23	-433.40518	35.47288	-340.94397	-477.0107	0.0	0.0	0.0	0.0	100.0	100.0	34499	-80.72512	3.3622417	-69.35174	-91.734085	80.47511	0.34173942	656.0701115131378
24	-430.0449	33.13125	-319.28793	-460.6013	0.0	0.0	0.0	0.0	100.0	100.0	35999	-82.176216	3.4771454	-70.17673	-93.40438	81.92521	0.36204654	687.6690309047699
25	-410.60397	42.340405	-315.70435	-462.791	0.0	0.0	0.0	0.0	100.0	100.0	37499	-83.50533	3.616082	-71.375404	-94.65042	83.25252	0.36702916	715.673467874527
26	-398.83957	34.39616	-345.17593	-448.66605	0.0	0.0	0.0	0.0	100.0	100.0	38999	-84.73583	3.7281346	-71.95118	-97.29204	84.47859	0.38736054	789.8637158870697
27	-409.91858	26.218267	-364.81903	-452.94574	0.0	0.0	0.0	0.0	100.0	100.0	40499	-85.82859	3.8470764	-72.66562	-99.01658	85.57001	0.39725032	826.2269270420074
28	-387.7953	33.5742	-317.3242	-430.27792	0.0	0.0	0.0	0.0	100.0	100.0	41999	-86.85017	3.941757	-73.51888	-99.9626	86.586075	0.41530395	890.5417289733887
29	-407.06885	21.881767	-363.99268	-452.85507	0.0	0.0	0.0	0.0	100.0	100.0	43499	-87.73005	4.1191883	-74.00213	-101.52536	87.4615	0.4234315	909.3008081912994
30	-412.74966	37.34874	-313.4893	-454.82965	0.0	0.0	0.0	0.0	100.0	100.0	44999	-88.54184	4.2305417	-74.52946	-103.55246	88.268555	0.44326857	984.0072302818298
31	-404.5223	40.35281	-325.15625	-456.4296	0.0	0.0	0.0	0.0	100.0	100.0	46499	-89.39504	4.338796	-75.19842	-104.34963	89.118	0.44741198	1060.4274325370789
32	-413.9625	26.664116	-368.44473	-454.92566	0.0	0.0	0.0	0.0	100.0	100.0	47999	-90.122696	4.413873	-75.59464	-105.002075	89.8401	0.46163628	1141.9063699245453
33	-422.79788	23.27882	-376.0939	-459.0689	0.0	0.0	0.0	0.0	100.0	100.0	49499	-90.73576	4.5016484	-76.03294	-106.33746	90.45393	0.46671915	1223.8567442893982
34	-396.51425	36.338406	-338.80566	-459.37503	0.0	0.0	0.0	0.0	100.0	100.0	50999	-91.36401	4.561076	-76.58369	-106.0801	91.08007	0.4697134	1304.7803251743317
