Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-486.31448	9.195996	-464.07706	-499.96503	0.0	0.0	0.0	0.0	100.0	100.0	1499	-5.174467	1.0802921	0.010595158	-9.0692425	5.0054774	0.93460506	10.37855577468872
2	-490.9839	5.569537	-479.0649	-499.65042	0.0	0.0	0.0	0.0	100.0	100.0	2999	-8.198108	1.4086986	-5.1192365	-11.925071	8.106776	0.038724728	23.510106325149536
3	-482.82443	8.140179	-464.4779	-498.37778	0.0	0.0	0.0	0.0	100.0	100.0	4499	-13.422033	1.6421423	-9.292307	-17.821629	13.339797	0.042971283	36.763885259628296
4	-487.1829	11.219492	-469.07617	-501.64767	0.0	0.0	0.0	0.0	100.0	100.0	5999	-18.977737	1.7038764	-14.291834	-23.95182	18.890568	0.055266615	50.17778539657593
5	-492.64658	7.4555845	-473.56454	-501.50516	0.0	0.0	0.0	0.0	100.0	100.0	7499	-24.42402	1.7018845	-19.365974	-29.652079	24.323112	0.06432301	63.46550631523132
6	-486.5916	10.711662	-465.03488	-504.38547	0.0	0.0	0.0	0.0	100.0	100.0	8999	-29.65043	1.6794565	-24.50869	-34.45956	29.529398	0.07460935	76.77995252609253
7	-489.65656	4.2165546	-479.74457	-497.18015	0.0	0.0	0.0	0.0	100.0	100.0	10499	-34.566006	1.6499352	-29.279911	-39.413002	34.4237	0.08820087	90.09117674827576
8	-487.25735	13.50617	-443.26865	-499.62415	0.0	0.0	0.0	0.0	100.0	100.0	11999	-39.22832	1.6484109	-33.676025	-44.31412	39.068073	0.09905601	103.40710043907166
9	-488.2539	7.0600123	-470.30652	-497.81757	0.0	0.0	0.0	0.0	100.0	100.0	13499	-43.640503	1.6394072	-37.900726	-49.521305	43.45708	0.11520141	116.76309990882874
10	-489.9747	8.836404	-474.03723	-499.07626	0.0	0.0	0.0	0.0	100.0	100.0	14999	-47.81572	1.6326414	-41.694958	-53.483135	47.612144	0.1301828	131.4822793006897
11	-444.41974	22.089499	-407.55923	-478.11148	0.0	0.0	0.0	0.0	100.0	100.0	16499	-51.64668	1.6288718	-45.479744	-57.226276	51.43656	0.1390848	157.36773109436035
12	-452.4089	18.635622	-413.87885	-490.13892	0.0	0.0	0.0	0.0	100.0	100.0	17999	-55.15701	1.7065636	-48.93662	-60.83305	54.941395	0.15090647	181.6679744720459
13	-449.3216	19.16693	-398.0829	-470.405	0.0	0.0	0.0	0.0	100.0	100.0	19499	-58.430634	1.7982527	-52.222813	-64.82888	58.223167	0.16069591	206.89409279823303
14	-440.2109	25.507978	-386.07224	-485.33673	0.0	0.0	0.0	0.0	100.0	100.0	20999	-61.497272	1.8858719	-54.941856	-67.91649	61.29271	0.17494497	246.4573905467987
15	-447.92203	32.040836	-369.46985	-481.73218	0.0	0.0	0.0	0.0	100.0	100.0	22499	-64.382515	1.9880501	-57.98511	-71.40476	64.18076	0.19041471	289.53937911987305
16	-445.83102	30.191767	-385.96207	-485.76318	0.0	0.0	0.0	0.0	100.0	100.0	23999	-67.078835	2.0945418	-60.226505	-74.2936	66.87625	0.20090047	343.4606223106384
17	-441.37488	30.662052	-366.94604	-479.32092	0.0	0.0	0.0	0.0	100.0	100.0	25499	-69.60736	2.1989994	-62.4891	-77.284035	69.40024	0.21841909	403.5970997810364
18	-446.42105	29.61557	-387.11163	-485.39648	0.0	0.0	0.0	0.0	100.0	100.0	26999	-71.998436	2.2877	-64.7485	-80.26658	71.79291	0.23520584	448.4090950489044
19	-435.4273	26.140392	-382.014	-482.2057	0.0	0.0	0.0	0.0	100.0	100.0	28499	-74.205315	2.3882196	-66.6005	-83.27187	73.99443	0.25008094	498.7691071033478
20	-427.56042	33.804806	-378.29874	-481.74988	0.0	0.0	0.0	0.0	100.0	100.0	29999	-76.23547	2.4888897	-68.5295	-85.23914	76.020935	0.25874904	550.3631491661072
21	-429.92633	39.15542	-334.68604	-473.1123	0.0	0.0	0.0	0.0	100.0	100.0	31499	-78.1042	2.6158476	-70.16277	-87.70927	77.885	0.27686217	657.0980525016785
22	-422.67175	28.785978	-369.04175	-460.2424	0.0	0.0	0.0	0.0	100.0	100.0	32999	-79.8634	2.7468977	-72.14286	-89.56262	79.63351	0.2859699	726.8543145656586
23	-423.65598	29.955898	-338.69885	-477.56757	0.0	0.0	0.0	0.0	100.0	100.0	34499	-81.45504	2.8744235	-73.44596	-91.65532	81.225945	0.31024057	790.0858519077301
24	-435.04672	28.894602	-381.0623	-485.48267	0.0	0.0	0.0	0.0	100.0	100.0	35999	-82.95612	2.978894	-75.061745	-94.77256	82.72367	0.32727638	858.4973335266113
25	-427.41306	24.74578	-371.95654	-460.6363	0.0	0.0	0.0	0.0	100.0	100.0	37499	-84.36727	3.0763032	-76.358574	-95.55801	84.13142	0.33623886	914.2352838516235
26	-424.81158	23.42757	-392.39847	-471.9803	0.0	0.0	0.0	0.0	100.0	100.0	38999	-85.63267	3.1978638	-77.47499	-96.96487	85.390175	0.35369647	950.5203070640564
27	-414.34457	40.25507	-329.049	-470.45523	0.0	0.0	0.0	0.0	100.0	100.0	40499	-86.78864	3.3319738	-78.23883	-99.02259	86.54186	0.37041056	1001.0562655925751
28	-413.58755	39.645973	-334.26157	-478.36807	0.0	0.0	0.0	0.0	100.0	100.0	41999	-87.856674	3.447049	-78.88188	-100.84988	87.60036	0.38148227	1034.28431391716
29	-418.16846	32.056362	-329.65717	-455.18948	0.0	0.0	0.0	0.0	100.0	100.0	43499	-88.82689	3.5472002	-79.83429	-101.99157	88.57385	0.39309165	1091.7701246738434
30	-426.42346	31.992004	-377.44193	-482.58353	0.0	0.0	0.0	0.0	100.0	100.0	44999	-89.7352	3.6709006	-80.0845	-103.92823	89.48038	0.40941578	1128.4175622463226
31	-410.86447	38.57694	-341.28973	-464.7771	0.0	0.0	0.0	0.0	100.0	100.0	46499	-90.59799	3.7930446	-80.61025	-103.985634	90.33389	0.4333456	1156.9202885627747
32	-418.54797	30.983477	-357.7257	-460.01852	0.0	0.0	0.0	0.0	100.0	100.0	47999	-91.3564	3.8979306	-80.96146	-105.60659	91.08309	0.45505527	1207.6995723247528
33	-421.5036	41.715897	-310.85703	-494.90067	0.0	0.0	0.0	0.0	100.0	100.0	49499	-92.03787	3.9987266	-81.6224	-107.2322	91.76044	0.46143484	1256.446830034256
34	-400.81265	39.656033	-328.63153	-456.17175	0.0	0.0	0.0	0.0	100.0	100.0	50999	-92.64689	4.1025147	-81.53132	-107.66913	92.36467	0.47458044	1300.658756017685
35	-407.10303	36.08064	-337.29095	-461.96762	0.0	0.0	0.0	0.0	100.0	100.0	52499	-93.16983	4.202466	-82.22815	-107.503	92.87962	0.50092214	1332.4592249393463
36	-416.2195	37.236908	-368.5636	-478.4665	0.0	0.0	0.0	0.0	100.0	100.0	53999	-93.70113	4.3101087	-82.44171	-109.61812	93.40573	0.5027974	1394.468108177185
37	-406.2453	47.808506	-284.7159	-461.3962	0.0	0.0	0.0	0.0	100.0	100.0	55499	-94.16705	4.400125	-82.63276	-110.453354	93.87	0.5197843	1445.9916005134583
38	-407.1044	35.62009	-333.12744	-456.03897	0.0	0.0	0.0	0.0	100.0	100.0	56999	-94.539314	4.5038977	-82.892006	-112.273254	94.24154	0.5357804	1487.3497660160065
39	-422.69852	31.383688	-370.25592	-478.73154	0.0	0.0	0.0	0.0	100.0	100.0	58499	-94.91837	4.5683565	-82.92638	-112.38651	94.624084	0.5405609	1523.582300901413
40	-410.33295	49.32917	-296.49738	-489.91867	0.0	0.0	0.0	0.0	100.0	100.0	59999	-95.301506	4.642119	-83.053795	-114.11059	95.00356	0.56532335	1572.8961663246155
41	-424.4869	33.606922	-346.92572	-476.41104	0.0	0.0	0.0	0.0	100.0	100.0	61499	-95.625725	4.7217	-83.55711	-112.90682	95.32379	0.5759331	1602.4201364517212
42	-425.35526	37.733524	-337.06293	-476.17065	0.0	0.0	0.0	0.0	100.0	100.0	62999	-95.94762	4.78422	-83.50486	-114.168144	95.64279	0.58682054	1652.2620840072632
43	-414.0519	41.391273	-314.77026	-471.95444	0.0	0.0	0.0	0.0	100.0	100.0	64499	-96.21952	4.834069	-83.615326	-116.422485	95.919624	0.5830198	1705.1697583198547
44	-411.55594	31.560911	-360.31625	-451.5355	0.0	0.0	0.0	0.0	100.0	100.0	65999	-96.47572	4.898382	-83.79121	-114.129814	96.16923	0.60661083	1759.260348558426
45	-424.00308	32.73854	-370.6324	-468.85855	0.0	0.0	0.0	0.0	100.0	100.0	67499	-96.652626	4.9589434	-83.99982	-117.672134	96.35067	0.5924394	1829.976952791214
46	-408.99786	26.89586	-352.8426	-444.62268	0.0	0.0	0.0	0.0	100.0	100.0	68999	-96.86542	5.008484	-83.493065	-116.03921	96.56187	0.60723615	1874.9493083953857
47	-404.8272	34.718227	-331.62906	-454.87622	0.0	0.0	0.0	0.0	100.0	100.0	70499	-97.01978	5.060594	-83.64877	-116.44635	96.71216	0.6099189	1919.9916822910309
48	-405.49005	28.716656	-348.63397	-454.5492	0.0	0.0	0.0	0.0	100.0	100.0	71999	-97.1234	5.1287336	-83.51849	-118.44611	96.807076	0.6168467	1995.8339941501617
49	-417.57758	19.469278	-387.5699	-455.07114	0.0	0.0	0.0	0.0	100.0	100.0	73499	-97.31164	5.1608925	-83.11158	-119.13172	96.998795	0.6121818	2051.3147990703583
50	-400.4304	35.758415	-328.71906	-459.06516	0.0	0.0	0.0	0.0	100.0	100.0	74999	-97.41259	5.200131	-83.33526	-120.429016	97.09976	0.62084264	2079.5296902656555
