Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-524.29205	8.412593	-509.38574	-535.49023	0.0	0.0	0.0	0.0	100.0	100.0	1499	-5.524293	1.1875949	-0.00970272	-9.058633	5.3163385	1.1542197	9.80054259300232
2	-523.44214	8.642936	-499.04663	-534.28876	0.0	0.0	0.0	0.0	100.0	100.0	2999	-8.821813	1.5167814	-5.645107	-12.6057205	8.706474	0.049750283	23.70488214492798
3	-522.7238	15.066121	-486.62103	-539.88354	0.0	0.0	0.0	0.0	100.0	100.0	4499	-14.363591	1.7419521	-10.152634	-19.669401	14.265393	0.051162012	37.087788105010986
4	-527.36884	6.272274	-518.13275	-537.22894	0.0	0.0	0.0	0.0	100.0	100.0	5999	-20.29168	1.82019	-15.479957	-25.586893	20.176672	0.05968417	50.46290040016174
5	-526.4016	7.850434	-512.64703	-539.4896	0.0	0.0	0.0	0.0	100.0	100.0	7499	-26.12525	1.8000958	-21.141804	-31.29212	26.000605	0.06909054	63.987181186676025
6	-524.2517	10.111067	-500.5656	-535.92957	0.0	0.0	0.0	0.0	100.0	100.0	8999	-31.749332	1.768693	-26.588135	-37.217117	31.615206	0.084770545	77.50883054733276
7	-528.0783	5.7729487	-518.8274	-538.75793	0.0	0.0	0.0	0.0	100.0	100.0	10499	-37.084873	1.7510124	-31.420591	-42.61727	36.940327	0.09768579	90.92810249328613
8	-525.57556	7.3442106	-514.0863	-536.00055	0.0	0.0	0.0	0.0	100.0	100.0	11999	-42.14176	1.7233927	-36.07261	-47.57425	41.982765	0.10606947	104.31879115104675
9	-522.74884	12.914108	-490.38037	-542.16003	0.0	0.0	0.0	0.0	100.0	100.0	13499	-46.904858	1.7080963	-40.861774	-53.039738	46.739574	0.11877069	120.03761339187622
10	-527.5951	8.519188	-512.68805	-538.30493	0.0	0.0	0.0	0.0	100.0	100.0	14999	-51.443584	1.7003409	-45.15998	-57.56587	51.26049	0.13346761	133.934823513031
11	-486.11337	28.465872	-436.65808	-522.39215	0.0	0.0	0.0	0.0	100.0	100.0	16499	-55.66852	1.6704954	-49.31394	-61.95508	55.484703	0.14182584	183.1946587562561
12	-476.80566	29.155727	-415.25055	-526.5888	0.0	0.0	0.0	0.0	100.0	100.0	17999	-59.540985	1.7286934	-52.754814	-66.239235	59.35607	0.15598711	201.7156627178192
13	-455.03497	34.51639	-375.91843	-508.60806	0.0	0.0	0.0	0.0	100.0	100.0	19499	-63.10796	1.8468144	-55.54707	-70.325195	62.923	0.1758827	233.63945150375366
14	-470.46106	31.963276	-390.55786	-516.88196	0.0	0.0	0.0	0.0	100.0	100.0	20999	-66.3886	2.0065174	-58.468815	-74.3666	66.18872	0.19710179	262.58775901794434
15	-465.96494	22.548374	-432.92633	-504.43015	0.0	0.0	0.0	0.0	100.0	100.0	22499	-69.42515	2.1868913	-61.357265	-77.56229	69.217415	0.21131901	319.5352473258972
16	-461.1901	24.713758	-414.59448	-508.22876	0.0	0.0	0.0	0.0	100.0	100.0	23999	-72.23517	2.3756633	-63.881893	-80.82201	72.02033	0.22426197	351.7358901500702
17	-454.88232	41.78072	-368.60876	-521.0612	0.0	0.0	0.0	0.0	100.0	100.0	25499	-74.83131	2.575841	-65.61952	-84.88205	74.6078	0.25072226	422.8678078651428
18	-459.81583	32.64775	-383.41812	-500.80325	0.0	0.0	0.0	0.0	100.0	100.0	26999	-77.28136	2.7649124	-68.2057	-87.21482	77.04576	0.26757887	480.33406686782837
19	-459.5265	24.95696	-413.57797	-517.718	0.0	0.0	0.0	0.0	100.0	100.0	28499	-79.53834	2.926096	-70.126465	-90.517105	79.297165	0.28992233	520.198652267456
20	-461.82526	26.605593	-401.94858	-499.7695	0.0	0.0	0.0	0.0	100.0	100.0	29999	-81.6202	3.0857813	-71.95358	-92.698006	81.374435	0.30849108	550.5373647212982
21	-458.0661	22.650698	-415.14423	-492.45786	0.0	0.0	0.0	0.0	100.0	100.0	31499	-83.55781	3.2405686	-73.38617	-95.794205	83.30868	0.3237208	587.363617181778
22	-453.45862	32.731014	-385.5874	-506.1996	0.0	0.0	0.0	0.0	100.0	100.0	32999	-85.348236	3.3664086	-74.965904	-99.06188	85.08963	0.34274372	664.2837655544281
23	-459.6047	33.388668	-377.58856	-505.4294	0.0	0.0	0.0	0.0	100.0	100.0	34499	-87.02891	3.5234125	-76.537735	-100.31015	86.77098	0.35521913	728.0047862529755
