Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-190.24309	1.8125147	-186.56194	-193.85863	-191.46649	2.4496844	-185.53241	-194.28961	100.0	100.0	1499	-3.532773	1.0849841	0.012357399	-6.4351144	3.4635134	0.06953214	5.545698165893555
2	-190.93369	2.1273544	-184.4816	-195.00778	-193.51256	3.1970232	-187.3181	-199.25916	100.0	100.0	2999	-10.846596	3.169767	-4.7756577	-17.674372	10.781673	0.010992861	14.80517029762268
3	-190.09296	1.9290602	-184.14725	-192.41855	-190.14006	5.549421	-178.6647	-198.57771	100.0	100.0	4499	-21.141935	2.7879412	-15.281634	-26.963013	21.081205	0.021583064	24.32071089744568
4	-189.73413	1.5442151	-185.66254	-192.60399	-188.72017	2.6737719	-182.85805	-192.10333	100.0	100.0	5999	-29.988426	2.3670993	-24.810583	-35.371803	29.933851	0.029485347	33.863489866256714
5	-190.44974	2.208254	-184.7876	-194.42152	-188.81851	2.9531271	-182.63329	-193.79478	100.0	100.0	7499	-37.37348	1.9867381	-32.68561	-42.01045	37.312614	0.03751117	43.439735651016235
6	-190.61842	1.1081903	-188.74205	-193.06337	-187.2618	4.2242374	-178.45479	-192.36963	100.0	100.0	8999	-43.542988	1.6728604	-39.491394	-47.658688	43.48964	0.04002219	53.066847801208496
7	-190.74603	1.5261666	-188.55396	-193.7728	-189.95395	2.955633	-182.76521	-193.85178	100.0	100.0	10499	-48.703945	1.4520036	-45.076176	-63.329765	48.65302	0.04872465	62.99437856674194
8	-189.07323	3.4012408	-177.67578	-192.24353	-188.89297	2.6824205	-183.3489	-191.63199	100.0	100.0	11999	-53.04935	1.2907625	-49.567833	-63.975277	53.006653	0.056640208	73.20628046989441
9	-189.95052	2.0322187	-184.98207	-193.81584	-188.5159	2.4838598	-186.3587	-194.26993	100.0	100.0	13499	-56.659927	1.0880525	-53.460934	-66.7924	56.618366	0.049965292	83.33047199249268
10	-188.26654	2.5106921	-184.02005	-191.69481	-188.5472	2.3946095	-182.62704	-190.87814	100.0	100.0	14999	-59.68364	0.93108505	-56.90593	-68.00504	59.644646	0.051062465	93.52731609344482
11	-189.29742	1.2331326	-187.11809	-191.89629	-189.69322	1.5837384	-187.55363	-192.5963	100.0	100.0	16499	-62.181152	0.81414783	-59.605656	-68.78635	62.14329	0.051414184	104.25014400482178
12	-185.24736	4.3399568	-175.74266	-191.30458	-186.94028	4.349362	-178.35004	-192.3538	100.0	100.0	17999	-64.24219	0.7171383	-61.757504	-69.48346	64.2049	0.04706779	114.27424120903015
13	-185.93112	3.7485104	-175.94254	-191.2101	-186.80319	3.9445546	-177.60747	-191.54233	100.0	100.0	19499	-65.93149	0.6485589	-63.058495	-70.5474	65.894325	0.046005342	124.21885013580322
14	-187.4732	4.485158	-178.59337	-193.07451	-186.1932	4.86434	-177.77629	-194.54156	100.0	100.0	20999	-67.318405	0.63810486	-64.37945	-73.08541	67.2827	0.052511837	135.030695438385
15	-185.04124	4.8008575	-175.72571	-190.38528	-184.3985	5.5209384	-173.39552	-190.07399	100.0	100.0	22499	-68.467514	0.6383582	-65.56461	-75.084885	68.43259	0.05272595	144.8871796131134
16	-184.93027	4.232139	-177.70692	-193.35895	-183.18442	5.960235	-173.9079	-192.88322	100.0	100.0	23999	-69.41798	0.64465547	-66.59622	-73.6663	69.38082	0.04964957	154.9874119758606
17	-185.31224	4.447232	-173.95445	-191.06488	-185.8047	3.3766775	-179.91162	-191.8564	100.0	100.0	25499	-70.14783	0.65498275	-67.20352	-74.29071	70.10687	0.047930483	164.92772459983826
18	-180.16508	7.054816	-166.5954	-190.22574	-187.16383	3.8892248	-179.57451	-193.52931	100.0	100.0	26999	-70.71241	0.69212127	-67.82631	-75.165985	70.66729	0.049635097	174.88154935836792
19	-185.55394	3.9120295	-178.77345	-191.28659	-183.00943	6.5803127	-172.79979	-191.28284	100.0	100.0	28499	-71.11211	0.7493604	-68.12506	-74.62572	71.06169	0.051274978	184.84729623794556
20	-185.80043	6.479946	-168.29344	-191.32907	-183.33246	3.9445286	-176.50659	-188.82199	100.0	100.0	29999	-71.42203	0.7997341	-68.50118	-74.7212	71.37043	0.05026077	194.90231251716614
21	-182.90207	5.5726275	-172.1453	-190.60184	-180.19193	6.58542	-171.39348	-191.32765	100.0	100.0	31499	-71.67374	0.8506221	-68.48764	-76.999054	71.62156	0.052455608	204.95741486549377
22	-177.81601	4.7753506	-169.95462	-189.33023	-182.57724	4.530795	-173.27927	-188.1099	100.0	100.0	32999	-71.8318	0.9232141	-68.53691	-76.11735	71.77771	0.054645833	214.95670008659363
23	-181.78036	5.862494	-170.59666	-190.05739	-187.24486	4.5402384	-176.34535	-194.17561	100.0	100.0	34499	-71.916885	1.0046587	-68.615944	-76.73679	71.85934	0.05001988	225.16988921165466
24	-178.82951	4.837861	-167.25671	-184.3182	-180.38931	6.488706	-165.61333	-188.36865	100.0	100.0	35999	-71.96275	1.0803195	-68.47376	-76.46463	71.90685	0.054225627	235.20582032203674
25	-180.94315	5.9316664	-166.73541	-188.46709	-174.96463	7.023363	-163.05934	-183.01035	100.0	100.0	37499	-71.98978	1.1519225	-68.55148	-76.33334	71.932175	0.05081675	245.20540857315063
26	-177.76894	6.298521	-169.33942	-189.08774	-179.8328	7.199711	-167.85464	-194.62303	100.0	100.0	38999	-71.96196	1.2406915	-68.37519	-77.061134	71.89958	0.05282364	255.19972133636475
27	-182.0849	4.990793	-171.23091	-190.0673	-181.75107	5.58683	-170.43225	-190.41438	100.0	100.0	40499	-71.91325	1.3079855	-68.23652	-77.529976	71.84963	0.05853001	265.2385792732239
28	-178.97383	5.192662	-170.01067	-188.66832	-179.09859	9.030386	-159.35864	-189.299	100.0	100.0	41999	-71.83918	1.3726002	-67.982796	-78.088905	71.773575	0.05522256	275.26877617836
29	-180.38199	4.8976784	-167.2534	-188.41881	-179.15155	7.021889	-167.05112	-191.07663	100.0	100.0	43499	-71.74146	1.4160507	-67.838455	-78.65182	71.672356	0.053675536	284.93792963027954
30	-178.47682	5.546545	-167.96245	-186.5804	-178.32956	7.544554	-157.64528	-186.74147	100.0	100.0	44999	-71.64789	1.4721797	-67.86835	-78.93229	71.57759	0.057363205	295.12297439575195
31	-178.966	5.929731	-169.23508	-186.97018	-177.99753	4.5831423	-168.13463	-184.52298	100.0	100.0	46499	-71.523026	1.5124226	-67.77466	-78.65832	71.45065	0.05407635	304.96146535873413
32	-177.1182	3.877076	-171.23784	-184.56299	-176.31682	3.7090583	-170.71115	-181.9973	100.0	100.0	47999	-71.40005	1.5405076	-67.56843	-79.75857	71.32756	0.05860217	314.79618215560913
33	-176.80911	4.0039454	-169.06683	-185.58499	-180.12112	4.6513124	-173.34781	-187.7111	100.0	100.0	49499	-71.27098	1.5522916	-67.49842	-79.67996	71.19623	0.05539293	324.52851247787476
34	-177.32034	6.504582	-164.34665	-188.33974	-177.63571	3.0755465	-172.74727	-181.44456	100.0	100.0	50999	-71.143326	1.5397874	-67.47333	-78.70587	71.06869	0.05448179	334.2005159854889
