Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-191.0453	1.6679908	-187.1558	-193.33708	-190.51488	2.9349875	-185.85231	-195.08208	100.0	100.0	1499	-3.4692621	1.0341952	0.045796663	-6.2046037	3.3946798	0.07188363	5.53056263923645
2	-190.57721	1.8231361	-187.17441	-194.16762	-190.8168	0.99474245	-189.24062	-192.91548	100.0	100.0	2999	-10.025332	2.7563288	-4.605482	-15.498483	9.978687	0.0081706345	14.485538721084595
3	-190.06044	2.1095924	-185.82213	-192.57124	-190.31291	1.5723642	-186.0194	-191.86365	100.0	100.0	4499	-18.243929	2.0206246	-13.797888	-22.80193	18.18797	0.016553776	23.5377414226532
4	-190.52989	1.9171875	-186.98018	-193.96544	-188.06079	3.219602	-182.59752	-192.14908	100.0	100.0	5999	-24.00947	1.4274061	-20.219454	-27.534163	23.946291	0.022198517	32.47149038314819
5	-190.58675	1.8908532	-187.59988	-193.79422	-189.61581	1.8364909	-185.59267	-192.24318	100.0	100.0	7499	-28.011333	1.0186225	-24.835869	-30.82245	27.95152	0.025024781	41.43842434883118
6	-190.00552	1.2309246	-187.5937	-192.10318	-189.58289	2.5753326	-184.8798	-193.91718	100.0	100.0	8999	-30.780647	0.748644	-27.961723	-33.176067	30.724676	0.025224777	50.53607702255249
7	-188.9975	2.927118	-182.75298	-195.23322	-185.71748	3.2701342	-180.88109	-190.09296	100.0	100.0	10499	-32.701683	0.5777777	-30.401821	-34.659615	32.649048	0.026377019	59.6440064907074
8	-187.44228	3.1076055	-180.46928	-191.19637	-187.0112	3.4636552	-180.06668	-192.27942	100.0	100.0	11999	-34.042236	0.47900972	-32.151726	-35.88384	33.997208	0.026306054	69.10213613510132
9	-184.64458	4.9564857	-172.54993	-191.83176	-183.31837	6.496862	-173.25615	-191.26936	100.0	100.0	13499	-34.973312	0.42658916	-33.33361	-36.46359	34.93451	0.02466063	78.4737024307251
10	-186.79935	3.821514	-177.76604	-191.14233	-182.75418	9.098545	-165.92252	-192.61694	100.0	100.0	14999	-35.607895	0.39955634	-34.26881	-36.997223	35.568798	0.024068108	87.87846231460571
11	-184.25934	5.1788363	-171.20992	-190.32191	-183.80551	4.818182	-172.91286	-189.90036	100.0	100.0	16499	-36.010685	0.40412936	-34.67432	-37.575558	35.96999	0.024618255	97.1765444278717
12	-186.42613	3.7286549	-179.18742	-190.91568	-185.8909	4.355758	-177.33127	-190.89117	100.0	100.0	17999	-36.25226	0.43177137	-34.552002	-37.90105	36.209988	0.024656154	106.53986883163452
13	-182.25713	5.94499	-170.72917	-191.65022	-180.61395	7.744063	-162.11142	-189.43414	100.0	100.0	19499	-36.406273	0.4543905	-34.832535	-38.05609	36.363583	0.02382368	115.88913083076477
14	-184.37679	4.16347	-177.26494	-191.22481	-181.56653	4.7543173	-171.76656	-186.98561	100.0	100.0	20999	-36.469532	0.5022468	-34.75738	-38.12239	36.42394	0.024936432	125.26843118667603
15	-179.97261	3.8328116	-174.84474	-189.21825	-177.54532	9.08465	-155.76146	-188.33907	100.0	100.0	22499	-36.47241	0.5560342	-34.605625	-38.383785	36.423725	0.024576856	134.61647701263428
16	-183.49666	3.7191796	-175.85583	-190.22142	-178.22743	5.6530633	-167.28377	-186.26599	100.0	100.0	23999	-36.426514	0.60340875	-34.493683	-38.353775	36.37552	0.024566414	143.96506309509277
17	-176.78311	7.5507417	-162.63458	-190.70445	-174.01984	10.113635	-150.46301	-187.63	100.0	100.0	25499	-36.36669	0.6508425	-34.31634	-38.366943	36.316406	0.024068454	153.23927474021912
18	-181.53899	4.5547643	-171.23006	-187.19792	-176.14249	6.7271805	-158.82399	-183.69641	100.0	100.0	26999	-36.307793	0.70848036	-34.073944	-38.410007	36.257797	0.025756676	162.49776577949524
19	-178.8502	6.6378794	-166.06573	-189.84306	-177.3564	5.780577	-167.29198	-185.42992	100.0	100.0	28499	-36.238884	0.75171477	-33.850533	-38.59331	36.187233	0.025244053	171.80907607078552
20	-176.95969	7.8201127	-161.45885	-189.69664	-178.63744	6.478798	-170.43607	-186.55647	100.0	100.0	29999	-36.149265	0.8036277	-33.656948	-38.650944	36.09624	0.026517533	181.14484357833862
21	-179.64755	6.0826116	-165.34328	-189.96718	-177.74959	4.450993	-170.79016	-185.12244	100.0	100.0	31499	-36.04554	0.848462	-33.531708	-38.460453	35.99043	0.026404347	190.36417722702026
22	-177.50516	6.405926	-166.94296	-187.70982	-179.82901	5.279971	-167.3351	-187.36241	100.0	100.0	32999	-35.954002	0.8951645	-33.288166	-38.78878	35.898365	0.027590033	199.67618584632874
23	-178.06721	5.3436136	-164.94772	-187.09113	-173.45369	5.0872507	-167.04413	-185.55783	100.0	100.0	34499	-35.879364	0.9210138	-33.100937	-38.69543	35.823563	0.027896281	208.93283939361572
24	-174.82175	4.6356883	-165.32841	-183.13995	-175.00545	5.708518	-167.02634	-183.41216	100.0	100.0	35999	-35.78173	0.9594272	-32.92301	-38.508846	35.72412	0.028993856	218.24547791481018
25	-177.96219	6.1394444	-162.00745	-185.6627	-179.38815	6.915215	-162.65897	-188.6879	100.0	100.0	37499	-35.68084	0.9903681	-32.874	-38.489647	35.62268	0.030188518	227.54160857200623
26	-176.7684	6.6428714	-164.10849	-187.85709	-175.80846	4.3032413	-169.70578	-183.31967	100.0	100.0	38999	-35.595715	1.0070081	-32.704556	-38.30318	35.534203	0.029330267	236.86773538589478
27	-176.65192	5.520324	-167.39337	-187.05203	-171.70789	4.9678707	-165.70107	-179.94348	100.0	100.0	40499	-35.50771	1.0113536	-32.57181	-38.340717	35.44531	0.02941655	246.1577091217041
28	-172.4453	4.9179025	-165.67412	-181.48698	-176.5796	6.3316584	-165.3846	-184.0425	100.0	100.0	41999	-35.41599	1.0283657	-32.50787	-38.204563	35.355095	0.031233871	255.44327783584595
29	-175.19208	6.372181	-164.85243	-185.93246	-175.18115	5.0653033	-169.82068	-184.44754	100.0	100.0	43499	-35.334938	1.0499858	-32.471794	-38.16035	35.271873	0.030309875	264.69118785858154
30	-174.4118	4.8972745	-165.6777	-182.49918	-175.43698	5.2680106	-166.83952	-183.4613	100.0	100.0	44999	-35.254963	1.0640396	-32.371063	-38.470757	35.19236	0.030500442	274.05403661727905
31	-172.42047	5.282357	-164.49399	-185.41951	-170.75127	5.925627	-160.96886	-181.56862	100.0	100.0	46499	-35.191555	1.0670433	-32.343266	-38.26527	35.1299	0.030356565	283.3684506416321
32	-173.75182	5.7452884	-162.69176	-183.77802	-172.82669	6.914357	-159.27827	-184.18442	100.0	100.0	47999	-35.113514	1.0793432	-32.34243	-38.23656	35.050186	0.030590048	292.8668563365936
33	-175.79213	6.171912	-167.65819	-185.46654	-179.14233	6.386443	-167.10275	-188.30936	100.0	100.0	49499	-35.040623	1.0911897	-32.264942	-38.23157	34.977497	0.030714313	302.26032543182373
34	-175.11261	5.526046	-167.83627	-190.0729	-176.48193	6.131381	-166.20435	-184.19714	100.0	100.0	50999	-34.97821	1.101534	-32.220398	-38.115444	34.915203	0.030402021	311.5842185020447
35	-175.73486	5.5232797	-163.99301	-183.46199	-172.54636	2.8806317	-168.29877	-177.68805	100.0	100.0	52499	-34.935444	1.1100279	-32.263374	-38.502544	34.871616	0.030276192	320.92815947532654
36	-171.82672	5.141005	-163.1327	-183.67712	-176.1973	3.2035022	-171.00049	-182.30989	100.0	100.0	53999	-34.874165	1.113801	-32.22812	-38.2015	34.808815	0.029621843	330.2774610519409
37	-173.32558	5.700238	-163.7022	-185.50374	-174.51126	5.7535152	-166.1901	-183.97836	100.0	100.0	55499	-34.805008	1.120044	-32.191753	-37.9502	34.73872	0.029300654	339.7062427997589
38	-175.72536	5.5238633	-166.6775	-182.9886	-174.83487	3.3960156	-170.67699	-181.02617	100.0	100.0	56999	-34.757385	1.1192644	-32.122684	-38.126904	34.692757	0.028839422	349.10254430770874
