Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-191.35237	1.1152201	-188.65952	-193.61147	-189.8475	3.1014805	-184.64922	-194.83585	100.0	100.0	1499	-2.2334414	0.3648226	0.000545986	-5.1162696	2.1797729	0.0719119	5.241577386856079
2	-189.96584	2.640235	-182.74019	-193.80164	-190.28366	2.0769472	-187.95706	-194.49648	100.0	100.0	2999	-3.5283537	0.5761928	-2.3530362	-5.359984	3.4942582	0.0023327703	14.347164869308472
3	-190.02281	1.4052867	-187.56082	-192.2109	-188.6387	3.369718	-182.98639	-193.25906	100.0	100.0	4499	-5.5353484	0.61856335	-4.073996	-7.4035625	5.5016966	0.00314602	23.396347284317017
4	-190.09721	1.8878717	-185.9532	-194.48973	-186.15085	5.1443186	-174.103	-192.33493	100.0	100.0	5999	-7.6031275	0.61929023	-6.02352	-9.417979	7.5662746	0.005219472	32.37684917449951
5	-190.53156	2.2824593	-184.2096	-193.79935	-189.06577	2.8759954	-184.36676	-192.69754	100.0	100.0	7499	-9.601117	0.6006066	-7.8738675	-11.26822	9.5646925	0.0069602774	41.388938665390015
6	-191.10533	1.735905	-189.20172	-194.64296	-188.82428	3.4840336	-180.71399	-191.9412	100.0	100.0	8999	-11.511554	0.58285284	-9.761957	-13.250704	11.474909	0.008213053	50.477989196777344
7	-188.24757	3.3858063	-181.47646	-191.96231	-186.8644	5.0606194	-176.49008	-192.89923	100.0	100.0	10499	-13.303713	0.55453455	-11.464861	-15.046211	13.263986	0.010438329	59.68123126029968
8	-186.2205	3.193452	-180.81927	-190.74156	-183.77719	7.0918994	-165.00102	-189.45917	100.0	100.0	11999	-14.9520235	0.5370732	-13.214532	-19.717701	14.912876	0.011944127	69.18297863006592
9	-183.35837	6.503248	-164.3573	-190.56291	-182.39183	6.57026	-169.90306	-192.93155	100.0	100.0	13499	-16.49066	0.52751076	-14.769267	-20.90347	16.45386	0.012644234	78.62000036239624
10	-184.06972	4.549455	-172.62207	-190.61826	-181.40576	6.233129	-171.52483	-191.28578	100.0	100.0	14999	-17.910788	0.5221592	-16.2601	-21.579355	17.871307	0.012915579	87.96201086044312
11	-181.33885	6.0725822	-169.29897	-189.9924	-183.54565	3.5241516	-178.32715	-189.02156	100.0	100.0	16499	-19.22856	0.5154319	-17.53075	-22.736088	19.188473	0.013882672	97.43221116065979
12	-183.64474	4.1565146	-177.92856	-190.4879	-181.18947	4.6284814	-172.94768	-188.82011	100.0	100.0	17999	-20.440882	0.52461225	-18.642565	-23.858582	20.400114	0.014455788	106.75615286827087
13	-181.37212	4.909284	-171.66913	-187.5051	-182.45398	4.3849926	-176.58305	-188.92522	100.0	100.0	19499	-21.572777	0.5292953	-19.601307	-24.50635	21.532639	0.014967904	116.09764170646667
14	-181.78319	4.8328433	-171.42221	-188.59706	-180.4501	3.7997003	-174.09764	-187.04742	100.0	100.0	20999	-22.612547	0.5383766	-20.56666	-25.277231	22.571049	0.015355391	125.46388602256775
15	-181.586	7.1864424	-166.64468	-189.94373	-182.03789	4.7651205	-172.98987	-187.81282	100.0	100.0	22499	-23.580652	0.54848355	-21.590199	-26.253468	23.5384	0.016592907	134.89367175102234
16	-182.83168	3.3622947	-176.55351	-187.27946	-182.01889	4.5269623	-175.48865	-189.22554	100.0	100.0	23999	-24.474033	0.55973166	-22.374907	-27.15642	24.430769	0.017471721	144.2614722251892
17	-180.96574	3.8492901	-173.91069	-189.37729	-178.91867	4.515389	-168.98126	-184.7654	100.0	100.0	25499	-25.301231	0.57257503	-23.218454	-28.638521	25.255829	0.018551346	153.64980912208557
18	-180.60602	5.417199	-170.90234	-187.7995	-182.6404	4.5110717	-171.09825	-188.80196	100.0	100.0	26999	-26.05979	0.5802429	-24.013124	-28.953156	26.014912	0.017985884	163.05315446853638
19	-177.22025	5.7296996	-169.04959	-186.70145	-180.37686	3.9007726	-172.72635	-185.77812	100.0	100.0	28499	-26.759266	0.5942764	-24.627802	-29.385887	26.714125	0.018635564	172.4027500152588
20	-180.44443	5.0264764	-171.27637	-189.91043	-179.02133	4.254174	-170.83067	-183.08693	100.0	100.0	29999	-27.4062	0.60565776	-25.356243	-30.304426	27.359747	0.018493213	181.8078589439392
21	-179.69969	3.8982427	-172.96848	-187.26645	-178.96008	5.5232067	-164.80048	-184.92877	100.0	100.0	31499	-28.005493	0.62432796	-25.884413	-30.90059	27.957865	0.019277053	191.11638236045837
22	-178.89482	7.350381	-159.92723	-189.2199	-176.49088	5.708156	-162.21848	-182.74568	100.0	100.0	32999	-28.551914	0.63963276	-26.502487	-31.035187	28.503607	0.019501463	200.4471037387848
