Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-229.01198	2.1282752	-225.06978	-233.47025	-227.075	3.415758	-219.72182	-231.5209	100.0	100.0	1499	-13.943986	6.5432196	0.035523407	-25.196442	13.7028475	0.28308654	6.87448263168335
2	-228.78183	1.38957	-226.71452	-231.07277	-225.84189	3.4759734	-218.83772	-231.8085	100.0	100.0	2999	-27.78761	1.8032916	-20.041435	-31.684975	27.66487	0.031513773	19.42067551612854
3	-230.04657	1.0361866	-227.64719	-232.11954	-226.70572	2.0096152	-224.11357	-231.42007	100.0	100.0	4499	-29.610518	0.38489977	-28.24972	-31.673262	29.541494	0.021369379	31.798381328582764
4	-228.52107	3.169281	-220.49652	-233.0792	-228.64005	3.0866756	-220.52621	-233.15123	100.0	100.0	5999	-29.91642	0.30106857	-28.888853	-33.563625	29.86675	0.016357163	44.99081254005432
5	-228.71414	2.2328134	-223.98576	-231.31567	-228.08675	3.536245	-220.03815	-232.73389	100.0	100.0	7499	-30.051603	0.28082198	-29.066772	-32.710754	30.01332	0.014251932	58.41853713989258
6	-228.1512	3.731958	-220.21977	-233.0822	-230.49228	1.2002488	-228.11336	-232.2813	100.0	100.0	8999	-30.13499	0.28304777	-29.087275	-32.022423	30.104094	0.013380172	71.87817788124084
7	-227.3583	3.03577	-221.6171	-233.09721	-228.47891	3.2043993	-219.22809	-231.32492	100.0	100.0	10499	-30.118784	0.29893607	-29.06401	-32.2046	30.087864	0.013531816	85.35551905632019
8	-224.99283	4.6387243	-214.2919	-233.0621	-227.9078	1.7181034	-225.36247	-230.78645	100.0	100.0	11999	-30.07496	0.32702655	-28.99003	-32.12988	30.04343	0.012936637	98.71876692771912
9	-224.12575	3.507899	-216.82867	-227.7862	-224.91585	3.8451593	-219.11014	-231.23607	100.0	100.0	13499	-29.993086	0.35461357	-28.814583	-32.298363	29.960434	0.012846319	112.0442726612091
10	-223.9251	3.1558366	-219.27586	-229.59293	-220.90523	5.4487486	-211.09071	-229.91278	100.0	100.0	14999	-29.923433	0.3711781	-28.714218	-32.37837	29.890196	0.012710729	125.42328310012817
11	-223.31505	4.5197906	-216.61986	-233.0061	-222.75082	4.98756	-210.11604	-228.89954	100.0	100.0	16499	-29.86681	0.3815988	-28.409735	-32.189846	29.83335	0.01271153	138.8363540172577
12	-222.06252	5.0530844	-211.29341	-230.82428	-224.08562	5.764721	-212.79636	-230.22908	100.0	100.0	17999	-29.79888	0.41680628	-28.459549	-31.938047	29.764927	0.013023543	152.25445294380188
13	-220.53867	6.360599	-205.35497	-229.73227	-218.05843	6.1364512	-208.01181	-225.86	100.0	100.0	19499	-29.733036	0.45552862	-28.263765	-32.0292	29.698088	0.013462957	165.4968967437744
14	-221.35938	5.8010306	-210.24957	-230.90842	-218.74165	8.27169	-204.78806	-230.79776	100.0	100.0	20999	-29.652267	0.48954856	-28.078989	-32.154747	29.6149	0.014048518	178.91990613937378
15	-217.59677	5.1394453	-203.0178	-224.94754	-219.45486	6.0097923	-210.4932	-228.38982	100.0	100.0	22499	-29.564667	0.51068956	-27.962297	-32.344826	29.526068	0.014205885	192.2670383453369
16	-219.98802	3.9435549	-211.57516	-227.52612	-216.64749	7.6484847	-196.6783	-227.53246	100.0	100.0	23999	-29.5162	0.5270996	-27.938568	-32.705906	29.478546	0.014213447	205.54006719589233
17	-217.06577	7.265962	-202.68741	-229.42522	-219.56332	6.5347705	-208.69305	-228.99806	100.0	100.0	25499	-29.45759	0.5537187	-27.808884	-32.94933	29.418438	0.014581691	218.95281887054443
18	-216.0686	4.649095	-209.6182	-228.31865	-214.87961	7.535697	-204.28847	-229.75137	100.0	100.0	26999	-29.353493	0.5954888	-27.49288	-32.734936	29.312387	0.014946732	232.2325758934021
19	-218.8731	5.707187	-206.51265	-229.19597	-211.58496	8.163212	-194.4412	-223.13487	100.0	100.0	28499	-29.284557	0.62953043	-27.395285	-33.026306	29.242159	0.015503747	245.43744611740112
20	-214.1105	5.0745792	-202.53467	-222.15561	-214.59871	9.390535	-191.46977	-230.03108	100.0	100.0	29999	-29.199574	0.65592855	-27.22772	-32.902046	29.154345	0.015536751	258.8026089668274
21	-211.43944	5.9019527	-194.96996	-222.90683	-206.2731	7.176826	-198.54066	-221.28308	100.0	100.0	31499	-29.115574	0.6792373	-27.124434	-32.957645	29.07025	0.015957955	271.99166107177734
22	-215.47328	4.953629	-203.36104	-223.10072	-203.92717	6.872775	-193.84872	-213.93544	100.0	100.0	32999	-29.019487	0.71740997	-27.0843	-33.043327	28.971453	0.016346026	285.19594073295593
23	-216.16026	6.457711	-203.40988	-224.40558	-204.55473	6.767576	-196.83276	-214.61728	100.0	100.0	34499	-28.975397	0.72332704	-26.986963	-33.206787	28.926842	0.01630174	298.38770627975464
24	-213.16449	6.125906	-201.01262	-225.80952	-211.03995	8.033507	-199.34134	-226.62793	100.0	100.0	35999	-28.919874	0.7400738	-26.895721	-33.003426	28.871407	0.0163616	311.67057061195374
25	-209.53928	8.840498	-196.44899	-226.31396	-209.53548	10.220306	-194.84526	-230.32733	100.0	100.0	37499	-28.84963	0.76306146	-26.743961	-33.202126	28.799906	0.016649937	324.81606459617615
26	-212.80917	7.047504	-195.28862	-221.23885	-206.40005	8.835551	-194.13148	-225.05807	100.0	100.0	38999	-28.770107	0.80059123	-26.656479	-33.005142	28.718834	0.017120363	338.01723766326904
27	-211.68181	7.3124986	-199.1195	-224.63971	-209.71326	8.347922	-193.82668	-226.99182	100.0	100.0	40499	-28.715437	0.82249826	-26.632624	-33.503513	28.663385	0.01733251	351.2204999923706
28	-212.6464	4.8693995	-203.30069	-220.38048	-205.40787	4.882247	-196.41127	-212.81949	100.0	100.0	41999	-28.656754	0.84042364	-26.52674	-33.602127	28.60401	0.01733676	364.41392397880554
29	-210.49698	5.6702075	-201.51541	-219.82988	-205.5588	7.4010043	-194.0152	-218.10298	100.0	100.0	43499	-28.621773	0.8478427	-26.509453	-33.40024	28.570486	0.01717387	377.5893087387085
30	-212.83662	5.1821365	-205.12714	-223.80177	-205.11398	9.582155	-188.49423	-219.915	100.0	100.0	44999	-28.577497	0.8591987	-26.534586	-33.581173	28.525208	0.017134076	390.8135783672333
31	-213.6704	5.8305025	-205.19505	-226.30675	-209.5544	11.416243	-187.14185	-228.20163	100.0	100.0	46499	-28.537304	0.8622687	-26.548058	-33.31335	28.48488	0.01733125	404.01349568367004
32	-212.54181	6.5757756	-199.94148	-223.59326	-209.54826	8.442505	-192.70793	-221.51645	100.0	100.0	47999	-28.49613	0.8746817	-26.523838	-33.34811	28.442606	0.01734626	417.4859037399292
33	-212.01546	5.886712	-198.18933	-222.78474	-206.53316	8.390635	-192.22746	-219.10168	100.0	100.0	49499	-28.451736	0.8904379	-26.422802	-33.17198	28.397484	0.017279334	430.61518597602844
34	-214.4401	5.6810107	-200.00064	-224.94856	-206.53008	8.982965	-194.3038	-219.36147	100.0	100.0	50999	-28.434246	0.90479803	-26.392689	-33.269882	28.379906	0.017910661	443.9179196357727
35	-212.57826	6.498577	-198.65152	-222.30957	-209.50009	9.589838	-191.22751	-228.3642	100.0	100.0	52499	-28.405504	0.9020027	-26.367594	-33.442947	28.351511	0.017639708	457.1667983531952
36	-210.84303	6.3616185	-201.70439	-221.75182	-206.37424	6.72392	-195.54611	-216.86522	100.0	100.0	53999	-28.39135	0.8970433	-26.364466	-33.614994	28.338797	0.01766134	470.44454860687256
