Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-228.89265	1.7110698	-225.6402	-231.66748	-226.77087	2.824704	-223.68181	-232.16667	100.0	100.0	1499	-13.941468	6.639924	0.014148533	-25.079721	13.697534	0.3062645	5.735584497451782
2	-229.44145	1.4192438	-226.28508	-232.65833	-227.66154	4.082045	-218.87024	-233.27295	100.0	100.0	2999	-27.83743	1.8274153	-20.362055	-32.13993	27.720184	0.030596824	15.872684478759766
3	-229.38652	2.1799057	-225.02531	-232.71504	-227.12851	3.2247322	-221.1822	-232.33913	100.0	100.0	4499	-29.765276	0.4870023	-27.593275	-32.885662	29.704742	0.020145342	26.03183889389038
4	-228.19708	2.8211024	-219.96347	-232.53043	-229.10306	1.9777384	-226.27544	-233.50645	100.0	100.0	5999	-30.006475	0.32549596	-28.795723	-31.882038	29.964981	0.014133094	36.325156688690186
5	-227.9167	2.3210144	-222.93224	-230.55623	-228.14551	2.8251867	-221.94731	-232.66977	100.0	100.0	7499	-30.112774	0.27893066	-29.19807	-31.093775	30.081656	0.0121739935	46.84938621520996
6	-226.47192	3.4787717	-221.05379	-232.62923	-225.13992	4.104579	-214.8019	-229.64555	100.0	100.0	8999	-30.093002	0.2946027	-29.084633	-31.190796	30.062073	0.011616093	57.37242579460144
7	-226.64166	2.91845	-219.85562	-232.27019	-228.39172	3.2286482	-221.40504	-231.66759	100.0	100.0	10499	-30.02334	0.31371656	-29.052677	-31.184772	29.991587	0.012001174	67.88088536262512
8	-226.40172	3.9000986	-218.68712	-231.59605	-226.88152	4.6840754	-216.12012	-232.36996	100.0	100.0	11999	-30.016455	0.32695225	-28.966196	-31.171259	29.987196	0.012530089	78.38875961303711
9	-224.44382	4.8209867	-214.98766	-231.78836	-224.80557	4.350303	-218.42865	-231.09924	100.0	100.0	13499	-29.99841	0.34377933	-28.771988	-31.294758	29.969942	0.012368734	88.93693447113037
10	-223.56699	4.4981437	-216.16908	-231.95473	-225.76819	3.0719626	-221.72397	-230.9484	100.0	100.0	14999	-29.917818	0.37134683	-28.636618	-31.250399	29.887743	0.012350488	99.41053867340088
11	-225.0226	4.1195617	-214.50366	-232.8577	-226.98994	4.713347	-216.2541	-232.72571	100.0	100.0	16499	-29.869652	0.3934504	-28.459509	-31.408895	29.839052	0.012793573	109.78170275688171
12	-225.19984	2.6002572	-221.15959	-229.82631	-224.10367	4.5143785	-216.51697	-228.64484	100.0	100.0	17999	-29.86229	0.39709428	-28.389807	-31.476955	29.83278	0.012846675	120.32437872886658
13	-222.97247	5.119263	-214.4783	-230.4838	-222.35603	7.707895	-209.14096	-231.65352	100.0	100.0	19499	-29.831457	0.40213618	-28.426697	-31.56754	29.80199	0.012869176	130.83011603355408
14	-223.40192	5.1045055	-210.35956	-231.63971	-217.2334	6.3771524	-205.52744	-224.1094	100.0	100.0	20999	-29.792486	0.43182597	-28.303745	-31.768084	29.762772	0.013462671	141.27606630325317
15	-219.81924	5.921456	-206.99693	-227.51863	-217.56592	6.120621	-203.0157	-224.07103	100.0	100.0	22499	-29.732025	0.45758092	-28.109528	-31.995285	29.70078	0.0142100435	151.6659014225006
16	-217.52895	7.038927	-206.42813	-231.58777	-215.18515	5.0384016	-208.92407	-225.02605	100.0	100.0	23999	-29.639864	0.4999993	-27.887743	-32.15336	29.605427	0.014996373	162.06171131134033
17	-214.32504	5.526677	-203.09018	-223.0326	-213.66513	9.7502165	-199.83432	-227.17094	100.0	100.0	25499	-29.50802	0.53991824	-27.77601	-32.106018	29.469448	0.016182946	172.45076060295105
18	-216.01283	5.4990344	-208.09079	-226.45853	-216.93723	5.8705506	-206.90576	-227.06534	100.0	100.0	26999	-29.377304	0.5793487	-27.745274	-31.866575	29.335484	0.017275276	182.85596179962158
19	-217.37672	5.242194	-206.98744	-227.49606	-215.94221	6.479208	-205.45436	-226.87946	100.0	100.0	28499	-29.289028	0.59308904	-27.586416	-31.783115	29.244968	0.0175668	193.30745577812195
20	-216.4901	7.241971	-203.03131	-228.38387	-205.41472	10.469466	-192.41728	-222.3583	100.0	100.0	29999	-29.225142	0.61687845	-27.43625	-31.631878	29.180513	0.017585548	203.67842292785645
21	-218.02742	5.0652933	-205.44061	-226.4806	-213.27193	8.699102	-194.67032	-226.70273	100.0	100.0	31499	-29.172495	0.6370115	-27.311615	-31.633423	29.127825	0.018053899	214.1356394290924
22	-211.05684	6.489004	-201.89853	-225.3133	-212.19998	7.073691	-195.13704	-223.26237	100.0	100.0	32999	-29.1176	0.6646319	-27.156973	-31.679295	29.07312	0.018146705	224.52238702774048
23	-215.35748	7.119399	-204.50313	-228.59491	-213.22253	6.557335	-203.93318	-226.44551	100.0	100.0	34499	-29.058058	0.68452996	-27.10889	-31.751055	29.012733	0.018995829	234.9711365699768
24	-211.65622	5.352192	-200.9917	-224.8405	-210.11938	10.530872	-186.1339	-220.0939	100.0	100.0	35999	-28.982199	0.7047741	-27.036394	-31.79798	28.935667	0.019252315	245.40320253372192
25	-213.51485	6.766221	-202.76361	-226.0792	-214.60043	8.875764	-198.12209	-226.34982	100.0	100.0	37499	-28.902716	0.7257577	-27.029627	-31.959097	28.855032	0.019744353	255.7692677974701
26	-214.88376	6.3073826	-200.8577	-223.02757	-213.92569	8.604971	-201.67815	-230.15097	100.0	100.0	38999	-28.857769	0.74763256	-26.944122	-31.986387	28.810383	0.020245995	266.1819577217102
27	-214.48285	4.174224	-207.62605	-220.93729	-211.20996	6.579481	-201.17249	-226.13493	100.0	100.0	40499	-28.810963	0.75701165	-26.818089	-32.160805	28.762625	0.019880025	276.5232231616974
28	-214.02245	5.0420337	-205.72002	-222.25235	-207.52795	8.202819	-187.35901	-219.10197	100.0	100.0	41999	-28.791838	0.76252025	-26.741407	-32.019165	28.744719	0.01971567	286.90215277671814
29	-213.31659	6.5036306	-196.61293	-226.70923	-208.4393	8.792487	-192.7571	-218.11073	100.0	100.0	43499	-28.769428	0.7617245	-26.764978	-32.17988	28.723036	0.019435283	297.2659409046173
30	-214.2264	5.6033573	-203.8785	-222.7231	-210.76123	7.469326	-196.88773	-220.02423	100.0	100.0	44999	-28.728985	0.7727365	-26.722357	-32.127937	28.682587	0.019126268	307.6224410533905
31	-214.58746	6.444675	-200.84521	-229.85907	-209.63773	7.8540545	-194.96115	-220.01778	100.0	100.0	46499	-28.71691	0.77449715	-26.730154	-32.256603	28.671638	0.019202705	317.9412477016449
32	-215.3171	4.8990173	-206.89198	-223.06694	-213.39804	9.45715	-190.80612	-228.90862	100.0	100.0	47999	-28.70746	0.778053	-26.737783	-32.164494	28.663465	0.018642187	328.41771149635315
33	-212.18471	3.7137032	-207.32695	-220.25983	-209.53598	7.2350335	-196.72362	-221.14835	100.0	100.0	49499	-28.68832	0.78477377	-26.700241	-32.201996	28.644781	0.018123744	338.77208518981934
34	-214.28128	5.06901	-203.929	-221.63817	-206.61862	8.270927	-190.83858	-223.87308	100.0	100.0	50999	-28.665154	0.7927274	-26.676426	-32.108166	28.622263	0.017711742	349.1630582809448
35	-211.7244	5.530523	-199.86314	-218.93324	-213.35274	6.498275	-201.34909	-221.6756	100.0	100.0	52499	-28.631493	0.79182446	-26.682922	-32.131172	28.588245	0.017449846	359.4514935016632
36	-211.63858	4.2415385	-202.81483	-220.54407	-206.6027	9.283241	-191.04065	-218.35184	100.0	100.0	53999	-28.605944	0.80138224	-26.601025	-32.142548	28.563234	0.01702996	369.8279311656952
37	-213.72508	6.435234	-202.19897	-225.24788	-211.89075	10.128886	-192.93536	-224.45386	100.0	100.0	55499	-28.589579	0.8004243	-26.636047	-32.0908	28.548101	0.016848939	380.2534866333008
38	-210.96585	6.6878643	-195.91277	-223.61472	-208.57083	6.838866	-197.34042	-219.28911	100.0	100.0	56999	-28.570303	0.8090575	-26.582264	-32.173782	28.52926	0.016787125	390.6226179599762
39	-207.5876	8.161331	-190.8934	-216.49475	-210.90152	8.817814	-198.26865	-224.40529	100.0	100.0	58499	-28.536402	0.8191455	-26.53002	-32.22823	28.494808	0.016760714	401.0383336544037
40	-210.37973	6.468541	-195.2558	-217.83786	-203.38042	5.893322	-193.02448	-211.35553	100.0	100.0	59999	-28.503786	0.8279913	-26.472933	-32.151463	28.462547	0.016928572	411.3236129283905
41	-210.97903	5.949292	-201.16093	-223.10075	-206.40067	6.903205	-189.77321	-217.33015	100.0	100.0	61499	-28.47342	0.8303549	-26.419153	-32.219948	28.432558	0.016728437	421.694260597229
42	-207.41316	5.562282	-198.96039	-221.12	-211.9764	8.586679	-200.4212	-223.58345	100.0	100.0	62999	-28.446144	0.84277105	-26.414766	-32.28444	28.40477	0.016967172	432.0818862915039
43	-212.23068	4.4863167	-201.52313	-219.23003	-207.8707	7.1811433	-195.21945	-217.84798	100.0	100.0	64499	-28.407198	0.84465474	-26.420515	-32.08091	28.36555	0.016952125	442.546156167984
44	-212.44772	4.9618993	-203.17952	-220.10512	-203.07126	9.868796	-185.75945	-220.85727	100.0	100.0	65999	-28.399124	0.8441116	-26.425344	-32.144814	28.358814	0.016904496	452.8676481246948
45	-210.78755	7.290304	-199.67078	-225.44199	-210.988	8.704898	-198.75066	-225.64188	100.0	100.0	67499	-28.383675	0.85308564	-26.396877	-32.245785	28.343395	0.017000148	463.3240575790405
46	-213.33293	5.9113755	-197.71362	-221.08551	-205.72568	9.098888	-187.58607	-218.92093	100.0	100.0	68999	-28.365808	0.8558924	-26.39228	-32.353767	28.325651	0.017005287	473.757199048996
47	-213.08304	6.043299	-202.93597	-223.87772	-208.3262	8.987952	-184.41473	-217.31635	100.0	100.0	70499	-28.356192	0.8645333	-26.347015	-32.34026	28.316376	0.016981509	484.2447102069855
48	-211.74712	6.1628194	-200.99617	-220.35898	-205.0854	13.103457	-176.38498	-218.71652	100.0	100.0	71999	-28.343132	0.86211467	-26.346384	-32.120964	28.303923	0.016702605	494.7301106452942
49	-215.0704	9.162108	-199.22641	-231.23895	-211.62065	6.2787642	-201.77145	-223.52014	100.0	100.0	73499	-28.32939	0.86805207	-26.351002	-32.299965	28.290049	0.01643792	505.34615898132324
50	-212.55	6.4391637	-200.83252	-223.28795	-209.15659	8.351786	-194.72237	-220.11136	100.0	100.0	74999	-28.330492	0.86472636	-26.328907	-32.23753	28.292213	0.016542893	516.011634349823
51	-214.22456	5.3540487	-205.8653	-225.69183	-206.15144	6.535623	-191.44083	-215.70923	100.0	100.0	76499	-28.327593	0.8695804	-26.320349	-32.117035	28.28962	0.016621327	526.6968338489532
52	-210.81369	4.250848	-202.81387	-217.66225	-206.89822	9.762441	-187.75586	-224.42459	100.0	100.0	77999	-28.315536	0.86572814	-26.349804	-32.23685	28.277542	0.016545529	537.4833364486694
53	-209.41656	5.9584823	-197.05557	-218.49951	-213.158	9.857511	-199.38268	-230.53566	100.0	100.0	79499	-28.305717	0.86390966	-26.347218	-32.194904	28.268064	0.016278906	548.2334082126617
54	-211.98906	6.281884	-198.30403	-222.89127	-205.83057	8.314657	-188.84583	-219.12605	100.0	100.0	80999	-28.292774	0.8613489	-26.343729	-32.00948	28.255423	0.016181307	559.0126514434814
55	-209.36732	6.9279914	-193.83817	-222.30988	-204.44446	6.5177417	-193.82306	-213.1242	100.0	100.0	82499	-28.289486	0.8606202	-26.36175	-32.127842	28.253115	0.016348012	569.7795855998993
56	-212.40178	6.217982	-198.84904	-222.78781	-206.3232	5.0235434	-198.6205	-214.00227	100.0	100.0	83999	-28.273226	0.86383677	-26.286638	-32.07821	28.237177	0.015983755	580.4721720218658
57	-211.16335	5.237961	-201.22191	-219.49234	-208.22546	4.410916	-200.22145	-216.4224	100.0	100.0	85499	-28.264664	0.8633882	-26.30187	-32.045574	28.229116	0.015855506	591.2241234779358
58	-211.15059	5.4652963	-200.73795	-220.11032	-209.27975	5.8992996	-197.68152	-216.60759	100.0	100.0	86999	-28.256207	0.866285	-26.347261	-32.089058	28.220943	0.01603365	601.932806968689
59	-209.82782	4.082026	-202.55309	-217.50853	-207.78133	10.56666	-192.189	-225.9345	100.0	100.0	88499	-28.242546	0.8621315	-26.332117	-32.05208	28.207474	0.015748957	612.7088024616241
60	-210.10767	5.869053	-198.83664	-219.181	-208.78	9.067606	-191.81044	-223.3238	100.0	100.0	89999	-28.234478	0.8653037	-26.339535	-32.18866	28.200104	0.015878607	623.5625925064087
61	-209.64107	6.3650737	-199.32643	-219.05717	-209.06438	3.5912113	-200.85448	-213.91115	100.0	100.0	91499	-28.22123	0.8616406	-26.315924	-32.069405	28.18688	0.01582101	634.3242366313934
62	-212.31198	4.817373	-203.96295	-222.56525	-209.20898	7.347135	-191.18056	-216.7377	100.0	100.0	92999	-28.207237	0.86179185	-26.296156	-32.062157	28.172636	0.015816484	645.1248817443848
63	-210.0223	6.162009	-199.23906	-221.13232	-206.56111	7.4098125	-194.06357	-219.64307	100.0	100.0	94499	-28.206942	0.86193997	-26.305946	-32.18473	28.173122	0.015554331	655.9075291156769
64	-211.8604	5.5958447	-204.59221	-223.58455	-207.73955	8.98441	-188.29784	-219.477	100.0	100.0	95999	-28.201473	0.8598209	-26.285686	-31.987402	28.167648	0.01564547	666.8032886981964
65	-209.6996	5.262507	-202.42943	-221.9219	-207.75163	5.1509767	-200.78699	-219.39955	100.0	100.0	97499	-28.184458	0.86119854	-26.296507	-32.051918	28.150524	0.015433959	677.5961728096008
66	-211.67978	7.622211	-198.76929	-224.9977	-206.75064	6.876468	-191.9353	-217.26805	100.0	100.0	98999	-28.181149	0.8615939	-26.32739	-32.195076	28.147766	0.015552124	688.3292491436005
67	-210.185	5.159871	-198.28387	-217.97934	-208.28242	8.349869	-190.64764	-218.47876	100.0	100.0	100499	-28.172386	0.8608232	-26.342508	-32.02933	28.139076	0.015318969	699.1385877132416
68	-210.11467	5.728263	-200.60452	-222.47644	-206.19746	7.3125863	-190.04565	-215.62375	100.0	100.0	101999	-28.168697	0.862328	-26.367367	-32.08361	28.135656	0.015363502	709.912927865982
69	-211.94864	5.069629	-202.42986	-220.762	-206.51126	7.0253134	-195.88782	-217.02129	100.0	100.0	103499	-28.164036	0.86565393	-26.34059	-31.981802	28.131786	0.015201725	720.6994273662567
70	-212.38963	4.848542	-200.33391	-219.58662	-205.17216	6.2875724	-192.13716	-215.02065	100.0	100.0	104999	-28.157413	0.86371094	-26.365332	-31.943209	28.125444	0.0153570445	731.4154431819916
71	-213.51155	5.404573	-205.61005	-229.63788	-203.56967	9.660872	-184.19965	-217.07211	100.0	100.0	106499	-28.155249	0.8596722	-26.377722	-32.37237	28.123598	0.015195422	742.1745162010193
72	-209.56657	5.6469803	-197.28726	-217.57416	-205.39738	6.6820707	-192.23103	-215.36954	100.0	100.0	107999	-28.149965	0.85700786	-26.35372	-32.437767	28.118437	0.015068381	752.9763216972351
73	-212.7402	6.2666864	-200.91257	-220.69835	-208.81946	5.486172	-198.75807	-215.34438	100.0	100.0	109499	-28.143372	0.8552376	-26.366276	-32.214756	28.111782	0.015201677	763.8634946346283
74	-212.35063	7.029179	-196.31639	-224.55098	-210.19478	7.1341558	-192.81848	-218.85007	100.0	100.0	110999	-28.132044	0.8556837	-26.375395	-32.00409	28.100702	0.014893214	774.614527463913
75	-208.96315	3.6621337	-201.71492	-214.92123	-209.07198	7.245653	-198.4701	-220.23007	100.0	100.0	112499	-28.135405	0.85485095	-26.377157	-32.28607	28.10463	0.015116402	785.4215831756592
76	-211.02951	6.3492966	-201.95145	-228.37839	-205.37349	7.3572907	-196.50009	-221.86731	100.0	100.0	113999	-28.129965	0.85439306	-26.360598	-32.26856	28.099422	0.015018038	796.2446472644806
77	-212.44511	4.643677	-203.5268	-221.01314	-206.61868	6.801661	-195.82642	-216.71764	100.0	100.0	115499	-28.129442	0.8622696	-26.357582	-32.378815	28.0995	0.015039635	807.0382046699524
78	-211.11569	5.3400674	-204.6867	-223.04387	-204.11316	3.7221534	-198.31094	-210.18785	100.0	100.0	116999	-28.117598	0.8599254	-26.345734	-32.517406	28.086393	0.015058935	817.7841801643372
79	-211.84227	4.874703	-204.65976	-219.4662	-206.40378	4.756493	-200.38469	-214.56984	100.0	100.0	118499	-28.115849	0.855805	-26.327377	-32.253227	28.08608	0.014998425	828.5753855705261
80	-210.07236	5.0695076	-203.8399	-222.38676	-207.05579	9.012098	-192.71368	-225.42355	100.0	100.0	119999	-28.106554	0.855748	-26.300962	-32.411827	28.076157	0.015015536	839.339225769043
81	-211.26523	5.9414225	-201.30756	-221.65428	-209.76424	4.6402316	-202.49492	-217.10144	100.0	100.0	121499	-28.099918	0.85714746	-26.338476	-32.36213	28.069897	0.015015493	850.0818994045258
82	-211.77855	5.2254853	-205.67068	-224.75923	-206.43423	7.099473	-192.77126	-215.28336	100.0	100.0	122999	-28.100513	0.8557116	-26.296303	-32.168163	28.070433	0.014940694	860.9104199409485
83	-211.60452	6.352592	-200.85036	-224.22499	-206.96294	5.222796	-195.23154	-214.2361	100.0	100.0	124499	-28.093039	0.8530548	-26.367395	-32.34853	28.063093	0.014772016	871.6822030544281
84	-208.8237	5.6349916	-199.97539	-221.98596	-203.55437	6.0843196	-194.48788	-213.12688	100.0	100.0	125999	-28.08704	0.8502416	-26.351944	-32.17744	28.057161	0.014640893	882.5279848575592
85	-214.02504	6.536392	-206.02744	-231.77794	-212.46265	3.9241014	-203.98785	-218.50809	100.0	100.0	127499	-28.080326	0.8523861	-26.352053	-32.208767	28.050636	0.014623061	893.4598512649536
