Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-228.9145	1.9555178	-225.233	-232.53157	-223.38455	4.4055743	-213.48186	-230.81567	100.0	100.0	1499	-13.264555	6.473281	0.013973527	-24.949203	12.966101	0.3913132	6.694032669067383
2	-229.67815	1.5776472	-225.50073	-233.33633	-229.60942	0.8988317	-228.30038	-231.12216	100.0	100.0	2999	-27.301008	2.0509841	-19.06121	-31.300581	27.141098	0.048539143	19.149548530578613
3	-229.77896	1.63208	-224.71622	-231.58049	-227.00589	2.5061877	-223.57745	-231.92409	100.0	100.0	4499	-29.50043	0.5323875	-27.361511	-32.233177	29.422981	0.024325749	31.5006320476532
4	-228.82353	1.9512396	-225.40782	-231.34462	-229.0607	1.6428972	-226.19086	-231.0661	100.0	100.0	5999	-29.906914	0.3644619	-28.538574	-31.47941	29.857136	0.018917378	44.5348060131073
5	-228.52563	1.879711	-225.33087	-231.37057	-229.57744	2.1526732	-226.807	-233.21832	100.0	100.0	7499	-30.10021	0.2748436	-29.092562	-31.754822	30.06619	0.015381266	57.9305853843689
6	-228.55927	2.1620657	-222.51242	-231.46088	-230.20361	1.7418408	-227.7804	-233.09196	100.0	100.0	8999	-30.164248	0.23593758	-29.320152	-31.1814	30.136417	0.013399233	71.25523614883423
7	-228.86295	2.2765994	-225.23299	-232.67116	-228.08252	2.8988442	-222.56578	-231.4815	100.0	100.0	10499	-30.193457	0.23118423	-29.20189	-31.11975	30.167683	0.012486723	84.45291066169739
8	-228.67995	2.5646126	-224.30788	-232.70436	-225.00412	4.650495	-216.81612	-231.60693	100.0	100.0	11999	-30.20918	0.246505	-29.247395	-31.188936	30.18464	0.012135722	97.67861652374268
9	-226.3845	3.3537993	-218.08589	-230.96275	-225.07742	4.945693	-211.63594	-229.99452	100.0	100.0	13499	-30.19133	0.26471692	-29.148663	-31.269358	30.166452	0.012038114	110.96560788154602
10	-226.27553	4.6923113	-216.47589	-231.12848	-224.86877	4.251142	-216.49005	-230.16237	100.0	100.0	14999	-30.138453	0.27784136	-29.065414	-31.184162	30.112675	0.012179351	124.41485548019409
11	-225.1439	2.9938636	-219.27605	-229.69044	-226.8494	3.4217424	-220.25133	-231.75363	100.0	100.0	16499	-30.10546	0.306586	-28.886879	-31.102123	30.079584	0.0123727815	137.67299485206604
12	-225.08853	3.5559978	-219.92723	-231.11668	-223.17278	3.9310966	-215.48181	-230.01619	100.0	100.0	17999	-30.0581	0.3274273	-28.87865	-31.12507	30.032072	0.0124091115	150.9228870868683
13	-224.13852	2.9808896	-218.2759	-229.55086	-225.60391	4.398638	-214.76517	-231.16982	100.0	100.0	19499	-30.014933	0.34503198	-28.754269	-31.163338	29.987848	0.01302239	164.3921217918396
14	-221.24486	6.5969152	-206.65988	-228.99617	-226.98906	3.801734	-220.5369	-230.4834	100.0	100.0	20999	-29.94624	0.35908258	-28.651342	-31.193823	29.917803	0.013487694	177.81100344657898
15	-221.01172	4.6016364	-213.9291	-228.49898	-223.66972	3.4137046	-219.01328	-228.8257	100.0	100.0	22499	-29.87733	0.39068502	-28.546139	-31.15597	29.848146	0.014029673	190.9837670326233
16	-223.67839	4.165925	-213.50037	-229.84239	-218.71957	5.3611717	-206.64525	-225.45485	100.0	100.0	23999	-29.815514	0.42578128	-28.384073	-31.24835	29.784193	0.015067382	204.3955192565918
17	-223.93105	4.912906	-215.0599	-231.24539	-223.62566	5.024515	-214.23044	-229.4694	100.0	100.0	25499	-29.757833	0.44541994	-28.186172	-31.199753	29.725151	0.015373102	217.58483266830444
18	-220.71857	6.196793	-208.34871	-229.93552	-218.86801	5.2455926	-204.55708	-223.8716	100.0	100.0	26999	-29.72784	0.45310926	-28.169472	-31.358631	29.694792	0.015545883	230.7004415988922
19	-221.00139	4.826691	-211.01427	-227.90349	-222.36494	6.707424	-207.3091	-231.2945	100.0	100.0	28499	-29.67178	0.47182193	-28.113434	-31.251602	29.637177	0.015979357	243.92844557762146
20	-219.09177	3.944663	-208.72495	-224.94382	-217.27165	6.8199096	-205.6971	-225.80508	100.0	100.0	29999	-29.60836	0.496915	-28.025732	-31.206366	29.571472	0.016317677	257.2602906227112
21	-216.78172	5.431987	-207.3266	-227.85115	-216.83635	7.516326	-201.03876	-224.88158	100.0	100.0	31499	-29.544107	0.5115831	-27.988514	-31.2616	29.506552	0.016355876	270.38671135902405
22	-218.67331	3.3713481	-213.85062	-226.71094	-217.342	6.22079	-206.38098	-225.34169	100.0	100.0	32999	-29.489027	0.5332288	-27.918495	-31.319687	29.45103	0.01631509	283.50117015838623
