Unnamed: 0,iter1_base,iter1_reward01,iter1_reward02,iter1_reward03,iter1_reward04,iter1_rs01,iter1_rs02,iter1_gamma01,iter1_gamma02,iter1_polyak01,iter1_polyak02,iter1_lr01,iter1_lr02,iter1_bs01,iter1_bs02,iter1_ss01,iter1_ss02,iter1_noise01,iter1_noise02
$	heta$ MAE (rad),0.1237,0.1333,0.2075,0.1077,0.1552,0.1397,0.1463,0.137,0.1226,0.1034,0.1316,0.1428,0.1103,0.1467,0.123,0.1002,0.1033,0.1457,0.152
$\phi$ MAE (rad),0.0633,0.0715,0.0717,0.0778,0.0948,0.0774,0.0683,0.0704,0.0799,0.071,0.0698,0.072,0.0736,0.0645,0.0654,0.0789,0.0752,0.0723,0.0641
$	heta$ MSSE (rad),0.0324,0.0446,0.1042,0.0195,0.0536,0.0429,0.0513,0.0367,0.0361,0.0174,0.0457,0.0505,0.0218,0.0557,0.0353,0.0156,0.022,0.0424,0.0508
$\phi$ MSSE (rad),0.0164,0.0194,0.0168,0.0318,0.0378,0.0226,0.0189,0.0192,0.0261,0.0168,0.0164,0.0164,0.0213,0.0135,0.0127,0.0251,0.0199,0.0174,0.0138
$	heta$ in bounds (%),99.06,98.56,95.45,99.43,97.46,98.4,97.97,98.39,98.99,99.42,98.51,98.14,99.45,97.29,98.91,99.53,99.52,98.51,97.58
$\phi$ in bounds (%),99.93,99.86,99.33,99.76,98.17,99.33,99.56,99.52,98.03,99.08,99.48,99.45,99.85,99.71,99.62,99.66,99.68,99.77,99.58
$	heta$ unsteady (%),0.15,0.12,0.6,0.02,0.7,0.33,0.26,0.4,0.08,0.1,0.2,0.26,0.1,0.77,0.14,0.07,0.18,0.21,0.48
$\phi$ unsteady (%),0.06,0.09,0.4,0.08,0.47,0.26,0.22,0.32,1.23,0.58,0.33,0.19,0.1,0.27,0.15,0.06,0.14,0.15,0.17
$	heta$ rise time (s),0.5657,0.5463,0.5555,0.5261,0.5545,0.5458,0.546,0.5699,0.5423,0.4977,0.5005,0.5439,0.5044,0.5146,0.5438,0.4959,0.4841,0.5833,0.5348
$\phi$ rise time (s),0.2873,0.3229,0.3522,0.2997,0.375,0.3208,0.3233,0.3249,0.3392,0.3271,0.3155,0.3418,0.3094,0.3142,0.3196,0.3175,0.3355,0.3116,0.3221
$	heta$ settling time (s),0.6895,0.709,0.7152,0.693,0.734,0.7065,0.6873,0.7301,0.6911,0.6598,0.6239,0.694,0.6726,0.6734,0.6524,0.6499,0.6052,0.7855,0.7116
$\phi$ settling time (s),0.45,0.5017,0.5513,0.4651,0.5891,0.5112,0.4876,0.501,0.5162,0.5027,0.5056,0.5311,0.4826,0.509,0.4731,0.5135,0.52,0.5361,0.4722
u1 (V),0.8595,0.6784,0.731,0.6905,0.5812,0.8063,0.6758,1.047,0.6698,0.961,0.782,0.842,0.6697,0.7254,0.7635,0.8252,0.6433,0.8425,0.6904
u2 (V),0.5791,0.5453,0.5874,0.5962,0.4948,0.5667,0.6459,0.5621,0.5854,0.8812,0.5683,0.5534,0.6166,0.5925,0.5526,0.5594,0.534,0.6514,0.6842
u1 variation (V),0.6995,0.3242,0.4282,0.3194,0.2164,0.5278,0.3072,1.0652,0.2687,0.8308,0.4962,0.5931,0.2975,0.3223,0.4973,0.5804,0.2611,0.5554,0.3106
u2 variation (V),0.4145,0.3404,0.4513,0.3708,0.2968,0.3668,0.5461,0.4023,0.3789,1.0115,0.4358,0.3846,0.4336,0.4262,0.4011,0.3929,0.3455,0.5087,0.6458
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
