Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-229.00056	1.7751031	-223.79314	-231.36841	-227.20053	2.8435328	-221.23848	-232.07521	100.0	100.0	1499	-13.780762	6.4556565	0.011858553	-24.587442	13.5171175	0.31761378	6.593592882156372
2	-229.36974	2.4955785	-224.56909	-233.43372	-226.70883	3.6374815	-220.81677	-232.6092	100.0	100.0	2999	-27.849136	1.8873814	-20.258196	-31.877224	27.731464	0.03055803	18.814558267593384
3	-229.31345	1.4863883	-226.51738	-232.42288	-226.90152	3.8200135	-218.24309	-232.83223	100.0	100.0	4499	-29.698906	0.36967173	-28.156761	-31.563608	29.636976	0.019431178	30.915374517440796
4	-228.19742	2.73878	-221.53304	-232.64644	-227.35783	3.0577607	-220.70483	-231.99248	100.0	100.0	5999	-29.93507	0.273293	-29.021072	-31.217737	29.890282	0.0148758115	43.49987554550171
5	-228.05826	2.8754752	-222.40228	-233.68356	-227.74605	3.7603571	-220.67773	-232.07199	100.0	100.0	7499	-30.037786	0.26647273	-29.123058	-31.328138	30.002935	0.013084035	56.30711317062378
6	-227.00125	3.8770993	-218.36829	-231.36505	-225.71689	2.3508255	-222.1751	-229.16483	100.0	100.0	8999	-30.077803	0.2866882	-29.07049	-31.42628	30.04726	0.012769675	69.10262489318848
7	-225.93294	4.434934	-215.89107	-230.673	-228.52646	4.493156	-219.01129	-233.02019	100.0	100.0	10499	-30.051964	0.31018567	-28.930862	-31.257639	30.022156	0.013144139	81.97904372215271
8	-225.92076	2.7837942	-219.91273	-229.57162	-224.30037	4.3122954	-218.44353	-231.21579	100.0	100.0	11999	-30.00785	0.3261276	-28.893969	-31.24399	29.977468	0.013064109	94.86632084846497
9	-226.32455	4.0092626	-215.90858	-231.0387	-223.07248	6.203188	-211.92227	-231.35127	100.0	100.0	13499	-29.971443	0.32407525	-28.853443	-31.086128	29.941473	0.012708219	107.74629592895508
10	-224.96605	3.0823317	-217.92386	-230.35258	-224.67758	3.9641492	-217.53598	-229.67154	100.0	100.0	14999	-29.951393	0.32870758	-28.672525	-31.084925	29.920904	0.012549007	120.50835418701172
11	-224.06268	3.9936523	-214.42252	-231.3149	-223.48218	5.3496842	-214.55865	-232.69534	100.0	100.0	16499	-29.904297	0.33211613	-28.634657	-31.079895	29.872942	0.012293007	133.2840132713318
12	-224.07802	3.3377738	-219.18977	-229.61017	-223.88362	4.044618	-215.72867	-230.17401	100.0	100.0	17999	-29.854183	0.34518018	-28.642511	-31.15518	29.822214	0.012437493	146.10290050506592
13	-223.07733	3.7557182	-218.15015	-229.61151	-222.64087	3.9420516	-215.2591	-227.53049	100.0	100.0	19499	-29.81699	0.34942546	-28.535442	-31.297356	29.78576	0.012015147	158.95277500152588
14	-223.0513	5.4049163	-211.19269	-230.51685	-224.965	3.005404	-219.20209	-230.31714	100.0	100.0	20999	-29.79185	0.36937714	-28.446754	-31.321144	29.760406	0.012388992	171.8049454689026
15	-219.15846	5.0949016	-209.02179	-228.11833	-216.52556	8.647714	-202.64569	-232.40031	100.0	100.0	22499	-29.73129	0.3983873	-28.342756	-31.366108	29.699234	0.012928339	184.53600978851318
16	-219.33298	4.7992115	-212.61996	-231.32314	-216.6854	10.415617	-196.6431	-227.43611	100.0	100.0	23999	-29.648176	0.43546477	-28.097216	-31.455765	29.614552	0.013479055	197.3225657939911
17	-218.82985	4.82464	-209.55356	-226.37988	-218.40121	7.8595405	-198.07217	-226.49585	100.0	100.0	25499	-29.573616	0.46227708	-27.98732	-31.43629	29.53887	0.014325041	210.08469152450562
18	-217.83388	4.7516103	-206.32085	-225.19843	-219.14517	8.527556	-204.00494	-232.6465	100.0	100.0	26999	-29.499376	0.47757816	-27.908754	-31.510904	29.462957	0.014380216	222.81266283988953
19	-216.6528	6.498849	-206.78252	-229.76361	-218.6991	6.8548326	-208.71898	-228.862	100.0	100.0	28499	-29.428493	0.495777	-27.82356	-31.596006	29.391022	0.014529559	235.63203406333923
20	-215.94086	5.3137655	-209.37242	-226.52313	-216.35283	5.244622	-208.1636	-223.85455	100.0	100.0	29999	-29.346884	0.5346425	-27.715998	-31.715025	29.308275	0.015371758	248.44325613975525
21	-217.17159	5.6077623	-207.07889	-228.44574	-212.43037	8.859241	-192.22122	-224.70857	100.0	100.0	31499	-29.281996	0.55800605	-27.688074	-31.757984	29.241987	0.015915068	261.1903347969055
22	-218.76425	4.202561	-211.58826	-224.49237	-212.15152	7.709728	-200.03534	-220.26561	100.0	100.0	32999	-29.230553	0.5696917	-27.655825	-31.927284	29.190584	0.016124446	273.96823382377625
23	-217.44148	4.995295	-208.56522	-224.85043	-216.5179	6.035976	-203.54109	-225.69633	100.0	100.0	34499	-29.191824	0.582802	-27.585497	-31.772972	29.150507	0.016238403	286.7903001308441
24	-217.49829	4.1263275	-209.42334	-224.35812	-208.64006	6.01421	-193.28719	-216.14937	100.0	100.0	35999	-29.144354	0.58334494	-27.589003	-31.965176	29.102291	0.01615461	299.6334979534149
25	-215.7232	7.9948144	-195.93	-226.76953	-211.18063	6.1683583	-200.7272	-219.07887	100.0	100.0	37499	-29.09688	0.59716004	-27.53384	-31.969494	29.053902	0.016407521	312.2791163921356
26	-213.49391	5.3987813	-205.48288	-224.40947	-211.56668	6.9334264	-199.27399	-220.84216	100.0	100.0	38999	-29.04077	0.6160336	-27.354683	-32.030064	28.996643	0.016986901	324.9587004184723
