Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-228.25137	2.4922667	-221.54991	-231.03883	-226.68852	2.979038	-222.51901	-231.56113	100.0	100.0	1499	-13.833555	6.613158	-0.0049758554	-25.629839	13.599686	0.29974002	6.046549558639526
2	-228.50029	2.4417512	-224.03123	-232.30125	-227.26123	2.1061423	-223.86386	-230.00725	100.0	100.0	2999	-27.772238	1.723228	-20.231886	-30.704529	27.655203	0.029335063	17.262790203094482
3	-229.07433	2.6417432	-222.00003	-233.1045	-228.73914	1.8805511	-223.97192	-231.14444	100.0	100.0	4499	-29.661444	0.4087281	-27.988976	-31.027948	29.604647	0.019446129	28.896005392074585
4	-228.88461	2.2296727	-224.7795	-232.56464	-228.97891	2.474194	-222.3199	-231.92165	100.0	100.0	5999	-29.945414	0.3702261	-28.75491	-31.649343	29.905678	0.01590385	40.51966047286987
5	-228.24602	2.049811	-224.16516	-230.72978	-227.12996	4.848276	-213.31929	-231.14546	100.0	100.0	7499	-30.00236	0.35014862	-28.925295	-31.606182	29.96562	0.014541998	52.16232705116272
6	-227.64394	3.2144327	-220.3775	-231.5681	-227.08984	5.0915976	-219.06218	-232.22638	100.0	100.0	8999	-30.02992	0.31828725	-28.937151	-31.457651	29.996714	0.013059901	63.78991389274597
7	-227.57129	1.7466257	-223.43794	-230.22244	-226.02414	4.275415	-219.63464	-231.79126	100.0	100.0	10499	-30.03081	0.30867794	-29.028038	-31.387712	29.999838	0.012228596	75.33307385444641
8	-226.59029	3.1282358	-219.07915	-230.83844	-227.42387	2.2877927	-224.84314	-231.84972	100.0	100.0	11999	-30.043577	0.29209962	-29.071167	-31.34213	30.014963	0.012074313	86.97832465171814
9	-226.5182	2.750971	-221.59807	-231.53935	-224.94185	3.954052	-216.44724	-228.90234	100.0	100.0	13499	-30.0406	0.28906006	-29.108896	-31.780933	30.012886	0.011990916	98.48183536529541
10	-225.89407	3.6147566	-220.70917	-231.07903	-225.41463	2.8036973	-221.09193	-229.33852	100.0	100.0	14999	-30.012934	0.29624847	-29.031506	-31.912493	29.984745	0.011736946	110.12117528915405
11	-224.7393	3.4673035	-217.04324	-232.52132	-226.90189	2.5072696	-221.23976	-230.58954	100.0	100.0	16499	-29.971067	0.3199508	-28.675297	-32.03316	29.941776	0.012011208	121.59718608856201
12	-224.49956	4.377266	-213.75479	-229.5603	-224.13193	4.12243	-216.48758	-228.88507	100.0	100.0	17999	-29.91337	0.33427846	-28.61512	-32.11649	29.883036	0.012186975	133.2899374961853
13	-223.23524	4.8028197	-212.63072	-229.71011	-225.3826	3.8974352	-215.35086	-230.05832	100.0	100.0	19499	-29.88871	0.35690656	-28.50535	-32.13645	29.858982	0.0120373815	144.88494658470154
14	-222.38138	4.29378	-213.17926	-228.81082	-223.78647	5.52856	-211.89958	-230.45012	100.0	100.0	20999	-29.850973	0.37334073	-28.464174	-32.117542	29.821747	0.012287694	156.43924617767334
15	-224.02711	3.8072278	-213.79088	-228.71658	-223.90024	3.153938	-219.77458	-229.06192	100.0	100.0	22499	-29.81233	0.38954705	-28.319748	-32.107464	29.78266	0.012440267	168.0163230895996
16	-220.55058	7.674708	-206.64809	-229.7208	-223.29172	6.2632422	-212.87361	-232.33905	100.0	100.0	23999	-29.769457	0.40958136	-28.20745	-32.19298	29.739412	0.012800273	179.6024158000946
17	-221.70712	5.086855	-211.99359	-228.85849	-218.83711	5.0432057	-210.29161	-224.40707	100.0	100.0	25499	-29.713097	0.43803182	-28.166988	-32.136265	29.68241	0.013983287	191.15967965126038
18	-223.67447	5.3803234	-207.89099	-231.66502	-218.95691	5.2313433	-205.84186	-226.40279	100.0	100.0	26999	-29.682747	0.4644092	-28.03083	-32.39282	29.65187	0.014518158	202.80708479881287
19	-223.71484	5.4145293	-211.96495	-232.39848	-222.23999	9.959438	-205.06879	-233.2916	100.0	100.0	28499	-29.64943	0.49044362	-27.959913	-32.570393	29.618105	0.014562179	214.38761949539185
20	-223.80884	5.365509	-214.37306	-232.85803	-222.84761	3.1489677	-214.93326	-227.5849	100.0	100.0	29999	-29.657547	0.4991343	-27.924791	-32.586742	29.626945	0.014679904	225.95796370506287
21	-223.71504	4.789908	-213.72725	-232.915	-220.19278	7.0871835	-204.908	-228.78534	100.0	100.0	31499	-29.652363	0.5056738	-27.899162	-32.570522	29.62237	0.014564964	237.40051913261414
22	-220.79541	5.602069	-205.82378	-227.59361	-220.14116	8.467007	-206.48663	-231.40437	100.0	100.0	32999	-29.634043	0.5154709	-27.896572	-32.736675	29.604286	0.0147051625	248.93711972236633
23	-220.628	4.9621053	-206.90318	-227.74617	-219.12825	7.2878523	-210.55801	-228.87306	100.0	100.0	34499	-29.610214	0.5161073	-27.86598	-32.841763	29.580667	0.014924487	260.42709589004517
24	-222.0498	5.226953	-212.29112	-231.08989	-220.08932	4.015949	-208.5474	-223.31325	100.0	100.0	35999	-29.584146	0.5181615	-27.81446	-32.918915	29.55364	0.014575409	272.0109841823578
25	-221.12065	3.7181118	-212.32784	-226.11395	-221.54817	5.165582	-212.93826	-230.29427	100.0	100.0	37499	-29.555504	0.5203957	-27.832806	-32.926422	29.525032	0.014705605	283.5060045719147
26	-219.61745	5.096238	-208.74336	-225.7828	-217.30167	10.4681635	-198.41832	-234.80246	100.0	100.0	38999	-29.53227	0.5297056	-27.849876	-32.872856	29.501562	0.014710046	295.0026307106018
27	-221.91534	5.690091	-207.40085	-229.7561	-216.77505	8.301514	-198.18202	-227.72488	100.0	100.0	40499	-29.504707	0.5432674	-27.762653	-32.97853	29.473719	0.014515114	306.4911549091339
28	-217.59358	8.231688	-199.3712	-228.0719	-218.65092	7.911212	-206.28188	-229.58267	100.0	100.0	41999	-29.476696	0.5581349	-27.696407	-33.191265	29.445454	0.014918492	317.9761550426483
29	-221.69572	5.290432	-214.03624	-231.37439	-216.71964	7.4553814	-202.4153	-224.7628	100.0	100.0	43499	-29.442226	0.5846931	-27.548246	-33.273903	29.41038	0.015103496	329.4310984611511
30	-220.13132	3.410007	-213.65048	-226.05615	-221.31477	5.7088857	-208.59215	-226.97246	100.0	100.0	44999	-29.425217	0.59322625	-27.49967	-33.275288	29.39257	0.015185506	340.96675729751587
31	-221.07472	6.73576	-207.50519	-228.9668	-212.70027	11.395782	-190.23181	-228.70587	100.0	100.0	46499	-29.39941	0.59315956	-27.477623	-33.411682	29.367313	0.015348531	352.4971613883972
32	-219.30852	7.0081615	-204.8469	-230.96658	-218.93596	8.735155	-201.69316	-230.62857	100.0	100.0	47999	-29.37895	0.5975875	-27.447186	-33.29102	29.34605	0.015480438	364.20253586769104
33	-215.11333	5.2938676	-203.88368	-221.89238	-216.28745	6.220286	-208.72397	-225.6547	100.0	100.0	49499	-29.35317	0.60477877	-27.456682	-33.305973	29.319975	0.015763603	375.60524439811707
34	-215.18385	6.3219976	-203.35942	-225.79813	-219.88667	6.5831337	-207.25116	-227.14192	100.0	100.0	50999	-29.308153	0.61859745	-27.425741	-33.19084	29.274277	0.01620246	387.0050642490387
35	-216.9037	4.64006	-207.91138	-226.08333	-213.46004	8.20504	-200.66435	-225.35516	100.0	100.0	52499	-29.249067	0.62272054	-27.275677	-33.31648	29.212364	0.016721183	398.42073583602905
36	-215.61372	6.4717054	-202.01782	-224.83466	-216.02805	4.7250357	-205.74364	-223.39578	100.0	100.0	53999	-29.19299	0.6275015	-27.21728	-33.328766	29.155062	0.01681326	409.98965334892273
37	-213.63414	6.466889	-205.02557	-227.57718	-215.5627	7.435784	-199.42685	-224.94208	100.0	100.0	55499	-29.152374	0.6284158	-27.257467	-33.118294	29.112703	0.01686904	421.5611526966095
38	-213.78325	4.9180055	-206.02805	-224.10373	-207.46182	7.565116	-194.2137	-218.47623	100.0	100.0	56999	-29.096096	0.64419246	-27.178925	-33.414845	29.054718	0.017088579	433.0410590171814
39	-213.8228	7.485518	-202.50461	-228.785	-209.03812	4.5401936	-199.36108	-214.60796	100.0	100.0	58499	-29.043606	0.65581083	-27.13574	-33.167084	29.001844	0.017448118	444.5802493095398
40	-213.18979	6.1828885	-200.37904	-228.55919	-213.62973	9.6503725	-199.48645	-230.41965	100.0	100.0	59999	-29.01177	0.66591257	-27.07511	-33.371304	28.969704	0.017940223	456.1279594898224
41	-213.21425	4.475683	-205.50623	-219.70116	-209.76318	7.2093086	-199.15858	-226.54291	100.0	100.0	61499	-28.97976	0.6825023	-27.075409	-33.39471	28.936886	0.018061372	467.6146352291107
42	-214.19403	7.5970316	-203.01875	-228.26428	-209.06284	7.2951508	-194.39024	-220.82443	100.0	100.0	62999	-28.920614	0.692849	-27.076952	-33.33928	28.87677	0.017929697	479.19072914123535
43	-210.62933	7.7658544	-195.12987	-230.57239	-207.32266	6.439539	-197.57443	-223.47064	100.0	100.0	64499	-28.89235	0.70326626	-27.021444	-33.503384	28.847656	0.018421086	490.61626648902893
44	-212.657	7.7172723	-196.24016	-226.60909	-207.48943	10.106816	-184.9691	-221.23502	100.0	100.0	65999	-28.84501	0.7223932	-26.978563	-33.615143	28.79938	0.018728185	502.0687611103058
45	-210.64755	6.0222244	-198.6341	-223.58998	-204.58084	6.6248055	-192.74348	-218.69258	100.0	100.0	67499	-28.81552	0.7318705	-26.928831	-34.06887	28.769674	0.018834589	513.5799398422241
46	-211.06055	7.401044	-199.05042	-226.7177	-206.14803	6.062918	-193.44095	-215.4319	100.0	100.0	68999	-28.780344	0.7351215	-26.89439	-33.738342	28.733782	0.019024715	525.1702399253845
47	-213.34496	6.627189	-199.94408	-224.80112	-202.2048	10.517186	-186.93176	-223.60553	100.0	100.0	70499	-28.745483	0.74252796	-26.878075	-34.105343	28.699469	0.019089106	536.6594808101654
48	-210.47408	5.995664	-197.44337	-221.3287	-208.3433	8.57202	-190.4388	-219.90976	100.0	100.0	71999	-28.739046	0.74762934	-26.88181	-34.31958	28.693735	0.019422738	548.332973241806
49	-209.31137	9.093713	-192.9065	-228.44902	-206.50845	10.51243	-191.41422	-228.6688	100.0	100.0	73499	-28.69296	0.76055264	-26.861452	-34.019794	28.64622	0.019187657	559.9848673343658
50	-211.67204	6.1850743	-201.81226	-224.96384	-200.92676	11.522454	-182.13062	-217.85976	100.0	100.0	74999	-28.668926	0.7754594	-26.8059	-33.9233	28.623041	0.019440966	571.6213312149048
51	-211.7357	4.3733363	-204.58083	-223.50336	-206.76689	6.5814466	-197.51129	-217.47795	100.0	100.0	76499	-28.653543	0.7883796	-26.755993	-34.25737	28.608376	0.01968533	583.5112557411194
52	-212.94537	7.8040113	-202.91505	-231.89417	-212.77734	7.218819	-196.57062	-222.51663	100.0	100.0	77999	-28.620983	0.7901285	-26.672897	-33.937172	28.574432	0.019802526	595.4423072338104
53	-210.1547	6.765568	-192.5735	-218.8735	-205.9594	11.05109	-191.44461	-222.86165	100.0	100.0	79499	-28.590637	0.79710215	-26.609873	-33.900627	28.544315	0.019558337	607.3074927330017
54	-209.38986	5.176969	-199.29837	-218.65884	-208.69661	13.480292	-182.48592	-228.19229	100.0	100.0	80999	-28.57911	0.7950954	-26.60993	-34.065643	28.53359	0.019717783	619.2503252029419
55	-216.88902	9.398046	-200.13972	-231.00075	-207.94221	13.590298	-191.36003	-228.76488	100.0	100.0	82499	-28.559093	0.8030798	-26.611404	-34.299126	28.513596	0.01938737	631.1540899276733
56	-213.45898	6.9288144	-204.7648	-233.76886	-210.17305	4.4933195	-200.12506	-215.50717	100.0	100.0	83999	-28.569147	0.81339645	-26.585197	-34.683426	28.525175	0.019575592	642.9791641235352
57	-209.42972	9.425097	-199.6654	-231.97629	-206.38806	10.461442	-190.60878	-217.65517	100.0	100.0	85499	-28.553814	0.81757855	-26.556213	-34.245033	28.510166	0.019493744	654.9673640727997
58	-211.36253	7.149116	-198.56325	-222.79887	-206.71078	8.697526	-193.71341	-219.32916	100.0	100.0	86999	-28.53547	0.8293156	-26.584938	-34.536858	28.491623	0.019741774	666.8374111652374
59	-212.48737	6.4022694	-201.47452	-229.40771	-208.8728	9.147925	-195.9034	-227.81525	100.0	100.0	88499	-28.519297	0.83835524	-26.54298	-34.472874	28.475822	0.020097598	678.8115124702454
60	-212.22731	4.5876164	-201.86253	-217.72002	-209.77295	10.476574	-192.39183	-230.6557	100.0	100.0	89999	-28.502172	0.8431617	-26.519897	-34.45196	28.458662	0.019965982	690.8143155574799
61	-211.54982	4.788818	-200.72745	-220.73692	-209.45901	5.404112	-201.60286	-219.62602	100.0	100.0	91499	-28.493637	0.84364337	-26.501894	-34.651443	28.450666	0.019698836	702.6882269382477
62	-215.59354	4.3450665	-204.44054	-221.82318	-209.45757	10.643403	-193.31754	-230.51205	100.0	100.0	92999	-28.475183	0.8392083	-26.535248	-34.458622	28.43231	0.019723525	714.6040863990784
63	-213.60336	6.095326	-201.97035	-221.53807	-207.96646	10.566651	-195.11974	-225.6904	100.0	100.0	94499	-28.47578	0.84185797	-26.514824	-34.480335	28.433237	0.01975697	726.4903910160065
64	-210.46217	6.6671686	-199.41357	-223.29199	-211.29773	7.897169	-197.67679	-230.98885	100.0	100.0	95999	-28.462606	0.8404606	-26.54231	-34.16441	28.420618	0.019481903	738.5334384441376
65	-213.37926	9.067878	-199.1367	-233.70557	-208.55905	6.3429446	-198.7407	-220.36163	100.0	100.0	97499	-28.466274	0.8474527	-26.535583	-34.407948	28.425095	0.01964783	750.3872799873352
66	-212.60536	5.518448	-204.49832	-222.84727	-203.97983	8.56382	-183.91049	-217.32991	100.0	100.0	98999	-28.455576	0.8504654	-26.522184	-34.62216	28.414875	0.01960915	762.2713444232941
67	-213.18929	6.0442915	-197.72295	-221.99205	-206.97563	9.155506	-189.40228	-219.81229	100.0	100.0	100499	-28.427423	0.8514408	-26.511284	-34.234882	28.38522	0.019475728	774.196115732193
68	-212.53026	6.4680524	-202.32687	-226.19508	-205.00533	6.6041217	-193.62862	-214.5564	100.0	100.0	101999	-28.420284	0.85466063	-26.491356	-34.423412	28.379084	0.019952232	786.0168657302856
69	-215.41138	5.9986067	-205.8785	-225.08868	-212.37448	6.3087373	-203.15924	-219.96024	100.0	100.0	103499	-28.427166	0.8566623	-26.428516	-34.627186	28.387365	0.019704716	797.903373003006
70	-211.69905	7.693441	-196.16196	-226.71364	-208.68127	9.3157625	-196.43515	-223.51494	100.0	100.0	104999	-28.420517	0.86297214	-26.47552	-34.469383	28.380697	0.019883892	809.7008166313171
71	-210.49893	8.102653	-196.95552	-231.06584	-210.27144	8.858098	-194.21562	-229.2547	100.0	100.0	106499	-28.398556	0.86354446	-26.449759	-34.57318	28.357994	0.019882657	821.5619406700134
72	-210.33963	6.7125125	-196.59753	-221.95302	-208.06929	7.8563395	-191.26184	-223.19824	100.0	100.0	107999	-28.387043	0.86709243	-26.443804	-34.303963	28.346516	0.020082256	833.3934652805328
73	-213.52829	3.9876943	-205.82942	-219.28822	-207.98502	9.1449795	-196.20995	-224.36925	100.0	100.0	109499	-28.37581	0.86628234	-26.409628	-34.849503	28.335674	0.020102883	845.2859838008881
74	-211.95264	5.560538	-202.13702	-225.45923	-209.69768	6.0688686	-200.1092	-218.77524	100.0	100.0	110999	-28.363956	0.8650587	-26.402903	-34.545235	28.323214	0.019963117	857.0636868476868
75	-211.53891	6.2246547	-200.56635	-222.69875	-207.03743	8.933748	-193.528	-218.8751	100.0	100.0	112499	-28.36861	0.8705466	-26.368305	-34.412785	28.329243	0.019929403	869.0349178314209
76	-209.97467	6.8855414	-195.4547	-225.37064	-207.8001	12.358564	-185.90646	-226.5289	100.0	100.0	113999	-28.354013	0.86972916	-26.392302	-34.522224	28.314209	0.020023292	880.9227530956268
77	-212.12267	5.1499395	-202.485	-221.97595	-207.9266	11.71709	-188.38322	-222.64767	100.0	100.0	115499	-28.342012	0.8720219	-26.335823	-34.84172	28.303043	0.019555977	892.7883610725403
78	-214.0291	6.604225	-204.53127	-225.46986	-208.98526	9.586334	-189.08006	-223.0262	100.0	100.0	116999	-28.352083	0.87167114	-26.352064	-34.53712	28.313828	0.019799005	904.7396557331085
79	-213.46072	5.788553	-204.64795	-225.35437	-208.61629	13.919548	-183.58253	-232.04349	100.0	100.0	118499	-28.347807	0.86947876	-26.330746	-34.513172	28.309778	0.019769846	916.5978209972382
80	-212.78194	8.458974	-198.38664	-229.49324	-211.50009	6.945547	-197.46834	-220.8221	100.0	100.0	119999	-28.343267	0.87342095	-26.34038	-34.628464	28.305723	0.019797232	928.5733349323273
81	-213.1042	4.0318413	-207.8869	-223.18123	-207.75264	7.0777397	-196.42598	-217.58893	100.0	100.0	121499	-28.338617	0.87338114	-26.347696	-34.529285	28.301136	0.019802267	940.5058698654175
82	-212.21194	7.209427	-199.46686	-226.12079	-207.51782	7.2234783	-196.62926	-221.96896	100.0	100.0	122999	-28.335917	0.8776288	-26.319208	-34.385807	28.298927	0.019455073	952.3235006332397
83	-212.14835	7.007756	-199.30365	-223.82928	-211.29898	9.662612	-194.7347	-228.6578	100.0	100.0	124499	-28.32283	0.8740507	-26.267202	-34.188602	28.285234	0.019447606	964.2837896347046
84	-212.59909	5.9434776	-199.44817	-225.36069	-210.5275	9.549266	-192.4453	-226.24974	100.0	100.0	125999	-28.321653	0.869046	-26.321135	-34.2266	28.284412	0.01928418	976.2269959449768
85	-211.06136	3.7688913	-204.49324	-216.8884	-204.07791	8.095082	-188.3552	-216.09511	100.0	100.0	127499	-28.315426	0.86763406	-26.291344	-34.18256	28.278755	0.019026192	988.0961093902588
86	-208.11354	5.9319572	-197.54172	-214.83847	-205.67729	7.3298593	-194.96951	-220.27167	100.0	100.0	128999	-28.30332	0.87425923	-26.271282	-34.22887	28.26646	0.018803742	999.9861559867859
87	-211.5972	8.401447	-198.30049	-226.36072	-208.3427	7.854363	-196.39204	-222.76262	100.0	100.0	130499	-28.28418	0.8724403	-26.305101	-34.172146	28.247478	0.018851418	1011.8624582290649
88	-214.0088	7.6976767	-200.16296	-228.89075	-207.49277	10.498597	-186.45589	-221.42064	100.0	100.0	131999	-28.279037	0.88282233	-26.24361	-34.359375	28.242022	0.019307194	1023.7565619945526
89	-211.10089	4.7625046	-203.18402	-223.03964	-209.85469	5.317426	-200.48433	-219.12155	100.0	100.0	133499	-28.271057	0.8804826	-26.253862	-34.442226	28.234098	0.018715428	1035.7789437770844
90	-210.73337	3.644779	-202.45517	-215.2083	-208.71078	11.698918	-190.20198	-227.15056	100.0	100.0	134999	-28.270224	0.8773389	-26.222383	-34.374683	28.233553	0.018902613	1047.6336369514465
91	-209.95459	4.954125	-201.98022	-222.83458	-206.16634	6.0277596	-195.58696	-212.49713	100.0	100.0	136499	-28.267464	0.88064563	-26.271841	-34.427204	28.231062	0.018741133	1059.4944200515747
92	-211.81299	3.520723	-205.0605	-216.93178	-209.32193	4.332736	-198.8372	-214.24736	100.0	100.0	137999	-28.26798	0.8783663	-26.257082	-34.241215	28.232443	0.018412527	1071.4764194488525
93	-211.78902	4.881813	-201.54611	-221.74231	-207.27388	7.8414803	-193.69537	-217.67406	100.0	100.0	139499	-28.26257	0.87648404	-26.252537	-34.586655	28.226547	0.018365841	1083.4195766448975
94	-216.66756	5.931077	-205.51938	-225.90656	-209.06206	9.083819	-187.63203	-220.42088	100.0	100.0	140999	-28.251003	0.87462467	-26.240694	-34.730362	28.215393	0.018200448	1095.4382679462433
95	-213.07935	6.218947	-195.1957	-225.78984	-207.23889	11.031694	-196.85898	-227.15543	100.0	100.0	142499	-28.26217	0.87895614	-26.150267	-34.518448	28.227575	0.018105213	1107.350257396698
96	-211.88298	4.801764	-204.67007	-220.77475	-208.90974	5.7975707	-201.21068	-217.86906	100.0	100.0	143999	-28.264	0.8817397	-26.182917	-34.54487	28.229443	0.018200297	1119.3444447517395
97	-212.05867	4.9865623	-202.75325	-223.84013	-204.02167	8.030497	-190.93114	-217.93858	100.0	100.0	145499	-28.25276	0.88217247	-26.147734	-34.385822	28.217583	0.018099625	1131.2100772857666
98	-212.96056	6.8974953	-202.70657	-224.46935	-203.89282	9.378355	-191.6416	-224.91429	100.0	100.0	146999	-28.239197	0.87181544	-26.14415	-34.5027	28.204681	0.017879779	1143.0773539543152
99	-211.18477	4.7411413	-203.40176	-219.84082	-211.23418	8.78568	-196.50638	-224.15823	100.0	100.0	148499	-28.252953	0.8719513	-26.193237	-34.32897	28.219334	0.017896533	1155.089111328125
100	-211.46681	5.3668227	-202.60475	-223.04979	-205.60344	8.008141	-193.44208	-215.31601	100.0	100.0	149999	-28.243998	0.87832344	-26.151867	-34.308186	28.21023	0.017537221	1166.9989128112793
101	-212.57123	5.166859	-204.42357	-226.49362	-207.17537	8.74614	-198.3319	-230.00668	100.0	100.0	151499	-28.235716	0.8764465	-26.196772	-34.49557	28.201462	0.017683756	1178.7639498710632
102	-211.83336	6.979956	-201.67967	-225.89903	-209.31291	6.7349305	-196.24088	-219.386	100.0	100.0	152999	-28.235193	0.8769808	-26.178022	-34.5524	28.201885	0.01790985	1190.6579866409302
103	-212.48944	3.231059	-206.35727	-216.8502	-206.5935	11.697748	-191.1995	-225.38396	100.0	100.0	154499	-28.233067	0.8857404	-26.167536	-34.40961	28.199556	0.01774003	1202.5531628131866
104	-209.89969	5.416028	-197.85161	-218.6351	-209.22522	7.560745	-200.59613	-228.25978	100.0	100.0	155999	-28.227814	0.8815222	-26.150545	-34.071762	28.194464	0.017789189	1214.421757221222
