Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-223.60745	1.9962641	-219.52954	-226.44832	-222.52756	4.105203	-215.534	-228.0157	100.0	100.0	1499	-12.637547	5.8601418	0.06583496	-22.87582	12.451988	0.21815072	5.921642780303955
2	-223.95308	1.5771797	-219.71657	-226.13438	-222.44968	3.3629591	-213.23972	-225.02022	100.0	100.0	2999	-26.816856	2.106688	-18.495375	-29.90128	26.72155	0.025626048	16.13547968864441
3	-224.49348	1.3266907	-221.30423	-227.01729	-221.37373	5.469331	-210.37476	-226.32997	100.0	100.0	4499	-28.98426	0.36633533	-27.37791	-31.011715	28.923674	0.019809883	26.21259069442749
4	-223.50952	2.5814495	-216.66357	-227.40714	-225.39616	3.0094054	-219.65877	-228.51694	100.0	100.0	5999	-29.258503	0.25976327	-28.311289	-30.711306	29.212917	0.015456545	36.40831112861633
5	-224.41525	1.5468433	-219.92923	-227.02412	-225.59563	1.306328	-223.14471	-227.91586	100.0	100.0	7499	-29.344177	0.23640938	-28.492771	-30.283615	29.305	0.012872457	46.555017709732056
6	-223.27724	1.5112276	-220.51476	-226.09865	-225.7565	1.976346	-221.90321	-228.31065	100.0	100.0	8999	-29.402733	0.23564282	-28.31505	-30.424377	29.368134	0.012499565	57.11978363990784
7	-222.78754	3.9393733	-213.2154	-228.14838	-220.89522	3.5607367	-214.9047	-225.28137	100.0	100.0	10499	-29.44355	0.24690484	-28.258324	-30.367764	29.412258	0.011908553	67.58411765098572
8	-222.52153	3.289446	-217.12473	-226.98146	-218.27385	4.067546	-210.89812	-226.18437	100.0	100.0	11999	-29.446476	0.24844243	-28.34049	-30.48769	29.416887	0.011944642	78.10266709327698
9	-219.37746	3.534928	-210.84987	-224.6315	-214.0719	5.3600883	-205.07393	-222.56602	100.0	100.0	13499	-29.397284	0.25222597	-28.34106	-30.50774	29.365704	0.011871193	88.5977885723114
10	-218.43745	4.377637	-211.20132	-225.21436	-217.32608	7.490413	-197.6837	-224.27844	100.0	100.0	14999	-29.291954	0.28730968	-28.22993	-30.31119	29.25811	0.0124650905	99.0790627002716
11	-216.13988	7.2287498	-202.00992	-227.11003	-221.06726	3.7419147	-213.64597	-227.92787	100.0	100.0	16499	-29.215593	0.33951175	-27.999699	-30.600191	29.179388	0.013181425	109.56834197044373
12	-216.55093	4.940937	-210.108	-225.9738	-217.22067	4.4850216	-210.3146	-221.66043	100.0	100.0	17999	-29.11256	0.41132832	-27.559061	-30.653933	29.075066	0.014715295	119.97059154510498
13	-220.50754	4.8783827	-206.45403	-228.07748	-211.98714	9.707718	-191.74187	-224.91867	100.0	100.0	19499	-29.04911	0.45893204	-27.356163	-30.68787	29.011051	0.015292048	130.37729287147522
14	-215.09846	4.85215	-200.98909	-220.6575	-217.48434	6.961097	-204.29771	-227.03241	100.0	100.0	20999	-29.017643	0.47487774	-27.347824	-30.817713	28.979597	0.015417516	140.84745407104492
15	-216.13985	4.4978447	-205.24142	-221.72298	-217.0367	7.1099997	-204.66304	-228.00963	100.0	100.0	22499	-28.9534	0.4919548	-27.250881	-30.753397	28.915447	0.015262198	151.2592933177948
16	-216.93275	6.0165143	-198.90166	-225.47757	-218.06546	4.6744037	-210.08908	-225.42615	100.0	100.0	23999	-28.912844	0.49543592	-27.117544	-30.6752	28.874289	0.015007701	161.69548153877258
17	-217.63419	3.974629	-212.97743	-227.298	-216.22379	5.2492537	-207.93604	-224.94365	100.0	100.0	25499	-28.87219	0.50290227	-26.940933	-30.653214	28.833124	0.015147209	172.04116320610046
18	-216.1141	4.927023	-206.9232	-224.38046	-206.68326	8.540116	-190.80461	-219.28693	100.0	100.0	26999	-28.84646	0.5142595	-26.89273	-30.717985	28.80788	0.015144081	182.40633177757263
19	-217.06404	3.646953	-209.12312	-222.9235	-212.43254	6.8129687	-203.17093	-223.74023	100.0	100.0	28499	-28.819508	0.52138114	-26.778164	-30.603863	28.781578	0.014893316	192.79460453987122
20	-214.19882	4.4335036	-205.10733	-220.55713	-210.41533	6.881558	-200.34578	-218.90446	100.0	100.0	29999	-28.796328	0.5326642	-26.710535	-30.647213	28.758156	0.014576866	203.1593997478485
21	-212.0619	4.193854	-205.65636	-219.43015	-212.809	3.8508213	-206.31482	-219.80812	100.0	100.0	31499	-28.721096	0.54992896	-26.754524	-30.615398	28.680635	0.01487971	213.60829710960388
