Unnamed: 0,iter2_base,iter2_reward01,iter2_reward02,iter2_reward03,iter2_reward04,iter2_polyak01,iter2_polyak02,iter2_lr01,iter2_lr02,iter2_noise01,iter2_noise02
$	heta$ MAE (rad),0.1247,0.0981,0.1397,0.1442,0.1067,0.1105,0.1033,0.1473,0.1043,0.1204,0.1431
$\phi$ MAE (rad),0.0748,0.0753,0.0612,0.069,0.0629,0.0809,0.0745,0.0672,0.0699,0.0737,0.074
$	heta$ MSSE (rad),0.0386,0.023,0.0399,0.053,0.017,0.0241,0.018,0.0547,0.0213,0.0383,0.048
$\phi$ MSSE (rad),0.0197,0.0215,0.013,0.0135,0.0148,0.027,0.0241,0.013,0.0216,0.0188,0.0236
$	heta$ in bounds (%),98.77,99.81,98.49,99.1,99.41,99.41,99.77,97.73,99.48,98.97,97.94
$\phi$ in bounds (%),98.93,99.69,99.4,99.49,99.83,97.92,99.55,99.67,99.85,99.51,99.55
$	heta$ unsteady (%),0.26,0.03,0.41,0.18,0.07,0.09,0.04,0.35,0.11,0.17,0.24
$\phi$ unsteady (%),0.29,0.13,0.57,0.25,0.07,1.6,0.08,0.26,0.09,0.23,0.22
$	heta$ rise time (s),0.5173,0.4694,0.5568,0.5487,0.5123,0.5383,0.506,0.5241,0.4805,0.4908,0.5595
$\phi$ rise time (s),0.359,0.3088,0.3016,0.3412,0.2981,0.3115,0.3219,0.3282,0.3155,0.3426,0.3134
$	heta$ settling time (s),0.6305,0.611,0.711,0.6996,0.6856,0.6516,0.644,0.6827,0.6236,0.6222,0.7276
$\phi$ settling time (s),0.5262,0.5148,0.4666,0.5115,0.4464,0.5248,0.5002,0.5133,0.4685,0.5299,0.4775
u1 (V),0.7578,0.8486,1.2656,0.7708,0.8673,1.236,0.9028,0.7085,0.6883,0.8099,1.0715
u2 (V),0.7226,0.7199,3.3552,3.4971,0.728,0.6296,0.5926,0.5946,0.6259,0.7032,0.5906
u1 variation (V),0.4692,0.595,1.4689,0.5356,0.6842,1.3955,0.7156,0.3383,0.3252,0.5069,1.091
u2 variation (V),0.7444,0.6836,5.9915,6.2697,0.7048,0.4956,0.4508,0.4591,0.5202,0.674,0.4834
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
