Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-214.65872	2.2134688	-210.86368	-217.95628	-211.77217	3.9630032	-204.81342	-217.63858	100.0	100.0	1499	-13.032227	6.1811895	0.043863498	-23.918484	12.815676	0.28423613	5.884067535400391
2	-214.46187	1.9080695	-210.43695	-217.00932	-212.49287	3.4730563	-206.88484	-217.63042	100.0	100.0	2999	-26.247807	1.6695635	-19.756516	-29.033073	26.150412	0.026054084	15.630140781402588
3	-214.57465	1.7189833	-211.61398	-217.75279	-215.81792	1.8898482	-213.09291	-219.79453	100.0	100.0	4499	-27.847033	0.30338857	-26.785522	-29.283005	27.79142	0.015578041	25.404382467269897
4	-214.58356	1.4201744	-211.47487	-217.47356	-214.02847	3.1619189	-207.31558	-217.92921	100.0	100.0	5999	-28.048058	0.27011293	-26.99864	-29.519903	28.00464	0.014425946	35.30093169212341
5	-214.85863	1.6341367	-211.0714	-217.20006	-213.9816	2.4140396	-208.35628	-217.57361	100.0	100.0	7499	-28.139494	0.24318579	-27.238815	-29.206831	28.10177	0.013454476	45.16269588470459
6	-213.86282	2.6867478	-207.6673	-218.22893	-214.46683	2.0547187	-210.80183	-218.55719	100.0	100.0	8999	-28.205437	0.22838627	-27.349697	-29.175303	28.174244	0.011653358	55.455511808395386
7	-214.68161	2.628465	-210.15652	-218.19902	-214.08777	3.6309946	-204.21497	-218.95789	100.0	100.0	10499	-28.241173	0.23397692	-27.400589	-29.592508	28.213438	0.011131133	65.68877363204956
8	-213.39601	3.3620243	-205.10303	-219.05992	-210.40836	4.6821346	-198.88405	-217.09384	100.0	100.0	11999	-28.253767	0.22696675	-27.405764	-29.140467	28.228083	0.010553187	75.86577677726746
9	-212.57405	2.7044322	-208.01176	-217.61272	-213.22737	2.647475	-209.9208	-218.78714	100.0	100.0	13499	-28.24837	0.23581883	-27.388521	-29.108906	28.223562	0.010127878	86.14029002189636
10	-212.60976	2.888912	-206.47939	-216.55266	-210.58414	3.0230968	-205.20468	-214.6726	100.0	100.0	14999	-28.256527	0.24513291	-27.389435	-29.138912	28.233433	0.010245709	96.35456991195679
11	-209.8062	2.3678691	-206.31227	-215.19969	-210.31885	3.8953485	-203.81378	-215.08418	100.0	100.0	16499	-28.217987	0.25519982	-27.356106	-29.231667	28.194542	0.010229785	106.50564861297607
12	-210.5808	4.366695	-204.19446	-218.38919	-207.33159	6.259611	-197.37634	-217.53427	100.0	100.0	17999	-28.14864	0.27077824	-27.272339	-29.14903	28.123484	0.011000519	116.68381071090698
13	-208.93304	4.167956	-198.04642	-214.93253	-208.82153	3.6071002	-202.6988	-214.04414	100.0	100.0	19499	-28.09507	0.2863961	-27.210814	-29.167595	28.068546	0.011388995	126.9156174659729
14	-207.06259	3.2991831	-200.86122	-213.06682	-209.86882	3.3734756	-203.26884	-216.06313	100.0	100.0	20999	-28.025957	0.29576552	-27.096537	-29.097277	27.998146	0.011788351	137.19161772727966
15	-208.99289	4.4044733	-201.38455	-216.59561	-207.60379	4.490111	-203.12146	-218.57253	100.0	100.0	22499	-27.953619	0.31735277	-26.937912	-29.090279	27.924278	0.012368844	147.39253997802734
16	-209.69853	2.1432683	-205.1352	-212.53975	-210.3243	3.6549888	-203.36304	-216.05714	100.0	100.0	23999	-27.921652	0.32773226	-26.906586	-29.133873	27.892157	0.012997823	157.50009512901306
17	-209.52397	4.407224	-198.4027	-216.50874	-207.03601	3.8764257	-200.06116	-213.94473	100.0	100.0	25499	-27.899462	0.34068397	-26.836994	-29.14529	27.870054	0.013167186	167.63548159599304
18	-208.44054	5.8847265	-194.02914	-217.08386	-205.40323	2.888938	-199.26512	-210.41447	100.0	100.0	26999	-27.862234	0.36496356	-26.768915	-29.230696	27.83179	0.013804534	177.7434139251709
19	-210.12408	2.995053	-206.12221	-216.07996	-208.01616	4.428753	-200.46016	-214.0734	100.0	100.0	28499	-27.83447	0.37450418	-26.720053	-29.128176	27.803802	0.013967827	187.87768054008484
20	-207.2173	4.4258943	-198.49033	-215.3647	-205.14432	6.731621	-195.7979	-215.65146	100.0	100.0	29999	-27.813093	0.3839231	-26.624954	-29.124031	27.782526	0.014032556	197.99815249443054
21	-206.78545	5.119999	-197.06625	-215.44398	-210.65385	3.7501423	-203.29121	-215.59868	100.0	100.0	31499	-27.769135	0.40125692	-26.52855	-29.18415	27.737709	0.014100754	208.09314846992493
22	-206.39082	7.421421	-190.04253	-217.94926	-208.49113	6.261623	-195.17134	-216.61777	100.0	100.0	32999	-27.727022	0.41803423	-26.298847	-29.187263	27.69452	0.014534747	218.1859803199768
23	-205.15019	6.009179	-190.71237	-212.42006	-203.75113	7.354157	-189.74838	-213.68773	100.0	100.0	34499	-27.694407	0.4448882	-26.061056	-29.10972	27.661823	0.01542852	228.29182052612305
24	-206.93248	4.507389	-202.18178	-218.41518	-206.8855	5.6954722	-193.8718	-215.2319	100.0	100.0	35999	-27.647928	0.47124588	-25.886831	-29.194338	27.613832	0.01573957	238.38904976844788
25	-206.17586	5.5871615	-191.78316	-214.31863	-203.10506	6.0315843	-191.02011	-208.83897	100.0	100.0	37499	-27.606426	0.48364744	-25.885532	-29.294844	27.571922	0.016201459	248.47153115272522
26	-206.8898	5.3007917	-196.63579	-214.94235	-202.68462	7.1921124	-192.82611	-216.55917	100.0	100.0	38999	-27.579067	0.49223363	-25.86824	-29.209846	27.54361	0.016349187	258.58988881111145
27	-204.31258	5.458896	-194.31822	-213.19933	-204.53667	4.488876	-197.28172	-212.13338	100.0	100.0	40499	-27.547386	0.50276613	-25.86766	-29.142714	27.511341	0.016492909	268.69293665885925
28	-202.3574	6.236555	-190.142	-213.9886	-204.20457	6.6377954	-190.21733	-214.76544	100.0	100.0	41999	-27.520624	0.521764	-25.801828	-29.24601	27.485514	0.016721347	278.68617153167725
29	-201.58157	6.482007	-187.61649	-212.99272	-201.27344	4.952858	-189.09087	-207.55656	100.0	100.0	43499	-27.475637	0.54856265	-25.60673	-29.266998	27.439398	0.016834624	288.70128178596497
30	-203.80992	6.204689	-188.2892	-212.0267	-197.26285	9.970115	-183.343	-211.27586	100.0	100.0	44999	-27.417507	0.5731885	-25.4699	-29.322298	27.379803	0.01707003	298.6794481277466
31	-202.66429	5.127904	-192.88245	-210.74313	-199.10297	6.2560954	-183.76039	-208.15411	100.0	100.0	46499	-27.39982	0.5845978	-25.332975	-29.44117	27.363161	0.017286807	308.7356436252594
32	-202.39659	5.951313	-191.0069	-210.38054	-197.66597	9.511087	-179.34271	-212.77441	100.0	100.0	47999	-27.359938	0.59175104	-25.367638	-29.547724	27.323265	0.01757285	318.94889640808105
