Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-472.71304	6.3534966	-462.8804	-485.9659	-476.62198	11.1614275	-454.92422	-491.18622	250.0	250.0	3749	-10.5994425	4.8810573	0.020861454	-19.837847	10.561864	0.01911488	16.797354459762573
2	-476.20242	4.183554	-468.53192	-485.76047	-473.08267	7.4687953	-456.47037	-485.469	250.0	250.0	7499	-25.003162	3.3626456	-16.90237	-31.880157	24.96449	0.02214288	37.37071633338928
3	-475.11194	4.1236124	-467.457	-481.26837	-475.1206	8.174747	-456.54996	-487.88077	250.0	250.0	11249	-32.3829	1.4406114	-27.408392	-36.337147	32.346024	0.0299347	58.21473264694214
4	-469.9391	7.7912397	-455.98364	-481.29218	-473.9122	10.203374	-447.09714	-485.16568	250.0	250.0	14999	-35.30415	0.7764452	-31.99804	-38.375988	35.2741	0.029196901	79.80923700332642
5	-469.29147	12.118618	-437.41525	-483.51483	-471.1419	11.343539	-446.75668	-483.51184	250.0	250.0	18749	-36.448055	0.60507816	-33.68711	-39.11708	36.416584	0.027158711	101.33821392059326
6	-468.59192	11.12351	-435.76578	-479.75418	-468.9384	6.199833	-459.62097	-479.4023	250.0	250.0	22499	-36.820854	0.62155795	-34.410103	-39.232464	36.7888	0.026050603	122.96395993232727
7	-471.6222	6.6896186	-459.44916	-484.23526	-462.8203	8.22663	-440.84082	-471.0711	250.0	250.0	26249	-36.957943	0.64257747	-34.450214	-39.537327	36.927883	0.026291374	144.48796939849854
8	-469.50558	6.1276255	-460.528	-481.90433	-455.85547	15.271908	-433.44742	-477.40717	250.0	250.0	29999	-37.029186	0.65661186	-34.524105	-39.45846	36.998688	0.024974337	166.05255961418152
9	-459.67715	8.212548	-442.68533	-471.8692	-466.4478	11.696492	-438.2167	-478.29788	250.0	250.0	33749	-37.026432	0.66492623	-34.402973	-39.359837	36.99767	0.024010986	187.697758436203
10	-458.99753	11.76648	-431.8021	-473.03012	-460.993	15.535691	-424.32138	-484.33102	250.0	250.0	37499	-36.97063	0.70039856	-34.658943	-39.32276	36.941383	0.024314197	209.25821232795715
11	-460.31186	10.146172	-444.95004	-475.6236	-455.6105	17.737303	-410.72086	-473.84387	250.0	250.0	41249	-36.869034	0.7344648	-34.22754	-39.18169	36.83694	0.024221415	230.86948108673096
12	-459.0781	10.405196	-440.7494	-476.1731	-462.87173	10.753197	-445.6371	-478.0081	250.0	250.0	44999	-36.783497	0.7491866	-33.899643	-39.37737	36.750538	0.02256702	252.4588258266449
13	-458.25732	8.735709	-435.64825	-472.0762	-454.62823	9.41975	-432.79724	-466.32568	250.0	250.0	48749	-36.707096	0.7685206	-33.96042	-39.1626	36.674534	0.021939177	274.24139380455017
14	-455.7831	13.909711	-428.75455	-477.04092	-449.2294	14.268521	-428.21872	-473.8432	250.0	250.0	52499	-36.65031	0.7938858	-33.96218	-39.385605	36.619236	0.02119894	295.97853660583496
15	-457.3203	13.262733	-427.8372	-476.68976	-449.4768	10.853623	-431.90848	-467.54858	250.0	250.0	56249	-36.595207	0.81889826	-33.94224	-39.132145	36.563126	0.021618571	317.7880759239197
16	-447.35938	13.272874	-423.00076	-468.54752	-453.8475	12.997688	-429.06415	-473.32104	250.0	250.0	59999	-36.52703	0.86711895	-33.97595	-39.39315	36.49533	0.020718915	339.7993280887604
17	-457.73563	13.116001	-429.4967	-476.61047	-445.13306	7.741686	-430.7787	-455.21576	250.0	250.0	63749	-36.445686	0.91708976	-33.7851	-39.574486	36.413532	0.021743296	361.75535678863525
18	-448.1265	11.027821	-431.5339	-463.42752	-450.21255	10.189045	-433.73383	-470.7994	250.0	250.0	67499	-36.390965	0.9506459	-33.52881	-39.258453	36.358124	0.021890437	383.87669134140015
19	-448.16022	15.206559	-420.03442	-469.62982	-447.41928	10.215615	-426.3262	-464.69757	250.0	250.0	71249	-36.314655	0.99262315	-33.29754	-39.16471	36.28107	0.022475485	406.4543602466583
20	-446.9673	13.070863	-426.0303	-476.81778	-430.41742	13.214531	-398.88635	-444.1256	250.0	250.0	74999	-36.23401	1.0291286	-33.243214	-39.57743	36.200333	0.023211565	429.37413334846497
21	-441.5303	12.707872	-418.1223	-461.40472	-447.45892	8.10841	-432.95425	-465.41373	250.0	250.0	78749	-36.141182	1.0690961	-33.207798	-39.363304	36.1057	0.023259846	452.8177378177643
22	-447.42557	13.373041	-427.67102	-474.90875	-437.3714	15.516198	-412.66245	-459.1683	250.0	250.0	82499	-36.064453	1.0902447	-33.232124	-39.33977	36.029243	0.023015384	476.40546321868896
23	-439.24142	14.749455	-406.81772	-465.42966	-445.30035	13.804685	-419.04095	-465.1597	250.0	250.0	86249	-35.98493	1.1194859	-33.061535	-39.738354	35.9484	0.02433337	499.983021736145
24	-440.90558	12.27906	-417.90793	-463.66324	-440.53027	19.508266	-414.53113	-472.9454	250.0	250.0	89999	-35.90411	1.1489834	-32.904556	-39.425266	35.865993	0.024420902	523.5578970909119
25	-440.75076	15.272732	-414.65158	-461.6301	-438.37802	17.011524	-412.276	-466.7405	250.0	250.0	93749	-35.80855	1.1849118	-32.961174	-39.847523	35.769268	0.02474187	547.249819278717
26	-434.24756	8.283264	-415.73108	-448.7888	-443.30582	13.096806	-420.35815	-466.16495	250.0	250.0	97499	-35.711006	1.2035356	-32.85303	-39.99496	35.670372	0.024579387	571.1406288146973
