Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-476.2352	3.6893795	-468.0976	-482.43912	-477.30927	7.7501073	-460.83936	-487.4882	250.0	250.0	3749	-10.293996	4.811679	0.024069704	-19.122002	10.23291	0.026685793	17.632524728775024
2	-476.38474	5.875067	-459.69403	-484.6264	-472.6189	9.157776	-452.46118	-486.90018	250.0	250.0	7499	-24.519186	3.362206	-15.986521	-31.927528	24.466095	0.012998671	38.80759882926941
3	-474.2497	6.7743416	-459.45157	-485.625	-474.2486	8.737281	-452.52277	-484.1602	250.0	250.0	11249	-32.10549	1.4240224	-27.37357	-35.86525	32.05425	0.015898084	60.389464378356934
4	-471.7661	10.834564	-440.71405	-485.3085	-459.80063	9.525639	-440.9469	-473.15704	250.0	250.0	14999	-35.05369	0.7990891	-31.845766	-37.623558	35.008217	0.015715469	82.66382551193237
5	-475.00494	7.09804	-460.15634	-485.24225	-467.17108	7.900665	-454.90784	-481.08368	250.0	250.0	18749	-36.290394	0.63908964	-33.893948	-38.575054	36.248287	0.014857385	105.00494742393494
6	-463.07095	15.896304	-416.34198	-479.54434	-461.2311	14.2240305	-432.3344	-481.32117	250.0	250.0	22499	-36.77518	0.644894	-34.46452	-38.9025	36.734333	0.0144380415	127.33187103271484
7	-463.78256	10.990097	-446.00784	-480.91968	-454.68707	5.588417	-445.60977	-464.3842	250.0	250.0	26249	-36.845287	0.7388555	-34.337563	-39.046936	36.802853	0.014663374	149.8323109149933
8	-460.5316	9.645013	-444.3586	-476.677	-446.1748	19.831472	-407.47354	-471.1007	250.0	250.0	29999	-36.801098	0.8071456	-34.30137	-39.161423	36.760925	0.013847083	172.36363339424133
9	-463.35568	11.074101	-441.56656	-486.64777	-455.88873	14.821033	-429.85638	-478.098	250.0	250.0	33749	-36.76663	0.8287696	-34.24587	-39.293373	36.726593	0.013459068	194.79306817054749
10	-458.04034	12.736879	-437.1008	-477.4523	-457.64584	10.172017	-435.49213	-473.1714	250.0	250.0	37499	-36.72184	0.8498612	-34.312355	-39.965096	36.68332	0.013805831	217.30924892425537
11	-455.08246	12.345864	-430.21173	-477.03104	-457.31796	12.900134	-439.97235	-475.76614	250.0	250.0	41249	-36.646343	0.87559265	-34.260193	-39.607506	36.60715	0.013268309	239.85307359695435
12	-452.78607	13.648437	-423.93616	-480.10672	-459.25336	8.925077	-444.31787	-473.89767	250.0	250.0	44999	-36.546635	0.9241534	-34.048283	-39.73712	36.50654	0.013205402	262.46803998947144
13	-456.6331	10.447635	-439.79678	-476.14355	-452.76797	11.00281	-438.35406	-477.70398	250.0	250.0	48749	-36.45912	0.965805	-33.866863	-39.866955	36.418957	0.01319838	285.28372049331665
14	-446.32947	10.611143	-430.86865	-465.70966	-445.1048	11.664285	-420.54163	-460.38718	250.0	250.0	52499	-36.34908	0.9891232	-33.76515	-39.882202	36.306175	0.012755322	307.99553513526917
