Unnamed: 0,iter0_base,iter0_reward01,iter0_reward02,iter0_reward03,iter0_rs01,iter0_rs02,iter0_gamma01,iter0_gamma02,iter0_polyak01,iter0_polyak02,iter0_polyak03,iter0_lr01,iter0_lr02,iter0_bs01,iter0_bs02,iter0_ss01,iter0_ss02,iter0_noise01,iter0_noise02
$	heta$ MAE (rad),0.2616,0.4228,0.3031,0.6952,0.3329,0.2289,0.3383,0.2201,0.2741,0.3307,0.25,0.2121,0.2899,0.3556,0.2411,0.2352,0.2702,0.2529,0.2154
$\phi$ MAE (rad),0.0922,0.1302,0.1369,0.1094,0.1522,0.0904,0.1195,0.1532,0.1078,0.1029,0.0988,0.0902,0.1147,0.1304,0.0968,0.1159,0.0853,0.099,0.1484
$	heta$ MSSE (rad),0.1274,0.2833,0.1603,0.5457,0.2105,0.1079,0.1929,0.1197,0.1395,0.204,0.1245,0.1057,0.1514,0.2243,0.1334,0.1025,0.1413,0.1467,0.0996
$\phi$ MSSE (rad),0.0394,0.0788,0.0741,0.0494,0.0911,0.0338,0.0617,0.0862,0.0528,0.0394,0.0488,0.0336,0.0599,0.0489,0.042,0.0492,0.0318,0.039,0.0812
$	heta$ in bounds (%),94.84,82.73,91.16,70.71,87.89,95.73,90.52,85.82,92.33,81.86,92.85,95.33,90.87,75.01,92.42,94.23,93.98,85.58,94.96
$\phi$ in bounds (%),95.96,88.77,93.22,98.07,91.43,97.5,93.79,88.03,93.94,97.39,97.14,99.13,95.79,92.77,98.51,97.8,98.78,99.04,95.83
$	heta$ unsteady (%),0.58,1.73,1.27,2.26,0.68,0.86,1.2,3.03,0.64,1.28,0.52,0.34,0.75,2.78,0.23,0.82,0.7,0.83,0.82
$\phi$ unsteady (%),2.81,4.37,1.88,1.29,1.88,1.45,1.48,7.38,3.91,1.39,0.59,0.48,1.13,6.02,0.22,0.7,1.06,0.61,0.85
$	heta$ rise time (s),0.6388,0.7552,0.7018,0.8395,0.7698,0.596,0.6729,0.4505,0.7612,0.7175,0.66,0.6027,0.6953,0.6789,0.5582,0.5499,0.6202,0.5811,0.5214
$\phi$ rise time (s),0.2899,0.3427,0.3113,0.3377,0.322,0.3209,0.2881,0.3446,0.2921,0.2882,0.3012,0.3086,0.3263,0.3227,0.299,0.2804,0.3137,0.337,0.3397
$	heta$ settling time (s),1.0529,1.0925,1.0937,1.2983,1.2679,0.8461,1.0676,0.8661,1.1683,1.1182,1.0175,0.9612,1.0763,1.1656,0.947,1.1288,0.9452,0.9848,0.9362
$\phi$ settling time (s),0.5361,0.622,0.6861,0.5593,0.6088,0.545,0.6252,0.6942,0.5438,0.5708,0.4953,0.5511,0.5973,0.6324,0.5282,0.6392,0.5452,0.5883,0.6154
u1 (V),3.887,1.2902,2.5984,1.2226,2.7673,1.6465,3.678,4.6027,1.9875,1.727,2.1808,2.1647,1.3559,1.554,3.4678,1.8743,1.8868,2.0594,4.0772
u2 (V),3.9227,1.1813,3.5007,0.7443,3.2227,2.9151,2.9957,4.3813,2.6153,2.4391,3.601,3.3334,2.4273,3.9458,3.2869,4.1897,3.1484,3.6505,3.4311
u1 variation (V),6.4258,1.2095,3.639,1.1966,4.185,1.9901,5.9924,7.2463,2.6498,2.0027,3.0682,2.9152,1.3888,1.3484,5.5632,2.108,2.4607,2.554,6.7029
u2 variation (V),6.7601,1.2548,5.8748,0.6205,5.3625,4.8819,4.9317,7.2947,4.0052,3.7607,6.2195,5.6748,3.8492,6.333,5.5624,7.0934,5.3119,6.2114,5.79
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
