Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-473.1339	5.5279303	-463.56015	-485.78912	-479.13998	6.5187697	-467.5363	-487.34525	250.0	250.0	3749	-30.744215	8.511407	0.04545681	-40.311066	30.675356	0.030057967	17.437142848968506
2	-477.47726	4.3124948	-469.4498	-488.2883	-475.80096	8.179157	-459.29764	-485.09	250.0	250.0	7499	-36.998417	0.6969946	-34.66774	-40.190647	36.953503	0.017461479	38.2032527923584
3	-472.93015	7.31147	-456.75363	-486.4145	-476.1485	10.503664	-461.82944	-491.2372	250.0	250.0	11249	-37.3233	0.60793376	-35.13207	-39.36503	37.289043	0.014954739	59.34795165061951
4	-470.23718	11.917346	-446.0795	-487.4497	-472.65863	5.8945713	-457.3836	-479.30914	250.0	250.0	14999	-37.32696	0.614594	-35.273415	-39.992912	37.295803	0.013555778	81.23988437652588
5	-472.2593	10.617525	-444.73502	-485.46597	-465.87885	14.776899	-441.2223	-484.52698	250.0	250.0	18749	-37.29777	0.65134615	-34.777172	-39.809734	37.269135	0.0125534665	103.1221923828125
6	-472.74734	8.95132	-453.4627	-489.9891	-470.18863	11.675471	-447.41492	-492.54404	250.0	250.0	22499	-37.36088	0.6875069	-34.575016	-39.630703	37.336353	0.011107806	125.04524755477905
7	-468.9888	9.074377	-450.7219	-486.52264	-456.7382	12.143084	-440.7317	-476.55624	250.0	250.0	26249	-37.309982	0.7428099	-34.563297	-39.719654	37.28319	0.010656915	147.06526684761047
8	-460.98367	10.791341	-445.2542	-478.95474	-453.24814	17.5813	-416.02255	-478.28967	250.0	250.0	29999	-37.153893	0.7438314	-34.588493	-39.68671	37.12389	0.011844449	169.11406254768372
9	-454.06992	12.363999	-422.21222	-470.47375	-454.70966	7.0897455	-440.0187	-463.47565	250.0	250.0	33749	-36.971527	0.78199506	-34.396103	-39.660873	36.938984	0.012617306	191.21005487442017
10	-450.96344	13.434383	-425.2123	-471.95456	-452.94073	7.1022277	-436.69553	-459.5279	250.0	250.0	37499	-36.765045	0.8578863	-34.156475	-39.84251	36.729767	0.013489208	213.3299822807312
11	-448.47076	15.84855	-420.94943	-474.98764	-451.53183	12.999884	-432.486	-468.19217	250.0	250.0	41249	-36.57961	0.9320158	-33.342125	-39.82008	36.5425	0.014405488	235.5102150440216
12	-450.03058	14.465539	-418.92975	-483.3314	-447.60675	15.54809	-415.5944	-463.8765	250.0	250.0	44999	-36.354523	1.0156629	-33.077568	-39.823387	36.3139	0.015408636	257.6315903663635
13	-447.7779	14.593371	-423.92075	-482.45047	-445.92938	13.716317	-429.65338	-466.2143	250.0	250.0	48749	-36.247612	1.0317144	-33.164726	-40.207676	36.206215	0.015761472	279.891948223114
14	-446.75385	10.423614	-430.46677	-462.7915	-446.42993	20.059813	-399.01675	-481.03552	250.0	250.0	52499	-36.10645	1.0872608	-32.935535	-39.90084	36.063602	0.01581379	302.04411363601685
15	-435.11996	13.950569	-410.10965	-460.02902	-444.45718	9.118611	-430.08536	-457.90906	250.0	250.0	56249	-35.974934	1.1384494	-32.701256	-40.263145	35.932507	0.015869543	324.2258665561676
16	-448.39395	11.552104	-424.76825	-467.63837	-439.26352	16.488073	-397.77762	-462.96283	250.0	250.0	59999	-35.872787	1.1960168	-32.55853	-40.1875	35.8306	0.016267503	346.45503425598145
17	-447.4955	14.0706005	-415.49658	-474.30264	-447.15463	8.947302	-435.3351	-460.4826	250.0	250.0	63749	-35.856205	1.2084416	-32.353516	-40.162987	35.815563	0.015842687	368.7113296985626
18	-444.81866	10.680561	-427.53732	-462.6937	-441.36124	14.209599	-411.49298	-464.57	250.0	250.0	67499	-35.786514	1.2069855	-32.348717	-40.172363	35.74597	0.015716393	391.11499190330505
19	-445.35306	10.537874	-430.35736	-465.11298	-434.3221	17.408401	-411.874	-466.7464	250.0	250.0	71249	-35.704937	1.197288	-32.583035	-40.088543	35.663464	0.015767535	413.6194734573364
20	-437.56973	14.473612	-406.88007	-467.3727	-433.36996	22.327894	-395.9049	-462.73352	250.0	250.0	74999	-35.640244	1.2083848	-32.691612	-40.38998	35.5992	0.01576448	436.68113708496094
21	-443.78162	14.503318	-419.85004	-470.80344	-434.7539	16.13269	-406.30902	-454.47473	250.0	250.0	78749	-35.58303	1.2195439	-32.720448	-39.904373	35.542015	0.016376156	459.94164180755615
22	-437.01285	13.823964	-411.43564	-462.8817	-433.74585	13.663129	-407.29434	-452.8479	250.0	250.0	82499	-35.511246	1.225441	-32.591892	-40.187435	35.46969	0.015699966	483.45634508132935
23	-437.8994	16.911713	-409.15085	-468.1319	-458.62836	11.671174	-440.3543	-476.8248	250.0	250.0	86249	-35.442047	1.2348725	-32.413803	-40.89649	35.400475	0.016217958	506.975713968277
24	-435.61377	8.716017	-419.59683	-449.379	-428.28192	24.516455	-379.65192	-450.72067	250.0	250.0	89999	-35.371986	1.2439088	-32.450974	-40.297012	35.330288	0.016535204	530.4233200550079
25	-438.74054	8.57596	-427.29364	-453.86707	-432.28946	11.996142	-416.6678	-449.29065	250.0	250.0	93749	-35.287155	1.262844	-32.53386	-40.619358	35.243977	0.01723967	554.0933542251587
26	-441.2003	14.838768	-409.49667	-472.65375	-451.26846	18.24814	-410.22046	-481.6911	250.0	250.0	97499	-35.24305	1.2564169	-32.49321	-40.335705	35.201214	0.017416142	577.4469976425171
27	-433.8188	9.358562	-413.59064	-446.46844	-438.96088	11.800443	-424.23825	-461.81116	250.0	250.0	101249	-35.233337	1.2576547	-32.355457	-40.855923	35.192818	0.01693439	600.929285287857
28	-439.99506	12.265068	-421.5447	-462.2118	-433.27167	13.912961	-416.35587	-463.98398	250.0	250.0	104999	-35.179153	1.2520629	-32.40555	-40.44055	35.1379	0.016347839	624.3835499286652
29	-430.12158	10.42382	-411.932	-447.67126	-432.45615	13.092857	-404.8646	-452.0053	250.0	250.0	108749	-35.118664	1.2718531	-32.373867	-40.095856	35.077675	0.016876478	647.9346921443939
