Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-474.495	5.0035567	-464.63358	-480.54834	-477.7045	7.3298326	-462.9242	-488.72076	250.0	250.0	3749	-10.505049	4.8578176	-0.015339822	-19.625374	10.461385	0.01573841	22.163237810134888
2	-480.76065	3.3756742	-474.0562	-485.861	-467.46655	14.365802	-430.62686	-485.46616	250.0	250.0	7499	-24.720976	3.3555222	-16.551184	-32.194042	24.6749	0.011545069	49.64091658592224
3	-473.36325	7.1411753	-458.9616	-487.51083	-470.45782	8.075452	-456.1574	-481.5299	250.0	250.0	11249	-32.344807	1.5188853	-27.72913	-36.086197	32.305096	0.0167816	77.68485951423645
4	-468.39062	11.347388	-445.28915	-484.46	-471.2814	8.302587	-461.8589	-488.2036	250.0	250.0	14999	-35.358826	0.80275905	-32.52921	-38.035973	35.327183	0.016126398	106.9716911315918
5	-468.49304	12.312256	-434.89886	-482.6258	-475.53165	5.947013	-462.1928	-485.42822	250.0	250.0	18749	-36.51766	0.7118194	-34.154293	-39.265	36.48681	0.015327936	136.28164720535278
6	-467.15515	7.4259996	-450.82587	-480.89578	-465.18213	9.51104	-440.75897	-478.4091	250.0	250.0	22499	-36.877823	0.73410386	-34.66023	-39.535652	36.843506	0.015672978	166.23889470100403
7	-463.35825	13.346082	-434.189	-479.43665	-464.7128	11.019997	-439.41324	-474.8754	250.0	250.0	26249	-36.907925	0.80709887	-33.88581	-64.714386	36.87264	0.025381478	195.98317861557007
8	-458.79782	11.53427	-431.78998	-475.00766	-460.51996	11.485412	-435.89468	-472.67862	250.0	250.0	29999	-36.914917	0.9230221	-27.376204	-55.11748	36.880096	0.028893668	225.51987981796265
9	-457.464	8.379769	-440.38953	-473.6126	-452.78082	20.906155	-412.82294	-475.22568	250.0	250.0	33749	-36.799534	0.8235363	-31.592957	-43.94232	36.765118	0.026642665	255.1088171005249
10	-458.83176	11.134529	-435.47513	-474.96234	-447.30206	15.084942	-425.18423	-476.3743	250.0	250.0	37499	-36.7327	0.84881127	-29.590624	-44.57534	36.70075	0.025650047	284.7367014884949
11	-443.14996	15.987108	-417.75064	-470.51285	-445.01968	18.64713	-405.55646	-469.80325	250.0	250.0	41249	-36.63628	0.9015346	-27.887882	-42.770493	36.60338	0.023859324	314.4759738445282
12	-447.4014	18.012674	-408.14764	-476.4718	-450.54144	11.040444	-428.65045	-472.0273	250.0	250.0	44999	-36.48277	0.9849792	-24.537348	-48.42785	36.448288	0.028087016	344.31542778015137
13	-450.1484	13.659611	-431.316	-473.87885	-447.7425	16.897896	-421.60806	-476.8083	250.0	250.0	48749	-36.323044	1.0436015	-24.25312	-44.516064	36.286533	0.026289463	374.1358652114868
14	-452.68146	12.211035	-418.86743	-465.71844	-455.5434	5.032009	-446.80435	-462.82257	250.0	250.0	52499	-36.190132	1.0956208	-28.401943	-39.721867	36.151493	0.02406904	403.4528257846832
15	-442.5452	9.069717	-430.6099	-462.6694	-448.47858	14.344764	-421.09952	-464.4438	250.0	250.0	56249	-36.069244	1.1147113	-26.611948	-43.930492	36.028908	0.026243623	433.58450078964233
16	-448.0191	15.372982	-423.9033	-473.2732	-448.17255	20.079575	-405.26678	-478.97632	250.0	250.0	59999	-35.951027	1.1409838	-29.504192	-43.022705	35.91021	0.026113624	463.41531109809875
17	-452.29044	13.113322	-422.87918	-475.1356	-448.68588	11.428623	-420.7285	-462.38608	250.0	250.0	63749	-35.88096	1.1832784	-30.80926	-49.68322	35.840027	0.029392129	493.50578689575195
18	-447.96365	18.078009	-409.12183	-476.24918	-460.74445	6.8026543	-450.65607	-473.70645	250.0	250.0	67499	-35.827496	1.1570475	-28.279972	-46.88433	35.7883	0.031856257	524.154275894165
19	-453.32782	16.72625	-418.40228	-477.68393	-449.36826	16.934475	-418.8881	-475.7371	250.0	250.0	71249	-35.794216	1.1581938	-26.896812	-45.30743	35.757755	0.03719149	555.178373336792
20	-447.72183	13.91293	-417.25452	-466.52194	-451.7335	8.251976	-433.3441	-462.10257	250.0	250.0	74999	-35.788536	1.1626521	-28.212946	-45.1158	35.752483	0.033597063	586.2847881317139
21	-457.18805	10.891286	-441.9536	-476.37427	-448.17334	11.476483	-420.24347	-463.8645	250.0	250.0	78749	-35.77872	1.1529639	-30.225164	-41.601444	35.74262	0.028790202	617.5038812160492
22	-450.88376	14.689977	-429.5042	-476.11948	-445.06732	13.516291	-426.70844	-464.9836	250.0	250.0	82499	-35.768444	1.151632	-31.179375	-42.741627	35.73189	0.031195756	648.9680323600769
23	-447.36932	9.182696	-427.0618	-466.41864	-439.9192	15.364554	-419.05655	-465.65347	250.0	250.0	86249	-35.722687	1.1564233	-29.231886	-42.696068	35.68437	0.027852144	680.1250114440918
