Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-476.41733	7.2144847	-453.13126	-484.34372	-475.82755	14.101532	-444.80673	-491.01987	250.0	250.0	3749	-10.444595	4.793461	0.03618194	-19.503073	10.407982	0.015765	22.102449893951416
2	-477.287	6.2412276	-464.66385	-493.6992	-469.44183	17.858095	-435.58008	-488.1701	250.0	250.0	7499	-24.63062	3.3580842	-16.392048	-31.633312	24.59507	0.012895628	50.595969676971436
3	-471.71008	7.898749	-454.12698	-480.8891	-476.5456	3.1617005	-469.81693	-480.25848	250.0	250.0	11249	-32.19093	1.5054657	-27.341982	-36.807217	32.151855	0.01856672	80.01780843734741
4	-474.78528	3.99319	-466.20435	-480.4703	-476.1669	7.3919897	-459.6991	-485.11905	250.0	250.0	14999	-35.259724	0.87101924	-32.296104	-39.669598	35.221912	0.019984465	109.50843358039856
5	-471.70883	6.7193255	-455.18445	-481.59622	-470.0022	5.075553	-462.11218	-479.23834	250.0	250.0	18749	-36.44008	0.641818	-34.093758	-38.623394	36.405167	0.019335963	139.11774277687073
6	-469.51935	8.910378	-451.72205	-487.54926	-470.48453	11.919613	-437.7567	-480.05646	250.0	250.0	22499	-36.893143	0.6155405	-34.79148	-38.958836	36.858746	0.018539807	168.48792099952698
7	-460.8413	9.523496	-443.5768	-476.27747	-468.11176	9.740187	-444.99777	-482.1811	250.0	250.0	26249	-37.010193	0.64171916	-34.87342	-39.420246	36.975826	0.019379474	197.94123482704163
8	-463.77386	9.62624	-442.7628	-476.4714	-450.94183	19.010271	-404.98386	-475.1031	250.0	250.0	29999	-36.989433	0.67472345	-34.786724	-39.54157	36.957283	0.019482665	227.7109625339508
9	-463.5081	8.180796	-446.3242	-474.9838	-458.46094	16.455467	-416.0507	-476.7573	250.0	250.0	33749	-36.938644	0.6965881	-34.75632	-39.209293	36.90667	0.01802659	256.95825242996216
10	-455.0222	9.2310705	-442.25723	-480.84256	-450.30634	14.056644	-422.01254	-471.82965	250.0	250.0	37499	-36.87376	0.7308066	-34.629593	-39.397697	36.841618	0.017933017	286.86402130126953
11	-451.55072	11.940668	-425.50333	-470.7834	-450.58218	7.5821815	-442.82358	-470.264	250.0	250.0	41249	-36.745636	0.7833598	-34.23679	-39.421383	36.709633	0.018122943	316.8080155849457
12	-444.66742	16.189035	-419.78183	-472.5011	-452.6212	11.142568	-436.2178	-469.02676	250.0	250.0	44999	-36.57773	0.85057825	-33.574257	-39.48834	36.539444	0.018284127	346.3314061164856
13	-453.43735	9.43692	-439.778	-471.99002	-457.36945	13.13014	-429.4416	-481.16638	250.0	250.0	48749	-36.417328	0.9209058	-33.620174	-39.556545	36.379005	0.018552506	376.48033595085144
14	-445.19485	11.877403	-426.57315	-473.1466	-442.73364	8.784189	-421.4294	-458.22272	250.0	250.0	52499	-36.29756	0.9559928	-33.70277	-39.672443	36.25825	0.01873913	406.5146048069
15	-445.0392	10.200857	-423.34076	-465.10965	-450.46548	5.414491	-439.557	-458.8364	250.0	250.0	56249	-36.174706	0.9834033	-33.575657	-39.565147	36.13475	0.018718416	436.15451312065125
16	-446.1658	11.608639	-423.0729	-469.51453	-441.39688	15.6341915	-415.00937	-460.11594	250.0	250.0	59999	-36.062233	1.0132943	-33.5698	-39.36453	36.020374	0.018278776	466.2630696296692
17	-440.23465	12.001324	-416.86392	-458.17545	-443.39365	17.873741	-411.1228	-470.35522	250.0	250.0	63749	-35.957706	1.0293925	-33.542038	-39.490837	35.916893	0.018134283	496.4058439731598
18	-441.77988	14.400855	-412.17563	-462.04227	-445.72208	14.046864	-417.8922	-463.74432	250.0	250.0	67499	-35.877445	1.054976	-33.4133	-39.149178	35.83775	0.019150728	527.1167726516724
19	-435.824	11.870259	-399.4014	-454.4504	-444.8161	9.494413	-430.79782	-466.65848	250.0	250.0	71249	-35.8045	1.092147	-33.41873	-39.259995	35.763878	0.01897644	558.8464031219482
20	-439.16132	15.262672	-411.20776	-470.91092	-432.99957	9.975883	-415.45016	-446.67398	250.0	250.0	74999	-35.679554	1.1353134	-33.1125	-39.38931	35.635643	0.019246778	589.9668347835541
21	-438.7187	8.9069605	-418.544	-455.52277	-444.03174	17.259388	-408.1401	-473.59183	250.0	250.0	78749	-35.569168	1.1648198	-32.94316	-39.345383	35.525692	0.019593123	621.628716468811
22	-444.95752	10.176904	-422.8326	-464.91104	-433.92963	13.54215	-402.8175	-451.37463	250.0	250.0	82499	-35.488876	1.1827748	-32.77698	-39.226242	35.44424	0.019468525	653.2241144180298
23	-438.1139	17.202711	-414.9622	-474.16275	-436.34653	9.115937	-422.44293	-454.27487	250.0	250.0	86249	-35.417408	1.2021004	-32.486294	-39.361847	35.37165	0.019772869	684.4478778839111
24	-438.98273	18.524284	-411.07047	-473.1487	-438.75214	20.856579	-410.9785	-477.04938	250.0	250.0	89999	-35.337692	1.2331512	-32.450825	-39.43387	35.291496	0.019850561	716.3144266605377
