Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-522.2229	8.485138	-504.18478	-535.8192	-524.3379	9.2579155	-498.5436	-531.74207	250.0	250.0	3749	-3.8983932	1.1477605	0.025665544	-6.4603486	3.8558857	0.028089253	21.897114276885986
2	-523.4001	6.960584	-509.67047	-533.59186	-522.9257	13.023359	-498.80582	-539.3589	250.0	250.0	7499	-8.690076	1.6589948	-5.142318	-13.092817	8.665684	0.0015862912	49.03367376327515
3	-523.0343	7.0798264	-513.13367	-538.98804	-524.5635	6.5471883	-511.62506	-532.9689	250.0	250.0	11249	-13.92556	1.4607679	-10.440077	-18.04486	13.901848	0.0024278862	76.72704911231995
4	-523.2737	8.006575	-512.0599	-539.1495	-524.1111	6.408058	-510.0831	-532.4938	250.0	250.0	14999	-18.436514	1.2894496	-15.020647	-22.268078	18.411804	0.003917658	104.29773616790771
5	-519.9218	5.513643	-512.01056	-528.313	-519.7458	8.302325	-503.78568	-532.7625	250.0	250.0	18749	-22.235483	1.1408702	-18.929289	-25.884096	22.206348	0.0056272084	131.75161051750183
6	-521.0735	9.147631	-494.25058	-531.59467	-526.72156	6.897847	-515.35114	-539.9293	250.0	250.0	22499	-25.402884	1.0177284	-22.245256	-28.767216	25.368546	0.0072579696	159.56018447875977
7	-518.83826	7.564147	-503.44803	-531.10944	-521.7147	6.6789184	-509.47986	-533.0114	250.0	250.0	26249	-28.009447	0.9197615	-24.924305	-31.23718	27.969944	0.0093229795	187.78176021575928
8	-517.1872	10.530421	-491.67078	-529.0688	-514.4643	11.435316	-495.20035	-529.2218	250.0	250.0	29999	-30.166126	0.8451235	-27.11117	-33.370422	30.124023	0.010706404	216.15705513954163
9	-518.04486	9.612238	-498.03375	-528.8925	-522.9857	7.6273036	-507.96042	-539.7447	250.0	250.0	33749	-31.948463	0.7993276	-28.78879	-35.08672	31.906183	0.011186408	244.0471408367157
10	-510.04062	12.6373005	-477.36465	-526.15735	-500.56802	14.276207	-473.1858	-517.1676	250.0	250.0	37499	-33.42794	0.772917	-30.348072	-36.49028	33.386616	0.011380183	271.56665229797363
11	-508.4693	15.809603	-481.0264	-529.7552	-518.09644	8.674331	-506.5094	-532.935	250.0	250.0	41249	-34.63872	0.7576005	-31.410955	-37.620693	34.59742	0.011559975	299.2828929424286
12	-508.31088	15.813702	-469.43146	-527.11926	-509.87494	6.484752	-502.05576	-521.10846	250.0	250.0	44999	-35.629436	0.76743025	-32.580963	-38.546795	35.586708	0.01162148	327.1826846599579
13	-514.40936	7.5658646	-498.28967	-524.9892	-504.06454	10.861436	-490.8085	-524.0062	250.0	250.0	48749	-36.444454	0.7835978	-33.422935	-39.30853	36.402607	0.011865331	355.1790609359741
14	-506.89313	16.166101	-458.9737	-527.3075	-494.89185	15.297893	-470.72556	-527.5881	250.0	250.0	52499	-37.108173	0.8066085	-34.200798	-40.036064	37.066868	0.011657591	383.0055134296417
15	-503.03616	11.374841	-479.5216	-524.2954	-490.715	15.257972	-459.8673	-511.5165	250.0	250.0	56249	-37.651028	0.8219861	-34.781845	-40.682976	37.608463	0.011437296	410.6637032032013
16	-502.35147	15.6217375	-470.98517	-525.2663	-498.10858	21.455294	-451.96597	-528.0608	250.0	250.0	59999	-38.08894	0.8540489	-35.218117	-41.105564	38.04634	0.011372351	438.3922643661499
17	-506.77225	12.642112	-482.01266	-526.4546	-498.763	17.696081	-477.4453	-525.77856	250.0	250.0	63749	-38.458366	0.894883	-35.486877	-46.03212	38.415833	0.011922075	466.8389265537262
18	-501.75815	15.713586	-472.17505	-530.00226	-491.6457	16.205942	-463.06537	-511.841	250.0	250.0	67499	-38.74619	0.9227706	-35.70906	-44.967957	38.70197	0.012426904	495.8494231700897
19	-500.82382	14.277489	-478.219	-523.90393	-497.27817	17.436737	-472.4118	-530.3451	250.0	250.0	71249	-38.969467	0.93793297	-35.92254	-44.533382	38.923992	0.01256815	524.5900058746338
20	-503.14493	16.156445	-477.49274	-528.332	-486.8271	15.696604	-459.09247	-507.92413	250.0	250.0	74999	-39.15094	0.96150124	-36.092278	-44.64137	39.105457	0.012825289	553.0505566596985
21	-491.70496	13.497966	-463.67337	-515.3211	-497.26508	21.63837	-459.8378	-517.3739	250.0	250.0	78749	-39.280113	0.9911085	-36.251305	-44.364914	39.23444	0.01276485	581.4880270957947
22	-492.34613	11.81805	-475.36417	-511.4316	-481.34262	11.94193	-456.65378	-503.49414	250.0	250.0	82499	-39.36717	1.0125875	-36.37731	-43.999863	39.322	0.012680302	610.3755767345428
23	-493.8818	12.694217	-475.6445	-523.4915	-479.62802	15.377339	-458.6942	-501.5639	250.0	250.0	86249	-39.433804	1.0302116	-36.47534	-43.74697	39.388317	0.01298241	639.3509392738342
24	-491.1619	14.62281	-466.93127	-529.4896	-482.5241	21.038857	-441.15192	-519.54877	250.0	250.0	89999	-39.47712	1.0492662	-36.401447	-43.36733	39.43148	0.012890539	669.4703092575073
25	-492.84534	16.25464	-464.6303	-519.7234	-475.8152	18.09972	-439.50003	-500.36368	250.0	250.0	93749	-39.499283	1.078277	-36.440525	-43.212105	39.452625	0.0130204735	698.8848340511322
26	-494.51273	11.674243	-475.20584	-518.0676	-476.86615	17.736	-436.89996	-504.54773	250.0	250.0	97499	-39.50499	1.1046666	-36.352333	-43.147427	39.457996	0.013087476	727.5585746765137
27	-487.3223	19.293514	-430.55667	-520.05994	-476.1499	20.943056	-434.1088	-501.1091	250.0	250.0	101249	-39.504368	1.123175	-36.374454	-43.36542	39.458008	0.013002553	756.1979985237122
