Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-525.08984	6.0465536	-512.7971	-540.30914	-521.32367	8.007063	-504.85022	-533.07025	250.0	250.0	3749	-3.9416509	1.1749948	0.011506103	-7.2032423	3.902694	0.028634641	18.17374014854431
2	-524.42456	5.221904	-513.53503	-533.69305	-523.59827	4.6628537	-512.94763	-530.30664	250.0	250.0	7499	-8.921986	1.7064375	-5.2229156	-12.949506	8.900105	0.0022185773	40.86617302894592
3	-522.5892	4.3368773	-515.1319	-531.25195	-524.9894	4.7055497	-518.8056	-535.5233	250.0	250.0	11249	-14.509673	1.5817246	-10.876383	-18.31797	14.488742	0.0040235277	63.94116735458374
4	-519.6845	7.487234	-500.7091	-531.23895	-521.1346	5.1347413	-513.8191	-529.6107	250.0	250.0	14999	-19.510866	1.4088647	-16.062424	-25.076397	19.48397	0.0064511965	87.10336375236511
5	-522.52826	7.9615736	-505.73187	-534.9021	-522.35175	7.639907	-512.02234	-534.2062	250.0	250.0	18749	-23.876184	1.2649574	-20.551752	-28.007225	23.845554	0.008615149	110.29409670829773
6	-518.63684	4.687303	-505.66708	-523.8769	-515.66675	12.276162	-486.413	-530.91174	250.0	250.0	22499	-27.633589	1.1275007	-24.453405	-31.400349	27.601183	0.010145679	133.4630753993988
7	-519.3804	8.685212	-498.03296	-534.1709	-519.2782	6.014345	-510.80725	-525.9587	250.0	250.0	26249	-30.876167	1.0223632	-27.800467	-34.315716	30.841513	0.011310897	156.66164708137512
8	-509.64896	18.75295	-463.9439	-533.7878	-509.72778	16.836975	-481.66345	-527.2514	250.0	250.0	29999	-33.63095	0.94660324	-30.401617	-36.866825	33.592697	0.012541233	179.8596591949463
9	-514.83575	11.231462	-490.32663	-529.00214	-502.7129	13.278114	-484.51263	-525.9728	250.0	250.0	33749	-35.995644	0.91906285	-32.91887	-41.47663	35.95689	0.013897474	203.06966137886047
10	-511.92606	13.360869	-483.50558	-527.3374	-515.29016	10.614366	-486.6053	-526.4283	250.0	250.0	37499	-38.04859	0.9103174	-35.18533	-42.90674	38.010143	0.015894186	226.30677676200867
11	-510.72635	11.914563	-484.15472	-531.5676	-512.53674	13.896156	-479.9047	-528.5892	250.0	250.0	41249	-39.768738	0.9065832	-36.693428	-44.15506	39.72974	0.016154809	249.61596250534058
12	-505.24072	15.03348	-474.99994	-522.01733	-501.744	16.864077	-480.3851	-529.8659	250.0	250.0	44999	-41.236713	0.9176164	-37.998768	-45.332085	41.195965	0.01620258	272.8872404098511
13	-508.24576	11.60916	-484.86243	-531.4782	-506.83026	20.233595	-463.41913	-527.8044	250.0	250.0	48749	-42.499634	0.9317689	-39.1033	-46.383118	42.457317	0.016365273	296.2458837032318
14	-504.60245	17.124205	-471.45288	-535.1791	-488.80475	15.82587	-469.20975	-515.27405	250.0	250.0	52499	-43.573578	0.95523137	-40.026882	-47.47047	43.530624	0.016728371	319.66321849823
15	-500.84	16.937426	-463.28043	-527.00574	-501.50992	22.369547	-458.77005	-526.8294	250.0	250.0	56249	-44.474777	1.0008298	-40.831936	-48.09848	44.42905	0.016729139	343.08722257614136
16	-493.91205	19.086012	-465.81195	-519.9429	-496.0992	25.68099	-447.69937	-528.54987	250.0	250.0	59999	-45.22623	1.0576384	-41.578	-48.712437	45.178234	0.016967177	366.5759060382843
17	-491.8929	13.035302	-475.2272	-520.56903	-488.67572	20.63443	-448.72174	-519.40436	250.0	250.0	63749	-45.86081	1.120538	-42.27298	-49.497734	45.81335	0.0176389	390.088427066803
18	-490.94186	17.386972	-468.4203	-524.95544	-486.68018	15.576948	-463.642	-513.8735	250.0	250.0	67499	-46.3865	1.1723051	-42.85695	-49.92695	46.337036	0.017453061	413.7544665336609
19	-498.01517	12.872441	-472.63455	-521.41125	-502.33725	25.591852	-460.94778	-532.54596	250.0	250.0	71249	-46.821503	1.2288477	-43.24139	-50.48117	46.7709	0.018203072	437.682115316391
20	-492.08795	15.289146	-463.6878	-527.7205	-482.90594	10.802052	-467.45996	-499.28003	250.0	250.0	74999	-47.186913	1.2741606	-43.654076	-51.023773	47.134354	0.018480716	461.8098621368408
21	-488.10098	16.134445	-468.05826	-528.42004	-479.3143	21.187685	-445.49527	-509.03882	250.0	250.0	78749	-47.482037	1.3429729	-43.90479	-53.55753	47.428974	0.01905262	486.34638261795044
22	-486.99823	15.276284	-459.66684	-515.8744	-482.61334	20.055862	-458.9559	-514.1184	250.0	250.0	82499	-47.72582	1.4083576	-44.083008	-53.705944	47.672115	0.019776046	510.87149119377136
23	-491.16248	13.0370245	-470.07248	-514.1473	-477.69708	24.174593	-433.28976	-513.1748	250.0	250.0	86249	-47.91273	1.4504117	-44.164783	-53.508144	47.85847	0.020675765	535.5405440330505
24	-484.84607	19.678493	-454.56177	-530.32294	-480.24774	24.70164	-437.10352	-524.74023	250.0	250.0	89999	-48.056324	1.497228	-44.24522	-54.993507	48.00193	0.021671843	560.3101561069489
25	-480.50146	14.153964	-455.6635	-503.82928	-479.9666	21.996483	-423.8618	-507.25394	250.0	250.0	93749	-48.153458	1.5480355	-44.239494	-54.49873	48.09809	0.022174016	584.8919565677643
26	-485.59668	13.534389	-462.53354	-515.5744	-485.1053	11.604588	-471.2404	-512.6392	250.0	250.0	97499	-48.232838	1.582051	-44.273594	-54.741497	48.17788	0.022310486	609.4115166664124
27	-486.03452	14.397549	-466.69324	-514.7475	-468.69702	17.100748	-445.3113	-493.3881	250.0	250.0	101249	-48.29495	1.6115127	-44.232304	-55.227306	48.24061	0.022528073	633.9124400615692
28	-479.23746	13.320906	-450.4558	-504.0597	-483.53116	23.522614	-442.10397	-508.299	250.0	250.0	104999	-48.348946	1.6348517	-44.35086	-55.308212	48.293495	0.022775171	658.3659365177155
29	-477.14066	14.841223	-446.818	-505.44415	-472.19775	7.866535	-459.91852	-485.5377	250.0	250.0	108749	-48.362305	1.6589509	-44.42312	-54.95738	48.304893	0.02338026	682.752133846283
30	-485.75714	11.614999	-467.55338	-513.98737	-465.7185	19.36566	-436.73123	-492.23267	250.0	250.0	112499	-48.365826	1.6849327	-44.464733	-55.13424	48.30832	0.023347702	707.1639583110809
31	-480.89453	8.452913	-468.82867	-497.42917	-470.0958	19.5541	-437.1926	-494.6597	250.0	250.0	116249	-48.351524	1.6995711	-44.52393	-55.04038	48.293087	0.023248024	731.6328678131104
32	-480.09244	14.162859	-460.6805	-511.24945	-479.7708	23.747385	-445.62354	-522.1033	250.0	250.0	119999	-48.33568	1.7136683	-44.492065	-55.09456	48.277847	0.023068132	756.1553835868835
33	-487.69894	12.811366	-465.40906	-513.0717	-473.85553	17.02082	-445.62775	-499.16324	250.0	250.0	123749	-48.318203	1.7247964	-44.448475	-54.80876	48.26039	0.023022521	780.6133873462677
34	-490.0116	9.789047	-473.5669	-508.68372	-474.67667	15.794898	-438.07877	-495.37222	250.0	250.0	127499	-48.313034	1.7290605	-44.39475	-54.878464	48.254234	0.02345697	804.994891166687
35	-487.51248	11.166367	-468.01047	-508.25717	-469.53403	11.462776	-445.73532	-483.7205	250.0	250.0	131249	-48.284622	1.7367626	-44.307808	-54.728794	48.22562	0.023521243	829.3023693561554
36	-488.02072	14.07626	-462.79996	-514.48145	-461.7229	24.040335	-413.5123	-504.21967	250.0	250.0	134999	-48.267643	1.7428302	-44.292374	-54.692467	48.20882	0.023703946	853.6919455528259
37	-482.29214	18.585619	-449.11163	-512.2951	-469.62775	20.258856	-434.42017	-492.89157	250.0	250.0	138749	-48.247765	1.7484403	-44.24829	-54.76231	48.1897	0.024457987	878.2683839797974
38	-484.87683	11.72016	-458.5841	-502.9217	-465.87656	17.619768	-437.7284	-485.7698	250.0	250.0	142499	-48.21758	1.7612022	-44.155613	-54.729294	48.159107	0.02475417	902.739556312561
39	-481.65182	20.6303	-450.88318	-528.45135	-464.74936	19.874866	-439.21286	-500.054	250.0	250.0	146249	-48.1884	1.7659544	-44.03889	-54.590893	48.130318	0.02533426	927.3339967727661
40	-479.0594	17.69358	-440.525	-500.02682	-474.47934	16.682816	-451.3981	-512.1338	250.0	250.0	149999	-48.154415	1.7711008	-44.00456	-54.888855	48.096344	0.025430521	951.9031054973602
41	-485.31873	14.981873	-461.2486	-512.38043	-470.09113	14.60777	-446.03186	-489.88626	250.0	250.0	153749	-48.122795	1.7779626	-43.98754	-54.271458	48.06395	0.025294647	976.4417932033539
