Unnamed: 0,iter1_base,iter1_reward01,iter1_reward02,iter1_reward03,iter1_rs01,iter1_rs02,iter1_gamma01,iter1_gamma02,iter1_polyak01,iter1_polyak02,iter1_lr01,iter1_lr02,iter1_bs01,iter1_bs02,iter1_ss01,iter1_ss02,iter1_noise01,iter1_noise02
$	heta$ MAE (rad),0.2191,0.5111,0.2481,0.2469,0.1899,0.221,0.2478,0.2366,0.2655,0.3287,0.1939,0.2815,0.2751,0.2617,0.2025,0.1806,0.2277,0.2373
$\phi$ MAE (rad),0.0946,0.0716,0.0987,0.089,0.0865,0.0784,0.0738,0.0815,0.0854,0.088,0.0719,0.0879,0.0811,0.102,0.0862,0.0968,0.0749,0.0778
$	heta$ MSSE (rad),0.1068,0.3872,0.1181,0.126,0.0833,0.0941,0.1231,0.1319,0.1528,0.1998,0.0922,0.1508,0.1486,0.128,0.0941,0.0778,0.1057,0.1169
$\phi$ MSSE (rad),0.0391,0.0235,0.0439,0.0403,0.0385,0.0343,0.0236,0.0354,0.0319,0.0412,0.0253,0.0406,0.0225,0.0573,0.0361,0.0441,0.0285,0.0295
$	heta$ in bounds (%),96.09,81.74,94.44,94.37,95.49,95.47,94.36,92.08,92.19,90.25,93.79,92.67,92.17,93.86,95.94,97.18,95.16,94.34
$\phi$ in bounds (%),97.62,98.78,94.89,98.48,98.51,99.16,98.9,98.19,99.07,97.32,99.89,97.4,99.11,94.68,99.38,97.49,99.16,98.53
$	heta$ unsteady (%),0.52,1.17,0.74,0.41,0.36,0.25,0.73,0.43,0.75,0.66,0.18,0.75,1.02,0.51,0.4,0.27,0.35,0.41
$\phi$ unsteady (%),0.41,0.47,2.57,0.35,0.24,0.22,0.61,1.15,0.27,1.17,0.03,0.58,0.51,0.87,0.26,1.2,0.12,1.14
$	heta$ rise time (s),0.5558,0.794,0.6259,0.7224,0.5297,0.6555,0.5664,0.6693,0.6413,0.7503,0.5682,0.7039,0.6325,0.6911,0.5931,0.5213,0.6029,0.603
$\phi$ rise time (s),0.3052,0.2993,0.3125,0.3475,0.2816,0.2723,0.2827,0.2886,0.3224,0.268,0.2997,0.2737,0.314,0.285,0.3232,0.3001,0.2947,0.2939
$	heta$ settling time (s),0.8337,1.0439,0.9068,0.9286,0.8295,0.9569,0.88,0.9193,0.8989,1.0471,0.8408,0.9938,0.9528,0.9908,0.8292,0.8147,0.919,0.9178
$\phi$ settling time (s),0.538,0.4395,0.5141,0.5426,0.4952,0.4135,0.4605,0.4713,0.5289,0.4748,0.4669,0.4875,0.5352,0.4945,0.5242,0.5478,0.464,0.4834
u1 (V),2.2885,1.2083,1.652,1.5754,3.8203,1.4862,0.9611,2.919,1.7083,1.4088,2.5501,1.8641,1.3217,1.6683,1.5116,3.8077,1.4948,1.5143
u2 (V),3.345,0.6593,1.5182,1.2451,3.8042,1.9721,2.663,1.6057,1.246,1.087,2.015,2.9744,1.4402,1.9368,2.8081,3.2261,1.9912,0.9294
u1 variation (V),3.28,1.2868,1.9749,2.0265,6.3567,1.8841,0.65,4.6369,2.1986,1.5853,3.8962,2.4586,1.3076,2.1209,1.7491,6.3621,1.809,1.7987
u2 variation (V),5.7447,0.4653,1.9621,1.6008,6.686,3.059,4.3979,2.241,1.5942,1.1314,3.1553,5.0267,1.9229,2.9265,4.7506,5.4371,3.1303,0.8693
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
