Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-524.38544	5.3425436	-511.64	-532.33636	-524.4491	3.4786708	-519.4506	-530.72156	250.0	250.0	3749	-3.8851528	1.1271	0.04555641	-6.495522	3.846002	0.027765187	17.748870372772217
2	-524.81995	5.1493936	-511.0689	-532.8371	-525.19507	5.318136	-512.4503	-534.8278	250.0	250.0	7499	-8.695842	1.6563466	-5.218213	-13.496534	8.675282	0.0020990688	40.29862999916077
3	-522.7361	8.91416	-499.53073	-534.9966	-521.65485	5.63961	-512.51276	-529.2677	250.0	250.0	11249	-13.990971	1.4622523	-10.4580555	-18.620161	13.969807	0.0036570285	63.153313398361206
4	-524.7964	5.777684	-510.9839	-534.08966	-521.3103	6.8900604	-507.7687	-532.39685	250.0	250.0	14999	-18.536676	1.2802079	-15.029696	-22.506819	18.509846	0.005440648	86.03157639503479
5	-522.35895	6.365788	-507.36005	-532.2976	-523.75275	6.256817	-509.60757	-530.36255	250.0	250.0	18749	-22.33743	1.1128882	-18.931694	-25.892382	22.308775	0.008140225	108.90015983581543
6	-521.0878	8.093998	-507.00516	-533.1989	-525.042	3.70836	-518.6259	-532.2191	250.0	250.0	22499	-25.50236	0.983463	-22.000858	-28.508629	25.471413	0.009647191	131.7779426574707
7	-524.25476	4.716455	-516.3486	-532.83325	-516.0392	8.484956	-499.54068	-525.0882	250.0	250.0	26249	-28.139082	0.88702565	-24.559967	-31.293242	28.106817	0.011201626	154.6134123802185
8	-517.7345	7.7552514	-503.11832	-531.3328	-521.55896	7.980156	-503.89474	-529.0344	250.0	250.0	29999	-30.326517	0.8090339	-26.76395	-33.15556	30.291962	0.012025712	177.56132650375366
9	-515.9943	6.534773	-503.0876	-527.7347	-509.05402	12.782481	-490.33633	-527.3125	250.0	250.0	33749	-32.124336	0.7679361	-28.634586	-34.73043	32.088467	0.01222067	200.46568870544434
10	-516.2423	8.46326	-503.58243	-535.2686	-512.17365	13.099294	-494.07178	-532.9833	250.0	250.0	37499	-33.601974	0.73818624	-30.196169	-36.259533	33.56507	0.01287453	223.46282243728638
11	-515.2849	10.240416	-489.65292	-526.22394	-500.11554	19.288443	-469.12012	-533.5781	250.0	250.0	41249	-34.83349	0.71599305	-31.579348	-37.456066	34.7974	0.0135816205	246.47583198547363
12	-511.3066	13.695953	-480.7627	-528.4953	-500.9987	12.497833	-486.40698	-527.43774	250.0	250.0	44999	-35.836487	0.71422994	-32.71596	-38.44606	35.80015	0.01353777	269.50857639312744
13	-513.57715	10.031485	-492.69833	-524.7848	-504.2355	17.901554	-467.4317	-526.8537	250.0	250.0	48749	-36.66362	0.7172049	-33.67949	-39.211586	36.627323	0.0134076	292.56966066360474
14	-505.071	16.128084	-457.3128	-523.292	-502.08856	18.187075	-473.4005	-530.6811	250.0	250.0	52499	-37.33122	0.7421103	-34.3149	-39.74882	37.29535	0.013455452	315.9817113876343
15	-505.8024	13.105202	-478.45633	-526.08264	-489.84668	17.797604	-449.27704	-512.92914	250.0	250.0	56249	-37.884724	0.763615	-34.580406	-40.441254	37.848408	0.013398795	339.3947067260742
16	-510.0176	15.303271	-461.55847	-531.02496	-492.2299	21.854012	-457.43753	-523.8331	250.0	250.0	59999	-38.325687	0.78954196	-34.902023	-41.017868	38.287834	0.013489152	362.87727761268616
17	-504.20966	12.222269	-480.5136	-524.45593	-491.4704	24.01303	-439.59778	-518.5843	250.0	250.0	63749	-38.6824	0.8152295	-35.1001	-41.319878	38.644257	0.013249967	386.33398962020874
18	-498.5433	12.447366	-482.09485	-525.7864	-492.71713	21.635746	-463.86417	-532.29376	250.0	250.0	67499	-38.96943	0.84239256	-35.31842	-41.722984	38.93107	0.01357277	409.9526460170746
19	-499.79266	13.301175	-480.55597	-520.98517	-491.23013	16.677532	-472.44415	-523.72437	250.0	250.0	71249	-39.188255	0.87929815	-35.459263	-41.92635	39.14946	0.013547328	433.6619074344635
20	-489.03	14.29136	-466.70203	-514.07837	-487.32056	19.397438	-452.79575	-525.6371	250.0	250.0	74999	-39.351486	0.91817343	-35.557755	-42.028324	39.312088	0.014046515	457.75976967811584
21	-500.35193	17.491564	-469.45233	-534.27515	-491.04468	13.183222	-469.01852	-509.93375	250.0	250.0	78749	-39.473816	0.96489596	-35.607605	-42.364883	39.4346	0.014288535	482.0024161338806
22	-499.3168	12.641723	-481.70605	-522.7942	-490.62598	18.260677	-464.75537	-521.75616	250.0	250.0	82499	-39.570972	1.0048354	-35.672935	-42.511284	39.5335	0.014355553	506.38329911231995
23	-497.0468	12.535972	-475.73175	-516.3395	-491.36703	22.643072	-455.21344	-522.5131	250.0	250.0	86249	-39.655296	1.0329888	-35.730827	-42.5451	39.618237	0.014465014	530.786580324173
24	-489.57648	10.047161	-471.45456	-512.52026	-484.12094	20.748425	-442.73856	-510.06192	250.0	250.0	89999	-39.707996	1.0617281	-35.828526	-42.710644	39.67087	0.014564165	555.2224073410034
25	-498.7215	14.903259	-461.52444	-525.3362	-486.2692	21.2758	-453.88162	-523.52423	250.0	250.0	93749	-39.73975	1.0865995	-35.922737	-42.91325	39.70225	0.014669087	579.4625010490417
