Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-549.01715	5.325032	-534.5484	-556.30536	-547.1782	10.2117	-521.4594	-556.91705	250.0	250.0	3749	-4.058687	1.1710689	0.0144598335	-7.0801716	4.0157948	0.032149833	18.996525764465332
2	-548.5711	5.516757	-534.50433	-556.80914	-546.44977	5.4789286	-534.64703	-554.88654	250.0	250.0	7499	-9.035082	1.7204721	-5.449237	-13.183115	9.014413	0.0016383983	42.86015844345093
3	-545.6506	4.1029553	-535.9645	-552.88885	-545.9265	5.7787967	-539.4535	-557.5647	250.0	250.0	11249	-14.578927	1.5238513	-11.040526	-18.46448	14.5570545	0.0034775578	67.09095454216003
4	-542.5668	5.373302	-534.79846	-553.3476	-548.515	4.861586	-541.4882	-557.21014	250.0	250.0	14999	-19.306131	1.3119093	-16.027884	-22.913765	19.277817	0.0060231914	91.39025282859802
5	-544.7806	9.320374	-523.2483	-557.3693	-543.071	6.362007	-529.21124	-551.86365	250.0	250.0	18749	-23.261354	1.1362493	-20.202972	-26.69623	23.22822	0.007782405	115.7968282699585
6	-542.92413	11.216045	-510.42923	-557.2498	-538.4508	11.531218	-511.2467	-549.21216	250.0	250.0	22499	-26.574429	0.9909171	-23.641905	-29.897058	26.5395	0.009381242	140.02170872688293
7	-539.2187	9.2125	-520.0481	-553.97656	-544.1154	7.1002398	-532.79504	-554.6462	250.0	250.0	26249	-29.30633	0.90756965	-26.50974	-34.689865	29.270496	0.01045701	164.29395627975464
8	-537.682	12.754278	-508.30997	-555.774	-536.2178	13.168528	-506.98865	-549.1848	250.0	250.0	29999	-31.573105	0.8369192	-28.718922	-35.5835	31.536346	0.011309312	188.54598236083984
9	-539.62225	8.585459	-520.647	-551.6865	-528.8181	9.974657	-514.82605	-548.61536	250.0	250.0	33749	-33.449726	0.80523044	-30.36787	-36.82082	33.413834	0.0119732665	212.65141534805298
10	-535.1598	10.335444	-516.8569	-551.95233	-530.43	15.085594	-493.60828	-549.50824	250.0	250.0	37499	-34.999718	0.7810384	-31.881437	-38.067425	34.96391	0.0121484995	236.92144751548767
11	-533.2789	15.546747	-509.2451	-564.6842	-526.4391	16.046991	-495.19913	-549.68066	250.0	250.0	41249	-36.27413	0.7921452	-33.044037	-39.400906	36.23847	0.0122857755	261.24878120422363
12	-529.22943	11.589112	-511.7112	-553.8396	-518.86536	20.77523	-468.11548	-550.7556	250.0	250.0	44999	-37.314625	0.8130332	-34.083965	-40.303753	37.27866	0.012458265	285.5918254852295
13	-528.66907	14.138793	-499.0429	-548.898	-524.5841	23.183157	-471.36957	-549.63055	250.0	250.0	48749	-38.150803	0.83025545	-34.955963	-41.274067	38.114285	0.012576934	310.05646276474
14	-524.0458	16.185148	-501.16635	-549.31836	-531.2992	14.937798	-504.58	-546.0767	250.0	250.0	52499	-38.82851	0.8614207	-35.703117	-41.88654	38.79124	0.012561424	334.58711338043213
15	-521.42426	10.2656	-504.44278	-541.39343	-515.3862	16.829662	-487.87958	-541.96295	250.0	250.0	56249	-39.389038	0.88748765	-36.32024	-42.63575	39.349354	0.012834809	359.0612506866455
16	-527.25574	8.049388	-516.5079	-541.79645	-497.33334	13.380786	-472.06146	-521.36694	250.0	250.0	59999	-39.828194	0.91939324	-36.75275	-43.131878	39.787037	0.013054808	383.72570300102234
17	-523.5883	11.333507	-505.51834	-551.6064	-515.621	16.886541	-481.3367	-545.26105	250.0	250.0	63749	-40.175297	0.9419126	-37.18419	-43.648914	40.13302	0.013391756	408.3513538837433
