,iter0_base,iter0_reward01,iter0_reward_02,iter0_reward03,iter0_rs01,iter0_rs02,iter0_gamma01,iter0_gamma02,iter0_gamma03,iter0_polyak01,iter0_polyak02,iter0_polyak03,iter0_lr01,iter0_lr02,iter0_bs01,iter0_bs02,iter0_ss01,iter0_ss02,iter0_noise01,iter0_noise02
$	heta$ MAE (rad),0.0944,0.1527,0.2808,0.1248,0.094,0.0958,0.0594,0.0471,0.4518,0.0698,0.054,0.0981,0.163,0.0944,0.4899,0.0691,0.0473,0.1526,0.0939,0.0482
$\phi$ MAE (rad),0.0913,0.261,0.2907,0.1523,0.3322,0.149,0.0784,0.1428,0.1141,0.2575,1.5207,0.1008,0.2763,0.152,0.095,0.1108,0.1757,0.0798,0.1186,0.1181
$	heta$ MSSE (rad),0.0476,0.0926,,0.0559,0.0504,0.0496,0.0108,0.0117,0.4271,0.0339,0.0027,0.0424,0.119,0.0623,0.5242,0.0166,0.0065,0.0927,0.0426,0.007
$\phi$ MSSE (rad),0.0086,0.0032,,0.0674,0.2526,0.0113,0.001,0.0074,0.052,0.1434,,0.0388,0.2,0.0199,0.0373,0.0074,0.0509,0.0126,0.0044,0.0094
$	heta$ in bounds (%),100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
$\phi$ in bounds (%),100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
$	heta$ unsteady (%),0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$\phi$ unsteady (%),0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$	heta$ rise time (s),0.201,0.201,,0.3015,0.1508,0.201,0.201,0.1005,,0.1508,0.1508,0.2513,0.3015,0.1508,,0.1508,0.1508,0.201,0.1508,0.1508
$\phi$ rise time (s),0.402,1.005,,0.3518,,0.4523,0.402,0.6533,0.402,0.603,,0.3518,0.3518,0.603,0.201,0.3518,0.6533,0.402,0.3015,0.5528
$	heta$ settling time (s),0.5025,1.206,,0.9548,0.402,0.603,0.402,0.3518,,0.3518,0.603,0.5528,0.4523,0.3518,,0.804,0.3518,0.7538,0.804,0.3518
$\phi$ settling time (s),0.603,1.1055,,0.3518,,0.7035,0.603,0.603,0.3518,0.5528,,0.3015,1.809,0.5528,0.2513,0.7538,0.603,0.3518,0.603,0.5025
u1 (V),1.8288,0.9065,5.2829,0.761,6.2558,4.3507,0.8329,0.7039,0.5397,0.5649,5.6725,1.0579,2.2741,1.2622,8.5881,0.9572,9.4532,0.8311,0.5874,1.6075
u2 (V),7.5488,1.801,3.1258,8.0875,9.7522,1.7259,2.7486,0.6768,0.6535,1.1746,9.5729,5.1338,9.4241,1.0371,6.1311,7.0115,1.8906,6.2701,0.7619,1.8362
u1 variation (V),3.0982,0.7424,4.3655,0.54,11.9008,6.4659,1.1559,0.2984,0.3941,0.2722,8.4889,1.61,3.4501,1.654,16.5424,0.6251,18.2118,1.0509,0.1608,2.3841
u2 variation (V),13.982,2.8123,5.166,15.7317,18.3116,2.9455,4.5367,0.3062,0.5788,1.1352,8.8656,9.5138,17.6697,0.7591,11.6956,13.6325,2.7391,11.6482,0.8647,2.5694
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
