,iter1_rs01,iter1_rs02,iter1_gamma01,iter1_gamma02,iter1_polyak01
$	heta$ MAE (rad),0.1004,0.1093,0.2503,0.1071,0.0893
$\phi$ MAE (rad),0.0693,0.0697,0.062,0.0778,0.0797
$	heta$ MSSE (rad),0.0176,0.0146,0.1448,0.0246,0.0154
$\phi$ MSSE (rad),0.0142,0.0172,0.012,0.0181,0.0224
$	heta$ in bounds (%),99.73,99.85,93.91,99.82,99.84
$\phi$ in bounds (%),98.87,99.89,99.04,95.56,98.98
$	heta$ unsteady (%),0.1,0.08,0.7,0.05,0.06
$\phi$ unsteady (%),1.12,0.09,0.95,4.39,0.62
$	heta$ rise time (s),0.4886,0.5625,0.5742,0.53,0.4662
$\phi$ rise time (s),0.3221,0.3149,0.2946,0.3316,0.3382
$	heta$ settling time (s),0.6533,0.6969,0.7062,0.699,0.5765
$\phi$ settling time (s),0.4873,0.5004,0.4543,0.5168,0.5307
u1 (V),0.9544,0.9043,0.7703,0.9348,0.9969
u2 (V),2.5718,2.234,0.5528,1.2808,2.7012
u1 variation (V),0.7874,0.735,0.5245,0.716,0.936
u2 variation (V),4.4132,3.7616,0.4302,1.7501,4.6721
Convergence time (min),0.0,0.0,0.0,0.0,0.0
