Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-376.43265	5.5023723	-363.541	-385.57294	-377.26776	5.049087	-369.81476	-385.4879	100.0	100.0	1499	-6.4821315	2.1176667	0.026380993	-11.704008	6.3331575	0.4475102	5.7139341831207275
2	-377.5641	3.7868395	-368.07935	-383.61697	-368.79712	11.989756	-345.73648	-383.69403	100.0	100.0	2999	-22.045076	7.164018	-8.6677885	-37.80717	21.905544	0.07290661	15.75537395477295
3	-377.42874	5.8746977	-358.46008	-384.65762	-377.38568	6.696337	-363.68924	-387.98865	100.0	100.0	4499	-46.743275	7.1534767	-31.296219	-62.714516	46.56599	0.17195657	26.790996313095093
4	-377.6566	5.3626947	-364.76297	-386.70435	-372.4749	9.038122	-351.64166	-386.43903	100.0	100.0	5999	-70.68171	6.9368153	-53.74546	-87.87243	70.4893	0.25320837	37.8732750415802
5	-377.84506	5.2696376	-364.85272	-386.06372	-369.4807	10.386094	-351.40353	-387.06223	100.0	100.0	7499	-93.8513	6.880838	-75.714294	-112.200386	93.65719	0.34048837	48.88283562660217
6	-374.76166	5.7256446	-365.5151	-384.16565	-377.38593	6.86237	-361.76498	-387.76547	100.0	100.0	8999	-116.27135	6.684854	-98.375656	-134.39604	116.07531	0.4092689	59.85818886756897
7	-375.10562	4.1810527	-366.26266	-381.25174	-374.51178	5.346935	-364.68546	-380.33636	100.0	100.0	10499	-137.87999	6.526926	-120.15758	-156.48091	137.68535	0.46862862	71.0355167388916
8	-376.09616	5.931958	-364.0986	-385.41135	-368.74088	6.5005145	-355.88165	-381.02756	100.0	100.0	11999	-158.74171	6.354772	-141.34064	-177.4413	158.55579	0.5411931	82.57024574279785
9	-372.7655	6.9315825	-360.11234	-380.83792	-366.82675	12.75047	-339.1375	-385.3459	100.0	100.0	13499	-178.88791	6.1640835	-161.85966	-196.67693	178.70273	0.5764604	94.13613438606262
10	-367.54074	16.367617	-310.66855	-382.0999	-374.02652	6.523619	-363.61603	-385.60876	100.0	100.0	14999	-198.41	6.0643973	-181.47874	-216.89873	198.23915	0.58998835	105.568674325943
11	-372.3029	7.976982	-346.7742	-382.04062	-368.23004	9.363559	-348.4393	-377.22	100.0	100.0	16499	-217.22478	5.91768	-199.54259	-235.32803	217.06819	0.5979323	116.94972276687622
12	-365.70023	13.958109	-329.66464	-380.77023	-359.2046	24.728361	-293.10245	-377.40134	100.0	100.0	17999	-235.39645	5.756684	-217.47849	-253.7	235.24042	0.65382195	128.18005633354187
13	-367.98718	9.348478	-349.08987	-380.48416	-366.0958	11.35164	-345.64798	-383.9067	100.0	100.0	19499	-252.97607	5.6779056	-234.27826	-272.47836	252.81729	0.650434	139.46679043769836
14	-366.36688	10.477704	-348.86502	-383.46176	-363.221	12.525203	-342.9136	-380.6907	100.0	100.0	20999	-269.713	5.576423	-251.65771	-289.00183	269.55066	0.6438567	150.63690614700317
15	-359.26474	13.489522	-336.73743	-379.11856	-354.91644	13.4998665	-333.1312	-379.048	100.0	100.0	22499	-285.83075	5.472702	-267.72995	-303.6915	285.64746	0.65266514	161.85646867752075
16	-350.4124	27.687477	-275.86963	-377.98093	-356.67786	23.41269	-308.1493	-374.88095	100.0	100.0	23999	-301.14844	5.3605375	-282.3609	-318.8976	300.95575	0.6874287	173.0516939163208
17	-367.28867	13.504236	-329.0486	-381.21988	-366.66058	8.985749	-349.71747	-379.4931	100.0	100.0	25499	-315.79892	5.292706	-296.5032	-334.0563	315.60452	0.7227342	184.2627022266388
18	-362.74457	6.988691	-352.35056	-374.51822	-356.38373	23.666445	-303.021	-384.78806	100.0	100.0	26999	-329.87204	5.299456	-310.3892	-348.30423	329.68057	0.7553941	195.44004893302917
19	-359.9342	14.403207	-330.69876	-378.66116	-370.88065	9.658849	-354.41193	-387.6094	100.0	100.0	28499	-343.3856	5.234612	-323.99475	-361.16782	343.18942	0.7404277	206.7148151397705
20	-361.93906	15.108542	-331.24152	-381.11823	-361.91827	15.344571	-321.6397	-375.8989	100.0	100.0	29999	-356.2461	5.172586	-336.423	-373.7819	356.048	0.75766814	217.83358359336853
21	-357.5985	22.640907	-313.41742	-384.08356	-357.68326	13.960221	-336.65372	-378.66074	100.0	100.0	31499	-368.686	5.210918	-348.2246	-386.7893	368.49136	0.7525116	228.87125658988953
22	-361.34195	18.468712	-315.74686	-387.31027	-346.8537	26.085817	-293.3718	-372.28317	100.0	100.0	32999	-380.6632	5.281953	-359.98	-398.4526	380.46912	0.7569141	239.6404905319214
23	-369.94043	9.734433	-345.7671	-382.74115	-370.94528	10.201625	-347.12408	-382.95575	100.0	100.0	34499	-392.17264	5.412941	-372.4053	-412.12042	391.9748	0.805944	250.35793590545654
24	-348.0273	35.96458	-255.77338	-383.73132	-343.2813	36.206852	-260.8335	-381.4822	100.0	100.0	35999	-403.2318	5.5761967	-382.68033	-422.29156	403.03897	0.80800664	261.03695130348206
25	-348.28146	23.88174	-300.98785	-374.16125	-353.92044	14.411173	-323.0956	-371.79858	100.0	100.0	37499	-413.84363	5.7992845	-393.5129	-433.74692	413.65274	0.87783927	272.32491064071655
26	-345.82214	23.102125	-295.84076	-376.37656	-356.73807	20.240597	-322.87128	-383.49597	100.0	100.0	38999	-423.97424	6.0358934	-403.50018	-446.15372	423.78043	0.82837695	283.8819086551666
27	-360.69543	21.721128	-302.47632	-385.73624	-353.12842	21.826519	-308.7473	-374.25864	100.0	100.0	40499	-433.64948	6.374635	-412.4448	-456.3435	433.45258	0.8742975	295.3188970088959
28	-356.2621	18.467472	-319.48288	-383.5116	-362.36224	25.212946	-290.412	-383.49664	100.0	100.0	41999	-442.92987	6.726087	-420.36026	-466.57114	442.72708	0.88319296	306.7563762664795
29	-352.19464	28.274517	-284.04456	-383.25772	-347.30414	33.856003	-269.5407	-380.78314	100.0	100.0	43499	-451.79196	7.0607533	-427.8802	-486.95746	451.5769	0.92613804	318.18807339668274
30	-347.38855	27.288439	-292.2794	-384.0531	-367.50476	6.461093	-353.87997	-376.92383	100.0	100.0	44999	-460.20358	7.43479	-435.21887	-488.81467	459.9751	0.9437987	329.6926131248474
31	-350.0366	26.697676	-287.02835	-379.99536	-359.0987	25.408016	-288.79095	-381.94995	100.0	100.0	46499	-468.2578	7.9165845	-442.36157	-502.06094	468.03305	0.9456997	341.06641840934753
32	-357.9375	18.318754	-301.15857	-378.97827	-351.37018	18.298935	-310.63928	-366.86792	100.0	100.0	47999	-475.85535	8.268068	-448.96854	-507.4323	475.61746	0.97362286	352.3362863063812
33	-335.37665	29.416462	-283.278	-376.70108	-340.73386	40.846874	-247.90398	-379.64105	100.0	100.0	49499	-483.0856	8.610717	-454.92883	-518.38745	482.8369	0.9957176	363.9012141227722
34	-350.13904	16.503374	-325.16452	-373.38602	-350.6404	25.183203	-283.51566	-379.1434	100.0	100.0	50999	-489.932	8.988515	-461.10046	-521.00653	489.691	1.0557203	375.2773036956787
35	-343.0781	19.38757	-305.94455	-370.0477	-347.50095	16.139835	-324.049	-368.78925	100.0	100.0	52499	-496.66144	9.2859535	-466.11902	-527.35516	496.41745	1.0825677	386.90371441841125
36	-349.7714	26.322577	-289.0124	-379.2928	-350.4272	24.154364	-311.083	-371.27524	100.0	100.0	53999	-502.98575	9.71145	-470.2059	-532.7047	502.7337	1.1205461	398.40166425704956
37	-349.79346	18.876936	-309.63284	-379.10342	-352.2508	13.506526	-327.9035	-377.21725	100.0	100.0	55499	-508.8913	10.089681	-474.86478	-541.9191	508.62576	1.1376073	409.8019983768463
38	-358.46234	18.033106	-325.3595	-379.28375	-354.19012	31.579391	-266.52158	-385.72174	100.0	100.0	56999	-514.64154	10.50032	-479.8654	-550.05505	514.3775	1.1340567	421.3694417476654
39	-324.68558	45.439453	-209.54192	-378.63412	-328.02914	28.260084	-280.8419	-367.91257	100.0	100.0	58499	-520.037	10.95722	-483.9794	-555.89996	519.7691	1.2015865	432.86980414390564
40	-344.4308	25.47432	-296.13522	-378.9619	-336.31866	21.667109	-303.39554	-375.8818	100.0	100.0	59999	-525.0506	11.449843	-487.3351	-560.4334	524.77594	1.1471149	444.4041590690613
41	-332.7601	32.901016	-257.32236	-367.95212	-351.13168	23.201189	-311.42703	-381.06177	100.0	100.0	61499	-529.92346	11.847528	-490.8216	-564.2849	529.6451	1.2358613	455.8727881908417
42	-335.56815	33.334442	-248.236	-366.87955	-332.79828	54.195442	-218.45316	-397.90707	100.0	100.0	62999	-534.56134	12.281515	-493.92874	-570.9097	534.28265	1.2463208	467.41242837905884
43	-331.79407	36.536823	-263.7744	-367.68927	-334.95596	16.657457	-302.89014	-360.22348	100.0	100.0	64499	-538.805	12.83034	-497.1284	-580.0839	538.51794	1.2783533	478.8681662082672
44	-338.05008	25.498333	-278.45038	-369.99213	-335.4896	35.92206	-245.99664	-383.7453	100.0	100.0	65999	-542.94226	13.235259	-500.73575	-577.0608	542.6426	1.3028955	490.36345624923706
45	-340.01956	29.499464	-275.89563	-375.9612	-329.45374	40.806152	-240.46005	-378.2856	100.0	100.0	67499	-546.6949	13.582234	-503.09903	-583.46967	546.3836	1.2841985	501.8396668434143
46	-325.28668	33.643112	-250.97722	-376.27478	-346.5395	23.335714	-292.1259	-371.651	100.0	100.0	68999	-550.3188	13.893184	-506.65118	-594.8259	550.022	1.3152475	513.4092679023743
47	-339.86728	32.34774	-270.35263	-377.94583	-343.54926	30.417147	-289.54605	-371.80444	100.0	100.0	70499	-553.7788	14.186094	-509.34317	-590.98065	553.4777	1.306391	525.0685288906097
48	-329.2414	35.80637	-262.34198	-379.9938	-316.31543	41.417107	-240.54948	-363.16504	100.0	100.0	71999	-557.20135	14.48778	-511.58786	-595.9626	556.90515	1.37076	536.5892970561981
49	-355.161	26.841726	-291.17493	-385.1336	-350.99933	17.876757	-307.45453	-376.8692	100.0	100.0	73499	-560.42755	14.770204	-513.31805	-598.73944	560.1315	1.4004632	548.0657286643982
50	-334.60944	32.72995	-265.1694	-378.05023	-323.9831	40.283684	-252.35957	-369.16745	100.0	100.0	74999	-563.2982	15.113526	-516.3894	-602.98944	562.9931	1.3544427	559.5423574447632
51	-324.79846	40.401524	-242.70007	-374.8793	-333.45575	25.466808	-288.95236	-377.37314	100.0	100.0	76499	-566.1001	15.378638	-517.6284	-615.0416	565.7909	1.473971	571.185791015625
