Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-377.5538	6.166397	-360.46152	-386.27127	-377.53897	6.9338226	-367.49258	-392.50473	100.0	100.0	1499	-68.93839	40.74282	-0.00053014606	-149.36945	68.48386	1.2464285	5.798571348190308
2	-378.00174	3.587533	-372.60422	-385.64563	-376.47385	4.6195464	-365.97787	-385.64935	100.0	100.0	2999	-293.93298	80.35019	-129.10497	-467.89218	293.51456	1.6064485	15.931427240371704
3	-378.42804	4.52806	-364.35925	-384.06448	-365.61426	18.562298	-313.98642	-383.1365	100.0	100.0	4499	-488.3944	40.113632	-390.0488	-587.03503	487.94193	2.2015364	26.59640645980835
4	-377.05746	7.456743	-355.15182	-385.80252	-375.1448	9.240775	-358.55728	-384.50858	100.0	100.0	5999	-581.87195	22.266777	-523.3448	-647.5568	581.4461	2.2784176	36.48504018783569
5	-375.5169	4.6963415	-366.06155	-381.39966	-376.7486	5.738177	-368.60944	-388.75534	100.0	100.0	7499	-627.3586	13.967334	-588.46967	-676.22455	626.95624	2.1695786	46.653658628463745
6	-376.82812	5.959266	-365.6986	-387.46155	-375.56186	6.122119	-369.1049	-389.40543	100.0	100.0	8999	-654.99866	10.368915	-626.26337	-696.7819	654.6675	1.939357	57.427326679229736
7	-375.11993	7.317936	-361.4285	-388.7934	-378.14478	5.6753807	-369.0925	-386.16656	100.0	100.0	10499	-674.90094	7.5528355	-653.5758	-705.79254	674.634	1.8299307	67.31642532348633
8	-375.695	6.8385305	-361.961	-384.2854	-377.27795	5.2238603	-367.84753	-385.3521	100.0	100.0	11999	-691.9226	6.5354486	-674.16437	-717.81866	691.73145	1.4909258	78.12758302688599
9	-376.8336	7.0104856	-362.57642	-387.81668	-376.97815	5.0837655	-363.50967	-384.03568	100.0	100.0	13499	-704.49475	5.021186	-687.8726	-724.49243	704.32684	1.3292407	89.69432377815247
10	-377.45004	5.298643	-363.59055	-385.48672	-380.31165	5.6762886	-370.4419	-387.235	100.0	100.0	14999	-712.472	4.1443496	-697.8632	-728.75494	712.3282	1.2377998	100.05467176437378
11	-376.47052	4.7049212	-367.7395	-383.8743	-374.9044	6.6570473	-365.3012	-387.65396	100.0	100.0	16499	-718.38794	3.3768818	-707.52	-733.70337	718.2529	1.128516	110.9433913230896
12	-375.85068	5.6113553	-364.7185	-385.51617	-373.56955	8.567717	-356.8162	-386.31158	100.0	100.0	17999	-722.1667	2.5410209	-713.95935	-734.57355	722.0392	1.0166146	122.34910559654236
13	-373.8482	7.3211293	-349.04105	-381.4279	-372.5736	11.984706	-337.5782	-380.26385	100.0	100.0	19499	-725.07056	1.974662	-718.0641	-736.35406	724.9605	0.96800154	133.02106046676636
14	-375.8785	5.9930925	-360.9231	-385.527	-376.52463	2.3629646	-373.45474	-381.37668	100.0	100.0	20999	-727.2769	2.0418446	-719.36005	-742.11096	727.1692	0.9865049	144.05730319023132
