Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-454.86942	5.6888847	-440.14526	-462.0797	-443.18463	10.631051	-421.03375	-456.12305	100.0	100.0	1499	-7.7357593	2.601556	0.021760657	-14.568062	7.53628	0.6755924	5.350423574447632
2	-451.6221	4.8004694	-441.05304	-460.5333	-451.91748	9.698706	-432.74115	-462.3846	100.0	100.0	2999	-26.473505	8.578357	-10.813719	-49.446964	26.302963	0.088256024	14.619950532913208
3	-452.78894	9.56434	-425.03915	-463.2162	-453.23322	9.092531	-434.1999	-464.47845	100.0	100.0	4499	-56.225967	8.593825	-38.73865	-77.16914	56.01769	0.19914456	23.840518951416016
4	-455.09525	6.115986	-444.4897	-463.10294	-451.99127	7.0032234	-435.14734	-461.2389	100.0	100.0	5999	-85.506935	8.606395	-66.86425	-108.586494	85.27955	0.3029213	33.120935916900635
5	-455.3219	3.987375	-448.88782	-464.39267	-449.44916	9.99704	-429.66428	-463.09512	100.0	100.0	7499	-113.604935	8.227037	-94.50309	-136.08763	113.38344	0.38632372	42.41964626312256
6	-449.37946	7.4379525	-431.38797	-463.75427	-443.25415	16.88683	-396.96332	-456.6441	100.0	100.0	8999	-140.86319	8.090333	-121.53802	-163.26051	140.64413	0.4401907	51.634355545043945
7	-449.72528	7.5017805	-429.94223	-459.6249	-440.0114	17.689657	-393.04004	-456.4401	100.0	100.0	10499	-167.19215	7.7925553	-148.64398	-189.44933	166.9885	0.47426295	61.02079463005066
8	-448.8598	7.753653	-433.06216	-459.81113	-449.00287	7.4218397	-437.68042	-459.74036	100.0	100.0	11999	-192.5894	7.671216	-173.78897	-216.15134	192.41473	0.53586	70.65351581573486
9	-450.30945	7.3292828	-433.7456	-461.0111	-449.32684	9.99329	-431.3282	-462.71286	100.0	100.0	13499	-217.3778	7.496782	-199.35371	-240.21007	217.22025	0.57171816	80.29357814788818
10	-449.32687	8.875321	-431.85693	-462.0539	-441.47583	11.676823	-416.35803	-453.99304	100.0	100.0	14999	-241.20071	7.2917995	-222.09969	-265.04218	241.0545	0.59983027	89.99958920478821
11	-447.06076	7.1671586	-434.364	-459.4591	-438.37177	30.345287	-351.44125	-460.85846	100.0	100.0	16499	-264.20834	7.1359363	-246.92984	-288.2987	264.06906	0.6320601	99.62648463249207
12	-443.56213	9.9361725	-422.17883	-456.0041	-449.39264	11.113011	-429.494	-468.0759	100.0	100.0	17999	-286.448	6.9382653	-269.34326	-309.7562	286.31516	0.64626515	109.25946307182312
13	-451.63275	8.037896	-429.8469	-462.3532	-446.10074	10.071632	-426.68054	-458.34518	100.0	100.0	19499	-307.8566	6.733276	-290.96677	-331.23035	307.72095	0.68371356	118.91517353057861
14	-447.00018	8.1094475	-433.25876	-460.80292	-437.5943	17.20216	-397.37982	-454.57333	100.0	100.0	20999	-328.59818	6.6260633	-312.5035	-352.58682	328.46353	0.7257443	128.6462209224701
15	-437.3477	14.293446	-411.23734	-462.32785	-446.04868	11.188533	-419.4957	-457.9782	100.0	100.0	22499	-348.49258	6.384218	-332.77774	-372.2891	348.35745	0.74959725	138.37529706954956
16	-445.04388	7.527626	-435.77332	-459.09338	-445.3771	6.2367516	-435.89334	-453.5933	100.0	100.0	23999	-367.4895	6.2291913	-351.44424	-390.7307	367.35193	0.8160313	148.01792287826538
17	-443.4361	14.616731	-412.27927	-465.95935	-444.462	14.186598	-416.4662	-462.9556	100.0	100.0	25499	-385.80493	6.035256	-370.2597	-408.90973	385.66174	0.81820655	157.58689093589783
18	-442.8664	12.316171	-405.69678	-456.403	-438.8751	8.995026	-418.8406	-447.83386	100.0	100.0	26999	-403.43478	5.9071026	-387.70197	-427.64194	403.29	0.8629123	167.2572841644287
19	-444.32492	10.841544	-419.6723	-457.36646	-445.71817	8.027229	-431.16214	-455.62875	100.0	100.0	28499	-420.40402	5.7759056	-404.9779	-443.95728	420.2655	0.851967	176.88421487808228
20	-431.4093	23.059734	-381.81277	-456.7591	-432.02817	14.325464	-396.2876	-448.03622	100.0	100.0	29999	-436.737	5.6343937	-422.0831	-461.24783	436.59647	0.876555	186.56323337554932
21	-433.10526	16.14599	-389.8356	-450.00433	-435.63483	14.803271	-413.70953	-465.31155	100.0	100.0	31499	-452.35526	5.547485	-436.9959	-476.51215	452.20517	0.88969857	196.19100260734558
22	-426.046	27.4856	-335.41617	-454.90686	-431.6551	24.965899	-376.31616	-455.34445	100.0	100.0	32999	-467.1903	5.5308924	-450.74686	-491.811	467.03482	0.9488323	205.84973788261414
23	-432.94272	14.815703	-406.2861	-462.83932	-434.0119	15.367378	-402.34183	-460.44467	100.0	100.0	34499	-481.41196	5.5855894	-464.41025	-506.91827	481.24988	1.0046849	215.48747897148132
24	-431.96515	22.295141	-365.2908	-454.63385	-417.3309	31.898542	-341.76337	-455.0011	100.0	100.0	35999	-495.05737	5.599701	-477.32806	-519.9092	494.8749	1.022028	225.11957550048828
25	-419.28946	31.954767	-333.08426	-460.7808	-414.07236	33.626183	-361.44913	-448.49353	100.0	100.0	37499	-507.9687	5.6625037	-488.9871	-532.91974	507.7931	1.0942267	234.71104311943054
26	-413.17874	28.964317	-366.78342	-457.3946	-420.84528	34.32212	-356.5141	-451.3791	100.0	100.0	38999	-520.3552	5.83594	-500.1281	-548.1126	520.16034	1.1342009	244.2923538684845
27	-418.926	20.439762	-375.30008	-454.27853	-401.6977	37.299095	-306.63815	-444.00052	100.0	100.0	40499	-532.0317	6.0631976	-510.1322	-558.1656	531.829	1.2015231	253.81231665611267
28	-428.72415	18.206488	-392.43036	-461.35696	-411.43823	24.58144	-373.9456	-442.8113	100.0	100.0	41999	-543.2102	6.3166165	-519.5963	-573.4134	542.9954	1.2453997	263.4036648273468
29	-422.92734	28.200342	-344.0854	-456.08405	-415.4624	24.993292	-384.99136	-455.51474	100.0	100.0	43499	-553.9191	6.6377044	-529.36383	-584.33875	553.7066	1.2636176	273.02683901786804
30	-423.3166	26.11864	-353.49573	-453.2805	-380.3845	55.52573	-272.65225	-450.7687	100.0	100.0	44999	-564.13104	7.050337	-538.80975	-595.81586	563.9095	1.2737782	282.6149568557739
31	-414.4186	23.83004	-370.94736	-457.33685	-402.8329	32.646744	-355.09714	-455.9828	100.0	100.0	46499	-573.7268	7.535672	-546.72687	-608.21936	573.49414	1.3446738	292.06434535980225
32	-401.79996	25.540783	-337.91055	-440.92902	-416.77823	28.898287	-386.6431	-459.8563	100.0	100.0	47999	-583.00867	7.946598	-554.4715	-614.9972	582.78485	1.2981079	301.7495107650757
33	-413.72006	39.8674	-312.71994	-456.74292	-412.24454	21.595854	-367.17474	-438.75854	100.0	100.0	49499	-591.7995	8.513736	-562.03125	-627.5712	591.5661	1.3439487	311.39938378334045
34	-418.3529	21.133583	-370.93243	-448.4856	-376.3757	53.516705	-247.36626	-423.88135	100.0	100.0	50999	-600.1616	9.111091	-569.02606	-637.84314	599.9108	1.3841927	320.9492816925049
35	-430.32504	22.476936	-378.77505	-463.25473	-378.25906	61.615147	-223.63274	-450.2037	100.0	100.0	52499	-608.147	9.7359085	-575.19	-646.1233	607.9014	1.4420153	330.46531653404236
36	-403.99994	35.440605	-324.22595	-456.31992	-378.118	49.111214	-290.87402	-437.64417	100.0	100.0	53999	-615.8051	10.269953	-580.7591	-654.01074	615.5431	1.4878589	340.0272183418274
37	-400.90643	39.83575	-308.41537	-452.118	-406.51474	36.468864	-336.53186	-449.62418	100.0	100.0	55499	-622.9009	10.832106	-587.90295	-662.1979	622.628	1.4552673	349.59445977211
38	-418.4947	28.786303	-348.4488	-449.43402	-388.17197	57.91434	-289.0743	-454.4132	100.0	100.0	56999	-629.6025	11.336609	-593.0407	-672.00684	629.32477	1.6019329	359.20957946777344
39	-396.26886	29.989937	-307.2453	-434.84912	-404.91837	36.936623	-319.84183	-459.6485	100.0	100.0	58499	-635.99084	11.785897	-598.6146	-678.2864	635.7133	1.5855192	368.9357600212097
40	-411.5657	29.448627	-330.68457	-444.249	-385.37506	50.225285	-280.91467	-447.7277	100.0	100.0	59999	-642.0474	12.30945	-603.3486	-685.9402	641.7607	1.6642492	378.5717270374298
41	-410.4542	17.56705	-356.81088	-430.33026	-382.91507	43.002438	-301.45975	-440.58698	100.0	100.0	61499	-647.8079	12.776104	-608.1035	-694.0861	647.51044	1.6875527	388.2388188838959
42	-408.3836	23.717293	-369.13684	-446.3151	-402.42484	24.925116	-346.29166	-442.65186	100.0	100.0	62999	-653.091	13.227541	-613.5208	-698.54504	652.7746	1.7290915	398.0077660083771
43	-411.5433	24.505276	-346.3201	-441.14645	-394.94363	33.006527	-347.07272	-449.2939	100.0	100.0	64499	-658.1345	13.573881	-617.6083	-706.99976	657.81793	1.7472672	407.67284083366394
44	-404.59793	37.169083	-306.93387	-450.61746	-397.23456	42.984764	-320.83453	-457.69058	100.0	100.0	65999	-662.9557	13.914522	-623.1968	-713.1993	662.63116	1.8080966	417.4405131340027
45	-399.8084	31.70961	-302.12643	-442.67233	-376.871	59.516037	-267.2882	-435.6367	100.0	100.0	67499	-667.34015	14.400912	-625.018	-717.8216	667.0224	1.8373476	427.2379484176636
46	-415.99283	35.92015	-355.38516	-449.6296	-397.3195	29.75711	-356.71545	-439.50375	100.0	100.0	68999	-671.764	14.929903	-630.3641	-721.91125	671.4288	1.8239813	437.1577820777893
47	-412.2931	32.553776	-344.17926	-460.17795	-419.50864	15.402869	-396.31088	-441.91217	100.0	100.0	70499	-675.90295	15.24631	-634.08734	-728.70355	675.573	1.9302413	447.09010338783264
48	-411.41623	24.800331	-364.2649	-446.71878	-384.47485	42.066246	-335.26553	-444.68152	100.0	100.0	71999	-680.00024	15.646964	-637.424	-733.4691	679.67377	1.8768553	456.98951864242554
49	-414.74966	25.858027	-360.85648	-453.99277	-382.4881	63.822544	-229.99716	-441.8308	100.0	100.0	73499	-683.8007	16.010946	-640.0065	-737.6443	683.46594	1.9837227	466.7738690376282
50	-401.4261	29.979443	-342.7808	-438.63873	-375.30658	49.67834	-259.43588	-439.18878	100.0	100.0	74999	-687.39215	16.230375	-643.76984	-743.0951	687.05005	2.0401444	476.6869728565216
51	-386.5126	36.64068	-329.12878	-435.87543	-375.37494	41.41884	-307.9723	-442.02625	100.0	100.0	76499	-690.6921	16.537804	-645.5299	-745.41113	690.352	1.9313345	486.6952452659607
52	-395.8879	24.531286	-346.8667	-439.61606	-364.71646	43.3355	-292.7257	-418.16425	100.0	100.0	77999	-693.6689	16.74517	-648.44885	-748.4078	693.3106	1.9576536	496.6756000518799
53	-399.48358	24.292643	-358.23578	-437.57217	-379.14566	30.106163	-337.7913	-432.82053	100.0	100.0	79499	-696.5522	16.897438	-650.23236	-752.7596	696.1921	1.9889437	506.77285718917847
54	-398.9027	30.459387	-352.0002	-449.27634	-399.78387	35.785717	-330.00543	-433.6795	100.0	100.0	80999	-699.23175	17.041899	-652.6362	-755.94745	698.8723	2.041576	516.8951354026794
55	-392.16385	24.267553	-331.07608	-429.27118	-373.41684	49.44875	-278.741	-417.11996	100.0	100.0	82499	-701.64417	17.044607	-654.7995	-757.57245	701.2838	1.9920105	526.9402570724487
56	-388.93326	32.04766	-330.76144	-437.6541	-348.4429	40.625706	-270.4792	-407.89227	100.0	100.0	83999	-703.9036	17.119047	-657.22797	-762.0813	703.5411	2.021644	536.9685025215149
57	-402.18784	20.989504	-363.06183	-434.96896	-372.00238	42.711567	-290.62054	-420.40652	100.0	100.0	85499	-706.246	17.242487	-658.66754	-764.8215	705.90436	2.0311291	547.1678421497345
58	-393.07846	30.518066	-329.92407	-443.8228	-403.40393	26.960539	-355.56638	-438.05167	100.0	100.0	86999	-708.4763	17.32415	-661.93365	-765.9145	708.1262	1.941542	557.316225528717
59	-390.48734	32.82921	-321.7775	-444.28372	-390.54156	29.737862	-351.55685	-447.70154	100.0	100.0	88499	-710.3805	17.467258	-663.26666	-771.089	710.01715	2.0214837	567.351640701294
60	-401.49368	28.832817	-330.24396	-433.64316	-354.52734	58.512257	-206.11897	-405.97638	100.0	100.0	89999	-712.22345	17.612728	-665.80145	-773.96295	711.86334	1.9711463	577.4184522628784
61	-380.94226	34.841244	-310.8266	-432.48987	-394.9749	43.76326	-299.4454	-456.73648	100.0	100.0	91499	-713.9568	17.732	-666.9464	-775.69244	713.60406	2.064097	587.5440728664398
62	-394.76526	33.537277	-308.57568	-446.60983	-391.60406	34.144356	-317.45398	-434.3642	100.0	100.0	92999	-715.52673	17.96852	-669.0701	-777.799	715.15765	2.022115	597.6625633239746
63	-412.53403	22.010818	-355.21225	-445.91672	-392.9965	27.625166	-348.0091	-436.40726	100.0	100.0	94499	-717.02405	18.115625	-670.5612	-780.3413	716.655	2.0882924	607.7590684890747
64	-385.35394	34.415817	-323.51822	-438.01483	-376.07846	33.99107	-314.3347	-418.21942	100.0	100.0	95999	-718.61957	18.301388	-671.30994	-783.59076	718.26276	2.1484952	617.9746289253235
65	-387.93317	28.812668	-331.1894	-424.0344	-399.01752	39.03481	-336.36453	-456.45804	100.0	100.0	97499	-719.668	18.463139	-673.0916	-783.41235	719.27484	2.2289329	628.1003863811493
66	-401.2147	25.111034	-359.20596	-443.67715	-380.53406	33.58201	-321.3894	-438.08682	100.0	100.0	98999	-720.72614	18.731333	-673.51385	-786.3614	720.341	2.161432	638.196718454361
67	-394.2534	30.901007	-347.666	-439.9424	-384.52563	47.449547	-292.54114	-449.40994	100.0	100.0	100499	-721.85504	18.889692	-673.9823	-789.29156	721.4876	2.1408005	648.290682554245
