Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-376.80487	3.5738187	-369.871	-384.7517	-381.5014	4.163908	-374.58475	-387.52805	100.0	100.0	1499	-6.5144663	2.1399205	0.008274205	-11.201224	6.353178	0.45002636	5.812298536300659
2	-376.83414	4.2629347	-366.92957	-386.2342	-371.87057	18.475534	-318.8566	-391.25504	100.0	100.0	2999	-22.138496	7.143074	-8.9298115	-37.000652	22.0178	0.08817595	16.029242992401123
3	-378.46198	4.7434645	-369.05692	-389.56177	-380.58215	4.778955	-374.14285	-390.74442	100.0	100.0	4499	-46.93117	7.198744	-32.221554	-63.57886	46.777187	0.17510429	27.271246194839478
4	-372.83673	12.944057	-330.2426	-383.15652	-376.5024	7.566722	-363.60916	-388.7786	100.0	100.0	5999	-71.06136	6.9577513	-55.73523	-87.98386	70.900635	0.24913855	38.92756533622742
5	-376.8858	3.714185	-369.9829	-385.18658	-377.4235	8.433244	-359.17535	-386.65384	100.0	100.0	7499	-94.4178	6.8475738	-79.25989	-111.490814	94.27688	0.26759323	50.724015951156616
6	-377.1196	5.6957493	-364.68134	-385.81427	-373.8948	8.364841	-356.12982	-383.47394	100.0	100.0	8999	-117.31786	6.6798553	-102.57407	-134.60957	117.18674	0.32787958	62.60257577896118
7	-373.0504	6.9938955	-356.1466	-381.05267	-374.2054	4.62909	-364.1364	-380.2797	100.0	100.0	10499	-139.41133	6.425433	-124.39188	-156.90208	139.27776	0.37804484	74.51552963256836
8	-372.51572	6.527251	-357.30344	-381.35254	-368.15753	14.578302	-340.12814	-383.70358	100.0	100.0	11999	-160.56921	6.1997533	-146.03166	-180.49611	160.42628	0.43915626	86.32809233665466
9	-371.8341	6.3620477	-359.18356	-385.89694	-368.5627	12.186092	-339.4945	-381.97116	100.0	100.0	13499	-180.94383	6.008991	-166.4705	-197.6189	180.8005	0.4640852	97.94435501098633
10	-368.9458	14.2096405	-329.4687	-387.48392	-373.01422	14.143075	-339.18088	-387.09332	100.0	100.0	14999	-200.5513	5.818836	-186.70496	-216.4328	200.40846	0.49636272	109.54739284515381
11	-370.12033	10.721971	-347.48877	-383.01956	-373.5584	4.775134	-361.38437	-380.4945	100.0	100.0	16499	-219.4744	5.658328	-204.27205	-235.21436	219.3335	0.5083341	120.93537259101868
12	-357.47647	18.472858	-305.42175	-383.16757	-369.6442	10.286913	-351.42358	-389.07883	100.0	100.0	17999	-237.65019	5.4612184	-223.8375	-253.46013	237.50426	0.5376336	132.42178916931152
13	-371.41122	7.906254	-358.69724	-382.17285	-358.38852	20.372446	-325.1043	-382.754	100.0	100.0	19499	-255.05818	5.3206773	-240.99539	-270.86667	254.91183	0.60585374	143.88196969032288
14	-365.49338	14.823688	-335.6321	-386.49896	-370.4598	12.60182	-342.54092	-387.79782	100.0	100.0	20999	-271.81464	5.190097	-257.10315	-288.6309	271.6716	0.629142	155.26059460639954
15	-372.5952	8.780762	-359.66498	-387.26187	-359.9326	32.892498	-294.48096	-387.41113	100.0	100.0	22499	-287.95166	5.06114	-273.39102	-304.12256	287.80743	0.6995547	166.73365998268127
16	-370.85596	7.518715	-360.61728	-388.02676	-355.3596	25.4509	-291.80746	-377.13058	100.0	100.0	23999	-303.513	4.925973	-288.72876	-321.00073	303.36743	0.7105156	178.21456670761108
17	-368.11093	15.793462	-336.60455	-386.7001	-367.30283	19.29694	-318.8912	-384.95673	100.0	100.0	25499	-318.42725	4.7944274	-304.3359	-334.83105	318.27463	0.75541157	189.72672963142395
18	-370.8494	10.1456995	-346.6951	-385.88593	-359.3398	16.063375	-332.398	-385.19257	100.0	100.0	26999	-332.7403	4.7234764	-317.4066	-348.96613	332.58746	0.77546096	201.21576023101807
19	-360.58438	11.386619	-334.7561	-376.19977	-366.10233	13.540639	-328.05576	-378.99414	100.0	100.0	28499	-346.5578	4.6194615	-332.341	-361.9688	346.40314	0.7779581	212.58828282356262
20	-359.7267	13.419522	-335.55435	-384.54913	-351.93222	26.981258	-283.49704	-377.15497	100.0	100.0	29999	-359.7439	4.5131345	-345.58884	-377.17734	359.579	0.8028772	223.7885890007019
21	-363.83212	11.522082	-336.38873	-383.99997	-363.90048	14.004195	-330.05066	-377.34705	100.0	100.0	31499	-372.2908	4.437765	-357.8871	-388.71106	372.11417	0.8581639	235.14057540893555
22	-358.16437	16.945177	-319.50555	-377.04532	-360.98642	12.5286455	-333.0542	-375.99957	100.0	100.0	32999	-384.28165	4.405573	-369.3179	-401.81113	384.09482	0.87625396	245.9915108680725
23	-364.9781	12.065317	-342.54785	-383.1318	-366.87973	11.168881	-342.9772	-377.4818	100.0	100.0	34499	-395.74582	4.421564	-380.8989	-412.16296	395.55826	0.9054746	256.88355684280396
24	-361.33923	19.081762	-316.71985	-382.22006	-369.3987	10.856662	-345.997	-382.649	100.0	100.0	35999	-406.73593	4.4477854	-391.21658	-423.80945	406.54572	0.8994821	268.2062678337097
25	-360.71054	18.857897	-327.0648	-383.32382	-359.5102	17.628046	-333.0563	-383.17422	100.0	100.0	37499	-417.29004	4.4919066	-401.5158	-435.15125	417.0922	0.93869156	279.87960267066956
26	-366.41742	9.6647	-351.17322	-380.33456	-358.50537	15.048113	-336.39435	-382.8093	100.0	100.0	38999	-427.3451	4.5302787	-410.577	-446.73727	427.1495	0.9398093	291.53941559791565
27	-363.83807	14.938961	-323.1369	-383.2618	-344.73688	38.91727	-247.01588	-387.6296	100.0	100.0	40499	-437.13885	4.6453676	-420.93002	-457.96017	436.9496	0.93658376	303.0521237850189
28	-352.17743	22.849432	-288.11487	-380.32306	-360.52646	21.479544	-300.11517	-381.42374	100.0	100.0	41999	-446.57135	4.742335	-430.55582	-468.79456	446.3783	0.9443513	314.65017008781433
29	-355.72888	20.897352	-319.50385	-379.2915	-365.8946	17.359753	-334.67993	-387.41943	100.0	100.0	43499	-455.52448	4.8661165	-439.1992	-477.30655	455.32367	0.9571393	326.18586683273315
30	-363.92776	16.895267	-319.04123	-385.9144	-355.79996	13.843377	-333.1548	-384.75543	100.0	100.0	44999	-464.1474	5.058503	-446.7988	-488.58502	463.95343	0.9531084	337.79517436027527
