Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-451.64453	6.3353486	-438.16605	-464.18814	-446.97455	9.348804	-433.69766	-463.95013	100.0	100.0	1499	-4.9103646	0.94410926	0.023740225	-11.813832	4.773338	0.67605907	5.36150336265564
2	-453.71582	5.3897443	-438.9978	-460.64096	-451.9986	7.4908137	-438.8509	-462.48813	100.0	100.0	2999	-7.711264	1.3176135	-4.917664	-11.9539585	7.621409	0.050663583	14.391805171966553
3	-454.32733	5.775765	-442.254	-461.55563	-454.22827	5.247738	-444.79092	-461.4458	100.0	100.0	4499	-12.432579	1.4788371	-8.807179	-16.70531	12.322299	0.056506507	23.554980278015137
4	-450.24237	7.35639	-430.14038	-458.31503	-449.35977	10.143931	-431.4918	-462.20728	100.0	100.0	5999	-17.311123	1.4880627	-13.2450905	-21.869366	17.194519	0.07217879	32.787983417510986
5	-455.15436	4.6742287	-449.02942	-465.35962	-448.9405	12.723592	-413.98547	-459.69934	100.0	100.0	7499	-22.0765	1.4509389	-17.997553	-26.60891	21.958872	0.08224629	41.92325758934021
6	-453.7402	4.7787094	-444.87595	-463.14462	-447.3824	13.600603	-415.37952	-460.5256	100.0	100.0	8999	-26.618986	1.4071084	-22.085838	-31.33169	26.502985	0.097007446	51.04266953468323
7	-451.49762	6.2542996	-434.7698	-460.34583	-451.90924	5.6126313	-441.6048	-461.26572	100.0	100.0	10499	-30.866524	1.3436449	-26.701763	-35.248123	30.754322	0.111959636	60.107916831970215
8	-453.08304	5.3376265	-441.1644	-463.11627	-446.9	13.17262	-414.8533	-457.13657	100.0	100.0	11999	-34.847942	1.3064848	-30.181013	-39.384903	34.735447	0.12895137	69.24262309074402
9	-451.869	6.4189773	-438.2343	-461.00815	-453.41464	7.9348607	-440.2705	-465.6635	100.0	100.0	13499	-38.59757	1.2557988	-33.960274	-43.32305	38.48886	0.14002421	78.43843269348145
10	-453.7645	5.368044	-436.27283	-459.8181	-444.30878	14.914818	-414.71738	-461.50946	100.0	100.0	14999	-42.108643	1.2166705	-37.845173	-46.780174	41.992058	0.1473091	87.51839852333069
11	-453.60144	3.7777753	-445.8069	-463.68524	-441.53778	17.055012	-407.8915	-465.17102	100.0	100.0	16499	-45.361103	1.1819224	-40.7924	-49.66977	45.24542	0.1604114	96.63707542419434
12	-455.58447	4.3034596	-449.2048	-462.76685	-430.0854	23.545813	-379.69385	-454.61295	100.0	100.0	17999	-48.407696	1.1484089	-43.861324	-52.868404	48.291084	0.161634	105.68651247024536
13	-450.08585	8.825222	-425.78516	-461.2558	-444.1316	9.905756	-427.54465	-457.48657	100.0	100.0	19499	-51.246662	1.1166677	-46.956985	-55.407906	51.133396	0.16454391	114.80794382095337
14	-442.84085	16.481144	-402.83713	-461.04254	-432.09464	29.851002	-351.52948	-456.98724	100.0	100.0	20999	-53.87869	1.0883662	-49.614464	-58.119053	53.77207	0.17224674	124.15379548072815
15	-441.50977	16.320604	-395.42896	-456.091	-410.4444	25.902166	-359.12762	-449.5289	100.0	100.0	22499	-56.27394	1.1042285	-51.998928	-60.488506	56.17011	0.17799634	133.65829181671143
16	-441.5868	13.467646	-410.58862	-456.37778	-424.97168	21.748713	-382.03665	-458.69614	100.0	100.0	23999	-58.52713	1.1049179	-54.473717	-62.535942	58.423904	0.17587504	143.1103687286377
