Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-454.8422	3.0524304	-450.2574	-462.31982	-448.9012	10.81902	-426.98352	-463.86108	100.0	100.0	1499	-4.946122	0.9598343	-0.0044819266	-9.958184	4.7899375	0.68552154	5.554170846939087
2	-450.9365	9.983922	-426.66772	-465.67194	-445.9546	8.414732	-435.1678	-462.0336	100.0	100.0	2999	-7.879705	1.3749248	-4.8871303	-12.782172	7.7816906	0.04030558	14.703981637954712
3	-453.06378	7.752252	-435.16766	-463.78482	-445.6796	8.189354	-435.55774	-464.3241	100.0	100.0	4499	-12.8792305	1.6002052	-9.02288	-18.036053	12.783306	0.051388334	23.926629781723022
4	-451.39743	7.885669	-425.10022	-459.48483	-449.1756	6.999667	-437.42026	-457.93533	100.0	100.0	5999	-18.253307	1.6551806	-13.696154	-23.533695	18.150082	0.067274965	33.158029556274414
5	-452.8298	5.0345798	-437.9643	-458.7458	-444.23102	7.930087	-430.5819	-454.32938	100.0	100.0	7499	-23.638702	1.6600158	-18.65221	-28.401375	23.53268	0.082741804	42.320204973220825
6	-451.22693	6.4063816	-437.77032	-460.7999	-438.62515	20.416018	-387.6071	-455.87302	100.0	100.0	8999	-28.922493	1.668203	-23.806398	-34.036106	28.813278	0.10329363	51.6009840965271
7	-453.8524	6.6645126	-439.64343	-466.22098	-444.48038	14.846067	-409.54874	-459.0647	100.0	100.0	10499	-34.091858	1.6780319	-28.40101	-40.031868	33.97229	0.12728259	60.87030863761902
8	-452.92154	4.9246774	-444.21585	-461.9739	-428.81143	35.37162	-328.05725	-461.0914	100.0	100.0	11999	-39.110985	1.6587534	-33.361958	-44.930935	38.979805	0.15140691	70.02834510803223
9	-451.22156	6.0478535	-436.16656	-461.63495	-441.632	9.766692	-415.57843	-451.11343	100.0	100.0	13499	-43.95986	1.6493664	-38.20113	-50.170567	43.829834	0.17031638	79.22088932991028
10	-454.05865	5.5541015	-439.00827	-463.7283	-434.18512	25.312893	-363.49274	-456.99814	100.0	100.0	14999	-48.64701	1.6344658	-42.769005	-54.756264	48.512783	0.18473962	88.61598205566406
11	-453.6315	5.193291	-440.38306	-462.93707	-432.9205	31.62713	-349.47217	-462.79416	100.0	100.0	16499	-53.193787	1.6205761	-47.375744	-59.00951	53.057556	0.20266016	97.8631284236908
12	-452.89594	5.4816294	-445.2911	-461.70053	-417.49536	30.456827	-361.0292	-458.555	100.0	100.0	17999	-57.58842	1.587636	-51.82694	-63.714916	57.44956	0.21280915	107.01232504844666
13	-453.6856	5.133203	-440.13467	-461.8062	-414.9026	26.328922	-370.12878	-457.57385	100.0	100.0	19499	-61.826427	1.5681632	-56.10208	-67.948135	61.681614	0.22942989	116.31371688842773
14	-439.19345	14.849409	-404.63586	-459.72147	-396.0747	47.404205	-298.98282	-446.10333	100.0	100.0	20999	-65.88718	1.5395566	-60.150684	-71.66099	65.74389	0.23750435	125.70033955574036
15	-427.9202	15.885098	-390.70413	-451.30316	-423.6437	22.850105	-375.29123	-457.9696	100.0	100.0	22499	-69.75951	1.5491414	-63.866657	-75.636955	69.62347	0.23929594	135.4482877254486
16	-420.17532	26.777973	-344.35205	-445.76382	-392.3795	38.317142	-344.88995	-456.40625	100.0	100.0	23999	-73.46472	1.5866115	-67.755516	-79.08878	73.32185	0.249911	144.94944095611572
17	-403.1048	27.747988	-351.11014	-445.34613	-418.6713	31.312092	-354.37555	-449.17923	100.0	100.0	25499	-76.97216	1.6325887	-71.03065	-83.08871	76.825455	0.26019797	154.54307985305786
18	-409.62024	24.284273	-368.2795	-447.0911	-396.00717	32.438416	-338.19708	-442.97232	100.0	100.0	26999	-80.30884	1.7359124	-74.12578	-86.325775	80.15575	0.29055354	163.93472290039062
19	-421.10107	17.419098	-375.06424	-447.4954	-423.04517	17.17571	-394.34543	-444.44095	100.0	100.0	28499	-83.499435	1.8473821	-76.949646	-90.57105	83.33754	0.29732817	173.56515431404114
20	-395.28314	34.246876	-315.40842	-447.3129	-402.47824	30.851583	-345.97	-441.7129	100.0	100.0	29999	-86.550255	1.9590945	-79.347664	-93.11904	86.381454	0.33011597	183.3435742855072
21	-408.27863	19.257559	-378.28482	-434.9404	-398.2232	30.55803	-326.82712	-446.6218	100.0	100.0	31499	-89.42226	2.1045725	-81.88452	-96.26675	89.24446	0.3497886	192.77379536628723
22	-411.85892	28.53017	-351.48703	-451.88306	-409.41583	17.704674	-374.38553	-431.97278	100.0	100.0	32999	-92.17824	2.247057	-84.36807	-99.916336	91.98626	0.3761141	202.26856422424316
23	-406.49307	35.44842	-330.48273	-453.50702	-400.80698	25.502327	-341.02557	-434.4777	100.0	100.0	34499	-94.80072	2.373563	-86.547806	-102.69691	94.60524	0.3921638	211.7112512588501
24	-390.91156	26.12235	-341.4096	-444.94125	-391.13745	46.341953	-303.87912	-451.42978	100.0	100.0	35999	-97.29721	2.5197968	-88.80409	-105.29071	97.10125	0.42196968	221.39308643341064
25	-411.5427	27.4649	-342.53394	-448.8545	-382.70862	32.46293	-313.23367	-415.8041	100.0	100.0	37499	-99.681206	2.6674387	-90.44841	-108.13154	99.47071	0.44475305	230.84448409080505
26	-394.2315	40.040707	-297.10062	-459.66922	-381.5925	31.528944	-332.2997	-434.8304	100.0	100.0	38999	-101.92239	2.8274257	-91.88567	-111.12413	101.706604	0.47837663	240.2435863018036
27	-397.9369	24.841612	-344.8148	-430.5679	-374.7571	46.38968	-275.91428	-439.8003	100.0	100.0	40499	-104.04064	3.0213647	-93.87589	-113.15926	103.82237	0.50901556	249.67151403427124
28	-401.8671	27.741402	-348.3104	-436.033	-378.54282	28.88488	-330.4816	-417.4952	100.0	100.0	41999	-106.08917	3.186065	-95.12364	-115.36474	105.86249	0.53363574	259.19529247283936
29	-410.74197	10.649844	-393.85547	-430.9364	-398.7696	24.51244	-362.1609	-436.50983	100.0	100.0	43499	-108.03474	3.3037045	-96.52282	-117.98736	107.807686	0.5542557	268.78774404525757
30	-366.83975	38.730934	-293.47665	-442.458	-401.0112	33.8279	-330.2173	-443.36676	100.0	100.0	44999	-109.88972	3.451328	-97.9148	-120.5771	109.656685	0.5685962	278.28108048439026
31	-400.84564	20.928263	-364.4658	-430.90588	-381.78134	41.86448	-309.15457	-434.86392	100.0	100.0	46499	-111.62296	3.624144	-99.34975	-122.690735	111.38118	0.5869403	287.77664375305176
32	-399.60358	29.733772	-352.5445	-448.8676	-383.59247	44.914158	-295.6788	-434.67322	100.0	100.0	47999	-113.286095	3.7711122	-101.003555	-124.89918	113.03792	0.6033731	297.3546555042267
33	-398.55804	26.72841	-342.3205	-446.44696	-387.91205	38.82404	-328.01407	-447.07642	100.0	100.0	49499	-114.86915	3.914023	-102.00978	-126.53295	114.61262	0.6240821	306.98485374450684
34	-375.57135	46.45665	-299.30527	-445.80624	-359.3014	42.04457	-277.71188	-416.0779	100.0	100.0	50999	-116.37277	4.033562	-103.1005	-129.56313	116.11621	0.63342625	316.4382584095001
35	-389.99368	26.755806	-349.13913	-435.02853	-377.94516	29.188435	-315.37778	-405.02057	100.0	100.0	52499	-117.788734	4.1741	-104.42469	-129.7168	117.52425	0.6537874	325.8455693721771
36	-383.21887	31.86713	-322.3064	-437.06537	-374.93048	32.36154	-324.9498	-426.66382	100.0	100.0	53999	-119.15612	4.2954254	-105.66354	-132.53555	118.88515	0.66713196	335.3298006057739
37	-388.23322	28.668097	-340.2728	-426.19232	-365.46988	31.322065	-302.673	-411.7781	100.0	100.0	55499	-120.41037	4.42865	-106.75031	-134.20468	120.139915	0.68631166	344.7673327922821
38	-387.113	29.877966	-324.63434	-428.95963	-376.04224	24.579206	-332.77182	-415.43793	100.0	100.0	56999	-121.60956	4.559556	-107.851006	-135.06834	121.33884	0.6928773	354.42211413383484
39	-400.76227	21.845917	-359.16663	-438.78238	-370.1177	30.775183	-291.545	-414.13516	100.0	100.0	58499	-122.8064	4.6567025	-108.62224	-136.95227	122.530045	0.70459855	363.8376715183258
40	-403.24832	35.369904	-316.45422	-448.12747	-357.96802	38.298462	-262.40286	-397.1118	100.0	100.0	59999	-123.923065	4.7301946	-109.737144	-138.00764	123.64143	0.7189296	373.2574543952942
41	-386.85544	44.60821	-283.5163	-447.13614	-372.46222	32.808136	-316.70212	-414.26984	100.0	100.0	61499	-125.002815	4.8408046	-110.70005	-140.58107	124.728355	0.715445	382.7424039840698
42	-387.93738	26.954222	-341.09045	-420.69873	-345.56097	48.15645	-252.31946	-429.4132	100.0	100.0	62999	-126.03073	4.949584	-111.75082	-142.10138	125.75223	0.72024053	392.4256663322449
43	-408.97354	25.628891	-335.62692	-455.81506	-360.47415	53.967583	-280.62756	-423.2912	100.0	100.0	64499	-127.01038	5.0276556	-112.58554	-143.62405	126.73277	0.75704837	401.9155795574188
44	-377.9852	29.370544	-314.39688	-423.11572	-362.36227	33.739014	-294.76492	-414.913	100.0	100.0	65999	-127.95381	5.113716	-113.64894	-143.45793	127.67917	0.7665254	411.4470694065094
45	-396.0042	32.93318	-317.7634	-437.50534	-369.52386	70.40085	-201.20734	-447.22165	100.0	100.0	67499	-128.84882	5.206117	-114.4817	-145.19186	128.57542	0.76788783	421.0995569229126
46	-389.1927	35.997486	-313.18546	-436.71658	-374.5959	37.802006	-319.14523	-439.87695	100.0	100.0	68999	-129.68622	5.3028374	-115.11178	-146.28838	129.40706	0.7637189	430.6252474784851
47	-405.2768	20.216091	-346.52118	-432.20792	-345.79745	54.80537	-210.75194	-407.7383	100.0	100.0	70499	-130.49141	5.4139223	-115.5902	-147.08456	130.21088	0.78028613	440.3311936855316
48	-386.84653	34.97491	-318.32172	-438.43704	-348.85434	58.17068	-204.00629	-408.23203	100.0	100.0	71999	-131.29007	5.486666	-116.21099	-148.26872	131.01625	0.8008068	449.9439535140991
49	-383.4886	40.01936	-305.48645	-432.41833	-358.47092	46.119587	-269.54764	-431.20776	100.0	100.0	73499	-131.98679	5.5904646	-116.93394	-149.12405	131.72185	0.81420696	459.6195065975189
50	-394.35944	31.368933	-326.5061	-437.09024	-377.11948	39.16731	-283.73425	-430.09216	100.0	100.0	74999	-132.71243	5.690419	-117.40107	-150.16113	132.441	0.8169396	469.3669013977051
51	-406.07333	24.339073	-360.7663	-454.30862	-371.45386	46.610935	-301.51974	-436.79565	100.0	100.0	76499	-133.37364	5.762531	-117.90661	-150.661	133.10321	0.8192155	479.4159400463104
52	-388.41083	26.010815	-332.22302	-425.52972	-364.79156	35.982647	-295.41788	-422.09573	100.0	100.0	77999	-134.03725	5.8202853	-118.53955	-152.41794	133.77371	0.8228577	489.20496940612793
53	-388.64948	33.35424	-307.6354	-428.18124	-381.96796	49.403244	-262.62338	-432.41913	100.0	100.0	79499	-134.64383	5.9259562	-118.81178	-153.47726	134.38332	0.8238439	499.1798758506775
54	-395.2985	27.003742	-338.9826	-435.02634	-382.85736	23.053205	-343.23468	-429.68494	100.0	100.0	80999	-135.24297	5.9750156	-119.49564	-153.03015	134.97623	0.86100584	509.152140378952
55	-388.2253	33.3131	-320.5415	-438.27896	-372.61252	40.962738	-277.2989	-427.7082	100.0	100.0	82499	-135.84961	6.0051985	-119.87059	-154.93036	135.57033	0.8711675	519.1488654613495
56	-377.0364	27.341421	-318.5944	-411.74985	-361.81577	50.688347	-278.22668	-448.56134	100.0	100.0	83999	-136.3479	6.1260962	-120.30564	-155.97133	136.07945	0.8825697	529.1791076660156
57	-374.26862	33.465878	-309.42166	-419.3821	-357.5452	44.367973	-258.38593	-406.88303	100.0	100.0	85499	-136.81635	6.207232	-120.60702	-155.6504	136.54669	0.8837356	539.1587610244751
58	-399.49518	24.311918	-345.49258	-427.80508	-352.17474	49.62863	-266.7688	-421.80923	100.0	100.0	86999	-137.25511	6.2617884	-121.0183	-157.21144	136.9858	0.88594526	549.17258644104
59	-401.28668	30.559006	-329.67673	-437.2014	-376.89825	26.51341	-342.71295	-426.82416	100.0	100.0	88499	-137.70705	6.328761	-121.057915	-157.65268	137.43523	0.90157473	559.1677870750427
60	-391.63083	20.142254	-347.12207	-419.06824	-380.649	28.018204	-323.03845	-421.3048	100.0	100.0	89999	-138.1669	6.39772	-121.45603	-158.18619	137.88846	0.89198893	569.3645188808441
61	-376.55878	32.86799	-318.33362	-427.64938	-333.86667	43.823166	-234.05943	-383.74326	100.0	100.0	91499	-138.51845	6.4706974	-121.43752	-158.43933	138.234	0.8959378	579.2625365257263
62	-372.87534	43.995064	-280.99774	-422.28583	-376.27124	44.555473	-300.61243	-437.91437	100.0	100.0	92999	-138.88098	6.51941	-122.185425	-159.56056	138.59816	0.9046707	589.2776873111725
63	-374.1261	28.928272	-323.27057	-412.17072	-357.89664	43.503654	-269.78268	-429.50266	100.0	100.0	94499	-139.17113	6.6178923	-122.34983	-159.79126	138.89337	0.9082869	599.3049921989441
64	-384.70667	29.513468	-310.0395	-425.55655	-367.11148	44.328854	-308.3742	-434.96976	100.0	100.0	95999	-139.473	6.6769648	-122.55257	-160.90921	139.18985	0.91264063	609.4772295951843
65	-377.54642	39.141857	-312.44257	-438.15002	-371.17352	34.722916	-310.3097	-411.59775	100.0	100.0	97499	-139.76431	6.7177343	-122.68707	-160.52142	139.48296	0.898558	619.4943156242371
66	-388.5552	36.597675	-293.79053	-444.20132	-351.26233	47.76719	-256.7449	-399.40707	100.0	100.0	98999	-140.0361	6.766706	-122.945915	-162.56921	139.75125	0.9198408	629.4127068519592
67	-380.59875	33.354637	-308.56696	-429.00647	-342.8219	37.170967	-284.40305	-405.21945	100.0	100.0	100499	-140.32	6.8233767	-123.01854	-161.9767	140.03279	0.91010725	639.3261580467224
68	-378.6799	21.662872	-343.13876	-417.6328	-354.22275	42.455315	-299.5992	-438.9821	100.0	100.0	101999	-140.58516	6.8764443	-122.83083	-162.74504	140.29414	0.92973405	649.3094251155853
69	-387.1925	19.972832	-350.03513	-423.89746	-377.30347	25.086575	-336.1311	-427.1003	100.0	100.0	103499	-140.82178	6.9062266	-123.23152	-162.78137	140.53249	0.9253175	659.5083181858063
70	-393.63876	25.5108	-348.00778	-438.2849	-354.3344	47.63174	-258.0778	-415.67752	100.0	100.0	104999	-141.01874	6.9800205	-122.644264	-163.4441	140.72047	0.93496007	669.4452469348907
71	-380.44638	25.873333	-328.11374	-417.77472	-371.63486	49.817387	-275.156	-414.82092	100.0	100.0	106499	-141.23828	6.9925075	-123.06643	-163.53203	140.9345	0.92206085	679.4635751247406
72	-384.81424	30.068775	-329.8342	-437.72546	-364.03128	29.557272	-327.85498	-423.93695	100.0	100.0	107999	-141.41057	7.029046	-123.14317	-164.5027	141.1152	0.9137129	689.386182308197
73	-380.57733	23.45188	-328.68362	-416.9832	-365.50092	35.014503	-295.69562	-423.27414	100.0	100.0	109499	-141.60098	7.0708623	-123.09252	-163.73785	141.30077	0.9282117	699.5719218254089
74	-390.395	25.466738	-347.77988	-455.91183	-350.1389	44.880516	-247.20418	-404.12808	100.0	100.0	110999	-141.76965	7.103112	-122.810616	-164.38428	141.4674	0.9067144	709.5007247924805
75	-363.33435	29.004864	-307.0267	-413.9608	-345.91513	57.443687	-246.38083	-419.9256	100.0	100.0	112499	-141.9663	7.1354127	-122.81632	-164.60841	141.66316	0.91911817	719.4524471759796
76	-382.74094	24.223644	-327.75198	-414.8247	-356.58136	33.58672	-272.96927	-405.59476	100.0	100.0	113999	-142.0388	7.207373	-123.22281	-165.40755	141.73596	0.909846	729.42613530159
77	-367.61786	27.887339	-321.09796	-412.53928	-368.29898	44.130096	-271.94165	-430.73715	100.0	100.0	115499	-142.19649	7.2232666	-123.27103	-165.54517	141.89148	0.91667366	739.6168169975281
