Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-451.62668	9.111553	-423.58148	-464.4985	-441.6599	8.745068	-423.96274	-451.63528	100.0	100.0	1499	-4.8658075	1.0229738	0.014795244	-9.541759	4.707343	0.8065184	5.610537767410278
2	-456.81348	5.0964665	-444.58463	-463.2205	-447.59308	9.049875	-430.0278	-461.1928	100.0	100.0	2999	-7.671654	1.3115623	-4.7819963	-11.112771	7.5673113	0.040360507	15.306036233901978
3	-452.8589	4.9845347	-443.84238	-459.46863	-441.5001	11.554879	-422.9828	-459.00943	100.0	100.0	4499	-12.38975	1.4867755	-8.721695	-16.810972	12.293628	0.041088045	24.495060443878174
4	-452.74252	5.786291	-441.04932	-464.95966	-439.38516	17.165754	-394.23596	-460.11267	100.0	100.0	5999	-17.318926	1.5103958	-12.936379	-21.93535	17.217098	0.055528596	33.736589193344116
5	-454.24652	5.8199086	-436.70276	-464.8314	-447.2447	7.999642	-432.0332	-458.15625	100.0	100.0	7499	-22.09302	1.477627	-17.24388	-26.678354	21.990755	0.07128371	43.03700375556946
6	-454.2677	4.52949	-443.74423	-463.4337	-433.31528	19.891169	-393.04578	-457.79877	100.0	100.0	8999	-26.636856	1.4392498	-21.654951	-31.159218	26.534065	0.08356995	52.31930327415466
7	-451.0392	4.604146	-442.14862	-460.95032	-431.4956	24.64017	-384.33136	-461.54938	100.0	100.0	10499	-30.910076	1.3835893	-25.496634	-35.746098	30.80413	0.0981711	62.08897662162781
8	-452.44913	5.0776076	-443.65207	-462.74756	-442.06406	17.324389	-404.40787	-457.6319	100.0	100.0	11999	-34.9087	1.3471888	-29.419453	-39.827248	34.795	0.11405003	71.38591194152832
9	-452.69443	8.7844515	-436.2276	-464.50723	-429.97046	20.63574	-380.277	-446.6599	100.0	100.0	13499	-38.656445	1.3219919	-33.263393	-44.229504	38.534546	0.124052264	80.67378520965576
10	-453.3297	7.3946586	-438.04172	-461.82788	-415.94156	22.410011	-374.09204	-439.43015	100.0	100.0	14999	-42.181183	1.3015357	-36.58791	-48.06923	42.05532	0.13602039	89.95484709739685
11	-453.43658	4.5794945	-443.8929	-461.71524	-427.18823	18.566973	-392.50833	-449.65604	100.0	100.0	16499	-45.427143	1.2511877	-40.114815	-51.38152	45.299572	0.14367068	99.31707000732422
12	-451.49954	8.153643	-429.63904	-461.90146	-420.02652	34.50846	-328.39297	-449.06323	100.0	100.0	17999	-48.44254	1.2157618	-43.168575	-54.069557	48.316708	0.15244564	109.09770584106445
13	-453.40054	5.832769	-437.10843	-463.50507	-415.71573	24.025354	-358.0306	-448.91208	100.0	100.0	19499	-51.24038	1.1848607	-46.222057	-56.25896	51.111813	0.15698132	118.39518857002258
14	-434.95847	19.969158	-381.86264	-458.65634	-399.86432	36.971863	-321.10324	-435.85132	100.0	100.0	20999	-53.828373	1.1704068	-48.72759	-59.167522	53.69808	0.16680714	127.93677687644958
15	-417.81943	29.166353	-355.57556	-453.0443	-388.2264	23.399784	-359.13852	-424.5263	100.0	100.0	22499	-56.1783	1.1899099	-51.035034	-61.413364	56.052094	0.16988908	137.58885431289673
16	-417.42102	19.040762	-386.0371	-453.2973	-417.16913	28.835854	-354.3934	-451.1735	100.0	100.0	23999	-58.32115	1.2532818	-52.853798	-63.843895	58.19775	0.1745567	147.38326621055603
17	-421.25705	27.704884	-376.49652	-461.81454	-378.13718	45.29426	-266.70178	-421.435	100.0	100.0	25499	-60.28738	1.3540732	-54.98793	-65.59998	60.163918	0.18846773	157.34641885757446
18	-432.2657	16.291262	-401.92776	-453.99866	-394.2721	50.027584	-296.39273	-446.05515	100.0	100.0	26999	-62.08102	1.464237	-56.614628	-67.88185	61.950905	0.20147514	166.95026850700378
19	-419.79007	26.073956	-349.54227	-454.40598	-397.8957	28.20234	-354.00125	-451.24088	100.0	100.0	28499	-63.757847	1.5552616	-57.988934	-69.40609	63.62095	0.214238	176.56255197525024
20	-401.29327	31.957283	-326.87054	-455.39334	-388.05145	49.657555	-252.50577	-440.81277	100.0	100.0	29999	-65.238525	1.6838489	-59.149166	-70.922455	65.09648	0.2227428	186.2085256576538
21	-408.83206	24.667694	-364.59912	-451.21048	-396.21393	53.478542	-262.45612	-448.68423	100.0	100.0	31499	-66.57894	1.841406	-60.264107	-72.47809	66.42899	0.23911442	195.99777126312256
22	-394.30032	36.37599	-314.68692	-437.21548	-388.4848	44.0799	-300.60413	-446.60535	100.0	100.0	32999	-67.78738	1.9981034	-61.307934	-74.08629	67.63701	0.24883564	205.67893505096436
23	-410.0737	26.969715	-359.43655	-445.05524	-400.64093	38.85698	-322.3038	-456.32474	100.0	100.0	34499	-68.87808	2.1506746	-61.83134	-76.02115	68.72229	0.27359977	215.29870295524597
24	-410.15125	32.311	-330.12888	-461.45053	-393.2633	25.62152	-337.65695	-422.67303	100.0	100.0	35999	-69.882256	2.2814484	-62.5549	-77.1151	69.72588	0.28754556	224.78561282157898
25	-411.19156	20.848059	-362.54315	-445.5475	-378.33942	45.498356	-274.62338	-451.48215	100.0	100.0	37499	-70.829155	2.3960156	-63.391582	-78.32789	70.66517	0.30525178	234.29450750350952
26	-390.55872	44.563244	-271.12268	-461.9325	-383.2366	38.21441	-327.45126	-439.30112	100.0	100.0	38999	-71.640884	2.521402	-63.848164	-79.64852	71.47304	0.30781648	244.27385258674622
27	-382.9664	41.28792	-313.3639	-452.64395	-387.49625	45.29514	-260.6342	-428.74442	100.0	100.0	40499	-72.380394	2.654079	-64.56884	-80.67716	72.20879	0.33919546	253.8219428062439
28	-392.9776	26.653923	-342.10388	-446.49615	-388.19397	34.19433	-318.78824	-429.35138	100.0	100.0	41999	-73.002045	2.7984915	-65.014435	-81.175766	72.82288	0.35184887	263.4314751625061
29	-404.25037	25.053003	-355.537	-433.9591	-392.95065	26.64685	-347.0597	-443.38474	100.0	100.0	43499	-73.549576	2.917785	-65.40253	-82.30877	73.362076	0.3642508	272.9107880592346
30	-396.76584	26.48703	-331.02457	-432.76346	-378.74277	33.128815	-332.40955	-425.8827	100.0	100.0	44999	-74.0811	3.0251927	-65.50889	-82.90165	73.89035	0.38017163	282.5420083999634
