Unnamed: 0,iter1_base,iter1_reward01,iter1_reward02,iter1_reward03,iter1_reward04,iter1_rs01,iter1_rs02,iter1_gamma01,iter1_gamma02,iter1_polyak01,iter1_polyak02,iter1_lr01,iter1_lr02,iter1_bs01,iter1_bs02,iter1_ss01,iter1_ss02,iter1_noise01,iter1_noise02
$	heta$ MAE (rad),0.1051,0.1021,0.1143,0.106,0.1021,0.1004,0.1093,0.2503,0.1071,0.0893,0.0901,0.1047,0.1034,0.0923,0.099,0.0983,0.1032,0.1031,0.0865
$\phi$ MAE (rad),0.0702,0.0673,0.0782,0.0755,0.0752,0.0693,0.0697,0.062,0.0778,0.0797,0.0749,0.0622,0.0732,0.0715,0.0778,0.0732,0.0723,0.0737,0.076
$	heta$ MSSE (rad),0.0232,0.0166,0.027,0.0228,0.0249,0.0176,0.0146,0.1448,0.0246,0.0154,0.012,0.0247,0.0218,0.0158,0.018,0.0182,0.0194,0.0173,0.0113
$\phi$ MSSE (rad),0.0146,0.0167,0.0218,0.0201,0.0161,0.0142,0.0172,0.012,0.0181,0.0224,0.0203,0.0117,0.0158,0.0146,0.0214,0.0155,0.016,0.0159,0.0175
$	heta$ in bounds (%),99.68,99.07,99.09,99.41,99.57,99.73,99.85,93.91,99.82,99.84,99.96,99.17,99.59,99.85,99.74,99.71,99.72,99.66,99.84
$\phi$ in bounds (%),99.53,97.86,99.73,99.87,99.85,98.87,99.89,99.04,95.56,98.98,98.71,99.92,98.0,99.84,99.63,99.89,99.86,99.76,99.79
$	heta$ unsteady (%),0.09,0.64,0.12,0.15,0.07,0.1,0.08,0.7,0.05,0.06,0.02,0.05,0.08,0.08,0.02,0.04,0.11,0.11,0.03
$\phi$ unsteady (%),0.38,2.09,0.15,0.13,0.14,1.12,0.09,0.95,4.39,0.62,1.2,0.03,1.93,0.13,0.19,0.03,0.14,0.19,0.13
$	heta$ rise time (s),0.5108,0.5107,0.509,0.525,0.4913,0.4886,0.5625,0.5742,0.53,0.4662,0.4842,0.5021,0.5251,0.4785,0.5004,0.5039,0.51,0.5365,0.4802
$\phi$ rise time (s),0.3094,0.2877,0.3331,0.3326,0.346,0.3221,0.3149,0.2946,0.3316,0.3382,0.3346,0.2807,0.3255,0.3397,0.329,0.3467,0.3255,0.331,0.3456
$	heta$ settling time (s),0.6533,0.6536,0.678,0.6764,0.6107,0.6533,0.6969,0.7062,0.699,0.5765,0.6154,0.6446,0.6312,0.5972,0.6402,0.626,0.6604,0.6679,0.5965
$\phi$ settling time (s),0.5042,0.4409,0.5216,0.4872,0.5206,0.4873,0.5004,0.4543,0.5168,0.5307,0.5064,0.4547,0.518,0.4893,0.5082,0.5081,0.4979,0.5113,0.5123
u1 (V),0.7345,1.1587,0.84,0.9138,0.6883,0.9544,0.9043,0.7703,0.9348,0.9969,0.7403,0.8908,1.0962,1.3437,0.625,0.8056,0.7433,0.9465,1.8903
u2 (V),1.3209,3.1646,0.6311,0.6951,1.7316,2.5718,2.234,0.5528,1.2808,2.7012,0.6955,1.4546,3.5562,2.0669,0.5719,0.6613,1.6554,1.4406,3.4453
u1 variation (V),0.4493,1.281,0.5534,0.7571,0.3334,0.7874,0.735,0.5245,0.716,0.936,0.3906,0.738,1.1667,1.6423,0.2491,0.543,0.417,0.8127,2.7487
u2 variation (V),1.8448,5.5751,0.4942,0.707,2.7732,4.4132,3.7616,0.4302,1.7501,4.6721,0.639,2.1466,6.3774,3.4411,0.3709,0.6198,2.5876,2.1605,6.2199
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
