Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-454.18753	4.638855	-446.38034	-461.7378	-437.95248	28.177673	-357.21432	-455.1322	100.0	100.0	1499	-4.922192	0.9614906	0.019486614	-9.553819	4.7580338	0.6774385	6.26739764213562
2	-448.78113	8.989448	-423.67743	-460.09775	-446.23267	9.537028	-432.28214	-461.86966	100.0	100.0	2999	-7.7816734	1.3131387	-4.3630867	-11.50821	7.6766386	0.041638993	16.760127782821655
3	-452.99106	4.615347	-445.4589	-462.9369	-448.7622	5.6617966	-439.76846	-457.8098	100.0	100.0	4499	-12.451075	1.4711213	-7.763165	-16.525482	12.34087	0.049490225	26.323670625686646
4	-452.61368	7.2921014	-438.5683	-466.44	-447.1595	7.60747	-431.54135	-460.22708	100.0	100.0	5999	-17.338326	1.5028044	-12.748848	-22.341291	17.22995	0.064168386	36.03384613990784
5	-453.00262	5.7177744	-442.72272	-464.15723	-450.402	6.00276	-440.3607	-459.41705	100.0	100.0	7499	-22.134447	1.4790014	-17.174736	-26.992098	22.024256	0.07813622	46.33672761917114
6	-454.26663	5.10441	-444.38235	-461.98914	-436.88983	24.636356	-373.43558	-458.52545	100.0	100.0	8999	-26.680824	1.429039	-21.608961	-31.538885	26.56427	0.09324158	57.11766815185547
7	-454.7148	6.3381658	-440.90787	-467.19693	-445.5152	6.641376	-427.79993	-454.7355	100.0	100.0	10499	-30.929333	1.3927642	-25.641369	-35.885616	30.81543	0.10858218	67.48592138290405
8	-452.89297	3.5033643	-446.15225	-459.0968	-440.96802	16.61138	-399.8959	-457.8022	100.0	100.0	11999	-34.934055	1.3495352	-29.905064	-39.984394	34.814236	0.12211049	76.99971389770508
9	-453.66556	6.2575073	-441.5694	-463.07718	-442.41025	10.81848	-426.74323	-458.09106	100.0	100.0	13499	-38.644215	1.3247349	-33.012745	-44.007824	38.5241	0.13809526	87.00454831123352
10	-454.50934	3.8546476	-447.46216	-461.13028	-444.00537	8.310145	-429.60263	-454.82513	100.0	100.0	14999	-42.12911	1.2946799	-36.76043	-48.16909	42.002068	0.14725561	97.85359477996826
11	-453.97998	5.0543413	-443.8435	-461.67795	-430.92725	28.42282	-388.16846	-457.90277	100.0	100.0	16499	-45.372818	1.262263	-40.19368	-50.92411	45.244415	0.1633021	108.48112726211548
12	-453.44223	6.392463	-440.4615	-461.96494	-420.25888	27.962444	-365.02014	-454.6998	100.0	100.0	17999	-48.38904	1.2227184	-43.01868	-53.84528	48.25647	0.16655833	118.23731136322021
13	-453.32956	5.004432	-442.85498	-460.5553	-419.5454	41.330067	-338.2207	-454.99884	100.0	100.0	19499	-51.196144	1.1854775	-46.17525	-56.053947	51.062927	0.17321761	128.1411008834839
14	-422.33188	26.947964	-358.1604	-453.82846	-409.59567	30.164286	-329.04053	-438.57587	100.0	100.0	20999	-53.7625	1.1586313	-48.60464	-58.856373	53.63274	0.17121652	138.63052129745483
15	-422.33725	25.100311	-364.84744	-460.16898	-423.9437	36.036217	-328.06485	-451.8215	100.0	100.0	22499	-56.079033	1.204498	-51.326202	-61.48056	55.948154	0.17949656	150.11833214759827
16	-423.84387	22.4443	-377.15878	-455.6019	-431.23456	17.962185	-388.35324	-452.7606	100.0	100.0	23999	-58.21353	1.2740684	-53.260365	-63.94295	58.079796	0.18327197	161.03157329559326
17	-422.27692	17.314844	-387.72174	-446.77142	-386.20288	52.14751	-304.7095	-455.5418	100.0	100.0	25499	-60.17136	1.372598	-54.90898	-65.62441	60.038303	0.20282125	171.08315706253052
18	-410.90344	20.11214	-362.90244	-448.65503	-419.32608	26.615099	-364.4504	-454.3405	100.0	100.0	26999	-61.962986	1.454602	-56.445538	-67.81663	61.818207	0.20674044	181.43632674217224
19	-411.49442	25.584375	-347.81302	-447.7837	-395.47278	39.22467	-315.46008	-449.83817	100.0	100.0	28499	-63.586452	1.57017	-57.462967	-69.293175	63.437046	0.22148983	192.83207893371582
20	-412.79556	33.43199	-353.7957	-456.32993	-389.4432	47.3061	-285.90427	-446.26447	100.0	100.0	29999	-65.05774	1.6899415	-58.647022	-70.4295	64.904625	0.2331021	203.87354636192322
21	-421.9482	21.779371	-378.6222	-453.55423	-386.84753	18.20729	-363.963	-424.29276	100.0	100.0	31499	-66.39362	1.8170284	-59.748013	-72.32668	66.230316	0.24347396	213.70023345947266
22	-404.25134	29.412455	-335.76	-446.34775	-384.0346	26.762936	-335.87137	-419.04816	100.0	100.0	32999	-67.62241	1.9434866	-60.448685	-74.157814	67.458206	0.26493746	223.9202151298523
23	-416.98474	26.44027	-339.14508	-448.42853	-405.08868	39.746727	-326.15933	-457.28735	100.0	100.0	34499	-68.7166	2.0601707	-61.78734	-74.798546	68.54168	0.2791612	234.929682970047
24	-394.87308	31.532637	-319.95685	-442.99332	-371.94543	53.100372	-276.89813	-433.25922	100.0	100.0	35999	-69.69797	2.1952064	-62.594273	-76.61612	69.51647	0.28876907	246.050213098526
25	-395.20978	29.69835	-330.4826	-434.24417	-363.2095	54.221333	-289.33414	-440.3574	100.0	100.0	37499	-70.57301	2.3473868	-62.903076	-77.75703	70.381935	0.3074231	256.2790460586548
26	-401.75998	25.128681	-353.20752	-445.51773	-389.58832	37.503292	-325.57538	-456.71338	100.0	100.0	38999	-71.33535	2.487076	-63.459927	-79.233284	71.13778	0.3178121	266.2591826915741
27	-395.11624	32.2817	-323.86984	-434.2853	-382.48306	43.062176	-290.18362	-434.36407	100.0	100.0	40499	-72.0442	2.6065612	-63.85698	-80.15128	71.84298	0.32690486	276.7142434120178
28	-408.40338	27.484856	-350.9642	-449.64087	-388.03003	33.26811	-332.84546	-430.36072	100.0	100.0	41999	-72.69196	2.7040138	-64.39153	-80.84198	72.48403	0.3373008	288.08625197410583
29	-394.90732	24.831995	-336.1794	-432.53662	-386.14728	31.829739	-340.22516	-446.08405	100.0	100.0	43499	-73.2497	2.799009	-65.005974	-82.56874	73.03953	0.34926915	299.0917446613312
30	-393.7258	28.750677	-351.82147	-452.15823	-396.60278	25.56984	-356.68674	-446.85617	100.0	100.0	44999	-73.748665	2.9081366	-65.12187	-82.65168	73.532425	0.35483423	308.87881207466125
31	-399.3478	35.27353	-341.07437	-443.56293	-382.58716	32.49226	-332.86755	-439.94058	100.0	100.0	46499	-74.19968	3.0086386	-65.803406	-83.973404	73.98031	0.36438644	319.131388425827
32	-393.37772	24.191666	-340.02908	-436.89136	-366.97083	22.159935	-315.03806	-389.84784	100.0	100.0	47999	-74.60448	3.0989528	-65.80349	-83.8802	74.3796	0.37316245	330.2662422657013
33	-408.47186	19.450739	-371.87296	-436.6229	-384.05975	18.200556	-355.86124	-424.9982	100.0	100.0	49499	-74.975	3.170243	-66.21176	-84.85906	74.752	0.36999187	341.3353683948517
34	-396.86823	29.670576	-346.47754	-436.61707	-372.6237	39.642582	-334.23877	-455.92908	100.0	100.0	50999	-75.27931	3.2296448	-66.42114	-86.82781	75.05294	0.3862357	351.2702248096466
35	-384.80267	28.336985	-337.61996	-423.45984	-389.64923	33.252125	-329.30154	-453.88525	100.0	100.0	52499	-75.57132	3.3005252	-66.62924	-86.21975	75.346695	0.38559937	361.28700709342957
36	-390.80374	33.83725	-335.45618	-456.5243	-376.6934	38.772255	-308.67407	-432.04587	100.0	100.0	53999	-75.8117	3.3675113	-66.7492	-87.23863	75.591415	0.4012781	371.89537262916565
37	-393.7249	32.2064	-321.15573	-430.5907	-392.5949	29.733316	-325.00238	-427.2361	100.0	100.0	55499	-76.02972	3.4360652	-66.897995	-87.44746	75.8036	0.39846802	383.1139533519745
38	-391.06396	32.667183	-318.1115	-439.7684	-362.67172	36.5677	-288.02524	-414.9427	100.0	100.0	56999	-76.21649	3.4956777	-66.88831	-87.75404	75.98627	0.3962773	393.58391666412354
39	-390.05286	24.87027	-340.815	-441.58136	-384.0526	38.654736	-289.62253	-445.56833	100.0	100.0	58499	-76.394905	3.5565555	-66.87389	-87.68347	76.17523	0.41874006	403.35830640792847
40	-390.96445	33.770912	-314.07736	-422.84918	-385.86563	13.948711	-362.07425	-407.0103	100.0	100.0	59999	-76.48039	3.6395028	-66.745476	-88.27062	76.25721	0.41887155	413.5255856513977
41	-388.889	40.432713	-289.36694	-438.5931	-373.9594	31.063107	-314.0487	-427.46054	100.0	100.0	61499	-76.60548	3.696501	-66.887665	-88.75798	76.37832	0.42782974	425.0667564868927
42	-402.79834	20.831985	-347.0222	-425.4728	-376.49203	37.515156	-323.1872	-418.9288	100.0	100.0	62999	-76.700584	3.7561407	-66.70294	-88.65154	76.47526	0.4341513	436.0104384422302
43	-394.2833	27.41365	-339.98395	-433.11038	-353.53488	55.72853	-247.84947	-441.30606	100.0	100.0	64499	-76.765076	3.8134627	-66.71367	-89.33744	76.53732	0.42606738	445.83870553970337
44	-395.19696	34.45005	-326.39236	-440.99222	-382.72263	42.651836	-276.31424	-416.2417	100.0	100.0	65999	-76.853455	3.8487537	-66.47428	-89.29619	76.63367	0.43874344	456.07778787612915
45	-400.82523	33.972645	-320.61334	-445.39297	-368.00146	38.494373	-276.27423	-421.0664	100.0	100.0	67499	-76.92292	3.883326	-66.73773	-89.376915	76.70127	0.43076107	467.1636326313019
46	-405.77267	32.89567	-343.03415	-445.38974	-380.18475	50.065063	-290.0535	-441.2304	100.0	100.0	68999	-76.993866	3.9161305	-66.76058	-90.029144	76.782486	0.44487542	478.5387542247772
47	-381.06293	44.68571	-263.91684	-441.18607	-391.1031	23.342186	-358.53885	-443.82184	100.0	100.0	70499	-77.020905	3.9682908	-66.82999	-91.11181	76.803696	0.43904045	488.78205847740173
48	-373.2427	36.444927	-295.14902	-433.63898	-357.05472	46.50268	-251.32642	-435.3974	100.0	100.0	71999	-77.034996	4.021563	-66.72464	-90.2389	76.82354	0.45062378	498.88173961639404
