Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-491.61084	4.8266726	-484.09448	-499.01468	-486.38077	5.6630387	-475.46973	-494.83685	100.0	100.0	1499	-5.2546287	1.1198705	0.009257153	-10.438526	5.0654006	0.99627435	5.713038921356201
2	-492.74594	6.03356	-472.66666	-499.3747	-485.88824	11.050512	-463.04523	-500.5593	100.0	100.0	2999	-8.296956	1.4355148	-5.134182	-12.3951645	8.191271	0.049188573	14.933890581130981
3	-495.47156	4.496485	-489.79657	-504.58676	-489.7592	5.178399	-480.36972	-498.49362	100.0	100.0	4499	-13.467449	1.6145684	-9.580677	-17.669031	13.374969	0.049236033	24.12697744369507
4	-491.3067	6.9858465	-480.2969	-503.75	-485.61386	9.058754	-461.52252	-495.8956	100.0	100.0	5999	-18.817951	1.6216288	-14.545143	-24.677662	18.720682	0.06121058	33.337390422821045
5	-494.6328	3.3451376	-488.89423	-500.97113	-484.54315	10.235475	-460.71918	-497.79477	100.0	100.0	7499	-24.01187	1.5865159	-19.503975	-29.628443	23.90103	0.07310145	42.50760555267334
6	-493.3296	6.418169	-479.14392	-503.6846	-485.0114	5.665067	-471.61713	-492.00467	100.0	100.0	8999	-28.957767	1.5355142	-24.168793	-34.511772	28.842115	0.08243656	51.660226345062256
7	-493.42892	4.3951645	-480.46518	-499.37772	-480.13614	17.010086	-432.1049	-495.37082	100.0	100.0	10499	-33.628815	1.477474	-28.692713	-38.941093	33.51438	0.102442786	60.80615258216858
8	-489.88025	6.403482	-476.96414	-497.2077	-475.7032	19.218494	-421.02914	-496.74152	100.0	100.0	11999	-37.99254	1.417821	-33.42196	-42.957455	37.87377	0.11055427	69.95694971084595
9	-493.84503	4.250267	-485.34	-501.67938	-447.7491	34.473984	-382.14853	-488.3335	100.0	100.0	13499	-42.075756	1.3786262	-37.178066	-47.345398	41.952488	0.122252546	79.17120718955994
10	-492.55255	7.02365	-472.5269	-498.09186	-466.48163	33.7	-408.33978	-498.06918	100.0	100.0	14999	-45.89552	1.3278474	-41.139954	-51.06636	45.77315	0.13683677	88.3360366821289
11	-474.29877	15.849296	-435.7866	-496.43405	-462.99454	20.936779	-429.6287	-492.50702	100.0	100.0	16499	-49.38911	1.2798711	-44.6831	-54.37215	49.26923	0.14011131	97.94627594947815
12	-465.18033	17.807968	-418.26627	-489.40512	-450.07196	28.16117	-402.76413	-490.5193	100.0	100.0	17999	-52.582825	1.2954909	-47.867363	-57.329086	52.46724	0.14603335	107.45139503479004
13	-461.45743	28.596624	-391.23215	-485.97534	-453.2496	28.42887	-402.8385	-490.81964	100.0	100.0	19499	-55.53525	1.3150468	-50.593437	-60.45089	55.418724	0.15221	116.95072221755981
14	-468.47452	25.430965	-414.24695	-499.87277	-464.16934	28.284145	-413.18625	-494.51035	100.0	100.0	20999	-58.268887	1.3651843	-52.96771	-63.210995	58.14973	0.16295652	126.51087260246277
15	-455.7295	20.89616	-409.84348	-488.06784	-456.138	24.39237	-401.12448	-487.34177	100.0	100.0	22499	-60.76745	1.4536347	-54.935383	-66.53615	60.644073	0.18401363	135.98216819763184
