Unnamed: 0,iter2_base,iter2_reward01,iter2_reward02,iter2_reward03,iter2_reward04,iter2_gamma01,iter2_gamma02,iter2_lr01,iter2_lr02
$	heta$ MAE (rad),0.1088,0.0944,0.0996,0.0981,0.1096,0.2068,0.0955,0.1944,0.2158
$\phi$ MAE (rad),0.0675,0.0678,0.0734,0.0785,0.0718,0.0697,0.0778,0.0672,0.0561
$	heta$ MSSE (rad),0.0203,0.0137,0.015,0.0174,0.0236,0.0914,0.0181,0.0921,0.0946
$\phi$ MSSE (rad),0.0128,0.014,0.014,0.0151,0.0158,0.0196,0.0203,0.0134,0.0119
$	heta$ in bounds (%),99.77,99.88,99.77,99.69,99.35,96.1,99.91,95.95,95.8
$\phi$ in bounds (%),99.93,99.9,99.83,99.3,99.72,99.09,99.64,99.5,99.58
$	heta$ unsteady (%),0.01,0.03,0.09,0.06,0.15,0.69,0.0,0.59,0.95
$\phi$ unsteady (%),0.05,0.09,0.08,0.31,0.14,0.49,0.02,0.42,0.41
$	heta$ rise time (s),0.534,0.4828,0.4901,0.4721,0.5099,0.6022,0.4981,0.5484,0.6078
$\phi$ rise time (s),0.3279,0.3232,0.3439,0.3525,0.322,0.2919,0.3461,0.3212,0.2769
$	heta$ settling time (s),0.6788,0.6234,0.6512,0.636,0.6604,0.7736,0.6152,0.6893,0.7655
$\phi$ settling time (s),0.5363,0.489,0.5365,0.5528,0.5193,0.4502,0.516,0.5027,0.3967
u1 (V),0.784,0.8483,0.7874,0.8188,0.7331,0.8034,0.7282,0.8072,0.719
u2 (V),0.7512,1.8095,0.6055,1.1283,0.6515,0.6499,0.5346,0.5931,0.6043
u1 variation (V),0.4259,0.6284,0.4267,0.4815,0.3704,0.6128,0.3793,0.5615,0.4737
u2 variation (V),0.7628,2.8933,0.4717,1.4986,0.5311,0.5714,0.3759,0.5017,0.4724
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
