Unnamed: 0,iter0_base,iter0_reward01,iter0_reward02,iter0_reward03,iter0_rs01,iter0_rs02,iter0_gamma01,iter0_gamma02,iter0_gamma03,iter0_polyak01,iter0_polyak02,iter0_polyak03,iter0_lr01,iter0_lr02,iter0_bs01,iter0_bs02,iter0_ss01,iter0_ss02,iter0_noise01,iter0_noise02
$	heta$ MAE (rad),0.1585,0.1198,0.1603,0.1528,0.1689,0.1163,0.1037,0.0977,0.1743,0.1502,0.1638,0.1257,0.1806,0.1831,0.1607,0.1634,0.1431,0.1167,0.1268,0.1892
$\phi$ MAE (rad),0.1173,0.1012,0.1588,0.1449,0.2004,0.1106,0.0723,0.0665,0.1581,0.1273,0.1069,0.118,0.1501,0.1477,0.1609,0.146,0.1429,0.1234,0.1246,0.1279
$	heta$ MSSE (rad),0.0881,0.0462,0.0738,0.0771,0.0732,0.0459,0.0153,0.0182,0.1007,0.0641,0.0919,0.0408,0.0928,0.1074,0.0728,0.0728,0.0575,0.044,0.0456,0.1076
$\phi$ MSSE (rad),0.0454,0.0445,0.071,0.0916,0.1236,0.0539,0.0086,0.0148,0.0981,0.0583,0.0489,0.0518,0.0702,0.0788,0.0752,0.0771,0.0639,0.064,0.0665,0.064
$	heta$ in bounds (%),93.83,99.35,94.32,96.15,89.86,98.44,99.53,99.77,93.74,97.34,94.47,98.5,86.9,89.26,87.4,89.57,96.55,99.36,98.27,87.08
$\phi$ in bounds (%),89.87,96.11,85.92,93.24,78.69,98.34,99.66,99.91,88.51,93.41,94.18,97.41,90.73,88.54,87.45,91.11,91.76,92.77,96.18,85.82
$	heta$ unsteady (%),1.58,0.02,1.39,0.17,6.38,0.04,0.12,0.04,0.42,0.97,0.39,0.35,1.95,1.37,5.72,4.02,0.9,0.42,0.17,2.41
$\phi$ unsteady (%),9.2,3.38,10.05,3.56,8.97,1.51,0.18,0.09,7.28,5.73,5.61,0.55,6.19,7.2,8.56,6.34,5.76,5.11,1.11,12.06
$	heta$ rise time (s),0.4836,0.496,0.5386,0.5373,0.5496,0.4771,0.4866,0.4681,0.5287,0.5358,0.5057,0.5038,0.5192,0.5189,0.5067,0.522,0.4954,0.4708,0.5296,0.5646
$\phi$ rise time (s),0.3502,0.3222,0.3717,0.3247,0.3555,0.3275,0.3451,0.2978,0.3257,0.3241,0.3147,0.3702,0.354,0.3377,0.3521,0.3151,0.3391,0.3263,0.3554,0.3477
$	heta$ settling time (s),0.722,0.6599,0.824,0.7144,0.8336,0.6193,0.6464,0.6333,0.7483,0.7934,0.7024,0.7366,0.8059,0.7573,0.808,0.7895,0.7614,0.6197,0.6767,0.8532
$\phi$ settling time (s),0.5862,0.5192,0.6405,0.5822,0.683,0.5387,0.5842,0.4639,0.6326,0.5913,0.5442,0.5998,0.6354,0.5855,0.6801,0.6427,0.63,0.5684,0.5726,0.5869
u1 (V),0.9337,0.7907,1.2778,1.3886,1.7561,1.2729,1.7551,0.9787,1.3023,1.588,1.1347,1.2414,1.8895,1.2761,2.1576,2.444,1.6901,0.7451,0.9226,3.2606
u2 (V),2.952,1.5855,2.3838,3.5951,2.7445,2.3645,1.8951,1.5773,2.4993,2.4943,2.3375,1.8194,4.5788,3.8294,4.0233,4.5451,4.9193,1.6645,1.9009,3.4642
u1 variation (V),0.6769,0.4713,1.1886,1.7119,1.948,1.4539,2.4185,0.9004,1.3968,1.9053,1.0746,1.2031,2.366,1.3317,2.7384,3.4707,2.0592,0.4063,0.7896,5.1985
u2 variation (V),4.7479,2.3407,3.6571,6.3306,4.3235,3.9604,3.0041,2.3963,3.9394,3.9901,3.6968,2.8337,8.2123,6.5842,6.8802,8.0873,8.7622,2.4368,2.9831,5.7619
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
