Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-180.76527	7.3593044	-165.37892	-189.8341	-179.19257	9.615966	-161.5391	-195.2524	100.0	100.0	1499	-3.3621566	1.0809376	0.009191662	-6.25456	3.2856212	0.11841087	5.206122159957886
2	-181.36285	7.831287	-157.331	-191.28386	-171.86954	14.289287	-144.14705	-188.84538	100.0	100.0	2999	-10.752988	3.365724	-3.2298503	-19.56137	10.639141	0.08895757	14.075465202331543
3	-180.33258	9.385127	-153.20549	-191.89699	-175.14864	13.05598	-144.2086	-193.8615	100.0	100.0	4499	-21.963892	3.4040577	-12.058195	-31.263271	21.799406	0.1650594	23.012773752212524
4	-181.88629	4.705738	-172.55124	-190.86235	-173.7382	19.152414	-124.30201	-191.00922	100.0	100.0	5999	-32.579765	3.504814	-21.277529	-42.744926	32.36985	0.22932935	31.919869422912598
5	-181.1604	4.677623	-172.3696	-191.83745	-178.14671	12.927619	-155.33725	-192.78407	100.0	100.0	7499	-42.870083	3.609109	-30.667233	-54.86999	42.631454	0.28924125	40.813700914382935
6	-181.22438	4.449459	-171.21834	-190.8679	-171.07039	20.510172	-117.93768	-185.5088	100.0	100.0	8999	-52.538795	3.734082	-38.98001	-65.44613	52.295135	0.3329318	49.64946269989014
7	-179.54941	12.324899	-144.82904	-190.32681	-164.39928	27.090824	-89.26202	-187.42963	100.0	100.0	10499	-61.952988	3.8504832	-47.985573	-74.89199	61.699036	0.38313973	58.63382911682129
8	-170.14926	15.363773	-129.94046	-186.72426	-168.89828	15.783871	-137.14624	-193.83252	100.0	100.0	11999	-70.73849	4.040327	-55.665874	-84.99531	70.49634	0.45167205	67.95490646362305
9	-159.70535	24.90456	-114.343285	-193.44264	-162.64964	21.47662	-124.45835	-188.76848	100.0	100.0	13499	-78.86195	4.5566354	-63.499866	-95.19493	78.64362	0.53477526	77.25271844863892
10	-153.04973	26.19998	-111.41377	-181.43112	-158.12743	18.356743	-121.9462	-178.31198	100.0	100.0	14999	-86.559616	5.1121454	-70.41604	-105.23341	86.333755	0.64649713	86.58259057998657
11	-163.1496	22.592003	-122.396484	-188.76141	-147.65945	25.316715	-105.551956	-180.15086	100.0	100.0	16499	-93.27665	6.0960307	-74.00251	-112.92896	93.02704	0.85568845	95.79614996910095
12	-154.00504	29.88109	-95.73601	-186.90202	-158.05217	29.703661	-83.61128	-182.24834	100.0	100.0	17999	-99.366356	6.973147	-76.56828	-119.95622	99.09848	1.0445731	105.01581072807312
13	-152.99657	29.009819	-90.26557	-184.3222	-157.44888	19.121752	-112.49967	-181.20262	100.0	100.0	19499	-104.607124	8.362656	-79.345665	-126.40584	104.296616	1.278889	114.29971075057983
14	-151.04733	34.076153	-59.70552	-187.12013	-146.89395	30.700598	-77.18346	-185.483	100.0	100.0	20999	-109.21922	9.7544	-81.60991	-135.07155	108.87956	1.430806	123.51422572135925
15	-141.83775	29.165157	-81.79082	-186.38037	-149.21281	26.32264	-100.0545	-199.15778	100.0	100.0	22499	-113.47412	11.081958	-83.56701	-140.57088	113.09223	1.6467028	132.66102004051208
