Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-178.52951	6.6714516	-163.66208	-190.84712	-184.4143	8.955014	-167.80214	-194.55634	100.0	100.0	1499	-3.2135563	0.9971028	0.04104256	-6.149961	3.129688	0.12163644	5.179572105407715
2	-181.03914	6.695992	-164.26407	-189.90865	-175.24973	22.650743	-119.35309	-199.27264	100.0	100.0	2999	-9.252302	2.5893784	-3.2286246	-15.48323	9.137976	0.062301625	14.0090913772583
3	-178.39879	7.379583	-163.46375	-194.00432	-174.14168	16.051432	-138.12837	-190.949	100.0	100.0	4499	-16.460823	2.068019	-9.537599	-23.472923	16.306774	0.09683993	22.992305040359497
4	-179.70946	9.59994	-149.41138	-190.244	-169.95517	34.22953	-68.494255	-190.653	100.0	100.0	5999	-21.398577	1.7599467	-15.058159	-27.687033	21.218456	0.1400383	32.030001401901245
5	-180.25871	7.1463523	-166.20421	-188.85275	-170.6752	13.022421	-148.16179	-189.75179	100.0	100.0	7499	-24.73379	1.6600848	-18.180988	-30.402061	24.549467	0.16907741	41.074591875076294
6	-177.43443	7.666921	-160.07263	-185.91869	-160.65854	30.661282	-106.68874	-189.02687	100.0	100.0	8999	-27.145401	1.5780123	-20.631016	-32.20629	26.9729	0.17590302	50.07730293273926
7	-174.17828	15.228499	-127.6869	-190.91681	-153.60893	16.016752	-125.68105	-175.74208	100.0	100.0	10499	-28.769173	1.5461121	-23.213182	-35.189327	28.604109	0.18495414	59.271658420562744
8	-166.74176	19.045324	-124.68906	-189.41544	-164.3198	22.284277	-118.19624	-185.33354	100.0	100.0	11999	-29.56086	1.8835188	-23.353025	-36.14616	29.39162	0.21388195	68.7024278640747
9	-160.0563	26.843039	-81.028366	-191.53564	-170.81616	21.484982	-124.61796	-191.94966	100.0	100.0	13499	-29.75463	2.4798942	-20.82293	-37.012024	29.572458	0.2708854	78.05955672264099
10	-143.39595	27.007853	-87.27945	-175.925	-165.43962	22.267366	-125.76354	-189.6949	100.0	100.0	14999	-29.33843	3.2683847	-17.579025	-38.119583	29.126005	0.37744027	87.44066500663757
11	-166.27522	23.477856	-124.4695	-197.70836	-164.06938	23.845259	-114.588135	-191.64146	100.0	100.0	16499	-28.55161	4.055728	-15.248905	-38.49953	28.316904	0.5074412	96.82304525375366
12	-154.8749	29.085255	-107.213455	-190.6361	-154.53773	28.599226	-87.800026	-181.34973	100.0	100.0	17999	-27.656464	4.8479824	-12.952865	-39.657963	27.400206	0.585385	106.16469407081604
13	-157.4073	26.065577	-99.379814	-190.76381	-161.65341	17.16784	-138.26126	-180.88097	100.0	100.0	19499	-26.778389	5.545668	-10.966632	-40.51152	26.520107	0.64182925	115.58201813697815
14	-132.95363	35.35618	-62.26123	-178.69981	-158.41722	27.67572	-106.0273	-180.73264	100.0	100.0	20999	-25.919231	6.1280646	-8.960501	-41.72234	25.649963	0.72856724	124.92479252815247
15	-151.5391	36.877373	-63.063435	-189.24052	-167.54807	20.506628	-122.3158	-188.84052	100.0	100.0	22499	-25.160906	6.6356196	-7.531447	-41.699074	24.88725	0.77170885	134.36377477645874
16	-139.70901	31.158861	-81.70189	-182.16351	-128.84543	45.27994	-41.684677	-189.15895	100.0	100.0	23999	-24.345963	7.102998	-6.437882	-42.624672	24.065323	0.7693359	143.6916515827179
17	-143.44833	28.832907	-97.80717	-186.18677	-137.43747	35.780373	-72.6895	-188.19298	100.0	100.0	25499	-23.673765	7.4674835	-5.573242	-41.56937	23.381172	0.8186024	153.01971173286438
18	-147.21664	25.043495	-94.27148	-188.31593	-128.71774	46.765392	-52.797295	-179.0889	100.0	100.0	26999	-23.101938	7.7438407	-5.0855093	-40.920128	22.790516	0.83480865	162.40943336486816
19	-149.1858	24.824074	-97.00824	-188.19336	-146.85886	31.551016	-97.141075	-192.11438	100.0	100.0	28499	-22.490547	8.036385	-4.440532	-40.523136	22.196125	0.87237644	171.86589860916138
20	-136.43181	37.32644	-53.48471	-183.59271	-135.34721	31.460968	-78.05076	-174.93298	100.0	100.0	29999	-22.127525	8.160076	-3.928994	-41.194588	21.84559	0.87724054	181.31557154655457
21	-141.48798	36.28905	-74.11053	-186.52989	-138.35193	38.000484	-63.63949	-182.56564	100.0	100.0	31499	-21.844027	8.18262	-3.5321844	-42.218548	21.560442	0.8963903	190.7186233997345
22	-136.36642	41.75722	-52.900326	-192.08147	-141.85703	21.839954	-84.46823	-168.57697	100.0	100.0	32999	-21.517534	8.276126	-3.412757	-40.012085	21.229145	0.8945155	200.14953565597534
23	-117.19832	38.37983	-55.36356	-178.10522	-142.02298	30.298483	-71.94238	-190.72722	100.0	100.0	34499	-20.970732	8.418795	-3.0116556	-40.46401	20.674074	0.92735463	209.55044436454773
24	-121.71376	38.338943	-66.1034	-191.07565	-131.13385	38.1333	-76.85998	-186.29668	100.0	100.0	35999	-20.447493	8.470172	-2.9398699	-39.784714	20.143757	0.9529803	218.91427087783813
25	-120.88627	26.196953	-55.851818	-169.45267	-142.91104	23.860764	-96.873795	-172.43039	100.0	100.0	37499	-19.973444	8.478747	-2.396895	-40.770428	19.65766	0.9711753	228.34996438026428
26	-109.979485	30.545353	-60.07887	-170.59523	-123.58987	49.965614	-37.15795	-184.05383	100.0	100.0	38999	-19.425718	8.3939085	-2.1615002	-39.611656	19.100857	1.0137779	237.7365665435791
27	-117.36071	23.879354	-59.23553	-146.98152	-120.85832	36.292793	-41.00437	-170.61546	100.0	100.0	40499	-18.815105	8.298037	-1.7239455	-42.132267	18.498234	1.000708	247.23800706863403
28	-131.7518	39.797943	-51.5893	-189.49055	-126.27041	32.533035	-74.790855	-186.7641	100.0	100.0	41999	-18.404844	8.157526	-1.0541635	-41.850574	18.085836	1.0402225	256.5751039981842
29	-115.88048	35.639736	-48.542046	-182.81726	-115.05918	31.682173	-49.93389	-167.51208	100.0	100.0	43499	-17.968922	8.0349455	-1.5728964	-41.215984	17.657057	0.99718744	265.92664766311646
30	-123.80036	29.413256	-75.515045	-196.22528	-108.779236	40.67652	-29.383507	-166.9367	100.0	100.0	44999	-17.650948	7.9228034	-1.4034753	-39.652775	17.336124	1.0133909	275.343875169754
31	-114.5591	40.920788	-31.97591	-159.00562	-103.82666	36.870384	-38.69968	-167.18764	100.0	100.0	46499	-17.31252	7.879327	-1.1160834	-41.75668	16.985577	1.007877	284.8214235305786
32	-97.10105	26.000063	-59.128613	-150.88297	-85.76121	32.27311	-45.22209	-158.89478	100.0	100.0	47999	-16.83734	7.8564467	-1.0349511	-41.487385	16.502838	1.0193015	294.22068905830383
33	-96.06632	19.339476	-64.58725	-130.57442	-109.64513	37.59913	-61.306282	-181.47546	100.0	100.0	49499	-16.398085	7.814744	-0.9761146	-40.65121	16.060146	1.0426662	303.63316559791565
34	-95.27787	28.887106	-47.098175	-161.8064	-75.59103	18.127863	-36.31762	-94.94678	100.0	100.0	50999	-15.85069	7.770114	-0.6388665	-44.299107	15.500131	1.1125132	313.02522468566895
35	-89.180336	31.527248	-43.5216	-148.38438	-100.774086	25.408598	-67.85721	-142.19614	100.0	100.0	52499	-15.43669	7.6619606	-0.85824466	-41.791866	15.085448	1.0873197	322.48926615715027
36	-105.81588	25.615398	-62.057014	-169.54117	-76.98419	15.940706	-58.45979	-103.414635	100.0	100.0	53999	-15.027413	7.5640006	-0.9705581	-41.471806	14.676383	1.0662402	331.8408086299896
37	-82.2574	27.64226	-25.05767	-137.42995	-75.1414	22.669111	-38.832695	-112.64801	100.0	100.0	55499	-14.631188	7.532599	-1.1040604	-42.308308	14.285543	1.1255451	341.2637233734131
38	-85.95744	14.743085	-64.84392	-118.63652	-98.50445	24.316786	-66.599045	-145.37462	100.0	100.0	56999	-14.221223	7.4788823	-0.71088326	-40.93479	13.869301	1.0985733	350.6800742149353
39	-84.06138	31.869736	-31.543026	-144.00859	-109.014114	43.579174	-38.646584	-169.0798	100.0	100.0	58499	-13.797935	7.521045	-0.46925986	-41.49727	13.444388	1.1245279	360.05079555511475
40	-87.85434	19.951902	-49.382553	-118.73136	-99.583755	37.70883	-47.10577	-174.9656	100.0	100.0	59999	-13.380055	7.4730678	-0.33129978	-40.906612	13.027797	1.1696302	369.54188323020935
41	-103.90536	31.786123	-49.9747	-145.13553	-95.603226	22.93653	-55.832283	-135.51306	100.0	100.0	61499	-13.073768	7.46857	-0.35857528	-41.405556	12.710448	1.1674997	378.9850227832794
