Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-179.15498	9.10971	-153.07372	-197.58264	-184.07474	8.033944	-165.4373	-193.33038	100.0	100.0	1499	-18.538074	10.380466	0.0043536946	-43.33097	18.322546	0.23873506	5.228232145309448
2	-180.95341	6.768392	-161.6321	-190.77798	-183.51802	7.0529118	-167.43716	-191.15776	100.0	100.0	2999	-77.04847	23.069378	-26.496054	-128.09425	76.70749	0.48613432	14.333181381225586
3	-180.10126	5.587176	-170.75775	-186.81487	-179.54312	7.3680882	-163.45578	-188.86552	100.0	100.0	4499	-145.46529	17.949787	-103.412155	-192.64752	145.19809	0.6683141	23.57932734489441
4	-181.20311	5.7915406	-170.2425	-194.77278	-180.40842	10.6841135	-156.08122	-191.65361	100.0	100.0	5999	-196.4831	13.333096	-165.30888	-231.14423	196.24765	0.74367064	32.753413915634155
5	-181.46484	6.58341	-165.15923	-190.72981	-181.81897	6.3911376	-174.55688	-191.85765	100.0	100.0	7499	-232.42435	9.218838	-207.67526	-259.28	232.17912	0.7843273	41.94625639915466
6	-179.7678	5.017401	-168.93669	-188.20312	-181.02635	7.9919767	-164.20892	-192.62318	100.0	100.0	8999	-257.14734	7.2320175	-237.12923	-277.61993	256.92545	0.8205248	51.148772954940796
7	-179.392	4.956637	-171.18385	-188.37398	-175.08838	14.05533	-149.27696	-190.2048	100.0	100.0	10499	-275.2799	5.21168	-259.5858	-293.37265	275.05725	0.74586606	60.395580768585205
8	-180.9327	8.683355	-157.94847	-194.30186	-170.58469	16.129234	-131.09813	-185.59843	100.0	100.0	11999	-287.93945	4.904087	-272.624	-304.09125	287.74564	0.72391343	69.88620281219482
9	-172.37506	15.857711	-139.38167	-193.80962	-172.78433	11.878714	-148.86624	-196.33003	100.0	100.0	13499	-297.5564	4.722507	-279.97534	-316.31903	297.37683	0.7482718	79.33360815048218
10	-174.71774	12.701255	-146.98709	-189.76593	-172.03766	15.819016	-144.90703	-194.09532	100.0	100.0	14999	-304.16208	5.854518	-283.2646	-326.6946	303.9775	0.7832094	88.91790080070496
11	-167.23494	12.995056	-144.70859	-189.07872	-168.65752	14.251477	-135.52611	-183.82301	100.0	100.0	16499	-307.00613	7.9572134	-277.3065	-333.72214	306.79532	0.8568081	98.46247053146362
12	-152.16356	27.031517	-89.76438	-186.3527	-162.87764	20.948969	-125.43562	-194.04701	100.0	100.0	17999	-304.74963	11.416973	-260.349	-337.56592	304.49713	1.0066612	107.94016337394714
13	-157.50822	24.710148	-95.79165	-184.78807	-155.03682	14.371969	-129.71666	-173.51529	100.0	100.0	19499	-296.68036	15.748795	-242.50441	-339.38086	296.37308	1.29203	117.32678174972534
14	-165.1248	17.76685	-128.4307	-186.92548	-147.52986	36.58347	-61.092125	-190.74379	100.0	100.0	20999	-285.43988	19.128637	-220.28214	-339.23874	285.08676	1.6307626	126.7969000339508
15	-150.90381	27.932339	-87.40607	-189.24483	-144.20273	19.181833	-116.40227	-179.84242	100.0	100.0	22499	-273.05215	22.657215	-200.79308	-335.57043	272.66165	1.7828057	136.21977472305298
16	-153.61603	25.65706	-103.66064	-186.52013	-116.61781	45.9622	-43.737896	-177.15392	100.0	100.0	23999	-262.27386	25.71544	-183.36108	-331.2155	261.8847	1.9174919	145.67957520484924
17	-129.94873	29.339638	-94.42879	-191.31032	-140.47964	32.041096	-70.112434	-187.53525	100.0	100.0	25499	-253.1816	28.773752	-168.23456	-330.31467	252.77667	1.9812015	155.22621369361877
18	-144.39326	33.414448	-70.92459	-183.65367	-143.84903	25.520155	-100.39812	-173.41388	100.0	100.0	26999	-241.8915	32.499195	-150.39442	-332.1429	241.43889	2.0541143	164.69239449501038
