Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-198.84694	9.882591	-167.63997	-210.42357	-198.2084	5.5788894	-186.82472	-208.02638	100.0	100.0	1499	-2.3113127	0.40116978	0.010122918	-5.2368317	2.248176	0.13004416	5.690276861190796
2	-200.16759	6.7923484	-183.23624	-209.26624	-200.7442	3.5587425	-195.45369	-208.21385	100.0	100.0	2999	-3.61756	0.6470422	-1.7072297	-5.725531	3.5233946	0.03659741	14.943630695343018
3	-197.23067	9.192463	-178.83621	-208.41873	-198.173	10.473765	-169.41264	-209.12248	100.0	100.0	4499	-5.6526136	0.74804235	-2.980788	-8.136594	5.547002	0.0435125	24.37838387489319
4	-198.70189	4.6428056	-190.12874	-205.12653	-193.01624	12.605814	-159.70364	-207.15341	100.0	100.0	5999	-7.7039475	0.8185071	-4.296134	-10.7694025	7.600695	0.05907894	33.713417291641235
5	-197.09221	7.873526	-175.02086	-209.07405	-195.94403	8.517415	-180.63321	-204.44418	100.0	100.0	7499	-9.713108	0.85366476	-5.9696207	-12.70073	9.602267	0.0749348	43.025877475738525
6	-201.11813	5.4880347	-188.38573	-209.31723	-191.35776	13.246474	-159.70474	-204.99585	100.0	100.0	8999	-11.6096115	0.8906088	-7.7947392	-14.873427	11.495877	0.09003033	52.29157876968384
7	-199.62372	6.1916404	-184.19484	-207.52727	-192.21606	12.78785	-171.69885	-208.97044	100.0	100.0	10499	-13.398086	0.9111894	-9.111996	-16.6838	13.273933	0.10238542	61.63592028617859
8	-198.07332	5.7953258	-186.02625	-208.89949	-174.47617	19.347347	-144.34924	-197.46046	100.0	100.0	11999	-15.039572	0.93305147	-10.564557	-18.397818	14.912755	0.11953365	70.86983442306519
9	-198.76627	5.594447	-187.85019	-206.23662	-174.68639	33.067566	-102.25908	-205.13007	100.0	100.0	13499	-16.553703	0.95975494	-12.222607	-21.094852	16.413227	0.12949742	80.0680079460144
10	-200.18558	6.4834547	-183.20303	-208.233	-158.96664	22.721912	-115.85154	-201.49199	100.0	100.0	14999	-17.987926	0.9722689	-13.373732	-21.566618	17.845049	0.14132838	89.28295063972473
11	-198.27687	7.632097	-185.82227	-210.40303	-150.88512	44.021637	-77.67773	-204.57486	100.0	100.0	16499	-19.331053	0.9774199	-14.462563	-22.774878	19.182402	0.1507391	98.5228340625763
12	-195.96913	7.4818482	-179.4307	-208.6194	-130.92792	40.322567	-58.548306	-186.58171	100.0	100.0	17999	-20.547503	0.9856243	-15.928911	-24.295128	20.38992	0.15798141	107.76485538482666
13	-202.67873	5.7346816	-194.06749	-211.29807	-135.64536	41.8242	-54.812973	-196.10623	100.0	100.0	19499	-21.680727	0.9952188	-17.047821	-25.6946	21.517168	0.15947123	117.02805805206299
14	-162.96231	37.53634	-87.991554	-209.3865	-120.77466	38.872833	-69.82543	-183.49947	100.0	100.0	20999	-22.668932	1.0695604	-17.991135	-26.622	22.508547	0.24247245	126.56435465812683
15	-143.64511	34.882057	-99.03508	-197.7211	-138.80481	31.057741	-100.62375	-185.46982	100.0	100.0	22499	-23.318834	1.4555317	-16.979633	-27.93331	23.156713	0.36283675	136.2616047859192
16	-118.611916	24.919785	-64.798904	-154.37569	-120.21887	17.844591	-90.94143	-154.49121	100.0	100.0	23999	-23.669703	2.047122	-15.949985	-29.163845	23.510178	0.56121206	146.04937362670898
17	-126.615555	40.002464	-47.841095	-180.94563	-115.72789	39.5885	-61.324203	-192.61018	100.0	100.0	25499	-23.890657	2.579702	-14.425497	-30.054924	23.70385	0.73405015	155.7868790626526
18	-101.11056	35.611923	-37.0346	-180.63292	-124.28251	30.20828	-77.51709	-168.409	100.0	100.0	26999	-23.90138	3.2004685	-13.332527	-31.472748	23.696545	0.95495474	165.50668239593506
19	-103.63899	41.619503	-55.31671	-204.69069	-129.04857	42.827744	-56.678844	-184.79187	100.0	100.0	28499	-23.738014	3.8281114	-12.330824	-32.717346	23.508596	1.1315061	175.24007940292358
20	-120.62938	38.91938	-60.73265	-205.11105	-107.81621	33.943916	-41.516697	-156.62361	100.0	100.0	29999	-23.48223	4.359544	-11.176377	-34.7689	23.234838	1.2837666	184.77122950553894
21	-110.86928	30.02996	-63.31844	-176.92061	-104.68373	40.3256	-37.686523	-145.99135	100.0	100.0	31499	-23.13794	4.8870373	-10.46363	-35.73592	22.86662	1.4368857	194.30677247047424
22	-108.360596	26.507097	-70.67843	-154.79814	-92.2269	41.333706	-21.663715	-147.35173	100.0	100.0	32999	-22.706354	5.3312426	-9.169837	-35.76996	22.4135	1.5198668	203.81045722961426
23	-97.81725	30.199068	-38.40503	-149.97223	-111.70088	31.163305	-48.59402	-165.32086	100.0	100.0	34499	-22.17887	5.7580595	-8.192929	-36.271645	21.857416	1.5938115	213.2237811088562
24	-104.668236	33.439957	-63.982548	-167.40033	-85.23185	30.918232	-48.442135	-136.9144	100.0	100.0	35999	-21.601334	6.1566668	-7.639642	-37.924824	21.267216	1.7507409	222.6887834072113
25	-93.864174	25.601273	-55.77771	-145.73883	-95.94432	38.495857	-51.48516	-188.04872	100.0	100.0	37499	-21.032402	6.52491	-6.582062	-37.860752	20.682045	1.8452762	232.15126943588257
