Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-198.67221	3.1788645	-192.31038	-205.0431	-194.39189	5.8125215	-183.03908	-201.04369	100.0	100.0	1499	-2.3296363	0.3887384	-0.005258791	-5.208216	2.2666583	0.12323808	5.82497239112854
2	-199.81004	7.271408	-181.72696	-210.09477	-204.01779	3.1364403	-197.42961	-209.77612	100.0	100.0	2999	-3.5735066	0.62307304	-1.9460145	-5.576729	3.4920247	0.03520383	15.316425800323486
3	-199.38608	8.629987	-171.74854	-210.24155	-198.42612	7.580543	-184.7413	-211.18347	100.0	100.0	4499	-5.6324096	0.75596666	-3.328482	-8.251314	5.5335493	0.03994293	24.74111032485962
4	-198.98405	7.4753137	-184.1029	-209.09698	-194.44849	8.161256	-181.61838	-207.69862	100.0	100.0	5999	-7.7569523	0.8213873	-4.9057097	-10.63882	7.6455717	0.056664653	34.15481877326965
5	-199.99356	7.919109	-182.45337	-212.309	-197.53177	6.580926	-182.88045	-206.7014	100.0	100.0	7499	-9.759119	0.8748336	-6.5003524	-13.212954	9.627286	0.07733035	43.67399001121521
6	-199.62679	6.3027925	-187.65895	-208.85262	-177.1311	38.252155	-74.89733	-203.7774	100.0	100.0	8999	-11.634871	0.90309644	-8.21438	-14.985452	11.506026	0.09228337	53.28180289268494
7	-200.2062	5.893148	-189.59178	-211.01149	-190.0023	16.177105	-150.24153	-207.34366	100.0	100.0	10499	-13.40222	0.9362541	-9.794132	-16.955187	13.274187	0.10423409	62.85734748840332
8	-198.13547	8.207299	-174.67235	-209.28789	-191.71367	12.58379	-159.52086	-202.63591	100.0	100.0	11999	-15.05489	0.97587085	-11.110422	-19.36365	14.919627	0.11821873	72.51887059211731
9	-196.40605	9.648842	-168.90117	-208.17244	-187.331	20.936604	-136.18732	-205.34404	100.0	100.0	13499	-16.556536	0.9954528	-12.488072	-20.30538	16.410858	0.13034	82.10633134841919
10	-197.22319	5.956257	-188.13553	-209.65202	-175.11101	21.221216	-135.1265	-206.63545	100.0	100.0	14999	-17.969505	1.0266658	-13.871976	-21.88181	17.821499	0.14473183	91.61608386039734
11	-198.50868	7.406554	-183.49078	-209.26501	-156.17941	23.24786	-117.41501	-199.31902	100.0	100.0	16499	-19.263239	1.0348179	-15.008353	-23.278057	19.10417	0.15183827	101.16701817512512
12	-199.96501	6.224479	-187.15408	-210.16077	-168.41402	23.49728	-128.20682	-200.36142	100.0	100.0	17999	-20.469141	1.0440468	-16.484585	-24.50146	20.313898	0.1603001	110.63404512405396
13	-199.5347	5.5237985	-186.889	-208.96034	-151.82388	26.586988	-112.63842	-193.6569	100.0	100.0	19499	-21.60731	1.0524288	-17.331858	-25.640697	21.450447	0.1623193	119.9856071472168
14	-167.83363	32.79552	-90.55261	-203.53975	-157.57516	39.473064	-91.943825	-206.21355	100.0	100.0	20999	-22.615799	1.109553	-18.10375	-26.517996	22.45448	0.18883653	129.87581634521484
15	-154.79959	27.68273	-93.89527	-204.91965	-135.42694	27.91103	-94.25951	-176.07466	100.0	100.0	22499	-23.297726	1.455011	-16.974697	-27.746931	23.131235	0.29080647	139.84886002540588
16	-147.63585	39.28723	-93.978455	-198.51424	-129.81445	37.564964	-64.6059	-174.94124	100.0	100.0	23999	-23.82059	1.8774784	-15.700812	-28.948078	23.652884	0.40046117	149.8767740726471
17	-134.96924	31.281391	-74.08583	-181.46687	-107.68105	27.37908	-69.5511	-147.79921	100.0	100.0	25499	-24.091728	2.4371538	-14.527623	-30.07799	23.91834	0.545787	159.84547972679138
18	-144.7129	24.5597	-86.41562	-178.61731	-135.49358	30.513966	-81.85759	-180.4397	100.0	100.0	26999	-24.265778	2.9544456	-13.283027	-31.296085	24.07531	0.6460487	169.78135299682617
19	-126.78889	41.006653	-62.14451	-195.05011	-107.71599	30.58425	-69.67227	-168.63235	100.0	100.0	28499	-24.314323	3.432283	-11.74391	-32.954178	24.102495	0.7651594	179.77790212631226
20	-127.76475	35.731674	-72.037834	-203.20184	-124.76449	42.409718	-50.451965	-195.8469	100.0	100.0	29999	-24.24694	3.9035876	-10.617755	-33.194603	24.008442	0.8520053	189.8861870765686
