Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-208.70013	5.8205056	-193.95674	-218.25056	-198.48454	11.430522	-178.8202	-215.58879	100.0	100.0	1499	-2.4033048	0.42470053	0.044829898	-6.029735	2.3304024	0.14063954	5.47243595123291
2	-206.55835	6.8661838	-189.07288	-220.00194	-209.10991	3.3558369	-205.00165	-215.22905	100.0	100.0	2999	-3.7413325	0.6645337	-2.011086	-5.9535728	3.6692677	0.037861515	14.340664625167847
3	-207.44165	9.885259	-179.36649	-217.48582	-207.37234	5.271726	-199.97716	-216.96826	100.0	100.0	4499	-5.923041	0.79226726	-3.185941	-8.457957	5.830724	0.045458324	23.285867929458618
4	-207.90736	4.124296	-197.47244	-215.07184	-198.48654	10.508918	-181.15771	-213.27882	100.0	100.0	5999	-8.119754	0.86414385	-4.9006886	-11.028802	8.0140295	0.0630422	32.043092489242554
5	-204.45445	4.943977	-192.82108	-210.8078	-202.71872	13.289073	-177.43813	-217.17297	100.0	100.0	7499	-10.199092	0.91320187	-6.5761166	-13.558313	10.07604	0.0812567	41.072202920913696
6	-206.67958	5.324092	-195.53485	-213.90466	-203.38445	9.111165	-180.98486	-214.19928	100.0	100.0	8999	-12.153859	0.97377765	-7.670318	-15.734554	12.02087	0.099453956	49.92736458778381
7	-210.45163	4.545247	-201.3583	-222.24426	-194.76053	13.508689	-162.9227	-214.83461	100.0	100.0	10499	-14.003332	1.0174624	-9.137359	-17.644	13.864633	0.11298956	58.790852308273315
8	-208.13828	5.3454356	-195.76872	-220.65958	-175.58897	41.77683	-70.712906	-215.86339	100.0	100.0	11999	-15.745898	1.0553098	-10.49353	-19.84453	15.602247	0.1297539	67.65135049819946
9	-207.07478	5.11062	-195.38765	-217.83621	-184.98961	13.471339	-166.63657	-210.65504	100.0	100.0	13499	-17.350119	1.085172	-11.674944	-21.66132	17.192234	0.1409412	76.42197942733765
10	-209.3912	7.4959745	-196.53432	-220.24826	-151.76479	37.894672	-77.8745	-202.20831	100.0	100.0	14999	-18.812908	1.1175683	-13.101068	-22.911612	18.638807	0.15192883	85.27407574653625
11	-207.77411	7.088942	-196.41228	-220.08315	-146.93661	37.234604	-80.63044	-192.37105	100.0	100.0	16499	-20.175037	1.1429776	-13.801088	-24.284683	19.99244	0.16301478	94.1341724395752
12	-207.8087	5.826176	-196.41328	-216.79665	-169.90494	32.456	-106.889015	-216.50586	100.0	100.0	17999	-21.44834	1.1806233	-14.867644	-26.210848	21.25716	0.17113896	102.97081875801086
